mu1,mu2,sigma1,sigma2,pi1,pi2
0.02787518,-0.009286262,0.24058278,0.021100469,0.0027218563,0.99727815
0.025755698,-0.009182692,0.24035572,0.021123996,0.0027294646,0.9972705
0.025445009,-0.009985268,0.24091403,0.021300077,0.0027621565,0.99723786
0.028122092,-0.007815734,0.23963784,0.020839559,0.0026736585,0.9973264
0.029868716,-0.007855311,0.2398785,0.02084453,0.0026720087,0.99732804
0.027269656,-0.008323982,0.23989457,0.020941416,0.0026935008,0.9973065
0.026013905,-0.008653715,0.24009518,0.021048015,0.002715373,0.99728465
0.026241833,-0.00873591,0.24012582,0.021054275,0.002715732,0.9972843
0.02656942,-0.009345658,0.24061,0.021185834,0.0027391762,0.9972608
0.028344804,-0.008664176,0.24031995,0.02103292,0.0027086602,0.9972913
0.026105994,-0.009948783,0.24084894,0.021260893,0.002753221,0.99724674
0.023340786,-0.009505607,0.24041735,0.021246688,0.0027557006,0.99724436
0.020978654,-0.009875856,0.24055624,0.021395382,0.0027868794,0.99721307
0.025036747,-0.009042092,0.24038295,0.021201424,0.0027445937,0.9972554
0.025796467,-0.010439262,0.24112663,0.02137674,0.0027740982,0.9972259
0.025928074,-0.009960651,0.24089898,0.021295244,0.0027598012,0.9972402
0.020770991,-0.010924585,0.24112442,0.021560922,0.002817219,0.9971827
0.02232393,-0.010156393,0.24098168,0.021476932,0.0028000562,0.99719995
0.01861825,-0.011297777,0.2411091,0.021657309,0.0028377604,0.9971622
0.02100336,-0.011257514,0.24154072,0.021706903,0.0028438023,0.9971562
0.023741448,-0.011434421,0.24161203,0.02160723,0.0028195465,0.99718046
0.03672754,-0.008640349,0.2404427,0.020669002,0.0026293925,0.9973706
0.036554746,-0.008237451,0.23943049,0.020328,0.002566839,0.9974332
0.03456106,-0.0077165216,0.23952597,0.020442216,0.0025928656,0.99740714
0.033562563,-0.0069393963,0.23918456,0.020405635,0.0025884744,0.99741155
0.028648937,-0.008009076,0.2396107,0.02073097,0.0026543976,0.9973456
0.03269776,-0.004721999,0.23815386,0.020210022,0.0025557424,0.9974443
0.031665348,-0.0062152445,0.23868561,0.020400142,0.0025889927,0.99741095
0.031289123,-0.0048463047,0.2379456,0.020223517,0.002558693,0.9974413
0.030675555,-0.0034312606,0.23727067,0.020082075,0.0025357725,0.99746424
0.033726476,-0.0025217384,0.23693083,0.019892136,0.0024971245,0.99750286
0.034254394,-0.0069967657,0.23965263,0.020610187,0.0026230076,0.99737704
0.027363801,-0.009225175,0.24021107,0.020991396,0.0027019447,0.99729806
0.02569499,-0.008625045,0.23998137,0.021000197,0.002707711,0.9972923
0.022399032,-0.010089144,0.24054238,0.021301886,0.002766785,0.9972332
0.02029624,-0.0090103075,0.24003369,0.021274945,0.0027663906,0.9972336
0.01728716,-0.0104768425,0.2407314,0.021614917,0.0028332465,0.99716675
0.020155424,-0.010558762,0.24095424,0.021582194,0.0028215155,0.9971785
0.026811177,-0.009870216,0.24089636,0.02129818,0.0027576748,0.99724233
0.02389508,-0.010684758,0.24109614,0.021444561,0.0027894967,0.99721056
0.016116912,-0.0118518025,0.24146016,0.021854354,0.00287992,0.99712
0.018256838,-0.012876175,0.24236159,0.02205185,0.0029125912,0.9970874
0.020891184,-0.0122400895,0.24184702,0.021791555,0.0028580274,0.99714196
0.0261172,-0.011410989,0.2418064,0.021562945,0.0028077653,0.99719226
0.02340185,-0.0124170855,0.24209759,0.021731911,0.0028430896,0.9971569
0.020749474,-0.011582553,0.24151902,0.021663299,0.002836305,0.9971637
0.021899188,-0.010060042,0.24068119,0.021392848,0.0027846233,0.9972154
0.026889825,-0.008731261,0.24032106,0.021109814,0.0027249788,0.99727505
0.025486434,-0.011433557,0.24180079,0.02157753,0.0028118016,0.9971882
0.021727825,-0.0118429065,0.24172176,0.021685148,0.002838249,0.99716175
0.021699244,-0.009604834,0.240472,0.021343837,0.0027764207,0.9972236
0.019706124,-0.010696515,0.24093103,0.021564517,0.0028194473,0.9971806
0.020176673,-0.010211691,0.24078543,0.021523478,0.002811379,0.9971886
0.017374689,-0.012824446,0.24217579,0.022044484,0.0029117467,0.99708825
0.02099418,-0.011902794,0.24194084,0.021836009,0.0028671045,0.9971329
0.019100482,-0.012298018,0.24184002,0.021871557,0.0028760447,0.99712396
0.023532683,-0.010497764,0.24133751,0.021556599,0.002812209,0.9971878
0.018183136,-0.013206549,0.2422856,0.022025619,0.0029062475,0.9970938
0.019659692,-0.012806229,0.2424329,0.022015158,0.002903306,0.9970967
0.022348786,-0.012122467,0.24192177,0.021747068,0.002847725,0.99715227
0.026390785,-0.011120915,0.24168591,0.02151509,0.0027988236,0.9972012
0.023886407,-0.011457108,0.241643,0.021584565,0.002815905,0.9971841
0.026040519,-0.010397658,0.24123867,0.02137674,0.002775135,0.9972248
0.021239066,-0.01065807,0.2408627,0.021455966,0.0027967843,0.99720323
0.019573683,-0.011322178,0.24145818,0.021712031,0.0028479036,0.9971521
0.024132514,-0.009228148,0.24029282,0.021204932,0.0027461643,0.99725384
0.023403013,-0.011483245,0.24151504,0.021580497,0.0028148647,0.9971852
0.022091473,-0.010421976,0.2409548,0.02147179,0.0027985629,0.99720144
0.015773827,-0.011644155,0.24134906,0.021849614,0.0028793174,0.9971207
0.022711003,-0.00983803,0.2409247,0.021473564,0.0027987661,0.9972012
0.025361652,-0.011620767,0.24163988,0.021540876,0.0028037173,0.9971963
0.023575747,-0.010988995,0.24110878,0.021439193,0.0027888627,0.99721116
0.020347798,-0.012678787,0.24213827,0.021862606,0.002873341,0.99712664
0.02193966,-0.011020392,0.2412786,0.02156163,0.0028153507,0.99718463
0.02824589,-0.008946776,0.24056187,0.021120118,0.0027246897,0.9972753
0.024704868,-0.011009127,0.24138218,0.021474224,0.002794188,0.9972058
0.028541321,-0.009726644,0.2410256,0.021212447,0.002741363,0.99725866
0.029168243,-0.009990774,0.2408445,0.021113418,0.0027206219,0.99727935
0.035044454,-0.0058583915,0.2389204,0.020351587,0.002576129,0.9974239
0.03152331,-0.007590309,0.23953354,0.02063433,0.0026314815,0.9973685
0.023937548,-0.00966987,0.24036293,0.021158187,0.002738835,0.99726117
0.023722792,-0.008685157,0.24001482,0.021103075,0.0027298345,0.99727017
0.023148978,-0.008547381,0.23968777,0.021047642,0.0027191537,0.99728084
0.0272192,-0.0070714504,0.2392519,0.020792484,0.0026668138,0.99733317
0.026942575,-0.009483114,0.24063213,0.02118743,0.002737913,0.9972621
0.026878351,-0.008187413,0.23985983,0.020964788,0.0026983814,0.99730164
