mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0010047853,0.04442159,0.026720926,0.042529617,0.009514601,0.03968461,0.7568546,0.14895287,0.09419259
-0.0022126138,0.04682807,0.023597404,0.04263439,0.009502299,0.03966154,0.7567962,0.14913835,0.09406537
0.00093999505,0.04781679,0.024939701,0.042696018,0.009500799,0.039713774,0.7563716,0.14946716,0.094161235
-0.00091025233,0.046513833,0.02501981,0.042423844,0.009432273,0.039478175,0.7573038,0.14883888,0.09385735
0.0011745989,0.04538826,0.027240202,0.042606972,0.0095166,0.03973528,0.7564784,0.14925978,0.09426171
-0.0005900562,0.043140687,0.027872488,0.042540215,0.009537221,0.039744858,0.7567186,0.14897949,0.094301954
-0.0009665191,0.042824067,0.02773492,0.04260962,0.0095671145,0.039820947,0.7565297,0.1490723,0.09439803
-0.0016696155,0.043460764,0.02641122,0.042769674,0.009609222,0.039939854,0.75614285,0.14933942,0.09451772
0.0011022389,0.039983787,0.032370016,0.041954618,0.009388791,0.03930776,0.7582266,0.14794272,0.09383072
-0.00688228,0.037686504,0.028644726,0.041725647,0.009354787,0.03907752,0.7595531,0.1470094,0.09343754
-0.0049805343,0.042309918,0.025852844,0.041946273,0.009341282,0.039114974,0.7589796,0.1476344,0.093386
-0.0026380718,0.043889083,0.025349304,0.042529732,0.00950869,0.039649878,0.75702924,0.1488842,0.09408648
-0.0018977821,0.045108356,0.024638578,0.042764466,0.009568215,0.039844215,0.7562905,0.14938077,0.09432875
0.0004823506,0.045673646,0.025533602,0.04312841,0.009685726,0.040217683,0.75496686,0.15018189,0.09485125
-0.00041791797,0.04616729,0.02445285,0.04322071,0.009711924,0.040283795,0.75478405,0.15030022,0.09491575
0.0011277497,0.047787942,0.024102852,0.043405697,0.009746685,0.040420845,0.75416154,0.15075539,0.09508312
0.0022156537,0.047605313,0.025093481,0.043425716,0.009758586,0.040467083,0.7539781,0.15084755,0.09517433
0.0027505457,0.046319522,0.026485845,0.043513183,0.009816021,0.040621947,0.7535792,0.15099716,0.09542362
-0.00037786365,0.044735827,0.027057573,0.042398285,0.009461326,0.03954521,0.7572239,0.14876501,0.09401111
-0.0017058551,0.04568974,0.024848387,0.042663902,0.009533592,0.039746065,0.7565891,0.14919497,0.09421596
-0.00064107776,0.04813508,0.023204967,0.042924624,0.009574659,0.03990739,0.7558308,0.14979354,0.09437559
0.0013875067,0.048247732,0.024664566,0.042880774,0.009556168,0.039884623,0.75577664,0.14984024,0.09438313
0.0025483668,0.044030584,0.029539272,0.042497493,0.009504471,0.039704368,0.7566035,0.14910918,0.09428739
-0.0034600198,0.04306177,0.025852844,0.042554017,0.00954627,0.039729573,0.7569347,0.14883128,0.09423406
0.0001423657,0.04560236,0.026173279,0.04269689,0.009544229,0.039800853,0.7563231,0.1493605,0.09431642
-0.00041911006,0.04416088,0.026837036,0.042713795,0.009575566,0.039869897,0.75623244,0.1493335,0.094434015
-0.0010709465,0.044225015,0.026366636,0.04267786,0.009562557,0.039823733,0.75641054,0.14922978,0.09435967
-0.0017828643,0.045248188,0.025102064,0.04259449,0.009513871,0.03968627,0.7567974,0.14906457,0.09413796
-0.0016436279,0.047211565,0.023460314,0.042680457,0.009505533,0.039687138,0.7566314,0.14927989,0.09408871
0.0013070405,0.047465958,0.02516739,0.042883337,0.009570007,0.03991569,0.755737,0.1498253,0.09443774
0.0014182627,0.04573194,0.026330873,0.04317587,0.0097069265,0.040288467,0.7547127,0.15031056,0.094976775
0.00023773313,0.046439327,0.02465503,0.043394536,0.009772195,0.04046387,0.7541928,0.15064211,0.09516506
-0.0002014339,0.048529543,0.023245975,0.042954396,0.009579428,0.039930385,0.755712,0.14987837,0.09440967
0.0021289885,0.04932312,0.023728058,0.04336883,0.009706073,0.040335122,0.7542606,0.15078244,0.094957024
0.0023575127,0.04785482,0.025574371,0.04306576,0.009630917,0.040105976,0.75507694,0.1502129,0.094710216
0.00044563413,0.047046937,0.025050804,0.042930778,0.009601678,0.039985605,0.7556244,0.14983374,0.09454187
0.0003451407,0.048044004,0.024166986,0.042917542,0.009577702,0.039926376,0.75573903,0.14982763,0.094433285
0.0009199679,0.04878608,0.023761436,0.04305451,0.009609595,0.040035106,0.75530607,0.15013002,0.094563834
0.0024092495,0.048328795,0.025026724,0.043210223,0.009671929,0.040229008,0.7546576,0.15048563,0.094856784
0.0001925528,0.04869441,0.023132965,0.04320187,0.009663731,0.040178712,0.7549088,0.15034842,0.09474278
0.0014740527,0.050496496,0.022787973,0.043080058,0.009586749,0.03999572,0.7552713,0.15024811,0.09448058
0.0027001202,0.0494769,0.024559662,0.04305744,0.00959795,0.040034015,0.75516015,0.15025654,0.09458331
0.0011885464,0.049559273,0.022909328,0.04342426,0.009725179,0.040377386,0.7541753,0.15082473,0.09499997
0.0027823746,0.051301636,0.02252452,0.04354887,0.009734809,0.0404457,0.7537479,0.1511808,0.095071286
0.0036200583,0.04977373,0.025014088,0.04311183,0.009613274,0.04009233,0.7549156,0.1504094,0.09467496
0.0018432438,0.04750041,0.025838539,0.04292572,0.0095939385,0.03998608,0.75552243,0.14991124,0.09456634
0.00062826276,0.047542013,0.024854824,0.04294611,0.009600166,0.039987028,0.7555852,0.14987577,0.09453903
0.00088635087,0.04821209,0.024405405,0.042963777,0.009591395,0.0399741,0.7555529,0.14994359,0.094503514
0.0007407963,0.047649182,0.02520363,0.04261064,0.009478868,0.039643977,0.75662726,0.14928879,0.094083846
0.00082305074,0.046183743,0.026388094,0.04263841,0.00951531,0.03973405,0.7564503,0.1493097,0.09424003
-0.0007518232,0.04605881,0.025128767,0.042766068,0.009562022,0.039845124,0.7561985,0.14944522,0.09435626
0.0005027354,0.045586027,0.026932165,0.04239075,0.0094397655,0.03950598,0.7572252,0.14882879,0.09394592
-0.000998944,0.04418973,0.026624367,0.042598564,0.009537433,0.03975172,0.75663835,0.14908747,0.09427422
-0.0009665191,0.045490064,0.025159523,0.04289117,0.00961368,0.039984647,0.7558125,0.14964779,0.0945397
-0.00016459823,0.046007432,0.025566503,0.042701207,0.009536742,0.039781954,0.7563559,0.14936832,0.09427584
-0.001291126,0.04664556,0.02409999,0.04277881,0.009551666,0.03981727,0.75625396,0.1494611,0.09428494
0.0007313788,0.047713555,0.024515316,0.042941295,0.009587178,0.0399584,0.7556242,0.14989704,0.094478786
0.000957638,0.04720179,0.024929449,0.043090645,0.009649645,0.040134564,0.7551045,0.15016562,0.09472993
0.0012755692,0.046798624,0.025580332,0.043069787,0.00965175,0.04013896,0.7551128,0.1501314,0.094755754
0.00036504865,0.046578445,0.025255844,0.042965855,0.009620974,0.040035248,0.75550526,0.1498835,0.09461121
0.0006432831,0.047596253,0.024237558,0.043244198,0.009697728,0.04026987,0.7546838,0.15042442,0.09489181
0.0016094744,0.046976484,0.02607219,0.042803302,0.009556393,0.039871763,0.7559157,0.14967352,0.09441076
-0.00034615397,0.045725383,0.025796816,0.042693842,0.00954302,0.039792906,0.7563626,0.14933191,0.09430548
-0.0009216964,0.047661223,0.023367092,0.04298369,0.009606112,0.039987314,0.7556399,0.14986785,0.094492294
0.0008764565,0.04930059,0.023350164,0.042972643,0.009569426,0.039926283,0.75560045,0.14999752,0.094402015
0.002345115,0.048044242,0.025369808,0.043054264,0.00962168,0.04008258,0.75512916,0.15020032,0.09467053
0.00047066808,0.047544755,0.024343178,0.043136187,0.009662343,0.04016606,0.7550188,0.15022,0.09476123
0.0018806756,0.04803864,0.02506201,0.04309383,0.0096382415,0.04012091,0.75505036,0.15023452,0.09471512
0.0007185042,0.047437347,0.024824545,0.042993806,0.009615316,0.04003312,0.7554298,0.14997396,0.094596304
0.00129655,0.04727427,0.025495216,0.042912316,0.00958994,0.039966144,0.7556212,0.14985572,0.094523154
0.00053337216,0.04692594,0.025044605,0.043020364,0.009633817,0.04007783,0.7553394,0.14999847,0.09466216
4.2945147e-05,0.047540344,0.024506018,0.04277936,0.009538515,0.039804906,0.7561686,0.14955124,0.094280116
