mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.002570212,-0.3739455,0.027116902,0.024275238,0.12222153,0.15370455,0.91258985,0.039024614,0.048385557
0.0004695058,-0.37120584,0.026175283,0.024644071,0.12312131,0.15473092,0.91179115,0.03942899,0.048779868
0.0032195002,-0.37510124,0.026306294,0.024067106,0.12173084,0.1530738,0.91319495,0.038787447,0.04801757
0.0071164668,-0.3830218,0.022595309,0.022761844,0.118543014,0.14908144,0.91697127,0.037224256,0.045804497
0.00872308,-0.38515648,0.024408378,0.022537876,0.11794724,0.14844523,0.9173811,0.03695803,0.045660853
0.006009087,-0.38287666,0.021385543,0.022726292,0.11844195,0.14891283,0.9172896,0.03712314,0.045587223
0.009352997,-0.38621768,0.024984129,0.02241452,0.11762094,0.14808877,0.9176591,0.036803626,0.045537353
0.010975197,-0.38613287,0.026147418,0.022486018,0.11783897,0.14841402,0.91714925,0.03700007,0.045850705
0.0074360073,-0.38006446,0.026795015,0.023370272,0.1200494,0.15107375,0.91478485,0.038051296,0.047163844
0.0075273216,-0.38159052,0.025047176,0.023071842,0.119314045,0.15009817,0.9158157,0.037654325,0.046530005
0.0060505867,-0.3818499,0.022965558,0.022937356,0.118962474,0.14957951,0.916549,0.03739837,0.04605261
0.007352054,-0.3829712,0.02522114,0.022876032,0.118779376,0.14947774,0.91644704,0.03734813,0.046204865
0.012302786,-0.3861777,0.02905485,0.022604305,0.11812079,0.14887479,0.9164473,0.037202094,0.046350673
0.009953678,-0.3825746,0.027074993,0.023029104,0.119230404,0.15009467,0.9155157,0.03771576,0.046768527
0.0090762675,-0.3824732,0.026969448,0.023030475,0.11920587,0.15003088,0.91565067,0.03765157,0.046697818
0.008765474,-0.37984082,0.030438662,0.023561703,0.12049554,0.15174192,0.9138202,0.038337715,0.047842123
0.012852132,-0.3825496,0.0329976,0.023294985,0.11986871,0.15110485,0.9139717,0.038173918,0.047854356
0.015904725,-0.38465074,0.038176693,0.023080457,0.11923489,0.1508312,0.9136561,0.038180247,0.04816365
0.015928283,-0.384025,0.0409017,0.023153804,0.11932676,0.1512843,0.91298765,0.038441792,0.04857059
0.014053613,-0.3804948,0.04112137,0.023720108,0.12075254,0.15286979,0.91154,0.039058503,0.04940153
0.005354658,-0.37190464,0.031570107,0.024791187,0.123524286,0.15529485,0.910426,0.03985154,0.04972247
-0.010504663,-0.36375114,0.017085575,0.025322363,0.12470806,0.15606555,0.91181177,0.039802644,0.048385616
-0.007269174,-0.3699918,0.02238866,0.024601381,0.122829534,0.15417708,0.91322446,0.038887322,0.047888257
-0.011745274,-0.36686316,0.012907244,0.024656478,0.12308694,0.15416409,0.91411144,0.038890198,0.04699836
-0.008344874,-0.3693566,0.018482566,0.024539458,0.12274504,0.1540522,0.9136931,0.038837716,0.04746923
-0.0023395866,-0.37461975,0.018108942,0.023765415,0.120975174,0.15195636,0.91524917,0.038167685,0.04658318
0.0024039298,-0.38082364,0.017171018,0.022839364,0.11873258,0.1491913,0.91756755,0.03715401,0.0452784
0.010652378,-0.3908145,0.019531712,0.021575209,0.11553255,0.14543378,0.92040944,0.03576796,0.04382264
0.017673016,-0.39906016,0.020627134,0.020554664,0.11290125,0.14229742,0.92279845,0.034646664,0.042554863
0.023709998,-0.4064764,0.022186354,0.019695178,0.110610716,0.13956474,0.92485166,0.033655394,0.041492954
0.021584794,-0.4023148,0.023951568,0.020267399,0.112132855,0.14144479,0.9231283,0.034374688,0.04249703
0.008919984,-0.38503185,0.023639567,0.022524098,0.11794121,0.14837417,0.9174508,0.036964815,0.045584407
0.009706005,-0.386027,0.025504425,0.022462284,0.11774868,0.14823455,0.9174472,0.03688309,0.045669645
0.0067861676,-0.37849155,0.029069513,0.023695137,0.12081126,0.15209045,0.9137281,0.03843046,0.04784142
0.0069950223,-0.37949547,0.026280917,0.023429537,0.12020483,0.15122832,0.914688,0.03811931,0.047192752
0.0058945864,-0.37987855,0.024967715,0.02330821,0.11988326,0.15076499,0.915299,0.03788784,0.04681317
0.009510115,-0.38140807,0.030684344,0.02334532,0.11994504,0.15111254,0.91438353,0.038066905,0.047549576
0.008204222,-0.3808953,0.025762305,0.02320858,0.1196806,0.15057182,0.9152512,0.03789157,0.046857256
0.0064192265,-0.38081565,0.025064327,0.023175891,0.11954952,0.15035644,0.91564727,0.03772522,0.046627555
0.0040637255,-0.3802916,0.021992877,0.023111062,0.119379975,0.15003407,0.9163178,0.03753836,0.04614383
0.00907512,-0.38345703,0.028839797,0.02296578,0.118975595,0.14988524,0.9157397,0.037517946,0.04674231
0.007255867,-0.37958905,0.026428677,0.02342595,0.12019961,0.15125458,0.91464347,0.038133997,0.047222532
0.0065674633,-0.37935552,0.026471585,0.023454582,0.12024978,0.15128322,0.9146617,0.03811845,0.047219895
0.006833717,-0.3818303,0.023912884,0.022984903,0.11909053,0.14977613,0.9162446,0.037501857,0.046253543
0.0075158924,-0.3819714,0.026401311,0.023071015,0.11927083,0.15011103,0.9157495,0.037620038,0.046630528
0.011221409,-0.38232306,0.031688534,0.023265267,0.11976641,0.15096006,0.91434276,0.03805036,0.047606885
0.0165378,-0.3879083,0.03138783,0.022477547,0.11786852,0.14864132,0.91618246,0.037248824,0.046568733
0.0130572915,-0.3839834,0.030407637,0.02297601,0.11910788,0.15003438,0.91512114,0.037767123,0.047111776
0.0090393275,-0.38024756,0.029445522,0.023456508,0.12026041,0.15135992,0.91419417,0.038217578,0.047588218
0.006570235,-0.37564233,0.03209894,0.024249889,0.12215888,0.15377595,0.91188014,0.039146695,0.04897315
0.007748738,-0.37904158,0.028583683,0.023594014,0.12059798,0.15175849,0.91396517,0.038356088,0.047678743
0.007045746,-0.37833855,0.029658325,0.023739798,0.120922774,0.15219294,0.9135479,0.038490627,0.047961548
0.008572593,-0.3783898,0.0318985,0.023839965,0.12117495,0.15261218,0.912893,0.03869597,0.048411023
0.00601846,-0.37418172,0.031204633,0.024436714,0.12264845,0.15434252,0.91140896,0.039403293,0.04918775
0.004107818,-0.3730274,0.029506795,0.02452641,0.12285804,0.15450571,0.91149443,0.039435323,0.04907021
0.011050448,-0.3802587,0.033988953,0.023663074,0.120742396,0.1521778,0.91300327,0.03856203,0.04843472
0.00979802,-0.38038674,0.028853893,0.023419734,0.12020806,0.15130153,0.9142217,0.038239192,0.047539134
0.011070415,-0.38073215,0.03365717,0.023575887,0.12052537,0.15187542,0.9133092,0.038437072,0.04825373
0.008876637,-0.37738058,0.031881392,0.023992566,0.12158497,0.15308076,0.91237754,0.038943898,0.048678588
0.009130642,-0.3784562,0.03199601,0.02383438,0.12117961,0.15258203,0.9128464,0.038720787,0.048432864
0.0056735724,-0.37476483,0.030487567,0.024309095,0.12232766,0.1538965,0.9119105,0.039205812,0.048883706
0.0052634627,-0.37436095,0.031130679,0.024397109,0.122519515,0.15416661,0.9116529,0.039289415,0.04905765
0.0025850236,-0.3744004,0.025461204,0.024127692,0.12189143,0.15316828,0.91316587,0.038842756,0.04799141
0.008038923,-0.37814704,0.033452846,0.023938695,0.1213654,0.15291671,0.9125706,0.03876361,0.04866583
0.0077412874,-0.37579486,0.031335182,0.024208587,0.12211854,0.15374295,0.91186124,0.039199434,0.048939373
0.007986635,-0.37910995,0.02817934,0.023569211,0.120555565,0.15168136,0.91403615,0.038342092,0.047621686
0.006361574,-0.37641016,0.030599862,0.024067504,0.12172341,0.15319473,0.9125597,0.038900953,0.04853938
0.009649053,-0.38027897,0.030703798,0.023512583,0.120391555,0.15161805,0.913845,0.038321823,0.047833223
0.014131919,-0.38277176,0.042354144,0.02339,0.11983939,0.1520202,0.9123689,0.038637344,0.048993792
0.011693656,-0.37960824,0.030682035,0.023624714,0.120765425,0.15202552,0.9132228,0.038633842,0.04814338
0.0104355365,-0.37846783,0.035221495,0.02397473,0.12150024,0.15306321,0.91207033,0.038933493,0.048996188
0.009062469,-0.37734845,0.032718368,0.024031024,0.12166767,0.15318531,0.9122007,0.038988706,0.048810586
0.006642282,-0.371806,0.03667772,0.02505005,0.124077566,0.15625814,0.9091212,0.040197548,0.050681178
0.007522598,-0.37535307,0.031727433,0.024284927,0.12229802,0.15390757,0.9116631,0.039275665,0.049061216
0.0073977113,-0.37580058,0.033138238,0.024274863,0.12222586,0.15387362,0.911644,0.03921019,0.049145848
0.0025725365,-0.37070152,0.030101664,0.024904013,0.1237492,0.15558314,0.910512,0.03985368,0.04963436
0.0009010732,-0.37027535,0.028888471,0.024905786,0.12372639,0.1555118,0.91080564,0.039762773,0.049431592
-0.0015349686,-0.36934164,0.025635354,0.024893384,0.12369889,0.15536156,0.9113488,0.0396528,0.048998296
0.0010960698,-0.37804702,0.019970685,0.023338545,0.11993288,0.1506093,0.9161046,0.03771052,0.046184827
-0.0017350018,-0.3743219,0.02142363,0.023941364,0.121362776,0.15242685,0.91451937,0.038363867,0.047116805
0.0027030557,-0.3789892,0.022292703,0.023313396,0.11985381,0.15069798,0.9158116,0.037746098,0.04644235
0.006230384,-0.38073936,0.025034823,0.023194242,0.11958823,0.15050687,0.9155668,0.03775668,0.046676558
