mu1,mu2,sigma1,sigma2,pi1,pi2
0.0044865087,0.016335668,0.18336129,0.14401777,0.4807554,0.5192446
0.004105516,0.014248261,0.18294652,0.14385945,0.4814114,0.51858866
0.005040176,0.015690716,0.18344638,0.14407067,0.48090395,0.519096
0.0046141073,0.015236637,0.18320468,0.14394146,0.48108652,0.51891345
0.0054061785,0.016583985,0.18414402,0.14461018,0.48050374,0.51949626
0.004908584,0.016570793,0.18440071,0.14490509,0.4805047,0.5194953
0.0048324987,0.016452407,0.18466964,0.14517601,0.4804953,0.5195047
0.004568003,0.015381502,0.18460467,0.14524445,0.4808071,0.5191929
0.00609418,0.019312555,0.1855849,0.14568672,0.47939396,0.52060604
0.0036960617,0.015740024,0.18492356,0.14564909,0.48066267,0.5193373
0.0042048767,0.014967097,0.18483557,0.145551,0.48088703,0.519113
0.004644178,0.014414186,0.18518561,0.14585547,0.4809763,0.51902366
0.004718922,0.0139060635,0.18488997,0.145609,0.4811671,0.51883286
0.005228348,0.014751097,0.18510479,0.14566086,0.4808899,0.5191101
0.004813902,0.013869556,0.18447697,0.14521098,0.48124665,0.51875335
0.005057879,0.014203215,0.18418214,0.14487003,0.4812015,0.51879853
0.005245097,0.015106278,0.18409528,0.1446859,0.48096314,0.5190369
0.0053728744,0.015914088,0.18436052,0.14485475,0.4806805,0.5193195
0.004747458,0.016743453,0.18342595,0.1440046,0.48062798,0.519372
0.0043440238,0.014856288,0.18341802,0.14421341,0.48115864,0.5188414
0.0045188144,0.0140556935,0.18326291,0.14410682,0.48140603,0.518594
0.0050989613,0.015364455,0.18346043,0.14409658,0.480999,0.519001
0.005930446,0.017936664,0.18441989,0.1447082,0.4800238,0.5199762
0.004040815,0.014632726,0.18380333,0.14463867,0.4811581,0.51884186
0.0050577596,0.01603605,0.18423578,0.14477849,0.4806695,0.51933056
0.004848756,0.01596115,0.1844283,0.14498833,0.48067293,0.5193271
0.004712574,0.015601011,0.18435617,0.14497171,0.48078692,0.51921314
0.004512571,0.014828036,0.18396828,0.14470367,0.48107034,0.51892966
0.004468702,0.01389231,0.18353494,0.14438207,0.4814053,0.5185947
0.005276598,0.015330536,0.18401098,0.14459161,0.48090288,0.5190971
0.0052121356,0.015608842,0.18443587,0.14496821,0.48076499,0.519235
0.0047424063,0.014328117,0.18405715,0.14479196,0.4811916,0.51880836
0.0045777485,0.0141893495,0.18302964,0.14386898,0.48140824,0.51859176
0.005076848,0.014638016,0.18339935,0.14410047,0.48121443,0.5187856
0.005250521,0.015902841,0.1834119,0.14398941,0.48084745,0.5191525
0.00473731,0.015279474,0.18317787,0.14389393,0.48107782,0.51892215
0.004697822,0.014924852,0.1829994,0.14376238,0.48120758,0.51879245
0.004788287,0.0147004705,0.18299662,0.1437641,0.48126945,0.5187306
0.005189799,0.015598973,0.18342096,0.1440267,0.48093936,0.5190606
0.004494585,0.01393299,0.18281029,0.14369786,0.48151818,0.5184818
0.0048312023,0.014463274,0.18249708,0.14331059,0.48142093,0.51857907
0.0052156225,0.015618535,0.18284862,0.14348894,0.4810295,0.5189705
0.004650779,0.013868419,0.18270355,0.14357938,0.4815528,0.5184472
0.0049840286,0.014254259,0.18255213,0.14335543,0.4814679,0.5185321
0.005386226,0.016121255,0.18263417,0.14323223,0.48090878,0.5190912
0.0049672797,0.016271127,0.18282278,0.14344668,0.48086056,0.51913947
0.0046664104,0.015456045,0.18283102,0.14356688,0.48108914,0.5189108
0.0047384873,0.01530618,0.18288109,0.14361468,0.48112142,0.51887864
0.004833676,0.015990792,0.18285511,0.14352013,0.48093444,0.51906556
0.005001642,0.016395232,0.18343127,0.14400451,0.48071197,0.51928806
0.0045488253,0.015116783,0.18341775,0.14416021,0.48108396,0.518916
0.005156122,0.016736569,0.18368027,0.14419846,0.48055172,0.5194483
0.004678525,0.015849235,0.18403287,0.1446547,0.48077348,0.51922655
0.0046124533,0.014873648,0.18405093,0.14476168,0.48104241,0.5189576
0.0048566684,0.015558669,0.18392536,0.14455044,0.4808707,0.5191293
0.0044856444,0.014243355,0.18355769,0.14437202,0.48130357,0.5186964
0.0049976334,0.01496877,0.18372227,0.14438722,0.481068,0.51893204
0.00499212,0.014994124,0.18380001,0.14445858,0.48104766,0.51895237
0.0050761625,0.015548801,0.18383971,0.1444373,0.48088565,0.5191143
0.0048137084,0.015269155,0.18359792,0.14427508,0.48100778,0.51899225
0.004769318,0.014591938,0.18356346,0.14430502,0.48120254,0.5187975
0.0052066073,0.016256882,0.18354335,0.1440958,0.48071775,0.5192823
0.0046787336,0.015630985,0.18347944,0.1441558,0.480929,0.51907104
0.004413374,0.013949746,0.18320605,0.14407869,0.48144636,0.5185536
0.0048533604,0.014544966,0.18305056,0.14381708,0.4813027,0.5186973
0.00530947,0.015716681,0.18353133,0.14410849,0.48087558,0.5191244
0.0047110096,0.014591472,0.18327126,0.14404121,0.48125342,0.51874655
0.005109273,0.015652651,0.18339162,0.14400554,0.48093325,0.51906675
0.004777722,0.015204554,0.18319714,0.14391178,0.48109487,0.5189051
0.0049934015,0.015901202,0.18336305,0.14397652,0.4808703,0.5191297
0.0047586784,0.015241882,0.18341672,0.14411665,0.4810471,0.51895297
0.0046735182,0.015151458,0.18307546,0.14381866,0.48113176,0.51886827
0.0046986714,0.014937187,0.18300039,0.14376211,0.48120394,0.518796
0.004759662,0.014212625,0.18312332,0.14392647,0.48138365,0.5186163
0.0051034316,0.014934493,0.18324211,0.14392544,0.48115873,0.5188413
0.005007811,0.015436353,0.18307605,0.14374445,0.4810487,0.5189513
0.0048813894,0.014991658,0.18315643,0.1438751,0.48115999,0.5188401
0.005160682,0.016182827,0.18327019,0.14384826,0.48079494,0.51920503
0.0048720166,0.016113384,0.18342659,0.14403726,0.48080173,0.5191983
0.0046904758,0.015928598,0.18333817,0.14399788,0.48087034,0.5191297
0.004276894,0.0139841605,0.18297252,0.1438788,0.48147845,0.5185216
0.00488057,0.014743594,0.18304493,0.14379142,0.4812481,0.51875186
0.004809387,0.014333775,0.18298435,0.14377922,0.4813733,0.51862675
0.0048022345,0.013527645,0.18284395,0.14371485,0.4816217,0.51837826
0.005011432,0.013700565,0.18259014,0.14343162,0.48161504,0.51838493
0.0054758266,0.015443305,0.1827451,0.14337014,0.4810877,0.5189123
0.004986994,0.014921455,0.18267469,0.14341515,0.48126116,0.5187388
0.005099751,0.015962804,0.1825873,0.14323185,0.4809854,0.5190146
0.004678108,0.015376428,0.18235773,0.14313017,0.48119268,0.51880735
0.004535444,0.014723269,0.18209319,0.14295827,0.4814216,0.5185784
0.0049645677,0.015309939,0.18249717,0.14322154,0.48118398,0.51881605
0.005153559,0.016385103,0.1828029,0.1434002,0.48081467,0.51918536
0.0045308396,0.01497717,0.18272443,0.14352724,0.48124215,0.5187578
0.004604988,0.013975458,0.18268377,0.14355929,0.48152694,0.518473
