mu1,mu2,sigma1,sigma2,pi1,pi2
0.01299899,0.0144548565,0.113789335,0.12096432,0.50862414,0.4913759
0.013333104,0.014174536,0.11366268,0.12089973,0.5088044,0.49119562
0.012265763,0.015326276,0.114316896,0.12133538,0.50804174,0.49195823
0.015049151,0.013404086,0.11593549,0.12352475,0.5088229,0.49117714
0.013480893,0.014976755,0.11606186,0.1233087,0.5079232,0.49207678
0.01662626,0.012358859,0.11615539,0.12404256,0.5093697,0.49063033
0.01292964,0.015709653,0.11614527,0.12325311,0.5075009,0.4924991
0.011412314,0.016395882,0.1157035,0.122555986,0.5071924,0.4928076
0.011435679,0.015769556,0.11475615,0.12165073,0.5077106,0.49228948
0.013290933,0.014292136,0.11524744,0.12252205,0.5084469,0.49155316
0.015733024,0.012658492,0.11571423,0.123453185,0.5092784,0.4907216
0.013462684,0.014850751,0.11563468,0.12287916,0.50807035,0.4919297
0.008780918,0.01824601,0.11528229,0.1216333,0.50622255,0.49377748
0.011257014,0.015455499,0.11482695,0.12173916,0.50786877,0.49213126
0.012093446,0.014859512,0.11492604,0.12199745,0.5081847,0.4918153
0.009073845,0.017128542,0.11408377,0.12055579,0.50706923,0.49293074
0.0061518163,0.018939033,0.11382242,0.1197793,0.5060996,0.49390042
0.002695194,0.020812705,0.113306,0.11868381,0.5051263,0.4948737
0.0023289532,0.02002211,0.11272656,0.11813903,0.50566506,0.4943349
0.0032896013,0.01856257,0.11198054,0.11763289,0.5066285,0.49337152
0.01268538,0.010931566,0.11197354,0.11943331,0.5108974,0.4891026
0.02893435,-0.00011275709,0.11369695,0.12421197,0.5167695,0.48323053
0.021869024,0.008860484,0.11467429,0.12346345,0.51160437,0.48839563
0.02793472,0.0047228485,0.115483694,0.12544724,0.51377666,0.48622337
0.019170156,0.013069585,0.115591794,0.12365434,0.50907266,0.49092734
0.016186913,0.015272036,0.116130576,0.12364164,0.5077517,0.49224827
0.015787682,0.01544787,0.11708109,0.12456311,0.5074975,0.49250248
0.012557737,0.017871276,0.118078984,0.12496366,0.5059551,0.49404493
0.011636934,0.017976359,0.11871671,0.12550658,0.50578153,0.4942185
0.01120194,0.017680302,0.119070955,0.12585624,0.50587666,0.49412334
0.011891774,0.016247347,0.11807663,0.12507094,0.50684476,0.49315527
0.015130482,0.012863889,0.11585463,0.1235101,0.5091352,0.49086484
0.013596377,0.014490858,0.11580844,0.12311347,0.50823736,0.4917626
0.010309807,0.01663281,0.11421808,0.12088038,0.50732654,0.49267343
0.012580327,0.014504328,0.11463061,0.121783845,0.50843805,0.49156195
0.014197878,0.013502136,0.1150236,0.12247619,0.50892925,0.49107075
0.008077136,0.018441632,0.114428416,0.1206595,0.50626457,0.49373546
0.012930295,0.01395233,0.11479677,0.122054376,0.5087136,0.49128646
0.014411948,0.013252929,0.1151467,0.122654594,0.5090453,0.49095476
0.017541906,0.011239901,0.11564156,0.123734005,0.51008546,0.48991457
0.009664617,0.017885104,0.11517147,0.121653706,0.5064332,0.49356678
0.011959366,0.0152070075,0.11460829,0.121616475,0.50805116,0.4919489
0.0122404015,0.0150270015,0.11470593,0.12176746,0.5081343,0.49186575
0.014727495,0.013261452,0.115452394,0.12300479,0.508987,0.49101296
0.012442193,0.015358046,0.1152074,0.12227063,0.5078617,0.49213833
0.006290755,0.019694403,0.11432742,0.12022819,0.50556934,0.49443066
0.006591788,0.018661514,0.11464838,0.120702825,0.50610286,0.49389717
0.009163908,0.015996113,0.11419927,0.12080805,0.507671,0.49232906
