mu1,mu2,sigma1,sigma2,pi1,pi2
0.03751302,-0.0036039278,0.46226966,0.27139154,0.37027642,0.62972355
0.034559865,-0.002178982,0.46246937,0.27206805,0.37048393,0.6295161
0.037796605,-0.0039026625,0.46194226,0.27110583,0.3702085,0.6297915
0.036319863,-0.0030928776,0.46223533,0.2715888,0.37034336,0.6296567
0.04127596,-0.005611282,0.46128106,0.2698405,0.3698147,0.6301853
0.04207981,-0.005973153,0.4610086,0.26933312,0.3696784,0.63032156
0.043084975,-0.006596081,0.46066847,0.26876438,0.3695238,0.6304762
0.04241654,-0.00624492,0.46055412,0.26873687,0.36956993,0.6304301
0.048330586,-0.0099902935,0.46015674,0.26721936,0.36892208,0.63107795
0.043761957,-0.00699123,0.46030098,0.2680324,0.3693535,0.6306465
0.043414537,-0.00694995,0.46011215,0.2680406,0.3693963,0.6306037
0.044353146,-0.0076689124,0.45962214,0.26735085,0.36922112,0.63077885
0.04296824,-0.006763622,0.45990357,0.26794675,0.36941516,0.63058484
0.04395541,-0.007405907,0.45985067,0.2677183,0.36931512,0.63068485
0.04102395,-0.00570618,0.46046585,0.26883516,0.3696898,0.6303102
0.040009577,-0.0051746294,0.46080273,0.26940805,0.36982518,0.6301749
0.040323447,-0.00528891,0.46094584,0.26952878,0.3698397,0.63016033
0.04211772,-0.0061209686,0.46065703,0.26893365,0.3696244,0.6303756
0.03811742,-0.0039315186,0.4621986,0.27126235,0.37023386,0.62976617
0.036953088,-0.0034195334,0.46197143,0.2711395,0.37024263,0.62975734
0.035834823,-0.002922371,0.4620175,0.2714156,0.37032276,0.62967724
0.037508797,-0.0037727393,0.46191275,0.2711108,0.37021723,0.62978274
0.04318956,-0.00655609,0.46121627,0.2694923,0.36962116,0.6303789
0.03835876,-0.004116144,0.46155083,0.27035132,0.37005815,0.6299418
0.041320723,-0.0056873113,0.46106374,0.26956248,0.36977243,0.63022757
0.04196326,-0.005990021,0.46084207,0.2691693,0.36966616,0.63033384
0.041502792,-0.0057812557,0.46087316,0.26925558,0.36971307,0.63028693
0.039500143,-0.004811205,0.4612194,0.2699255,0.3699408,0.6300592
0.037002873,-0.0035546087,0.46163514,0.2707918,0.37017265,0.6298274
0.039985348,-0.0051046126,0.46121642,0.26995087,0.3699285,0.6300715
0.041711036,-0.0059206523,0.46078494,0.26915738,0.3696858,0.6303142
0.03957768,-0.0048832335,0.46099007,0.26961982,0.36988053,0.6301195
0.03477138,-0.002340179,0.46236685,0.27197596,0.37045825,0.62954175
0.036601897,-0.003328491,0.4619573,0.27128246,0.37027478,0.6297252
0.03746092,-0.0036880672,0.46212268,0.27134198,0.37026355,0.6297364
0.035957437,-0.0028808303,0.46237135,0.27178466,0.37039104,0.629609
0.035026204,-0.0024231449,0.46251917,0.2721147,0.37047797,0.629522
0.03487647,-0.0023734085,0.4624835,0.2721138,0.370481,0.629519
0.037268903,-0.0036121607,0.46206835,0.27130908,0.3702623,0.6297377
0.033485014,-0.001643844,0.4626743,0.2724912,0.37059218,0.6294078
0.03252768,-0.001153294,0.46306974,0.27317235,0.37074408,0.62925595
0.034741674,-0.0022668876,0.46278977,0.27253455,0.370563,0.629437
0.032851677,-0.0013171397,0.4628342,0.27278295,0.3706641,0.6293359
0.03245962,-0.0011312179,0.46303183,0.27313977,0.3707396,0.6292604
0.034113903,-0.0018926598,0.46315175,0.27305683,0.3706788,0.62932116
0.034895074,-0.0022542104,0.4629674,0.27265257,0.37058416,0.62941587
0.034504075,-0.002086386,0.4628435,0.27254498,0.37057495,0.62942505
0.034735043,-0.002244942,0.4627142,0.27239102,0.37053818,0.6294619
0.035146292,-0.002431389,0.46278962,0.27243575,0.370535,0.62946504
0.037965234,-0.003902547,0.46213502,0.27125296,0.37023434,0.6297657
0.037042674,-0.0034620762,0.46201757,0.2711975,0.3702506,0.6297494
0.039468657,-0.0046731606,0.4618377,0.2707193,0.37007374,0.62992626
0.04022399,-0.005092904,0.46132758,0.26994047,0.3699047,0.63009536
0.039790753,-0.00496161,0.46115655,0.26980922,0.36991075,0.6300892
0.039744798,-0.004924804,0.46135238,0.27008998,0.36996388,0.6300361
0.037239116,-0.0036415309,0.46168464,0.27079594,0.37016794,0.6298321
0.038395684,-0.0042624474,0.46154666,0.2705371,0.37008455,0.6299155
0.03862847,-0.00436439,0.46150282,0.27042538,0.37005806,0.62994194
0.03910953,-0.0045828186,0.46153763,0.2703968,0.3700397,0.6299603
0.037869018,-0.0039142966,0.4618188,0.2708731,0.37016532,0.62983465
0.037289385,-0.0036560372,0.46177644,0.2709143,0.37018844,0.6298115
0.03844897,-0.004189886,0.4619656,0.271017,0.37017497,0.629825
0.037634928,-0.0037508532,0.46199894,0.27109918,0.3702156,0.6297844
0.03540029,-0.0026698038,0.46212956,0.27157518,0.3703663,0.6296337
0.03513467,-0.0025460944,0.46234563,0.27194482,0.37044066,0.6295594
0.03793857,-0.003967546,0.4619274,0.27105972,0.37019622,0.6298038
0.035907764,-0.0029001236,0.4621795,0.271565,0.3703506,0.62964946
0.037160095,-0.003543809,0.4621164,0.27137166,0.37027755,0.6297225
0.036017533,-0.0029281266,0.46232483,0.2717343,0.37037933,0.62962073
0.037238713,-0.0035572238,0.46217346,0.2714111,0.37028366,0.6297164
0.03704753,-0.003474366,0.46204445,0.27125296,0.37026003,0.62973994
0.035587225,-0.0027100593,0.462423,0.2719221,0.3704262,0.62957376
0.03514177,-0.0024955198,0.4624781,0.27206302,0.3704645,0.6295355
0.03514112,-0.0025479272,0.46226072,0.27181268,0.3704166,0.62958336
0.03605396,-0.0030117035,0.46220526,0.2716488,0.37035954,0.62964046
0.035601724,-0.0027141906,0.4624978,0.27203006,0.37044546,0.62955457
0.035632778,-0.0027449355,0.462368,0.2718525,0.37041163,0.62958837
0.037009086,-0.003417097,0.46234316,0.27165347,0.3703356,0.62966436
0.037606988,-0.0037123188,0.46215,0.2712942,0.370253,0.62974703
0.037218418,-0.0035139397,0.4622042,0.27140903,0.37028548,0.6297145
0.03444017,-0.0021467432,0.46241578,0.2720406,0.37048113,0.62951887
0.035273667,-0.0026131086,0.46236068,0.27195027,0.37043765,0.6295624
0.034617353,-0.0022667013,0.46243933,0.2721073,0.3704864,0.6295136
0.033370722,-0.0016532913,0.46255872,0.27242866,0.37058097,0.629419
0.032280657,-0.0010801218,0.4629106,0.27303144,0.3707235,0.6292765
0.03401873,-0.0019025914,0.46295142,0.27284896,0.37064132,0.62935865
0.033231515,-0.0014603809,0.46303868,0.27298558,0.37069172,0.6293083
0.033619594,-0.0016181283,0.46322566,0.2731768,0.37071648,0.62928355
0.03234153,-0.0009438023,0.4634291,0.2735609,0.37082532,0.6291747
0.030898828,-0.00022970885,0.4636344,0.27403048,0.37095225,0.62904775
0.033028994,-0.0013658628,0.46317822,0.27322954,0.3707414,0.62925863
0.03511544,-0.0023919195,0.46294406,0.27263764,0.37057358,0.6294264
0.033781473,-0.0017258935,0.46290645,0.2727143,0.3706269,0.6293731
0.033009026,-0.0014131404,0.46280736,0.27275294,0.3706532,0.62934685
0.03226644,-0.0010723807,0.46287712,0.2729806,0.37071478,0.6292852
0.03199553,-0.00087764114,0.46325245,0.2734902,0.3708176,0.6291824
0.03274473,-0.0012208372,0.46321738,0.2733133,0.37076506,0.62923497
0.034264643,-0.0019356571,0.46318203,0.2730382,0.37067258,0.6293274
0.03892916,-0.004234843,0.46247935,0.27153367,0.37022525,0.62977475
0.039840024,-0.004725173,0.4618856,0.2706059,0.37002254,0.6299775
0.040370766,-0.0050631203,0.46158493,0.27021217,0.36992955,0.63007045
0.037418168,-0.0036499575,0.4618861,0.27096033,0.37019643,0.62980354
0.038985144,-0.004537329,0.4615066,0.2703875,0.3700409,0.6299591
0.03999542,-0.005093351,0.46111572,0.26977202,0.36989647,0.6301036
0.042956185,-0.0065918043,0.46056622,0.2687456,0.36953503,0.630465
0.0411844,-0.0057123043,0.46060804,0.26895595,0.36969525,0.63030475
0.041346077,-0.00582074,0.46063796,0.2690405,0.3696983,0.6303017
0.040634822,-0.0054414123,0.46086746,0.26938674,0.36980027,0.63019973
0.038495664,-0.004259065,0.46165735,0.27061382,0.37009814,0.6299018
0.03768548,-0.003826499,0.46185684,0.27095518,0.37018546,0.6298145
0.034895834,-0.0024101175,0.46226764,0.27182427,0.37042674,0.6295733
0.034743313,-0.0023907162,0.46220446,0.2718304,0.37042955,0.6295704
0.035460886,-0.002716761,0.46232808,0.27189738,0.37042204,0.629578
0.0340642,-0.0019641258,0.4625931,0.27235687,0.3705492,0.6294508
0.033779528,-0.0017559379,0.463,0.27290526,0.37065992,0.6293401
0.03521755,-0.0024765655,0.46273813,0.2723648,0.37051958,0.6294804
0.034995344,-0.0023490265,0.46275708,0.27239043,0.37053165,0.6294684
0.032677244,-0.0011889264,0.46302706,0.27303174,0.37071618,0.6292838
0.032599058,-0.0011626408,0.46316576,0.27327153,0.37076113,0.6292389
0.032756757,-0.0012209713,0.46321446,0.27329856,0.37076232,0.6292377
0.033599738,-0.0016747043,0.46292982,0.2728292,0.3706511,0.62934893
0.03429346,-0.0020445623,0.46274126,0.27250764,0.37057135,0.6294287
0.03285033,-0.0012946203,0.4630092,0.27301687,0.37070742,0.6292926
0.03349703,-0.0016405135,0.4629133,0.2728407,0.37065536,0.62934464
0.03437758,-0.0020480156,0.46293387,0.27273405,0.3706116,0.6293884
0.03425062,-0.0019437186,0.46302688,0.27282566,0.37063393,0.6293661
0.035809863,-0.0027323365,0.4628032,0.272343,0.3705001,0.6294999
0.036546607,-0.0031557083,0.46236533,0.27168676,0.37035683,0.62964314
0.03723071,-0.0035434552,0.46214676,0.27135617,0.3702744,0.6297256
0.04011133,-0.004966952,0.4617257,0.27049068,0.36999205,0.6300079
0.03931504,-0.0046222582,0.46156228,0.27031717,0.37002224,0.62997776
0.040560696,-0.0052736513,0.46129262,0.2698966,0.36987495,0.63012505
0.04071549,-0.0054109544,0.46100438,0.2695108,0.3698089,0.6301911
0.039941106,-0.0050806813,0.46099907,0.2696225,0.3698701,0.6301299
0.039861728,-0.0050377287,0.46112356,0.2698142,0.36990756,0.63009244
0.03865386,-0.004411131,0.46131316,0.27018672,0.37001225,0.6299878
0.038133357,-0.00411867,0.46158984,0.2706094,0.3701061,0.62989396
0.03631341,-0.0031858385,0.46184346,0.27114022,0.37025747,0.6297425
0.03682078,-0.0034335256,0.46194613,0.2712371,0.37026033,0.6297397
0.03392337,-0.0018791929,0.46264988,0.2724353,0.37056825,0.6294317
0.033051964,-0.001444146,0.462833,0.2728026,0.3706604,0.6293396
0.036260154,-0.0030097216,0.46271724,0.2722475,0.37046692,0.6295331
0.037671436,-0.003672,0.4624374,0.27161416,0.37031263,0.6296874
0.039134804,-0.0044285506,0.46200222,0.2708826,0.3701176,0.62988245
0.03977583,-0.0047726855,0.46175075,0.27049878,0.37001547,0.62998456
0.0411239,-0.0054807663,0.46131676,0.26982462,0.36981988,0.6301802
0.03984597,-0.004946135,0.46126038,0.26989558,0.36992696,0.6300731
0.039196227,-0.004707556,0.4610999,0.26984778,0.36993328,0.63006675
0.04068939,-0.0054534525,0.46101207,0.26960072,0.36982766,0.6301723
0.039235834,-0.004742611,0.46100253,0.26971948,0.36990798,0.630092
0.0386795,-0.004506048,0.46102485,0.26987165,0.36995012,0.6300499
