mu1,mu2,sigma1,sigma2,pi1,pi2
0.002026856,0.17342867,0.3382059,0.4539617,0.76011896,0.23988107
0.0020393208,0.17327096,0.3382672,0.4540132,0.7601015,0.23989853
0.001954496,0.17343156,0.3381687,0.45394593,0.7601543,0.23984571
0.002480328,0.17318691,0.3384504,0.4540586,0.75993526,0.24006473
0.0023773164,0.17349474,0.3382933,0.453944,0.760006,0.23999399
0.002832979,0.17308728,0.33861813,0.45411557,0.75979203,0.240208
0.0023891702,0.17365097,0.33823258,0.45388508,0.7600214,0.23997863
0.0019110143,0.17369936,0.3380401,0.45383963,0.7602056,0.2397944
0.0017214715,0.1735246,0.33804858,0.45389998,0.7602508,0.23974924
0.0020433366,0.17332153,0.33824837,0.45399493,0.7601058,0.23989421
0.0025841817,0.17313056,0.33852082,0.45409614,0.75988173,0.2401183
0.0023634732,0.17351405,0.33828706,0.45394313,0.76000816,0.2399919
0.0014808923,0.17398794,0.337778,0.45371887,0.7603919,0.23960811
0.0015324056,0.17349504,0.33799717,0.45390534,0.76031387,0.23968616
0.0017519742,0.17344691,0.33810306,0.4539433,0.7602205,0.23977947
0.0012539923,0.17379247,0.33779258,0.45379663,0.76043946,0.23956056
0.0005758703,0.17404355,0.3374512,0.45367002,0.7607178,0.2392822
-0.00026863068,0.17431961,0.33704796,0.45353323,0.76105434,0.2389457
-0.0006554872,0.1741942,0.33697483,0.45357406,0.761171,0.23882906
-0.0006532967,0.173995,0.33707386,0.4536668,0.76113236,0.23886766
0.00092899054,0.17289339,0.33809093,0.4541659,0.760413,0.23958693
0.004331149,0.17137508,0.3399111,0.45489407,0.75898546,0.24101457
0.0043362007,0.17295565,0.33925086,0.45428795,0.75918597,0.24081405
0.0052459836,0.17209224,0.33987322,0.45459792,0.7587907,0.24120931
0.0043247193,0.17317422,0.33907846,0.4541219,0.75928044,0.24071956
0.0035165548,0.17327942,0.3387209,0.4540128,0.7596131,0.24038687
0.0032681897,0.17322557,0.33865035,0.45401573,0.7597016,0.24029832
0.0027252138,0.1737143,0.338296,0.45381105,0.7599612,0.24003886
0.0023290217,0.17394648,0.3380969,0.45372972,0.76011664,0.23988335
0.0020652935,0.17413752,0.33795542,0.45367485,0.7602141,0.23978595
0.0019180551,0.17411385,0.33793995,0.45370764,0.76024115,0.23975885
0.0023966432,0.17319573,0.33843166,0.4540667,0.75995535,0.24004468
0.002298206,0.17354451,0.33826467,0.4539359,0.76003104,0.23996897
0.0015996546,0.17374478,0.33792746,0.45382434,0.7603123,0.23968765
0.0018070191,0.17336439,0.33814982,0.45396996,0.7601956,0.23980437
0.0022048429,0.17324416,0.33834305,0.45403808,0.7600324,0.23996761
0.001305744,0.17398985,0.3377248,0.45371962,0.76044875,0.2395513
0.0017700195,0.17326622,0.33817804,0.45400614,0.7601964,0.23980364
0.0022472441,0.17323633,0.3383667,0.45404896,0.76001143,0.23998857
0.0029272735,0.17297833,0.3387099,0.45417565,0.759733,0.24026701
0.001880914,0.17397572,0.3379311,0.4537503,0.76023823,0.23976178
0.0017516166,0.17346133,0.33808482,0.45392475,0.7602323,0.23976766
0.0018473417,0.17342953,0.33813637,0.45394638,0.76018953,0.23981045
0.0023383126,0.17320429,0.33840296,0.4540557,0.7599815,0.2400185
0.0020935237,0.17356338,0.33817345,0.4539136,0.7601115,0.23988847
0.00097595155,0.17413037,0.33754686,0.4536465,0.7605899,0.23941012
0.00059740245,0.17397927,0.3374741,0.45368353,0.76071095,0.23928902
0.0008843094,0.17359228,0.3377477,0.4538576,0.7605476,0.2394524
0.0013688356,0.17338853,0.3380139,0.45397016,0.7603359,0.23966414
0.0011198819,0.17367516,0.33781374,0.453856,0.76045775,0.23954226
0.0015651435,0.1733511,0.33809477,0.4539897,0.7602624,0.23973756
0.0015642345,0.17353313,0.33802092,0.45392257,0.760284,0.23971598
0.0010715723,0.17381077,0.33772987,0.45379066,0.7605011,0.23949891
0.000994429,0.17356096,0.33780146,0.45387697,0.7605018,0.23949823
0.0013393834,0.17334472,0.33801273,0.45397586,0.76034844,0.2396516
0.0006245971,0.17407738,0.33746427,0.45367014,0.7606962,0.23930387
0.0012169108,0.17334218,0.33796948,0.4539697,0.76039386,0.23960617
0.0007525459,0.17394488,0.33757138,0.4537344,0.7606269,0.2393731
0.00083990395,0.17358066,0.3377484,0.4538722,0.76055306,0.23944694
0.0009535104,0.17361869,0.33777642,0.4538672,0.76051325,0.23948677
0.0012785941,0.17338125,0.33798838,0.45397204,0.76036537,0.23963465
0.0012763664,0.1735367,0.33792287,0.4539125,0.76038593,0.23961411
0.0022128224,0.17293976,0.33848867,0.45417184,0.7599779,0.24002212
0.0010868311,0.17412452,0.337609,0.45367616,0.76053184,0.23946819
0.00082051754,0.17367159,0.33768746,0.45381916,0.76058483,0.23941518
0.0014402792,0.17331703,0.3380544,0.45398545,0.7603124,0.2396876
0.0013104975,0.17360877,0.337898,0.4538793,0.76038814,0.23961186
0.0011492446,0.17370434,0.3377986,0.45383194,0.76046157,0.23953843
-0.00049930066,0.1746959,0.33681843,0.45338672,0.7611799,0.2388201
0.00054792315,0.17324404,0.33777833,0.45397902,0.76062304,0.23937696
0.0005015284,0.1738277,0.33754665,0.45378304,0.7606918,0.23930824
0.00083464384,0.17351104,0.3377905,0.45391452,0.760534,0.23946601
0.00029987842,0.1739061,0.33744395,0.4537443,0.7607747,0.23922531
0.00090384483,0.17337255,0.33786488,0.4539626,0.76049733,0.23950265
0.0009390041,0.17363568,0.3377738,0.45387018,0.760513,0.23948705
0.0014224797,0.17321719,0.33810928,0.45404378,0.7602903,0.23970968
0.0017951429,0.17322426,0.33823314,0.45405394,0.76015854,0.23984145
0.0023710132,0.17299308,0.33852035,0.454157,0.75992817,0.24007176
0.0034098625,0.17274393,0.33897483,0.45428494,0.75952893,0.24047105
0.0033951104,0.17307092,0.3388279,0.45415366,0.7595802,0.24041982
0.002947718,0.17339565,0.33851972,0.45399216,0.7597975,0.24020252
0.002148725,0.17370857,0.33810216,0.45382842,0.7601343,0.23986574
0.001903832,0.17362364,0.33804968,0.45384753,0.7602144,0.23978564
0.0022693127,0.17327093,0.33833387,0.45400882,0.76002896,0.23997106
0.002058141,0.17365853,0.3381117,0.45386517,0.76014435,0.23985565
0.0019327179,0.1735916,0.3380984,0.45388794,0.7601793,0.2398207
0.0022681504,0.1733316,0.33832723,0.45400587,0.7600217,0.23997833
0.0022268593,0.17348115,0.3382562,0.45395297,0.760051,0.23994896
0.0013586581,0.17391814,0.33777204,0.45374823,0.7604212,0.23957875
0.00073608756,0.17391877,0.33755025,0.45371565,0.7606509,0.23934913
0.002376005,0.17260642,0.3386673,0.4542881,0.75989026,0.24010976
0.0028545707,0.17315196,0.3386236,0.45411828,0.75977224,0.24022779
0.0024715662,0.17353271,0.33832154,0.45394564,0.75996757,0.24003246
0.0024044663,0.17333548,0.33836794,0.4540048,0.75997686,0.2400231
0.003104493,0.1728984,0.33878854,0.45419636,0.7596719,0.2403281
0.0026628524,0.17353149,0.33837363,0.45393836,0.75991017,0.24008982
0.002136901,0.17359264,0.3381558,0.4538824,0.7601161,0.23988388
0.0020688921,0.17344166,0.33819386,0.45393583,0.7601226,0.23987743
0.0021792501,0.1734608,0.33822966,0.45393896,0.7600807,0.2399193
0.0023310408,0.17349304,0.33828112,0.45394024,0.7600252,0.23997477
0.0020047799,0.17359732,0.338125,0.45389313,0.7601508,0.23984927
0.0018159747,0.173568,0.33807012,0.45389467,0.7602166,0.23978344
0.0021322295,0.17332385,0.33828214,0.45400184,0.7600708,0.23992923
0.001622498,0.17380415,0.33791116,0.4538031,0.76031125,0.23968874
0.0015870929,0.17347394,0.3380324,0.4539236,0.7602853,0.23971467
0.0019486547,0.17330776,0.33823034,0.45400587,0.76013094,0.2398691
0.001839675,0.17356767,0.3380878,0.45390573,0.76020044,0.23979956
0.0014421046,0.17374574,0.33787367,0.45381865,0.76036847,0.23963152
0.0018531457,0.17328088,0.33820775,0.45401144,0.76016253,0.23983748
0.0016795173,0.17359067,0.33802542,0.4538931,0.76025903,0.23974097
0.0018358678,0.1733977,0.33815548,0.45396858,0.76018167,0.23981832
0.0020283908,0.17336439,0.33823717,0.45399055,0.7601069,0.239893
0.0015478581,0.17371948,0.3379229,0.4538349,0.76032555,0.23967443
0.00093740225,0.17394803,0.33761132,0.45371664,0.7605791,0.23942094
0.0012452826,0.1734622,0.33792156,0.45391667,0.7604052,0.23959486
0.0016166419,0.1733597,0.3381039,0.45398313,0.7602491,0.2397509
0.0015240163,0.17359214,0.3379779,0.4538935,0.7603097,0.23969032
0.0015397966,0.17355193,0.33799595,0.45390505,0.7603023,0.23969768
0.0015720725,0.1734835,0.33803546,0.45393246,0.7602821,0.23971796
0.0018595085,0.17333679,0.3381946,0.4539988,0.760161,0.23983908
0.0017668903,0.17349969,0.33809468,0.4539327,0.76021504,0.23978499
0.001910381,0.17332147,0.33821335,0.45400116,0.7601448,0.23985514
0.0018690526,0.17347823,0.33813235,0.45393807,0.7601808,0.23981921
0.0016687661,0.17363928,0.33799303,0.45386508,0.7602759,0.23972411
0.0016634017,0.17351137,0.33804438,0.4539137,0.76026165,0.23973837
0.0018753409,0.17336313,0.33818245,0.4539823,0.76016396,0.23983607
0.0020749643,0.1733573,0.33825576,0.45399463,0.7600897,0.23991032
0.0022810996,0.17330296,0.33834866,0.45402268,0.7600093,0.23999071
0.0021836236,0.17345963,0.33824754,0.45395654,0.7600661,0.23993394
0.0019381493,0.17354192,0.33812392,0.4539104,0.7601686,0.23983136
0.002038367,0.17338882,0.3382198,0.45397022,0.76011515,0.23988482
0.0020926446,0.17339541,0.33823833,0.45397255,0.7600944,0.23990561
0.0019438565,0.17353,0.33813092,0.45391518,0.76016504,0.23983498
0.0019169673,0.17350249,0.338132,0.4539235,0.7601721,0.23982787
0.00164707,0.17367809,0.33796793,0.4538479,0.7602898,0.23971021
0.0010470152,0.17392944,0.33765724,0.4537286,0.7605369,0.23946309
0.00040650368,0.17406617,0.33738142,0.45365244,0.7607832,0.2392168
0.0008042604,0.17350511,0.3377586,0.4538901,0.7605636,0.23943643
0.0009901375,0.17360438,0.33779567,0.45387486,0.7604977,0.23950231
0.0009876341,0.17366718,0.33777103,0.4538532,0.7605047,0.23949532
0.0010086447,0.17360912,0.33780155,0.45387533,0.7604904,0.23950955
0.0015067607,0.1732669,0.33811462,0.45402485,0.7602688,0.2397312
0.0016025901,0.1734326,0.33807883,0.45396546,0.7602553,0.23974478
0.0013985038,0.17355914,0.33794805,0.45390078,0.76035094,0.23964907
0.0015933737,0.17334674,0.33809677,0.45398238,0.76025945,0.23974052
0.0023714155,0.17298667,0.33851475,0.4541506,0.75993407,0.24006596
0.0023209602,0.17344032,0.33830917,0.45397604,0.76000917,0.23999083
0.0016909093,0.1737472,0.33795473,0.4538236,0.76028246,0.23971754
0.0022612363,0.17309941,0.3384149,0.45408723,0.76000005,0.23999992
0.0024905205,0.17327864,0.33842704,0.45403612,0.75993395,0.24006598
0.0021537542,0.17358907,0.33817837,0.4539007,0.76009727,0.23990278
0.0021321252,0.17340206,0.33824384,0.45396596,0.76008534,0.23991466
0.0019243956,0.1735758,0.33810157,0.45389313,0.7601807,0.23981929
0.0016260371,0.17370729,0.33794382,0.45383084,0.76030487,0.23969512
0.0014806911,0.17366163,0.33791566,0.45384556,0.76034904,0.23965098
0.0011912659,0.17372866,0.33779386,0.45381472,0.76045686,0.23954315
0.001045242,0.17372017,0.33775,0.45381513,0.760506,0.23949409
0.0009702742,0.17376642,0.33770955,0.4537995,0.760535,0.23946501
0.0012609363,0.17345117,0.3379466,0.45393762,0.76038593,0.23961411
0.0017199218,0.17327254,0.33818412,0.45402944,0.7601942,0.23980588
0.0017869622,0.17344551,0.33813414,0.45396477,0.7601929,0.23980711
0.0016771257,0.17349257,0.33806935,0.45393473,0.76024425,0.23975573
0.0014446974,0.17360495,0.33793643,0.45387614,0.760347,0.23965304
0.0017828494,0.1732925,0.3381799,0.45400557,0.7601883,0.23981172
0.0015555322,0.17361973,0.3379686,0.45387495,0.7603089,0.23969108
0.0016847551,0.17343222,0.33808723,0.45394742,0.7602419,0.23975812
0.0019421726,0.17336003,0.33820876,0.45398825,0.76013786,0.23986213
0.0017925203,0.17359318,0.33806115,0.45389432,0.76022047,0.23977952
0.0014895573,0.1736836,0.3379161,0.45384452,0.7603433,0.23965667
0.0016663373,0.17340134,0.33809403,0.4539589,0.76024437,0.23975566
0.0016635358,0.17351179,0.338051,0.45392066,0.76025623,0.23974381
0.0016602874,0.17350744,0.33805063,0.45392117,0.76025766,0.23974235
0.0016065687,0.17356975,0.33800605,0.4538951,0.76028496,0.23971502
0.002418518,0.17296232,0.33853942,0.45415992,0.7599154,0.24008459
0.0027239025,0.17319249,0.33855295,0.45408836,0.7598314,0.2401686
0.004006788,0.17240529,0.3393154,0.4544307,0.7592764,0.24072361
0.0036571175,0.17323537,0.338845,0.45409614,0.7595106,0.24048947
0.0024560243,0.17382972,0.3381593,0.4537961,0.7600377,0.23996228
0.0030362308,0.17294325,0.33871734,0.45414567,0.7597256,0.2402744
0.0028950348,0.17338355,0.33849898,0.45398664,0.7598211,0.24017894
0.0030849278,0.17317884,0.33864853,0.454071,0.7597278,0.24027221
0.0026969537,0.17358114,0.33835122,0.45390633,0.7599151,0.24008486
0.002194181,0.17375647,0.33810335,0.45381778,0.76011956,0.23988044
0.0016854554,0.17381476,0.3379087,0.45378056,0.760306,0.23969404
0.0013784468,0.17382659,0.3378113,0.4537724,0.76041204,0.23958795
0.0011344627,0.17370288,0.3377824,0.45381948,0.7604761,0.23952386
0.0010827854,0.17368059,0.33778,0.4538324,0.76048696,0.23951302
0.0015211701,0.17345946,0.33802855,0.45394027,0.7602968,0.23970318
0.002444476,0.1729305,0.33857512,0.45418745,0.75989115,0.24010883
0.0017610192,0.17381872,0.33797053,0.45382187,0.760249,0.23975101
0.0022418648,0.17305551,0.33843672,0.45411417,0.7599932,0.24000679
0.0023511052,0.1732878,0.33837947,0.45403165,0.7599819,0.2400181
0.0022000298,0.17342083,0.33826432,0.45396668,0.76005936,0.23994066
0.002230294,0.17336129,0.33829415,0.45398486,0.76004523,0.23995474
0.0021681786,0.1734523,0.33823484,0.45394766,0.7600792,0.23992085
0.0024932325,0.17323352,0.3384382,0.45404434,0.75993425,0.24006572
0.002522193,0.17340137,0.3383818,0.4539851,0.7599423,0.24005768
0.0018891841,0.17379515,0.33799767,0.45380744,0.7602216,0.23977844
0.0018443614,0.17344128,0.33812618,0.4539373,0.76019555,0.23980446
0.0015549362,0.17376198,0.33789802,0.4538086,0.7603362,0.23966375
0.0016994029,0.17343591,0.3380865,0.45394215,0.76024055,0.23975949
0.0013963729,0.17373858,0.33786285,0.4538216,0.7603824,0.2396176
0.0010122508,0.17384265,0.33768648,0.4537659,0.7605343,0.23946576
0.0008787364,0.17375071,0.33768177,0.4537989,0.76056814,0.23943183
0.0016268492,0.17320971,0.33817136,0.4540424,0.76022524,0.23977475
0.0010953695,0.17386357,0.33772463,0.45378053,0.76049227,0.23950766
0.0027243271,0.17247187,0.33885652,0.45436695,0.75973743,0.24026261
0.0024815649,0.17349993,0.33835357,0.45397443,0.75994766,0.24005231
0.0016570315,0.17379154,0.3379267,0.45380756,0.76029855,0.23970142
0.0017746836,0.17339475,0.33812213,0.4539529,0.7602142,0.23978578
-0.00040495396,0.17489408,0.33675352,0.45329878,0.7611833,0.23881668
-0.00010807067,0.17369355,0.33734655,0.45376086,0.760931,0.23906896
-0.0003252551,0.17414053,0.3371164,0.45361382,0.76104105,0.23895895
7.4245036e-05,0.17374022,0.3374317,0.4537949,0.7608376,0.23916245
0.0005118847,0.17357142,0.3376668,0.45389208,0.7606474,0.2393526
0.0009097755,0.17358239,0.33781108,0.45390743,0.76050425,0.2394958
0.00066260993,0.1736479,0.33768514,0.4538669,0.76060444,0.23939559
0.001143083,0.17323352,0.33801043,0.45403087,0.76038945,0.23961054
0.0008617714,0.1736878,0.33772105,0.45384252,0.760551,0.23944907
0.0009575039,0.17339046,0.337867,0.45394838,0.76048756,0.23951241
0.0007310584,0.1738538,0.33759412,0.45376015,0.76062936,0.23937063
0.0006465167,0.17369242,0.33763131,0.45381755,0.76063997,0.23936005
0.0006638095,0.17373855,0.33762258,0.4538054,0.7606359,0.23936406
-0.00034323335,0.17436643,0.337019,0.45352957,0.761074,0.23892601
-0.00019136071,0.17376517,0.33731925,0.45376348,0.7609448,0.2390552
-3.9443374e-05,0.17376281,0.33738688,0.45378572,0.7608783,0.23912172
0.0015333891,0.1728081,0.3383311,0.45421863,0.76018786,0.23981217
0.0020190775,0.17315526,0.33836237,0.4541141,0.7600504,0.23994963
0.0021400452,0.17325877,0.33834305,0.45406026,0.7600345,0.2399655
0.0013070554,0.17382203,0.3378051,0.4537944,0.7604189,0.23958117
0.0015542433,0.17330466,0.33809006,0.4539854,0.7602769,0.23972306
0.0020502955,0.17314653,0.338332,0.45407093,0.7600743,0.23992571
0.0020630062,0.17337032,0.33824444,0.4539873,0.7600971,0.23990288
0.0019940957,0.17353715,0.33814535,0.45391458,0.7601478,0.23985218
0.001774624,0.17364399,0.33802447,0.45386425,0.7602409,0.23975912
0.0018925667,0.17350839,0.3381228,0.4539221,0.76018023,0.23981974
0.0016378313,0.17360707,0.3379998,0.45388037,0.7602797,0.23972028
0.0013822764,0.17365433,0.3378906,0.4538507,0.7603788,0.23962122
0.00041989982,0.17417131,0.3373443,0.45361495,0.7607901,0.23920992
-0.00025031716,0.17425318,0.337078,0.45355523,0.7610425,0.23895752
0.00032890588,0.17355292,0.33758122,0.45385942,0.76073545,0.23926456
0.0010240376,0.17335026,0.33792466,0.45398566,0.7604439,0.2395561
0.0012273043,0.17349716,0.33793795,0.45394227,0.76038593,0.2396141
0.0011133999,0.1736186,0.3378408,0.45388347,0.7604482,0.23955177
0.0010914579,0.17356665,0.3378465,0.4538935,0.7604563,0.23954369
0.0011535138,0.17347689,0.33790123,0.45392603,0.76042587,0.23957415
0.0017051026,0.17314689,0.33822605,0.4540712,0.7601878,0.2398122
0.0021476746,0.17311804,0.33839023,0.4540994,0.7600253,0.2399747
0.002209738,0.17335938,0.3383045,0.4540025,0.760039,0.23996106
0.0026844814,0.1731212,0.33855912,0.4541034,0.75984466,0.2401554
0.0023361295,0.17353334,0.33826634,0.45393115,0.76002306,0.23997696
0.0021146387,0.17346178,0.33821094,0.45394033,0.76010084,0.23989917
0.0024010986,0.17321153,0.338413,0.45404625,0.7599668,0.24003324
0.0023054779,0.17345868,0.3382803,0.45395154,0.7600299,0.23997009
0.002118729,0.17354234,0.33817905,0.45391005,0.76010936,0.2398906
0.0019315556,0.17360727,0.33808842,0.4538787,0.7601842,0.23981576
0.002347514,0.17321606,0.33839822,0.45404842,0.7599821,0.24001789
0.0019299537,0.17368715,0.33806422,0.45385838,0.76018715,0.23981285
0.0016495809,0.17365845,0.3379741,0.45385242,0.7602888,0.23971124
0.0016057044,0.17352746,0.33801603,0.45390338,0.76028585,0.23971412
0.0011664778,0.17385127,0.33773363,0.45376617,0.76048183,0.23951817
0.0010632575,0.17370711,0.33775893,0.45381802,0.76049995,0.23950003
0.000798434,0.17381217,0.3376313,0.4537751,0.7606026,0.2393974
0.00041419268,0.17394502,0.33744708,0.45371258,0.7607548,0.23924519
0.00056708604,0.17367102,0.3376176,0.45382762,0.76066196,0.23933807
0.0016204864,0.17306475,0.33824155,0.45411035,0.7601994,0.23980059
0.0018314496,0.1733327,0.33820957,0.45402372,0.76015186,0.2398481
0.0021875352,0.17317446,0.33838603,0.45408532,0.7600136,0.2399864
0.0014311522,0.17383839,0.33784032,0.45379242,0.7603768,0.23962319
0.0025554001,0.172697,0.33868974,0.4542587,0.7598386,0.24016145
0.0037335753,0.17254592,0.33916762,0.45437178,0.75938845,0.24061155
0.0030794516,0.17348026,0.33854467,0.4539808,0.7597488,0.24025118
0.002644837,0.17345144,0.3383841,0.45395038,0.75992006,0.24007997
0.0019285232,0.17384367,0.33796993,0.45376801,0.7602307,0.23976931
0.0018704161,0.17357163,0.33806565,0.45387223,0.76021504,0.23978493
0.0024191886,0.17315136,0.33844405,0.45406973,0.7599528,0.2400472
0.002431959,0.17343788,0.33833927,0.45397162,0.7599763,0.2400237
0.0024442822,0.17338,0.33836553,0.45399195,0.75996625,0.24003378
0.0014717132,0.17414884,0.33770823,0.45365742,0.7604153,0.23958468
0.0019155741,0.17324023,0.33823633,0.454019,0.76014286,0.23985714
0.0018662959,0.17345192,0.3381448,0.4539506,0.7601765,0.23982355
0.001565285,0.1736647,0.33794892,0.4538535,0.76031464,0.23968537
0.0015373155,0.17354457,0.33798727,0.45389628,0.76031107,0.23968895
0.0015250891,0.17361818,0.33795586,0.4538713,0.760322,0.23967801
0.0012530088,0.17376761,0.33780316,0.45380676,0.7604362,0.23956382
