mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.009833194,0.007913247,-0.019068122,0.045249164,0.020120809,0.08869171,0.052875802,0.92141414,0.025710054
0.0065925494,0.007868953,-0.017758965,0.04526113,0.020196944,0.088624425,0.05288458,0.92155063,0.025564775
0.005783148,0.0076595545,-0.017351747,0.045323435,0.020258864,0.08867179,0.0529478,0.9215008,0.025551414
0.0067389384,0.007841952,-0.017827809,0.04521148,0.020169511,0.08851931,0.052847974,0.9216156,0.025536392
0.005935706,0.007982016,-0.017635167,0.045066558,0.02009797,0.088283,0.052711077,0.92186815,0.025420783
0.0025108233,0.0071956515,-0.016257346,0.045148168,0.020240676,0.088338576,0.052774224,0.92194194,0.025283886
0.0045315996,0.006933905,-0.017147958,0.045108687,0.020183662,0.08834364,0.052735087,0.92191917,0.025345787
0.006382145,0.0064405575,-0.01784122,0.045288227,0.020259554,0.08872501,0.052885618,0.9215883,0.025526159
0.0068491474,0.006389588,-0.018010736,0.045325466,0.02027079,0.0888124,0.052914273,0.9215156,0.025570156
0.012260862,0.0073943213,-0.02016735,0.045239683,0.02007611,0.088807054,0.052847408,0.92134476,0.025807844
0.006089516,0.006886378,-0.017520487,0.04547239,0.020354364,0.089012526,0.05305301,0.9213079,0.025639081
0.0036315992,0.0066725314,-0.016514719,0.04541939,0.02038858,0.08880438,0.05301799,0.9215057,0.025476327
0.005668141,0.0065605864,-0.017432988,0.045362275,0.02031683,0.08877988,0.052966088,0.9214989,0.02553498
0.006079413,0.0062414184,-0.01759994,0.045437966,0.020358883,0.08894566,0.053024173,0.92138386,0.025591992
0.008294679,0.006460972,-0.01846677,0.04543983,0.020304818,0.08901262,0.05302573,0.9212692,0.02570512
0.00588686,0.0066735893,-0.017622054,0.04527943,0.020256175,0.08870133,0.052875906,0.921617,0.025507145
0.007464923,0.0068390816,-0.018235564,0.045272928,0.020214763,0.08872161,0.0528749,0.92154413,0.025581002
0.006295748,0.0066984147,-0.017759204,0.04531271,0.020266129,0.08876246,0.052907992,0.9215455,0.02554652
0.005528368,0.006516069,-0.01743263,0.04533761,0.020303274,0.088774145,0.052931376,0.92155105,0.025517557
0.008570649,0.006183751,-0.018431127,0.04563649,0.020420734,0.08932812,0.053205546,0.92097056,0.025823873
0.0089864805,0.006913647,-0.018704891,0.045434527,0.020272996,0.08901149,0.05302677,0.9212231,0.025750084
