mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.015396327,-0.0002652593,-0.022313938,0.029906688,0.015370981,0.08209849,0.05419851,0.9252371,0.020564372
0.015024811,-0.00037263706,-0.022343084,0.029801972,0.01531239,0.08191432,0.054054566,0.9254645,0.02048091
0.018892854,-0.000450138,-0.023681149,0.029957054,0.01534985,0.082339466,0.054260023,0.92500854,0.020731473
0.016755104,-0.00016487017,-0.02300714,0.029812379,0.015285829,0.082005985,0.05406987,0.9253673,0.020562824
0.014861912,-0.00090732053,-0.02194713,0.030128568,0.015528012,0.08255599,0.054452427,0.92487013,0.020677501
0.013148546,-0.0018111803,-0.021088347,0.03037167,0.015727343,0.08297728,0.054739133,0.9245154,0.020745471
0.020756423,-0.001002755,-0.02427487,0.030124905,0.015438057,0.082721345,0.054472134,0.9246285,0.020899296
0.025764197,0.00020999834,-0.026228294,0.030025944,0.015271004,0.082686,0.05437802,0.92455554,0.021066464
0.019097388,0.0006839894,-0.023491368,0.030049847,0.015378019,0.08249927,0.054397397,0.924769,0.020833641
0.018066496,0.0013332479,-0.023118481,0.029894603,0.015289206,0.082087986,0.054232124,0.9250685,0.020699393
0.013523966,0.0009194799,-0.021411106,0.029890891,0.015366941,0.08194394,0.054208167,0.92528135,0.020510435
0.010320306,8.307025e-05,-0.020269439,0.029879771,0.01542846,0.081838444,0.054168653,0.9254743,0.020357104
0.00868535,-0.0014918782,-0.019612834,0.03008408,0.015614386,0.08224191,0.054382283,0.92522866,0.020389073
0.012727112,-0.002275575,-0.021337435,0.030094305,0.0155721,0.08244748,0.054380655,0.92508566,0.020533685
0.016777545,-0.0022968613,-0.023128971,0.029984158,0.015436143,0.08242552,0.054234117,0.9251424,0.020623531
0.015630871,-0.0022090785,-0.022856817,0.029860053,0.015371177,0.08219299,0.054059636,0.9254355,0.020504918
0.016931564,-0.0027861483,-0.022967264,0.030238066,0.015598415,0.08296782,0.054530222,0.9246806,0.020789243
0.016310424,-0.0036719851,-0.022220954,0.030741803,0.015942993,0.08391894,0.055146918,0.9237806,0.021072475
0.014105082,-0.0039882623,-0.021355972,0.030766677,0.016002541,0.08388877,0.05516995,0.9238385,0.02099154
0.013468057,-0.0047448017,-0.020998463,0.030940942,0.016139839,0.084216535,0.055371467,0.92356896,0.02105958
0.011189759,-0.005510118,-0.02022694,0.030939369,0.01619206,0.08417893,0.05534045,0.9237095,0.020950008
0.01793015,-0.005236026,-0.023042724,0.030782614,0.015977612,0.08410475,0.055168238,0.9237107,0.021121075
0.01905027,-0.0047181956,-0.02366589,0.030615358,0.015839325,0.083858736,0.05495603,0.9239687,0.021075336
0.020623624,-0.004213888,-0.024111912,0.030679949,0.015843105,0.08401122,0.055052835,0.92375386,0.021193339
0.019271463,-0.0041026063,-0.02329509,0.030888336,0.015993608,0.0843403,0.055318188,0.92340285,0.02127897
0.018017948,-0.003846582,-0.022698209,0.030918978,0.01603022,0.084313765,0.05537054,0.9233774,0.021252116
0.022363722,-0.0030473508,-0.024319574,0.030876463,0.01591877,0.084317766,0.055359673,0.923225,0.02141534
0.01971063,-0.0024141558,-0.02332823,0.030763233,0.015876457,0.083998434,0.05522283,0.9235252,0.021252006
0.01659903,-0.001978714,-0.022221908,0.030581662,0.015805406,0.083510414,0.05500338,0.9239801,0.021016529
0.015423983,-0.0017756335,-0.021977887,0.030376945,0.015693361,0.08306591,0.0547515,0.92440933,0.020839207
0.016946316,-0.0012289993,-0.02291964,0.03005373,0.015456369,0.08249269,0.054357987,0.9249417,0.020700332
0.016359508,-0.0015854649,-0.022571191,0.030201245,0.015563135,0.08278429,0.054528154,0.9247037,0.020768113
0.013710082,-0.0020908006,-0.021478102,0.03029012,0.015671056,0.08288173,0.054620843,0.9246692,0.020709958
0.014097303,-0.0026419945,-0.021586046,0.030388834,0.015739225,0.083094455,0.054736502,0.9244889,0.020774614
0.016677916,-0.002654273,-0.022696301,0.030332416,0.01566264,0.08308579,0.054669157,0.9244914,0.020839464
0.01618445,-0.0026883967,-0.022576317,0.030294683,0.015645575,0.08302377,0.054610766,0.92459184,0.020797431
0.013752222,-0.0035372637,-0.021371052,0.030584369,0.015883332,0.083521865,0.05494785,0.92418164,0.020870492
0.015999317,-0.0036948584,-0.022241816,0.030608108,0.015866978,0.08363326,0.054985773,0.92404586,0.020968363
0.017684609,-0.003558088,-0.022976264,0.030557202,0.015804,0.08360622,0.054924507,0.92406833,0.021007203
0.017510116,-0.003428761,-0.022892103,0.03055621,0.01580235,0.08360296,0.054921933,0.92407393,0.021004183
0.0151385665,-0.0038822703,-0.021787092,0.030739004,0.015964797,0.08388065,0.055135306,0.92384624,0.021018447
0.018539786,-0.003637161,-0.02308838,0.030726934,0.015899105,0.08394039,0.05514345,0.9237078,0.021148743
0.022603095,-0.0026213564,-0.024784014,0.030542618,0.01569687,0.08369897,0.05494461,0.9238392,0.021216178
0.024258614,-0.0013408102,-0.025407359,0.030409005,0.015560153,0.08345371,0.054809943,0.92396307,0.021227038
0.01835972,-0.0010343008,-0.022931203,0.030476466,0.015689561,0.08335734,0.05489055,0.92406505,0.021044394
0.015253574,-0.0009770282,-0.021709308,0.030424498,0.01570955,0.08310264,0.05483497,0.92428225,0.020882765
0.017113566,-0.00049968436,-0.022726342,0.030145304,0.015498297,0.082604855,0.0545053,0.9247129,0.020781817
0.0169065,-0.00048386678,-0.022729203,0.030093756,0.015467562,0.08252046,0.054432854,0.92482454,0.020742629
0.018544048,-0.00023044273,-0.023357853,0.030064236,0.015418108,0.08250666,0.05440542,0.9248016,0.02079291
0.017025232,-8.731708e-05,-0.022826955,0.03000082,0.0153986635,0.08234088,0.054320663,0.9249827,0.020696655
0.014764249,8.742884e-05,-0.022177562,0.029788807,0.015298827,0.08185813,0.05404913,0.92547756,0.020473344
0.015720218,-0.00013152137,-0.02255921,0.029816197,0.015305909,0.08194873,0.05408258,0.92539483,0.020522585
0.015930504,-0.00070279464,-0.022448406,0.0300437,0.015455194,0.08241523,0.05435645,0.92497617,0.02066741
0.010174125,-0.0021229275,-0.019966707,0.030372288,0.015780808,0.08290253,0.054719925,0.9246565,0.020623563
0.013960481,-0.002336558,-0.021644577,0.030239984,0.01564441,0.08276797,0.054565545,0.9247588,0.020675676
0.017892748,-0.0021725334,-0.023394749,0.03010936,0.01549445,0.08268927,0.054401465,0.92484605,0.020752467
0.0172064,-0.0023739599,-0.022982225,0.030255426,0.015597441,0.08297854,0.054568425,0.9246112,0.020820439
0.014762133,-0.0026920699,-0.021930441,0.030350683,0.015702585,0.083082914,0.054675683,0.92454576,0.020778565
0.0138503015,-0.003376577,-0.021432266,0.030540865,0.015852123,0.08342528,0.054901592,0.9242498,0.0208486
0.016164184,-0.003614422,-0.022319123,0.030596023,0.015855312,0.083612695,0.054973938,0.9240569,0.020969173
0.022967637,-0.0028080083,-0.024969563,0.030527372,0.015686186,0.08368399,0.054923948,0.9238613,0.021214774
0.017841429,-0.0027775206,-0.022819981,0.030643303,0.015836658,0.08375755,0.055046108,0.9238612,0.021092739
0.01969269,-0.0021994375,-0.02343522,0.03061162,0.015778698,0.08368526,0.05504145,0.92380506,0.021153491
0.019915491,-0.0010767393,-0.023878142,0.030216122,0.015505987,0.082907274,0.05457039,0.9244995,0.020930095
0.017669648,-0.0009104572,-0.022944734,0.030231122,0.015547025,0.08285305,0.054587353,0.9245565,0.02085617
0.019167662,-0.0007424392,-0.023346707,0.030333675,0.015585691,0.083060734,0.054734636,0.9242817,0.020983677
0.018100142,-0.00046281144,-0.022965416,0.030270591,0.015557779,0.082892746,0.05465994,0.9244332,0.020906953
0.016037166,-0.00019783899,-0.02233164,0.030087752,0.015471507,0.082462884,0.05443054,0.9248582,0.020711252
0.01285091,-0.00039147213,-0.0213245,0.029916735,0.01541889,0.082046196,0.054198597,0.92533064,0.020470684
0.010234952,-0.0013117604,-0.020417914,0.029933525,0.015489126,0.08203571,0.054187972,0.92545325,0.02035881
0.009475023,-0.0030718558,-0.019902512,0.030322393,0.015781501,0.082822464,0.05463297,0.9248275,0.0205395
0.012026012,-0.0036935173,-0.02114223,0.030235723,0.015698308,0.082791544,0.054508556,0.9249231,0.020568315
0.016059786,-0.004230324,-0.0226634,0.030387757,0.015737558,0.08327336,0.054685533,0.9244987,0.020815827
0.01607725,-0.0047589056,-0.022457644,0.03063442,0.015900306,0.08378761,0.054972854,0.9240589,0.020968288
0.01742065,-0.0047080554,-0.022897527,0.030693846,0.015915107,0.08393734,0.055053983,0.923885,0.021061
0.016382635,-0.0050620846,-0.022290394,0.030904341,0.016071562,0.0843141,0.055306733,0.9235438,0.021149486
0.019354165,-0.0048473664,-0.02329354,0.030997528,0.016078858,0.084558316,0.055444688,0.9232231,0.021332148
0.019895524,-0.0044982396,-0.023402676,0.031042866,0.016090719,0.084648386,0.05551147,0.92309517,0.021393348
0.020036787,-0.0038384013,-0.023440227,0.030957796,0.016021784,0.08445149,0.055425826,0.923216,0.021358242
0.01860553,-0.0032018088,-0.022989735,0.030780435,0.0159211,0.084034584,0.05521821,0.9235824,0.02119944
0.017066777,-0.0026565157,-0.022592053,0.03053985,0.015784733,0.083498895,0.054927964,0.92407936,0.020992719
0.01651162,-0.0025757663,-0.022420749,0.030489791,0.015761213,0.083377115,0.054867554,0.92419314,0.020939277
0.014025748,-0.0030848496,-0.021394715,0.030586736,0.015872516,0.08349684,0.054970272,0.9241376,0.020892158
0.016973138,-0.0029315017,-0.022646174,0.030489033,0.015761983,0.08339462,0.05486291,0.92419094,0.02094617
0.019364655,-0.0026444457,-0.023598418,0.030465709,0.015701674,0.08343876,0.054840706,0.92412424,0.021035057
0.016414702,-0.002435539,-0.022531793,0.030367041,0.01568119,0.08315947,0.054707564,0.92443156,0.020860875
0.0150848925,-0.0027151667,-0.021927282,0.030448494,0.015760394,0.08326353,0.054805066,0.9243418,0.020853072
0.01499033,-0.0030409954,-0.021885142,0.030496111,0.015799405,0.083358206,0.05485961,0.92426866,0.020871757
0.015772045,-0.003337238,-0.022159085,0.030564822,0.015836066,0.08352911,0.0549403,0.92411935,0.020940384
0.015265524,-0.0036226995,-0.021958813,0.030604417,0.015874274,0.0836074,0.054978304,0.92408156,0.020940155
0.018101871,-0.0034571774,-0.023068294,0.030587802,0.015814917,0.08366281,0.05496958,0.92398536,0.021044983
0.0190095,-0.0031621344,-0.023410842,0.030576084,0.015785584,0.0836728,0.05495995,0.92395747,0.021082638
0.01720345,-0.0027594827,-0.022810742,0.030436179,0.015718251,0.08333452,0.05478734,0.924283,0.020929676
0.01757297,-0.002735842,-0.022839114,0.03051654,0.015763257,0.08348213,0.05489562,0.9241083,0.020996038
0.019554585,-0.0025748424,-0.02344875,0.030628778,0.015799189,0.083741084,0.055051062,0.9237974,0.021151511
0.017141342,-0.0023699366,-0.022538885,0.030570384,0.015796816,0.08354311,0.054975335,0.92400175,0.021022903
0.018280506,-0.001901757,-0.023060605,0.030436968,0.015687032,0.0832919,0.05482781,0.92418295,0.020989286
0.021240592,-0.00111131,-0.024295256,0.030293021,0.015534255,0.083087735,0.05467367,0.92429507,0.021031212
0.018538803,-0.0006963946,-0.023258433,0.030226042,0.015525537,0.08286397,0.0545881,0.92451954,0.020892408
0.016712874,-0.0003500022,-0.022627756,0.030091533,0.015465092,0.08251399,0.05442783,0.9248342,0.020737994
0.016239583,-0.0004750453,-0.022421882,0.03012011,0.015493944,0.08254711,0.054463975,0.9248019,0.020734102
0.014768183,-0.0008228384,-0.02185081,0.030154647,0.015545954,0.08257711,0.05449546,0.92481387,0.020690672
0.013674229,-0.0011736341,-0.02153425,0.030105023,0.015539499,0.08246339,0.054420065,0.92497325,0.020606697
0.015705556,-0.0013526492,-0.022413656,0.03007265,0.015490678,0.08248481,0.054377787,0.9249618,0.020660458
0.015175521,-0.0018018968,-0.022171363,0.030169288,0.015566705,0.08269027,0.054480005,0.92482513,0.02069488
0.015703589,-0.0018262304,-0.022466287,0.03010383,0.015517708,0.08258971,0.05439601,0.92493194,0.02067204
0.018674552,-0.0017095171,-0.023574516,0.030149497,0.015496635,0.082776,0.054463353,0.9247148,0.02082189
0.018049717,-0.0019361116,-0.02307491,0.030382557,0.015655328,0.08321143,0.054748278,0.9243047,0.020946955
0.018185139,-0.0016698726,-0.023070559,0.03037771,0.015645899,0.08317722,0.054754965,0.9242915,0.020953542
0.01964295,-0.001211185,-0.023631856,0.030330755,0.015584917,0.08310919,0.0547147,0.92429465,0.020990675
0.019169986,-0.00081114843,-0.023426756,0.030295651,0.015562294,0.08300856,0.054679595,0.9243615,0.020958902
0.018216938,-0.0003622882,-0.023110673,0.030181969,0.015498173,0.08273251,0.054547638,0.9245962,0.020856136
0.01682365,-9.673461e-05,-0.022676334,0.030055216,0.01543645,0.08242966,0.054392003,0.92488426,0.020723749
0.017278194,-3.0767173e-05,-0.022851393,0.03004495,0.015422308,0.08241458,0.05438467,0.92488,0.020735325
0.016327053,6.772205e-05,-0.02259259,0.029946774,0.015373874,0.08219884,0.054258123,0.9251054,0.020636527
0.01472798,-0.00015204772,-0.022029266,0.029919246,0.015386021,0.08210529,0.05421224,0.92523676,0.020551067
0.016092002,-0.00044989958,-0.022501335,0.030003851,0.015423843,0.08231842,0.05431761,0.92503077,0.020651612
0.014183313,-0.0008039884,-0.021837339,0.029990368,0.01545143,0.08226042,0.054281153,0.92515695,0.020561837
0.02076286,-0.0002557151,-0.024422094,0.029923586,0.015297047,0.08231938,0.05423112,0.9249832,0.020785708
0.019181639,-0.00013023242,-0.023703739,0.030014398,0.0153724635,0.08246621,0.054334696,0.9248732,0.020792121
0.016584009,-7.9166144e-05,-0.022584721,0.030052477,0.015436807,0.08242802,0.054383114,0.9249025,0.020714432
0.0146532655,-0.00036099926,-0.021827564,0.030075151,0.0154886795,0.08240135,0.05440623,0.92494863,0.02064517
0.016511232,-0.00039213523,-0.02261798,0.030034367,0.015435844,0.08237978,0.054362204,0.92494905,0.020688694
0.013433009,-0.0010251515,-0.021415696,0.030114885,0.015545756,0.08247546,0.054433335,0.92495793,0.020608708
0.015149176,-0.0012782253,-0.022114977,0.030113488,0.0155238435,0.08253072,0.054432545,0.92490107,0.020666407
0.016163677,-0.0013595559,-0.022631153,0.030055681,0.015472039,0.08248132,0.054352947,0.92497855,0.020668518
0.014011592,-0.0018620454,-0.021768257,0.030134737,0.015564048,0.08259638,0.05442856,0.9249452,0.020626293
0.014928341,-0.0019691996,-0.022237107,0.03006258,0.015507205,0.0824931,0.05433784,0.92505085,0.020611286
0.015982062,-0.002769459,-0.022338316,0.030420156,0.015729796,0.08324399,0.054771062,0.92436045,0.020868534
