mu1,mu2,sigma1,sigma2,pi1,pi2
0.006963253,0.004522383,0.16148475,0.18606108,0.53813916,0.46186087
0.008622944,0.0075855255,0.16180874,0.186693,0.5381299,0.4618701
0.009715676,0.009335697,0.16173513,0.18680224,0.53826916,0.46173084
0.008817792,0.007858694,0.16175574,0.18668348,0.53819144,0.46180853
0.008875281,0.0080682635,0.16188611,0.18683739,0.5381363,0.4618637
0.0122074485,0.013678849,0.16197479,0.18749847,0.5383924,0.46160764
0.011709392,0.012599528,0.1617063,0.1871278,0.5384862,0.4615138
0.011306137,0.01182586,0.16161132,0.18694931,0.5384886,0.4615114
0.011136115,0.011481285,0.16156496,0.18685928,0.5384835,0.4615165
0.006290436,0.0032848716,0.16139533,0.1858552,0.53812873,0.46187133
0.010440111,0.010573626,0.16180752,0.18698932,0.53828263,0.46171737
0.012891144,0.014442563,0.16157608,0.1871562,0.53861994,0.4613801
0.01199913,0.012746215,0.16133867,0.186754,0.53866476,0.46133527
0.012114793,0.012932599,0.16135553,0.18678743,0.53866196,0.461338
0.010526806,0.010174692,0.1612519,0.18639934,0.53856236,0.46143767
0.011407405,0.011843741,0.1614773,0.18679136,0.5385288,0.46147126
0.010392636,0.009974241,0.16125563,0.18637605,0.53854233,0.46145767
0.011129379,0.011289179,0.16133153,0.18658273,0.53857034,0.46142963
0.011875391,0.0125748515,0.1613677,0.18675572,0.53862834,0.46137163
0.010635108,0.010414839,0.16124578,0.18641977,0.538584,0.46141604
0.008838773,0.0077371,0.16159059,0.18650378,0.5382695,0.4617305
0.011619329,0.012645364,0.16191341,0.1873267,0.53836334,0.4616367
0.012761235,0.014352798,0.16170858,0.18730202,0.53857154,0.46142843
0.009036034,0.007940948,0.16146761,0.18641202,0.5383578,0.4616422
0.009191662,0.008340061,0.16164193,0.186611,0.5382671,0.46173298
0.009238362,0.008421421,0.16164465,0.18661745,0.5382646,0.46173543
0.008296102,0.0067370534,0.16151023,0.18630657,0.5382385,0.46176147
0.009292483,0.008457959,0.16157049,0.18653476,0.53829175,0.46170828
0.0077503026,0.0057966113,0.16144638,0.18614344,0.53821796,0.46178207
0.004772842,0.00090307,0.16148604,0.18568891,0.53793555,0.46206447
0.0033600628,-0.0011464357,0.16179955,0.18579438,0.53766024,0.46233976
0.0038149655,-5.6505203e-05,0.16217086,0.18627985,0.5375291,0.46247095
0.0056667626,0.0030547976,0.16221373,0.18663941,0.5376751,0.4623249
0.0023566782,-0.0027498007,0.16187459,0.18571824,0.5375477,0.46245232
0.0054558516,0.0027620196,0.1622743,0.18666764,0.5376246,0.46237546
0.0048411787,0.0015133023,0.16202891,0.18630312,0.53769505,0.462305
0.005376607,0.002445519,0.1620783,0.18644735,0.5377195,0.46228057
0.009316266,0.009107769,0.1622184,0.1872671,0.53800684,0.4619932
0.0067730844,0.00448972,0.16179202,0.18638249,0.5379963,0.46200368
0.0070171356,0.005024135,0.16193353,0.18657196,0.537943,0.46205696
0.0077851117,0.006176412,0.16182539,0.18657103,0.5380492,0.46195075
0.006480634,0.003855288,0.16165665,0.18616237,0.53800786,0.4619921
0.0072723627,0.005317807,0.16180842,0.1864587,0.5380025,0.46199754
0.006919265,0.004569471,0.16161366,0.18618613,0.5380632,0.46193674
0.0068821907,0.004615307,0.16172105,0.18629898,0.5380105,0.46198955
0.009272486,0.008680642,0.16182017,0.18681379,0.5381807,0.46181926
0.010789067,0.011154413,0.16177732,0.18703428,0.5383505,0.46164945
0.009604365,0.009183586,0.16178864,0.1868589,0.5382543,0.46174565
0.008217841,0.0068598986,0.16176336,0.18659672,0.5381418,0.46185818
0.0066725314,0.0043447018,0.16181967,0.18639258,0.5379704,0.46202964
0.010289997,0.010523081,0.16201235,0.18720329,0.53818905,0.46181098
0.007949442,0.0061731935,0.16150618,0.18625478,0.5382224,0.46177763
0.006629348,0.004112184,0.16163795,0.18617193,0.5380354,0.46196458
0.009778768,0.009493709,0.16181956,0.18689282,0.53822005,0.46177995
0.008150041,0.006527543,0.1615402,0.18631941,0.53821665,0.46178335
0.008922577,0.007977426,0.16171849,0.18664294,0.5381982,0.46180183
0.007158518,0.0049366355,0.16158961,0.18620731,0.538105,0.46189496
0.008903354,0.007933497,0.16170253,0.1866163,0.5381969,0.4618031
0.009410024,0.008641064,0.16155039,0.18653773,0.53831786,0.46168214
0.00856933,0.0072081685,0.16150166,0.18634796,0.53827214,0.4617279
0.0088076,0.007852495,0.16177465,0.18669346,0.5381709,0.4618291
0.0097996,0.009494066,0.16176338,0.18685201,0.538269,0.46173105
0.010088891,0.009961903,0.16175184,0.18689415,0.5383075,0.46169254
0.011459976,0.012320757,0.16185038,0.18723623,0.53838605,0.46161395
0.012742668,0.014341593,0.16173254,0.18732768,0.5385615,0.4614385
0.011310399,0.011869013,0.1616328,0.18698208,0.53848845,0.46151152
0.013334036,0.015358269,0.16177282,0.18747506,0.5385988,0.4614012
0.016253471,0.020121813,0.16169578,0.18788554,0.53889734,0.4611027
0.012857527,0.014000118,0.16121775,0.18677971,0.5388173,0.46118268
0.012162566,0.0128109455,0.16122642,0.18664391,0.5387184,0.46128163
0.017136693,0.021073043,0.16130814,0.18754812,0.5390939,0.4609061
0.016642898,0.019705892,0.1607416,0.18683647,0.5393175,0.46068254
0.015551597,0.017802596,0.1606161,0.1865108,0.5392757,0.46072435
0.01467365,0.016398966,0.16062416,0.1863717,0.53919196,0.460808
0.012181073,0.012275696,0.16058527,0.18591297,0.53899074,0.46100932
0.012013078,0.012243986,0.16080385,0.18612783,0.53887326,0.46112677
0.010702401,0.010188282,0.1609065,0.18602835,0.5387163,0.4612837
0.009500563,0.008500874,0.16122743,0.18619055,0.53847,0.4615301
0.0116787255,0.01226002,0.16136274,0.18670826,0.5386021,0.4613979
0.009313643,0.008235514,0.16125171,0.1862023,0.538461,0.46153894
0.00959599,0.009261608,0.16188122,0.18695332,0.5382025,0.4617975
0.00881663,0.007893443,0.16180149,0.18673655,0.5381735,0.4618265
0.0071672797,0.005077958,0.1617304,0.18637365,0.53805184,0.46194822
0.007088721,0.00503242,0.16181992,0.18645042,0.53799254,0.4620075
0.008511484,0.0074034333,0.16181944,0.1866865,0.53811574,0.4618843
0.006494254,0.003914416,0.16166052,0.1861777,0.53801703,0.46198297
0.0068587065,0.0047008395,0.16185345,0.18644811,0.53795516,0.46204486
0.0077085793,0.0062000155,0.16195068,0.18670292,0.53799105,0.462009
0.007745981,0.00625962,0.16195393,0.18671712,0.5379982,0.4620018
0.0051819086,0.0018722415,0.16181023,0.18612987,0.5378396,0.46216038
0.007750094,0.006444037,0.16214696,0.18692441,0.53790104,0.46209893
0.007557273,0.005925238,0.16193143,0.18666138,0.5379929,0.46200714
0.008292824,0.007152438,0.1619377,0.1867923,0.53805554,0.46194446
0.0071682036,0.0052016377,0.16184725,0.18650562,0.53800064,0.46199936
0.008028865,0.0067656636,0.16199668,0.18681218,0.53800386,0.4619962
0.00794512,0.006459594,0.16181897,0.1866003,0.53807724,0.4619228
0.008796871,0.007893801,0.16183881,0.18676345,0.53814113,0.46185887
0.009147406,0.008448124,0.16180727,0.18679124,0.5381913,0.46180868
0.0049651563,0.0013830066,0.16167341,0.18594618,0.53788817,0.4621118
0.0042431653,0.00046610832,0.16197208,0.18614273,0.5376714,0.4623286
0.0066010654,0.0045771003,0.16218473,0.18676747,0.5377751,0.46222493
0.005614221,0.0027111173,0.16193582,0.18633404,0.5378114,0.46218863
0.00897634,0.008473873,0.16213603,0.1871182,0.538014,0.46198598
0.0077675283,0.0061565638,0.16180034,0.1865551,0.5380762,0.4619238
0.008257151,0.007086575,0.16193233,0.18678136,0.53805614,0.46194384
0.009999752,0.009965599,0.16192761,0.18706928,0.53821295,0.46178705
0.00693956,0.0045639873,0.1615942,0.18618563,0.53809583,0.46190414
0.009970188,0.00988853,0.16190965,0.1870323,0.53820443,0.46179563
0.010759473,0.010928392,0.1616036,0.1868343,0.5384259,0.46157408
0.011592776,0.012276053,0.16155717,0.18692692,0.5385258,0.46147418
0.008749336,0.007417381,0.16141753,0.18629591,0.53834057,0.4616594
0.009834349,0.009394288,0.1616157,0.18668577,0.53833085,0.46166918
0.009357423,0.008599758,0.16161007,0.18660244,0.5382948,0.46170527
0.010283142,0.010165274,0.16162984,0.18678051,0.53836805,0.46163192
0.011666238,0.012464464,0.16163006,0.18701772,0.5384956,0.46150437
0.012452662,0.013744533,0.16160405,0.18712907,0.5385868,0.46141317
