mu1,mu2,sigma1,sigma2,pi1,pi2
-0.010787807,-0.0105967,0.018448194,0.028569546,0.47154143,0.5284586
-0.010598682,-0.009822674,0.018576775,0.028757444,0.4714442,0.5285558
-0.012895428,-0.013321109,0.01832286,0.028327372,0.4714034,0.5285966
-0.0128543,-0.012561746,0.018534113,0.028628234,0.47122267,0.52877736
-0.008162402,-0.008681007,0.01838025,0.028557802,0.47196037,0.52803963
-0.003206037,-0.0043953136,0.018271843,0.028561886,0.47271344,0.5272866
-0.011817478,-0.012696333,0.018140575,0.028101683,0.4716965,0.5283035
-0.019670032,-0.02503223,0.018004194,0.027700031,0.4711605,0.5288395
-0.017063819,-0.020044632,0.018225333,0.028076442,0.47113475,0.5288652
-0.017433785,-0.020464607,0.018299635,0.02817195,0.47104216,0.52895784
-0.013246976,-0.01330585,0.018464163,0.028514646,0.47121996,0.52878004
-0.0077556,-0.0071941093,0.018609509,0.028894909,0.47178552,0.5282145
-0.0010116324,-0.000743933,0.018578475,0.0290695,0.4726977,0.5273023
-0.0015846118,-0.0013675168,0.018475438,0.028903656,0.47271314,0.5272868
-0.0053822026,-0.005022593,0.018474517,0.028780533,0.47222197,0.527778
-0.0055665597,-0.0044449046,0.018685622,0.029074976,0.47200382,0.5279962
-0.0037148818,-0.004195638,0.018377671,0.02869682,0.47254372,0.5274563
0.0007387176,-0.0017466024,0.018038161,0.028354052,0.4734666,0.5265334
0.0037410632,0.0014415309,0.018092068,0.028526729,0.47380373,0.5261963
0.0071657673,0.0043508336,0.017994815,0.028495748,0.4743471,0.52565295
0.011296846,0.008944325,0.018120022,0.028809553,0.47476587,0.52523416
0.005083658,0.0029172227,0.017996779,0.028431559,0.4740567,0.52594334
0.0014067069,-0.0003125146,0.01812161,0.02849512,0.47346604,0.52653396
-0.0012622699,-0.00356061,0.018009085,0.028249206,0.4732301,0.52676994
-0.00011011213,-0.0033553317,0.017876623,0.02809603,0.4735194,0.5264806
0.00043503195,-0.0029349998,0.017848272,0.028072042,0.47361496,0.52638507
-0.0052814707,-0.009149976,0.017644158,0.027601266,0.4730614,0.5269386
-0.0059290156,-0.009457298,0.017786367,0.027784836,0.47284663,0.5271534
-0.0051198825,-0.00756485,0.01800013,0.028114302,0.4727342,0.5272658
-0.0050778612,-0.0065204576,0.018178219,0.028368851,0.47255775,0.5274423
-0.008633696,-0.008844443,0.018368466,0.028525583,0.47190034,0.52809966
-0.007055305,-0.007844038,0.018307041,0.02848944,0.4721759,0.5278241
-0.0031691417,-0.0039179996,0.018361958,0.02869184,0.47263262,0.5273674
-0.0012493357,-0.0022508577,0.018286088,0.028644754,0.47295198,0.527048
-0.0033317432,-0.0043131784,0.018244779,0.028519165,0.47271687,0.5272832
-0.0032360181,-0.0040318444,0.018322539,0.02863361,0.47266072,0.52733934
0.0019250885,0.0003406331,0.018231764,0.028669493,0.47343063,0.52656937
0.0011111274,-0.00063139945,0.018125184,0.028489923,0.47341743,0.5265826
-0.00092931837,-0.0027325824,0.018108644,0.028401649,0.47317022,0.5268298
-0.0013929233,-0.0032150224,0.018124832,0.028410355,0.47309777,0.52690226
0.002268292,-3.129989e-05,0.018086515,0.028472135,0.4736196,0.52638036
-0.00079061836,-0.003334351,0.017938823,0.028162641,0.4733527,0.52664727
-0.007780753,-0.010275908,0.017893553,0.027879104,0.4724839,0.5275161
-0.013819598,-0.016210027,0.017886927,0.027682278,0.4717038,0.52829623
-0.010282956,-0.012584634,0.01801617,0.027975544,0.4720482,0.52795184
-0.0073877797,-0.009267636,0.01810967,0.028198242,0.47232577,0.5276742
-0.01059898,-0.011541791,0.018210309,0.028238922,0.47179547,0.5282045
-0.011004828,-0.011769004,0.018265884,0.028305288,0.4716946,0.5283054
-0.013142966,-0.013989277,0.018219607,0.028172618,0.47146067,0.5285393
-0.012852691,-0.013222881,0.018329032,0.028336095,0.47139215,0.52860785
-0.011953972,-0.011165805,0.018585557,0.028726257,0.47125962,0.5287404
-0.011704825,-0.011113472,0.018535966,0.02866411,0.4713374,0.52866256
-0.0096931085,-0.010025807,0.018377358,0.028504651,0.47175863,0.52824134
-0.00014396757,-0.0010580495,0.018400013,0.028843699,0.47299746,0.5270026
-0.0020241365,-0.0023531392,0.018361196,0.028726317,0.4727656,0.5272344
-0.006296836,-0.0065779164,0.018349417,0.028573377,0.47222435,0.52777565
-0.0053229555,-0.006125994,0.018309427,0.028548455,0.47240266,0.5275973
-0.0020843968,-0.0029359534,0.01834456,0.028702052,0.47279298,0.527207
0.0014967099,8.337945e-05,0.018243918,0.028672755,0.47335747,0.52664256
0.00076333433,-0.0010473207,0.018115077,0.028464368,0.47338244,0.5266175
-0.0073066577,-0.009697981,0.017887931,0.027885593,0.47254646,0.52745354
-0.0040074214,-0.0065814927,0.018003006,0.028154347,0.47288647,0.52711356
-0.0066234097,-0.0092607215,0.017894331,0.02791615,0.47263512,0.5273649
-0.011274837,-0.012587495,0.018145233,0.02812633,0.4717785,0.5282215
-0.010228477,-0.011458583,0.018202867,0.028241094,0.4718636,0.5281364
-0.011373363,-0.013282843,0.018027054,0.027955865,0.47188118,0.52811885
-0.0117154345,-0.013410158,0.018084934,0.02802723,0.47178233,0.52821773
-0.011308275,-0.012038894,0.018286813,0.028325282,0.4716359,0.52836406
-0.008528732,-0.008122511,0.01855713,0.028796285,0.47173753,0.5282625
-0.0034307465,-0.002543874,0.0186943,0.029156024,0.472272,0.527728
0.0036439672,0.0034435317,0.01850738,0.029119652,0.47337872,0.52662134
0.003545262,0.0038289353,0.018540995,0.029164316,0.47332495,0.5266751
0.0021263734,0.0015062615,0.018341698,0.028833082,0.4733374,0.52666265
0.003941573,0.0023669526,0.018212661,0.02870704,0.47371265,0.5262873
0.0030365959,0.0011616275,0.018123686,0.028549822,0.47367707,0.52632296
0.0053802505,0.0026569888,0.018011304,0.028463218,0.4741023,0.5258977
0.002890624,-0.00054926425,0.017798997,0.02807813,0.47397953,0.52602047
0.0012488738,-0.0027051643,0.017715698,0.027907375,0.47385493,0.5261451
-0.0011445507,-0.0049244836,0.017729552,0.027852457,0.47352594,0.52647406
-0.0024610981,-0.005529113,0.017876824,0.02802207,0.47320607,0.5267939
-0.0034225807,-0.0053853467,0.018090393,0.028296545,0.47286484,0.52713513
-0.0032797083,-0.0050034,0.018136965,0.028367408,0.47283626,0.52716374
0.00043544918,-0.0013868287,0.018170124,0.028533269,0.47329423,0.52670574
