mu1,mu2,sigma1,sigma2,pi1,pi2
0.0032358617,-0.071925014,0.2106627,0.28202778,0.8213758,0.17862427
0.0042452067,-0.0720904,0.21066369,0.2819822,0.82153296,0.1784671
0.0043198317,-0.072717026,0.21030818,0.28161672,0.8217693,0.17823073
0.0039625466,-0.07217187,0.21058942,0.28191963,0.8215357,0.17846432
0.0041962713,-0.07153429,0.21098134,0.28230783,0.8213246,0.17867541
0.0052025616,-0.07268268,0.21041256,0.28168234,0.8218411,0.17815892
0.0045158863,-0.072771385,0.2102955,0.28159475,0.82180786,0.17819211
0.004248962,-0.073479086,0.2098611,0.28116447,0.8220409,0.17795907
0.004216999,-0.07353005,0.20982862,0.28113282,0.8220565,0.17794353
0.0027017891,-0.07204348,0.21054292,0.28193042,0.821368,0.17863204
0.0047071725,-0.073429585,0.20993347,0.2812171,0.82206655,0.17793341
0.0049984157,-0.074009225,0.20962678,0.28089127,0.8223059,0.1776941
0.004328996,-0.0738707,0.2096428,0.28093827,0.82219154,0.1778085
0.0043890625,-0.07420863,0.20945373,0.28074273,0.8223205,0.1776795
0.0037989467,-0.0738565,0.20960034,0.28091937,0.82213575,0.17786427
0.00449042,-0.073188245,0.21005213,0.281348,0.82195777,0.17804223
0.003967762,-0.07302512,0.2100964,0.2814172,0.8218482,0.17815179
0.00437814,-0.07328583,0.209985,0.2812848,0.8219827,0.17801733
0.004538879,-0.073651224,0.20978947,0.2810781,0.82213145,0.17786855
0.0037945062,-0.07472627,0.20909896,0.28040835,0.82245255,0.17754744
0.0036541522,-0.07332149,0.20989522,0.2812266,0.8219266,0.17807344
0.004935041,-0.07325126,0.21005821,0.28133374,0.8220232,0.17797676
0.004814878,-0.073917106,0.20966241,0.2809359,0.8222548,0.1777452
0.0033911318,-0.07301147,0.21004912,0.28139552,0.82178813,0.17821188
0.0038996488,-0.07312493,0.2100322,0.2813549,0.8218782,0.17812182
0.0039965212,-0.07272886,0.21027039,0.28159308,0.82174265,0.17825735
0.0036341846,-0.07257049,0.2103273,0.28166774,0.8216501,0.1783499
0.004187554,-0.07240428,0.21047644,0.28179416,0.8216422,0.17835777
0.0036172569,-0.07165362,0.21085657,0.2822075,0.8213129,0.17868714
0.002880931,-0.07086551,0.21124308,0.282635,0.82095337,0.17904666
0.0029343218,-0.070281655,0.21158747,0.28298295,0.82074416,0.17925587
0.0035646707,-0.06908415,0.2123457,0.28372476,0.8203646,0.17963539
0.004189953,-0.06878923,0.21257828,0.283932,0.82031626,0.17968376
0.0027124137,-0.06850068,0.21260396,0.28402668,0.8200678,0.1799322
0.0043103397,-0.06875087,0.2126123,0.283961,0.82031375,0.17968628
0.0036849529,-0.068465754,0.21271835,0.28409776,0.82014865,0.17985141
0.003920257,-0.0686183,0.21265206,0.28401947,0.8202274,0.1797726
0.0051832646,-0.06935714,0.21234277,0.28364667,0.82062054,0.17937943
0.0036426932,-0.0693313,0.2122091,0.2835822,0.820463,0.17953701
0.003942251,-0.07007569,0.21180438,0.28315687,0.8207653,0.17923468
0.0040369183,-0.0707646,0.21141286,0.2827543,0.8210272,0.1789728
0.0035144538,-0.07043441,0.21155447,0.2829225,0.8208559,0.17914407
0.0040593147,-0.07019436,0.21174659,0.2830927,0.8208201,0.1791799
0.0036287159,-0.071151674,0.2111488,0.28250447,0.82113,0.17886999
0.0038592964,-0.07050067,0.21154915,0.28290117,0.8209134,0.17908666
0.004589662,-0.07143389,0.21107736,0.28238735,0.82132554,0.17867447
0.0047225505,-0.072156,0.21067147,0.28196812,0.8216026,0.17839743
0.004232496,-0.07122418,0.21116474,0.28249282,0.82121444,0.17878555
0.0037459284,-0.071615726,0.21089086,0.28223652,0.82131135,0.1786887
0.0034575611,-0.07120411,0.21110193,0.28246474,0.8211328,0.17886719
0.004881799,-0.07198213,0.21078746,0.2820788,0.8215542,0.1784458
0.0034538656,-0.072016016,0.21063092,0.2819853,0.8214299,0.17857008
0.0034537464,-0.0713564,0.21101323,0.2823746,0.8211883,0.17881174
0.004639581,-0.0722678,0.21059877,0.28189793,0.82163554,0.17836444
0.0036355406,-0.07205661,0.21062481,0.28197074,0.8214622,0.17853782
0.0042428374,-0.07159831,0.2109487,0.28227243,0.82135254,0.1786475
0.0036067367,-0.07070255,0.21140751,0.28276876,0.8209632,0.17903683
0.004382625,-0.071125016,0.21123673,0.28255913,0.8211925,0.1788075
0.0042317063,-0.071727544,0.21087268,0.28219554,0.8213988,0.17860122
0.0038293153,-0.07202001,0.21066462,0.2820023,0.82146734,0.17853267
0.0042371303,-0.07121922,0.2111681,0.28249598,0.82121307,0.17878692
