mu1,mu2,sigma1,sigma2,pi1,pi2
0.010433689,-0.08283813,0.018246632,0.054382946,0.9840462,0.015953785
0.010793209,-0.08213596,0.018405594,0.05471862,0.9839166,0.016083457
0.009021133,-0.08306314,0.018165035,0.054220695,0.9840912,0.015908787
0.010360539,-0.08200963,0.018422317,0.054757927,0.9838945,0.01610548
0.011376888,-0.08385815,0.018052831,0.053960804,0.9842287,0.015771337
0.012124136,-0.0854034,0.01774723,0.053298853,0.9845031,0.015496969
0.007828236,-0.08415444,0.017906662,0.053677812,0.9842919,0.01570806
0.006099835,-0.08336519,0.0180318,0.053960275,0.9841543,0.01584572
0.009828299,-0.08321841,0.018151335,0.054184575,0.9841172,0.015882822
0.00929372,-0.082531735,0.018284688,0.05447384,0.9839934,0.016006563
0.011465818,-0.08255784,0.01833128,0.05455465,0.98399204,0.016007936
0.012677908,-0.0826468,0.018341392,0.05456584,0.9840049,0.0159951
0.013567507,-0.08397977,0.01807904,0.053998493,0.9842445,0.015755504
0.011529386,-0.08417784,0.017988654,0.05382315,0.9842859,0.015714128
0.0101538,-0.08337684,0.018125517,0.05412661,0.98414505,0.01585498
0.011309192,-0.082305536,0.01838161,0.054663166,0.98394626,0.01605376
0.0109175,-0.08444519,0.017918644,0.05367713,0.98433554,0.01566448
0.0115354955,-0.08736648,0.017331135,0.052406132,0.9848489,0.0151510285
0.012352288,-0.087595,0.017303128,0.052339517,0.9848864,0.015113599
0.012563512,-0.088749364,0.01707556,0.051844712,0.98508435,0.014915672
0.01372844,-0.08876993,0.01709747,0.05188314,0.98508483,0.014915224
0.010033339,-0.08799134,0.017169975,0.052071463,0.9849611,0.015038914
0.010360733,-0.086695984,0.017440615,0.05265259,0.9847354,0.015264598
0.009741753,-0.08695264,0.01737425,0.052514117,0.98478186,0.015218149
0.010568351,-0.088119105,0.017157624,0.052037492,0.98498154,0.015018465
0.010785341,-0.08840777,0.017104402,0.051920738,0.9850306,0.014969457
0.00817205,-0.0883791,0.017051384,0.0518269,0.98503256,0.014967417
0.009801492,-0.08762179,0.017240431,0.05222318,0.9848978,0.01510219
0.010867104,-0.08661564,0.017468767,0.052708905,0.98472,0.015280031
0.0110093355,-0.08550747,0.017699732,0.05320598,0.98452455,0.015475471
0.010010049,-0.083587036,0.018077642,0.05402544,0.9841835,0.0158165
0.010761768,-0.084340945,0.017936816,0.053717412,0.9843173,0.015682748
0.012097597,-0.084841534,0.017863499,0.053548884,0.98440313,0.015596856
0.011703685,-0.085532114,0.017710501,0.053223964,0.984527,0.015472978
0.010453567,-0.08523129,0.017743792,0.053305864,0.9844771,0.015522904
0.0110798925,-0.084862545,0.017835278,0.05349684,0.9844097,0.015590299
0.012546733,-0.086504385,0.01752996,0.052827526,0.984696,0.015304049
0.0110260695,-0.08679138,0.017435852,0.052638065,0.98475033,0.015249682
0.010449827,-0.086447075,0.017493337,0.052766103,0.98469156,0.01530838
0.010766983,-0.086345926,0.01752154,0.0528239,0.984673,0.015327003
0.012064174,-0.08738752,0.017338874,0.052418645,0.9848512,0.015148802
0.009901419,-0.08749403,0.017267715,0.052283235,0.9848755,0.0151244905
0.0080679655,-0.086373374,0.017453987,0.052700173,0.9846852,0.015314859
0.0074577034,-0.08544545,0.0176302,0.053085644,0.9845233,0.015476712
0.010476172,-0.08572443,0.01764258,0.053087283,0.9845644,0.015435636
0.011166334,-0.0856588,0.017672125,0.05314517,0.9845509,0.015449121
0.009653181,-0.08420463,0.017939275,0.053732023,0.98429585,0.015704134
0.010053083,-0.08384754,0.018023737,0.053909667,0.98423046,0.015769552
0.009196013,-0.083704695,0.018033538,0.0539379,0.98420703,0.01579294
0.010089368,-0.083257034,0.018149365,0.05417814,0.98412347,0.01587654
0.01096271,-0.081958964,0.018447788,0.05480695,0.98388344,0.01611653
0.01040867,-0.082160965,0.018390937,0.054690726,0.98392224,0.016077766
0.010611683,-0.08347006,0.01811667,0.054103818,0.98416066,0.015839363
0.01381883,-0.08534329,0.017799249,0.05339652,0.9844877,0.015512289
0.011109337,-0.0848407,0.017839802,0.053507887,0.9844058,0.015594207
0.00972639,-0.08396216,0.0179919,0.053844225,0.98425204,0.015747977
0.010733008,-0.08458944,0.017884148,0.053604648,0.9843619,0.015638135
0.011930302,-0.08509846,0.017806046,0.05342691,0.98444945,0.015550604
0.012237206,-0.086299345,0.017564662,0.05290544,0.98466086,0.015339141
0.010946751,-0.08673896,0.017444821,0.05265788,0.9847414,0.015258635
0.0076826513,-0.08638175,0.01744319,0.05268059,0.9846876,0.015312321
0.011067122,-0.08677401,0.017441045,0.05264735,0.98474705,0.015252897
0.00929293,-0.08682503,0.017389787,0.052551765,0.9847608,0.015239166
0.009023994,-0.08441816,0.017879806,0.05360966,0.98433596,0.015664062
0.010248244,-0.08443834,0.017904332,0.053652044,0.98433614,0.015663847
0.009185329,-0.08519672,0.017721646,0.053268313,0.9844744,0.015525585
0.0096917,-0.084853634,0.017804665,0.053442642,0.98441195,0.015588059
0.0104626715,-0.08379455,0.018044595,0.05395086,0.98421973,0.01578025
0.011861637,-0.08276744,0.01829596,0.05447599,0.9840293,0.015970727
0.013109297,-0.08288671,0.018300422,0.05447487,0.9840475,0.015952472
