mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0017412081,-0.005948622,-0.1982333,0.1735763,0.08665978,0.0978332,0.16794398,0.7734976,0.058558475
-0.0023600832,-0.0065498985,-0.19761977,0.17342597,0.08654495,0.09774147,0.1678783,0.7736336,0.058488164
-0.0022759214,-0.006069768,-0.19714865,0.1739805,0.086960435,0.09818013,0.16817933,0.77304375,0.058776896
-0.00046304613,-0.0073056333,-0.20251518,0.1705015,0.084464215,0.09540897,0.16622846,0.77679694,0.05697453
-0.00039563328,-0.0075421147,-0.20291808,0.17012505,0.084198385,0.09511941,0.16601978,0.77719665,0.0567836
-0.00029156357,-0.008872289,-0.20454907,0.16829799,0.08292,0.09373515,0.16500969,0.77912414,0.05586608
0.0010061488,-0.008699331,-0.20704678,0.1672121,0.08217056,0.09286388,0.16437292,0.7803189,0.055308137
-0.001357235,-0.007008996,-0.20007795,0.17177348,0.08540194,0.09645566,0.16695747,0.775396,0.057646587
-0.0022859946,-0.0072426014,-0.19835141,0.17241634,0.08585979,0.09699386,0.16733424,0.7746785,0.05798727
-0.0029052272,-0.0073318966,-0.19696197,0.17293055,0.08625445,0.09744345,0.16763644,0.7740943,0.058269262
-0.0030609742,-0.0058195703,-0.19486725,0.17509209,0.08781534,0.09912824,0.16881277,0.7718061,0.059381142
-0.0034662262,-0.006481711,-0.19486722,0.17462854,0.087461,0.0987719,0.16857074,0.7722875,0.0591418
-0.003262855,-0.0059218146,-0.19466609,0.17516638,0.08784868,0.09917833,0.16885501,0.7717304,0.059414588
-0.004311539,-0.005878072,-0.19235837,0.17631955,0.08868052,0.100125305,0.1695042,0.7704722,0.06002358
-0.0036692396,-0.005530495,-0.19333687,0.17611824,0.088536605,0.099937715,0.16937822,0.7707114,0.059910372
-0.0023401752,-0.0066875033,-0.1976259,0.17320198,0.08641895,0.097598724,0.16776292,0.7738495,0.058387596
-0.0022186413,-0.0061586313,-0.19732928,0.17378035,0.086826354,0.098032154,0.16807194,0.77324986,0.058678232
-0.0032336488,-0.006045621,-0.19503206,0.17498577,0.087689444,0.099011086,0.16875136,0.77193904,0.05930965
-0.0012610331,-0.006374415,-0.19971353,0.17252144,0.08591051,0.09700268,0.16735801,0.7746266,0.05801538
-0.0024966374,-0.007996891,-0.19881743,0.17165913,0.08530648,0.0964106,0.16692372,0.7754766,0.05759962
-0.0033734217,-0.006689366,-0.19508684,0.17427619,0.08724223,0.09852394,0.16838275,0.7726449,0.058972437
-0.0024535432,-0.0068241023,-0.19723693,0.17313494,0.08642155,0.09759672,0.1677385,0.7738868,0.05837473
-0.00080964714,-0.0060475282,-0.20020029,0.17247124,0.08589551,0.096960865,0.16732237,0.774686,0.05799167
-0.00031987578,-0.00716665,-0.20290744,0.17051522,0.08443644,0.09538096,0.16622634,0.77680796,0.056965705
-0.0016336218,-0.0071921535,-0.2000404,0.17183307,0.08538467,0.09646221,0.16698666,0.775356,0.057657365
-0.0006681457,-0.007016536,-0.20180482,0.17108531,0.08487013,0.09585761,0.16655314,0.7761769,0.05726994
-0.0017716065,-0.0067471378,-0.19906446,0.17256746,0.085937455,0.09705737,0.16739582,0.7745604,0.058043793
-0.0020254627,-0.0071644373,-0.19885215,0.17227891,0.085754275,0.096867934,0.1672496,0.77484083,0.05790955
-0.0024788752,-0.0061326735,-0.19658375,0.17410137,0.08708141,0.0983134,0.16825654,0.7728883,0.05885521
