mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.028607301,0.006503336,-0.223478,0.05603701,0.01935341,0.025324868,0.061275143,0.93092763,0.007797252
0.03038358,0.0065738037,-0.22745655,0.05515855,0.01892947,0.024785982,0.060490392,0.93192285,0.0075867567
0.029418819,0.006663151,-0.22529249,0.05571717,0.01919203,0.02511958,0.060984164,0.9312975,0.0077182935
0.03504383,0.003031619,-0.24163388,0.050299026,0.016697532,0.021995142,0.056203023,0.9373029,0.006494101
0.033833317,0.0028412864,-0.2387741,0.050751857,0.016920866,0.022279767,0.056627378,0.9367733,0.00659935
0.03130769,0.0043789223,-0.23121558,0.053085506,0.018000286,0.023631046,0.058705192,0.9341719,0.007122852
0.030438595,0.004815705,-0.22881894,0.053837255,0.01834916,0.02406884,0.059369292,0.93333626,0.0072944546
0.02981817,0.005333133,-0.22707467,0.05453588,0.018666083,0.024466077,0.059976786,0.93257064,0.007452636
0.029155008,0.006235577,-0.22498058,0.055550054,0.019123916,0.025037555,0.060849518,0.93146765,0.007682868
0.029868774,0.0062703863,-0.22692291,0.055197675,0.018940259,0.024808073,0.060526777,0.9318781,0.0075951554
0.031246774,0.005607702,-0.23091058,0.0539938,0.018370092,0.024095664,0.05946484,0.93322027,0.007314807
0.029663019,0.0070709065,-0.22585009,0.055902727,0.019257018,0.025200294,0.061127353,0.93111783,0.0077548316
0.030531399,0.006789811,-0.22804181,0.055229507,0.018941825,0.024804076,0.060538117,0.93186444,0.0075974492
0.03183543,0.0058905557,-0.23170243,0.05389286,0.018328095,0.0240355,0.05937275,0.9333354,0.0072918255
0.03543382,0.0037179366,-0.24182831,0.050575443,0.016815608,0.02213688,0.056437418,0.93701124,0.0065513123
0.036682837,0.0023054555,-0.24585782,0.049029145,0.016132016,0.021279862,0.055064745,0.93871486,0.0062204185
0.037405603,0.0014680699,-0.24814753,0.04814779,0.015747655,0.020796672,0.05427856,0.9396861,0.006035312
0.03652721,0.0014631674,-0.24607722,0.048550665,0.015934039,0.021034531,0.054651607,0.93922496,0.006123449
0.0350663,0.0027982965,-0.24155878,0.050135873,0.016637955,0.021918371,0.05606727,0.9374704,0.006462345
0.031115405,0.0039890483,-0.23151098,0.052892055,0.01790281,0.02351648,0.058535095,0.9343869,0.007078027
0.028729014,0.005158074,-0.22476403,0.054977067,0.018880138,0.024740284,0.06037597,0.9320657,0.0075583123
0.029543988,0.007185273,-0.22498016,0.056072842,0.019355508,0.025317263,0.061284393,0.9309164,0.0077991737
0.027969413,0.007332526,-0.22183572,0.056994595,0.019776024,0.025855709,0.062086735,0.9298982,0.008015087
0.028036647,0.007029958,-0.22216015,0.05674537,0.019665113,0.025717735,0.06187632,0.9301656,0.007958108
0.031983487,0.007272519,-0.23097388,0.054849595,0.018746497,0.024549726,0.0601811,0.93231696,0.007501986
0.03472673,0.0053582564,-0.2394719,0.05204616,0.01744285,0.022923961,0.057710458,0.93542564,0.006863884
0.03682249,0.003604196,-0.2457804,0.04983279,0.016450629,0.021679198,0.055748194,0.93787086,0.006380979
0.038869612,0.0019603297,-0.25158972,0.047792617,0.015559571,0.020555574,0.05392604,0.9401232,0.005950769
0.038401417,0.0022519007,-0.2498328,0.04820003,0.015753593,0.020796489,0.054302473,0.9396575,0.006040011
0.041211657,0.0002162978,-0.25821632,0.045638137,0.014629144,0.019379225,0.05197754,0.942514,0.0055084624
0.04167532,-0.001977943,-0.2613442,0.044099417,0.013979058,0.01856711,0.0505899,0.94420564,0.005204385
0.035592906,0.00229422,-0.24297796,0.04955295,0.016385946,0.021600028,0.055552453,0.93810886,0.0063387416
0.034029238,0.0027951673,-0.23916887,0.050625287,0.016866282,0.022209747,0.05651534,0.93691254,0.0065721474
0.034209244,0.0023461506,-0.24022935,0.05023918,0.016686557,0.021988032,0.056170076,0.937343,0.0064869416
0.027464204,0.0065506175,-0.22076206,0.056688562,0.01966997,0.02572449,0.061853044,0.9301925,0.007954506
0.024312131,0.008020766,-0.2121272,0.05956163,0.021048624,0.02744593,0.06433992,0.92701066,0.008649428
0.023771934,0.008218758,-0.21051256,0.060030665,0.021284988,0.027738703,0.06474795,0.9264846,0.008767473
0.025668912,0.00787691,-0.21513866,0.05869812,0.020635186,0.026922798,0.06359169,0.9279705,0.008437821
0.025849096,0.0078051016,-0.21577959,0.058532212,0.02054872,0.026816856,0.06344514,0.928159,0.008395836
0.026039414,0.0077968463,-0.21630155,0.058423437,0.020491865,0.026745968,0.06334762,0.9282844,0.008368011
0.028754108,0.0054135546,-0.22473459,0.055143043,0.018949198,0.024826413,0.060514096,0.9318916,0.007594266
0.028985314,0.0063526705,-0.22425924,0.05573536,0.019219391,0.02515419,0.06101536,0.9312564,0.007728246
0.029356591,0.006405689,-0.22532533,0.05556438,0.01912598,0.025038483,0.06085677,0.9314587,0.0076845298
0.02924227,0.006210007,-0.22539167,0.055479124,0.019083077,0.024988413,0.060783383,0.93155223,0.0076643834
0.028668575,0.006629534,-0.2235866,0.056100443,0.01937784,0.025355004,0.06132561,0.930864,0.007810423
0.02990418,0.0058797523,-0.22703145,0.054888465,0.018813487,0.024648864,0.06027018,0.93220115,0.007528689
0.031794123,0.0048252717,-0.23230456,0.053152878,0.01800893,0.023640564,0.058744714,0.9341241,0.00713117
0.031063847,0.0052575096,-0.23018532,0.053834826,0.018325917,0.024037289,0.05934651,0.9333667,0.0072868005
