mu1,mu2,sigma1,sigma2,pi1,pi2
0.04261051,-0.014031852,0.15551071,0.015468585,0.41388184,0.5861182
0.042099074,-0.010831574,0.15507276,0.015441904,0.4130778,0.5869222
0.04140918,-0.012807334,0.15599923,0.015702875,0.41338214,0.5866179
0.044933245,-0.009840021,0.15134454,0.0143586015,0.41339603,0.586604
0.04543604,-0.009010429,0.15073548,0.014202248,0.413316,0.586684
0.04830073,-0.0037372354,0.14752443,0.01338471,0.41275838,0.5872416
0.050687447,-0.0058455262,0.14617378,0.012922391,0.4136963,0.5863037
0.045531705,-0.00986279,0.15249015,0.01461233,0.41356122,0.5864388
0.04496263,-0.0080241505,0.15297633,0.014812929,0.41306874,0.5869312
0.04514341,-0.006848598,0.15321423,0.01489969,0.41288728,0.5871127
0.043117806,-0.012630591,0.15668084,0.015791338,0.4137449,0.58625513
0.04332514,-0.009572724,0.1558122,0.01559829,0.41310775,0.58689225
0.042742833,-0.012213225,0.15679647,0.015854068,0.41357175,0.5864283
0.041281745,-0.011078084,0.1581749,0.016325135,0.41304746,0.58695257
0.041379973,-0.013251776,0.15821989,0.016293569,0.4135309,0.5864691
0.044096455,-0.010144571,0.1542643,0.015140279,0.41335663,0.58664334
0.04315065,-0.012514645,0.15537831,0.01543967,0.41367733,0.58632267
0.04139529,-0.011768142,0.15691504,0.015958544,0.4131759,0.5868241
0.043627426,-0.012805367,0.15403971,0.015060228,0.4138075,0.5861925
0.044772133,-0.004759306,0.15181167,0.01458782,0.41231215,0.58768785
0.043336228,-0.008759821,0.1551744,0.015484919,0.41296366,0.5870363
0.045133606,-0.009059647,0.15377499,0.014987658,0.41335997,0.58664006
0.045296505,-0.014543841,0.15393128,0.0148979295,0.4145215,0.58547854
0.04598634,-0.011050159,0.15141822,0.014280131,0.4138503,0.5861497
0.04403521,-0.009549359,0.1528335,0.014795205,0.41317585,0.5868242
0.044685647,-0.011057192,0.15209743,0.01454535,0.41362822,0.5863718
0.042781547,-0.010608906,0.15400597,0.015133386,0.41315877,0.5868412
0.043466076,-0.008560354,0.15323283,0.014953642,0.41287002,0.58713
0.04191111,-0.012019375,0.15590686,0.015668048,0.41333118,0.5866688
0.04710962,-0.004580641,0.14950491,0.01390138,0.4127272,0.58727276
0.049527213,-0.0033716355,0.14798403,0.013455353,0.41298023,0.5870198
0.049770698,-0.0046931747,0.14900866,0.013654275,0.41333446,0.5866655
0.043616757,-0.010859454,0.15724598,0.015948262,0.41349202,0.586508
0.040069863,-0.009251187,0.16165832,0.017426534,0.41250443,0.58749557
0.041348144,-0.012033382,0.16102575,0.017117793,0.41336533,0.5866347
0.03866203,-0.012527952,0.1645843,0.018281823,0.4129594,0.5870406
0.0378782,-0.012769306,0.16589457,0.01873605,0.4128827,0.5871173
0.03874351,-0.013587633,0.16502637,0.018393524,0.413219,0.58678097
0.03693323,-0.016177813,0.1674295,0.019164307,0.41341537,0.5865846
0.038013443,-0.013850728,0.16512798,0.018456237,0.41310272,0.58689725
0.03868194,-0.012521395,0.16400175,0.01812154,0.41295275,0.5870473
0.039097205,-0.016500035,0.16364883,0.017886393,0.41385755,0.5861424
0.036289856,-0.014008636,0.16623615,0.018890627,0.41278085,0.5872191
0.039348528,-0.011434862,0.16209239,0.017560015,0.41282797,0.58717203
0.03904529,-0.014349664,0.16304861,0.01777114,0.41339016,0.5866099
0.03980364,-0.012746105,0.16161282,0.01733825,0.4131665,0.58683354
0.041313186,-0.0115020815,0.15950802,0.016692402,0.4131862,0.5868138
0.041261837,-0.011988157,0.15960453,0.016708327,0.4132801,0.58671993
0.039773032,-0.012005756,0.16144249,0.01731613,0.41300803,0.58699197
