mu1,mu2,sigma1,sigma2,pi1,pi2
-0.00802663,0.005995974,0.072264716,0.012772562,0.4689623,0.53103775
-0.0059438944,0.002229184,0.071133174,0.012328467,0.47001213,0.5299879
-0.008092344,0.004672408,0.07187881,0.012623797,0.4692285,0.5307715
0.0013459921,0.008896425,0.06478653,0.010443574,0.47072026,0.52927977
0.0006971359,0.011910692,0.06536041,0.010659499,0.46998194,0.5300181
-0.0019977987,0.00933221,0.068370566,0.0115495715,0.46959272,0.5304073
-0.0020933151,0.008212566,0.0693373,0.0118247345,0.46948287,0.53051716
-0.002396971,0.0061169267,0.07023694,0.012071658,0.469623,0.53037703
-0.0038297176,0.0030498654,0.07156432,0.012449911,0.46978384,0.53021616
-0.0039850473,0.0018197298,0.07113812,0.012296627,0.4700865,0.5299135
-0.0033960044,0.0029955357,0.06960858,0.011836782,0.47027943,0.5297206
-0.007925391,0.0013120174,0.07211121,0.01264132,0.4698373,0.53016275
-0.00834167,0.0025975704,0.07126935,0.012401897,0.46978286,0.5302172
-0.007262647,0.005238712,0.06954222,0.011897601,0.46979916,0.53020084
-0.0013045669,0.007831767,0.065203145,0.010575402,0.47070694,0.52929306
0.0021223128,0.011046678,0.06315595,0.009997601,0.47080502,0.529195
0.004404366,0.012648821,0.062027335,0.009644856,0.4714711,0.5285289
0.0050209463,0.0129597485,0.0625377,0.009777936,0.4713554,0.5286446
0.004153043,0.008099824,0.06457664,0.010309374,0.47148615,0.52851385
-0.00048688054,0.009686232,0.06811145,0.0114535475,0.46953273,0.5304673
-0.0035536587,0.008650154,0.07079676,0.012303693,0.46903062,0.5309694
-0.0033480227,-0.0026176125,0.07224045,0.012563802,0.47071153,0.5292885
-0.007784754,0.0016402453,0.07350797,0.013080837,0.46930018,0.53069985
-0.009465694,0.004076287,0.07319169,0.013054888,0.46906137,0.5309386
-0.005848795,-0.003816411,0.07077811,0.012118584,0.4712195,0.5287805
-0.0038283467,0.0016040504,0.067205645,0.011089375,0.47103998,0.52896
-0.001752913,0.0064027756,0.06431517,0.010302033,0.47118825,0.52881175
0.00180462,0.010472283,0.06164029,0.009563013,0.47144207,0.52855796
0.0021248162,0.009855777,0.0621563,0.0096937185,0.47146764,0.5285323
0.0065030754,0.013865769,0.058917332,0.008732724,0.4731479,0.5268521
0.009826392,0.02128677,0.056899853,0.008226001,0.47314364,0.52685636
0.004491061,0.01002945,0.063824214,0.010125675,0.47139212,0.5286079
0.0037744045,0.00955525,0.0652091,0.010527031,0.47075513,0.5292449
0.0047807693,0.010009602,0.06471859,0.010366925,0.4711253,0.5288747
-0.0055189133,0.0044998974,0.073028885,0.012959644,0.46911892,0.5308811
-0.01091668,0.005185753,0.07675013,0.014259768,0.4679238,0.53207624
-0.011971891,0.0058835894,0.077351004,0.014493377,0.46767095,0.532329
-0.009362847,0.003583312,0.07563436,0.01384042,0.4685654,0.5314346
-0.009540468,0.0038680434,0.0754383,0.013779253,0.46849605,0.5315039
