mu1,mu2,sigma1,sigma2,pi1,pi2
0.0082895085,-0.005855888,0.03107047,0.013547715,0.1319201,0.86807996
0.009645186,-0.0052972585,0.032476645,0.014406185,0.13467354,0.86532646
0.0112842545,-0.0045989603,0.031445947,0.013826633,0.13254523,0.8674547
0.011658303,-0.0045968294,0.030476473,0.013284444,0.13069423,0.8693058
0.011879288,-0.004136719,0.030194445,0.013125087,0.13026153,0.8697385
0.011823826,-0.003982678,0.030503599,0.013315576,0.13101491,0.86898506
0.0090333745,-0.006284192,0.032163158,0.01427905,0.13454989,0.86545014
0.009044759,-0.0052227676,0.028648479,0.012219356,0.127511,0.87248904
0.009774379,-0.004701838,0.029430274,0.012674374,0.129116,0.870884
0.009814315,-0.0052455217,0.031331446,0.013797771,0.13297155,0.8670285
0.008050434,-0.0054722205,0.029686911,0.012774394,0.12956966,0.87043035
0.009149633,-0.0050205737,0.030762382,0.013419355,0.13171384,0.86828613
0.0099732205,-0.0048107505,0.030268166,0.013143123,0.13061549,0.8693845
0.010691635,-0.0041278154,0.030666474,0.013379704,0.13143516,0.86856484
0.010365151,-0.004232973,0.030365683,0.013190203,0.1308094,0.8691906
0.010234468,-0.0046976507,0.030246096,0.013143707,0.1306629,0.8693371
0.00863301,-0.0052864105,0.029885082,0.012900458,0.12999569,0.87000436
0.009661876,-0.0045633167,0.029845444,0.012892143,0.12989159,0.8701084
0.007646464,-0.005684696,0.029512309,0.0126587255,0.1291627,0.8708373
0.008478485,-0.0057400092,0.032635327,0.0145188095,0.13537446,0.8646256
0.0109766945,-0.004728295,0.031759664,0.014029465,0.13331455,0.86668545
0.011533849,-0.004656762,0.031624496,0.013964921,0.1330638,0.8669362
0.0037373528,-0.0071421713,0.031544056,0.013703735,0.1330342,0.8669658
0.0066710636,-0.0063940957,0.03285955,0.014550135,0.13543615,0.8645639
0.009535067,-0.0052164793,0.033095043,0.014745767,0.13566825,0.8643318
0.010986678,-0.00513044,0.033168323,0.014833022,0.13574335,0.8642566
0.0121236965,-0.0040080175,0.032179955,0.014259579,0.13390666,0.8660934
0.011875324,-0.0043284595,0.033463255,0.015043727,0.13656189,0.8634381
0.012245767,-0.0036777928,0.031227963,0.013713692,0.13224871,0.8677513
0.011934541,-0.0038809255,0.03120943,0.013719678,0.13234389,0.8676561
0.012242369,-0.0037535876,0.03145909,0.013874295,0.13284166,0.86715835
0.010555051,-0.0053467005,0.033886995,0.015333361,0.13784133,0.86215866
0.010274462,-0.004351519,0.030571515,0.01333682,0.13148448,0.8685155
0.010769986,-0.003309153,0.031100085,0.013638815,0.13259313,0.8674069
0.011018954,-0.0038179457,0.03085772,0.013513172,0.13203482,0.86796516
0.01123067,-0.0031010062,0.030510899,0.013303668,0.1314227,0.8685773
0.011546098,-0.002786234,0.030926334,0.013545201,0.1322503,0.86774975
0.011366598,-0.0031184927,0.03058696,0.013353397,0.13159904,0.86840093
0.010516785,-0.00310421,0.029878303,0.012917503,0.13025421,0.86974573
0.010386221,-0.0032662824,0.02973053,0.012841518,0.1300021,0.8699979
0.0105863735,-0.0033490956,0.02982404,0.012905522,0.13016602,0.869834
0.0064592287,-0.0051916093,0.029941678,0.012879131,0.13042158,0.8695784
0.00832852,-0.004170373,0.031483904,0.013798697,0.13338122,0.8666188
0.0099959,-0.004361756,0.031563964,0.013894809,0.13325526,0.86674476
0.011317752,-0.0038489252,0.031188786,0.013687865,0.13238227,0.8676177
0.011546217,-0.003559783,0.030988455,0.01357584,0.1320576,0.86794245
0.011652403,-0.003525503,0.030621458,0.0133700585,0.13137135,0.8686286
0.0115976855,-0.0034200847,0.030397518,0.013240903,0.13101058,0.86898947
0.011599712,-0.0029971227,0.030403448,0.013240207,0.13112654,0.8688735
0.009527169,-0.0038606972,0.029829755,0.012866881,0.13004223,0.8699578
0.00896468,-0.00482367,0.030703448,0.013398426,0.13195427,0.86804575
0.009593956,-0.004195638,0.02877642,0.012299541,0.12801573,0.8719843
0.00034242123,-0.008270562,0.028939469,0.0121968165,0.12838112,0.87161887
