mu1,mu2,sigma1,sigma2,pi1,pi2
0.0076670945,0.00040405244,0.14357625,0.0218445,0.027001709,0.9729983
0.012812108,0.0025548935,0.14267272,0.021489162,0.02648604,0.97351396
0.010904163,0.00188151,0.14296956,0.021598635,0.02666127,0.9733387
0.010127455,-0.00045045465,0.1417641,0.021276973,0.02626192,0.9737381
0.0045101345,-0.0032783598,0.14249685,0.021597149,0.026731517,0.9732685
0.0030582845,-0.0034323707,0.14318505,0.021832561,0.027035916,0.9729641
0.0030301511,-0.0029121116,0.14355773,0.021939656,0.027171742,0.9728282
0.0050486624,-0.0013071,0.14371753,0.021945484,0.027153224,0.9728468
0.00913021,0.0014763325,0.1436861,0.021852637,0.026987392,0.9730126
0.01312229,0.0037302896,0.14329404,0.021654608,0.026694926,0.9733051
0.014708251,0.0042038113,0.14281948,0.021485807,0.026467826,0.9735322
0.016172796,0.0052055568,0.14281042,0.021453759,0.026410444,0.97358954
0.016221434,0.004637681,0.14234377,0.021316592,0.026242707,0.97375727
0.014149696,0.0026426315,0.1419265,0.021237737,0.0261708,0.97382915
0.0129930675,0.00056854635,0.14107066,0.021022743,0.025911918,0.9740881
0.0091742575,-0.0020228997,0.14109246,0.021102816,0.026058203,0.9739418
0.0070138276,-0.0034270287,0.14121255,0.021184862,0.026180837,0.9738192
0.0048743784,-0.0040671825,0.1418149,0.021399861,0.026474522,0.97352546
0.008126646,-0.0014526844,0.14214881,0.021437237,0.026474891,0.9735251
0.0035140812,-0.0023740083,0.1436128,0.021937028,0.027171535,0.97282845
0.0014764369,-0.0028890371,0.14432915,0.022194179,0.027511593,0.9724884
0.014780968,0.004603423,0.14331594,0.021627678,0.026625268,0.9733748
0.013856202,0.0051779673,0.14381677,0.021767206,0.026843421,0.97315663
0.011587054,0.0032298863,0.14360334,0.021763839,0.026859445,0.9731406
0.023337096,0.00824248,0.14161898,0.020970173,0.025713377,0.9742866
0.0234057,0.0076868385,0.14089881,0.020751623,0.025466282,0.97453374
0.019748002,0.0043021888,0.1403282,0.020672094,0.025405137,0.9745949
0.015010864,0.0004422292,0.13997713,0.020673856,0.025455682,0.97454435
0.012879461,-0.00092545897,0.14011253,0.0207588,0.025580421,0.9744196
0.011864036,-0.0021382347,0.13975923,0.0206798,0.02549323,0.9745068
0.0040265024,-0.006271653,0.14059387,0.02106142,0.026068661,0.9739314
0.005464226,-0.0036355332,0.1419351,0.021432154,0.026497697,0.9735023
0.0052871406,-0.002547495,0.14269094,0.021642521,0.02677335,0.97322667
0.0056241453,-0.002021946,0.14293048,0.021707447,0.026847444,0.9731526
0.0057531297,0.0002497807,0.14447315,0.02214883,0.02740029,0.9725997
0.0031041205,-0.00027270615,0.14533329,0.022446629,0.02781486,0.97218513
0.001178354,-0.0014712065,0.14545402,0.022524787,0.027934672,0.9720653
0.0047771037,-0.0001539141,0.14469251,0.022235144,0.027518056,0.97248197
0.0057505667,0.00048791617,0.1445963,0.022179924,0.027444186,0.9725558
0.0066313446,0.00083652884,0.1444019,0.022104593,0.027339695,0.97266024
0.0029825866,-0.0020818636,0.14408068,0.022083078,0.02736165,0.97263837
0.0075055063,0.00019457191,0.14363135,0.021875583,0.027030146,0.97296983
0.010184258,0.0019264519,0.14345674,0.021762338,0.026864678,0.9731353
0.009647101,0.0016587079,0.14348324,0.021776374,0.026893452,0.9731065
0.009160429,0.0013224706,0.14349853,0.021792093,0.026917541,0.9730825
0.008396894,0.00036060065,0.1431913,0.02171953,0.026835859,0.97316414
0.008540899,-0.00021637976,0.14274265,0.021591092,0.026670218,0.9733297
0.008303195,-0.00012078881,0.14292099,0.021646384,0.026742883,0.9732571
0.0071499646,-0.00060869753,0.14311968,0.021724699,0.02685702,0.973143
0.006343633,-0.0009653941,0.14326915,0.021784673,0.02694127,0.97305876
0.007791549,-0.0008711517,0.14266774,0.021586867,0.026671778,0.97332823
0.009855241,0.0008420944,0.14287524,0.021605037,0.026669193,0.97333086
0.011591464,0.0023127645,0.14303072,0.021611013,0.026659315,0.9733407
0.017255217,0.0050977916,0.14226668,0.021276928,0.026172759,0.97382724
0.019750208,0.006173387,0.14171863,0.021069003,0.025891827,0.9741082
0.020077556,0.0055734664,0.14111629,0.020894185,0.025671637,0.9743284
0.014539272,0.0019803718,0.1412374,0.021032438,0.025913075,0.97408694
0.008563966,-0.0018787906,0.14147972,0.021223566,0.026217569,0.9737824
0.005604714,-0.003945209,0.14153017,0.021302769,0.026345588,0.9736544
0.006193787,-0.0036646575,0.14148283,0.021281524,0.02630782,0.9736922
0.010066122,-0.0011493489,0.14139168,0.021181038,0.026133878,0.9738661
0.012668699,0.0011309758,0.141687,0.021208914,0.026142176,0.9738579
0.012558311,0.001761049,0.142159,0.021342622,0.026313072,0.97368693
0.0042559803,-0.0014369562,0.14388655,0.02199818,0.027242027,0.972758
0.0055300295,-0.00055639446,0.14405581,0.022037255,0.027258288,0.9727417
0.006805867,0.00068862736,0.14423577,0.02205542,0.02727332,0.9727267
0.0068970025,0.00031122565,0.14387812,0.021946108,0.027139565,0.97286046
0.007842034,-8.781254e-05,0.14315866,0.021722691,0.026845219,0.9731548
0.0013733804,-0.003772445,0.14364642,0.021988261,0.027264662,0.97273535
0.0070019662,-0.0011721253,0.14295973,0.021697748,0.026808385,0.9731916
0.0045388043,-0.0011404827,0.14401606,0.022035358,0.027279384,0.9727206
