mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.024994805,-0.05583188,0.010875002,0.023450663,0.17155527,0.07503109,0.7143311,0.023522498,0.26214644
-0.026107684,-0.06087497,0.014601901,0.02254337,0.16818118,0.073041044,0.7167736,0.022567483,0.2606589
-0.032384053,-0.07526693,0.016462281,0.021938395,0.1648503,0.07206163,0.72000164,0.021607084,0.2583913
-0.024756745,-0.06998953,0.025221229,0.020054245,0.15921067,0.0673177,0.7234527,0.020111583,0.25643578
-0.029192999,-0.07337019,0.022461906,0.020724136,0.16103296,0.06901805,0.722134,0.020604117,0.25726193
-0.028592244,-0.07179907,0.021682784,0.020885857,0.16173033,0.069378115,0.7216407,0.020789778,0.25756946
-0.025899485,-0.06856063,0.024192855,0.020419762,0.16047157,0.06812355,0.7221575,0.020470425,0.25737214
-0.022394136,-0.05207762,0.015784398,0.022534454,0.16891411,0.07267669,0.7152851,0.022826549,0.2618883
-0.02470012,-0.05779645,0.018832311,0.02186506,0.16613601,0.071235,0.7172669,0.02205605,0.260677
-0.026185349,-0.058989435,0.017152637,0.022251364,0.16724476,0.072189726,0.71661216,0.022359665,0.26102814
-0.021714166,-0.05091217,0.017755717,0.02221473,0.16792308,0.07183986,0.71558887,0.022573335,0.2618378
-0.022537306,-0.04984042,0.016836613,0.022537805,0.16899154,0.07253456,0.71456665,0.022891816,0.26254153
-0.01670535,-0.032188624,0.011212289,0.024165964,0.17584822,0.0757195,0.70872766,0.024917506,0.2663549
-0.028163746,-0.0542365,0.012490943,0.02366856,0.17198509,0.07528135,0.7126063,0.023747081,0.26364657
-0.02655007,-0.05129388,0.008613884,0.02445801,0.17483908,0.07708917,0.7110937,0.024539575,0.26436672
-0.019799545,-0.038638145,0.007545188,0.024814242,0.17729071,0.0774902,0.70877385,0.025282571,0.2659436
-0.012968257,-0.024630278,0.009698957,0.02458813,0.1779779,0.07643977,0.7069349,0.025557436,0.26750758
-0.023781732,-0.04172638,0.00937891,0.024643492,0.17622156,0.0770931,0.70884115,0.025019424,0.26613948
-0.019053414,-0.033575445,0.008531705,0.024880756,0.17784937,0.07738547,0.7074523,0.025508247,0.26703948
-0.020924047,-0.034269363,0.0057490617,0.025638705,0.18002367,0.07910915,0.7060264,0.026158812,0.26781484
-0.016830698,-0.028435022,0.008026525,0.025117274,0.17908056,0.07772821,0.70621103,0.02589733,0.26789165
-0.028258517,-0.048429042,0.006107226,0.02537662,0.17773399,0.07901108,0.7084776,0.025435157,0.26608726
-0.02883698,-0.057310313,0.0095463395,0.024121203,0.17321667,0.07652488,0.712656,0.024047107,0.2632969
-0.025697902,-0.048793048,0.0037588477,0.025533177,0.17846243,0.079532735,0.7090735,0.025570638,0.2653559
-0.026606098,-0.0497469,0.0013496578,0.026037844,0.17992733,0.080754414,0.7084326,0.02598232,0.26558504
-0.024986759,-0.051836997,0.0056702346,0.024770347,0.17601688,0.0779691,0.71127826,0.024808893,0.26391286
-0.03322287,-0.076299876,0.014213279,0.022359531,0.16614242,0.07313685,0.71944445,0.021941837,0.25861374
-0.021314695,-0.054843813,0.014519513,0.02245149,0.16861954,0.07269121,0.7165207,0.022676067,0.26080322
-0.02705498,-0.06702086,0.019398287,0.021395853,0.16389006,0.07047863,0.71994597,0.021377502,0.25867653
-0.025213316,-0.06481519,0.021741956,0.020951226,0.16261357,0.06932093,0.72052747,0.021047957,0.25842458
-0.024569407,-0.06829175,0.028786376,0.019577472,0.1575743,0.065997586,0.723749,0.019730357,0.25652066
-0.025000468,-0.06133756,0.022785783,0.021003852,0.16294743,0.06925242,0.7194708,0.02118741,0.25934178
-0.026661888,-0.060869664,0.019064143,0.021850534,0.16573602,0.07127252,0.7175981,0.021947917,0.26045397
-0.025602773,-0.058226496,0.017571747,0.022186946,0.1670989,0.07200381,0.71662927,0.022324404,0.26104635
-0.023798063,-0.052002758,0.014542654,0.022954382,0.1701594,0.07362174,0.7142231,0.023195567,0.26258135
-0.017901495,-0.039567083,0.014684811,0.023125557,0.17191784,0.073593326,0.71204054,0.023742668,0.2642168
-0.025912777,-0.045763344,0.0063828677,0.025203783,0.17758979,0.07856796,0.7086291,0.025380338,0.26599059
-0.027152434,-0.05464855,0.010243222,0.023951538,0.17299093,0.07604947,0.7126281,0.023988,0.26338384
-0.021818832,-0.044725806,0.009071752,0.024288613,0.1750991,0.07651466,0.71074146,0.024613498,0.26464504
-0.029704109,-0.05978337,0.00904274,0.02409941,0.17297643,0.0765936,0.7131763,0.02395413,0.26286954
-0.012930766,-0.03295037,0.014144644,0.023130983,0.1727559,0.073456466,0.71151155,0.023966275,0.26452222
-0.025915876,-0.052001506,0.013192758,0.023414165,0.17150447,0.074645385,0.71295863,0.023600224,0.26344112
-0.027537957,-0.05524525,0.010706633,0.023843288,0.17258848,0.07581339,0.71286887,0.023874316,0.2632568
-0.031602457,-0.065274686,0.009607598,0.02383791,0.17165889,0.076188356,0.71457803,0.023550116,0.2618719
-0.019445434,-0.0464274,0.012500063,0.023239125,0.17180744,0.07419744,0.7134135,0.023632128,0.26295444
-0.0204757,-0.05045703,0.019270644,0.021831607,0.16676573,0.07092467,0.7163718,0.02224872,0.26137954
-0.023366883,-0.049321026,0.014551595,0.023045981,0.17067331,0.07372744,0.7134824,0.023361702,0.2631559
-0.019803122,-0.04006931,0.012119293,0.023771355,0.17386322,0.0751012,0.7107329,0.024303803,0.26496336
-0.028788164,-0.057625026,0.012600839,0.02347776,0.17113681,0.074991435,0.7136851,0.023474822,0.2628401
-0.025884941,-0.0497078,0.0064727217,0.024911545,0.17644635,0.07811476,0.71018726,0.024993917,0.26481885
