mu1,mu2,sigma1,sigma2,pi1,pi2
0.004429156,0.025055982,0.40716863,0.6963486,0.5409662,0.45903385
0.004428247,0.025053777,0.40716955,0.696348,0.5409663,0.4590338
0.0044357646,0.02507183,0.40716225,0.6963537,0.5409657,0.4590343
0.004414046,0.025019698,0.40718335,0.6963369,0.5409673,0.4590327
0.004562253,0.025375463,0.40703908,0.6964516,0.54095644,0.45904362
0.0044964794,0.025217585,0.4071031,0.6964007,0.54096127,0.4590388
0.004504377,0.02523654,0.4070954,0.6964068,0.54096067,0.45903936
0.0045033563,0.02523411,0.4070964,0.696406,0.5409607,0.45903927
0.0045715813,0.025397867,0.40703,0.6964588,0.5409557,0.45904428
0.004535908,0.025312208,0.40706468,0.69643116,0.54095834,0.45904166
0.004513832,0.025259249,0.40708622,0.6964142,0.54095995,0.45904002
0.004503304,0.025233947,0.40709642,0.696406,0.5409607,0.45903927
0.0044627506,0.025136627,0.4071359,0.6963746,0.5409637,0.4590363
0.004611412,0.02556301,0.40695065,0.696501,0.5409557,0.4590443
0.00446813,0.025149532,0.4071307,0.6963788,0.54096335,0.4590367
0.0043901224,0.024962284,0.40720665,0.6963184,0.5409691,0.459031
0.0044918153,0.02520638,0.40710765,0.6963972,0.54096156,0.4590384
0.0044484604,0.025102325,0.40714985,0.69636357,0.5409648,0.45903525
0.0044440124,0.025091633,0.40715417,0.6963601,0.5409651,0.4590349
0.004422212,0.025039308,0.40717545,0.6963433,0.5409667,0.45903334
0.0044314805,0.025061555,0.40716636,0.6963504,0.54096603,0.459034
0.004438767,0.02507905,0.4071593,0.69635606,0.5409655,0.45903453
0.004426973,0.02505073,0.4071708,0.69634706,0.54096633,0.45903367
0.004385123,0.024950273,0.4072116,0.6963146,0.54096943,0.4590306
0.004371414,0.024917372,0.40722486,0.696304,0.54097044,0.4590296
0.004400978,0.02498833,0.40719607,0.69632685,0.54096824,0.45903176
0.0043479,0.024860919,0.40724775,0.6962858,0.5409722,0.45902786
0.0043651704,0.024902381,0.40723097,0.69629914,0.54097086,0.45902914
0.004404234,0.024996154,0.40719292,0.6963294,0.540968,0.459032
0.004387656,0.02495636,0.40720907,0.69631654,0.5409692,0.45903078
0.0043349583,0.02482985,0.4072604,0.6962758,0.54097307,0.4590269
0.0042907093,0.024748735,0.40730157,0.6962501,0.54097724,0.45902276
0.0043409187,0.024844155,0.40725455,0.69628036,0.54097265,0.45902735
0.004389787,0.024961464,0.407207,0.69631815,0.5409691,0.45903093
0.004356647,0.024881922,0.4072393,0.6962925,0.5409715,0.45902854
0.004399607,0.024985068,0.40719745,0.6963258,0.54096836,0.45903167
0.0043825824,0.024944179,0.407214,0.69631255,0.5409696,0.45903042
0.00436786,0.024908848,0.40722832,0.6963013,0.5409707,0.45902935
0.004386777,0.024954237,0.40720993,0.6963158,0.5409693,0.45903072
0.0043666754,0.024906002,0.40722948,0.6963003,0.54097074,0.45902923
0.0044018645,0.024990462,0.40719524,0.69632757,0.5409682,0.45903182
0.00443607,0.025072567,0.40716192,0.696354,0.5409657,0.45903435
