mu1,mu2,sigma1,sigma2,pi1,pi2
0.0022767298,0.036803648,0.22958604,0.6944888,0.57437336,0.4256267
0.0023259334,0.036920518,0.22952303,0.694522,0.5743775,0.42562255
0.0024809353,0.037289143,0.22932379,0.6946267,0.5743903,0.42560974
0.0024075918,0.03711115,0.22942446,0.69457716,0.5743859,0.42561412
0.002426546,0.03715974,0.22939377,0.69459,0.57438576,0.4256142
0.0024085306,0.037115872,0.22941881,0.69457775,0.5743848,0.4256152
0.0025271736,0.0374524,0.22922023,0.6946648,0.57440597,0.42559403
0.002184596,0.036585137,0.22970346,0.69442654,0.5743654,0.4256346
0.0022176914,0.036664337,0.22966002,0.694449,0.57436794,0.4256321
0.0022214614,0.036673456,0.22965483,0.6944515,0.5743682,0.42563188
0.0021237545,0.036440298,0.229782,0.6943855,0.57436043,0.4256396
0.002097886,0.036383018,0.22981006,0.6943685,0.574358,0.425642
0.0018914454,0.035890117,0.2300771,0.69422877,0.57434016,0.42565987
0.0021058135,0.036402196,0.2297969,0.69437355,0.57435685,0.4256432
0.002106201,0.036400378,0.22980134,0.6943738,0.57435817,0.4256419
0.0019888543,0.036120757,0.22995348,0.69429463,0.5743487,0.42565128
0.0018175356,0.03571415,0.23017284,0.69417894,0.5743342,0.42566586
0.0019726567,0.03608498,0.22996938,0.6942836,0.57434607,0.42565393
0.0018853061,0.035875842,0.23008437,0.6942246,0.5743395,0.42566052
0.001889538,0.035886228,0.23007841,0.6942275,0.5743397,0.4256603
0.0018188469,0.03571722,0.23017116,0.69417983,0.57433426,0.42566574
0.0020343624,0.03623244,0.22988851,0.6943253,0.57435083,0.4256492
0.002161663,0.036531985,0.22973049,0.6944111,0.5743628,0.42563716
0.0021205358,0.036434144,0.22978346,0.6943834,0.5743595,0.42564055
0.0021777414,0.03657043,0.22970936,0.69442207,0.57436407,0.4256359
0.0022332184,0.03670056,0.22964127,0.69445944,0.57436955,0.42563048
0.0025015436,0.037338227,0.22929719,0.69464064,0.57439196,0.42560804
0.0022968315,0.03684841,0.22956568,0.6945023,0.5743764,0.42562363
0.0023938678,0.037082225,0.22943538,0.69456786,0.574383,0.42561704
0.0023508929,0.036978677,0.22949316,0.6945389,0.5743801,0.42561993
0.0023687296,0.037032813,0.22946016,0.69455254,0.574384,0.42561606
0.0022387765,0.036714166,0.22963347,0.69446325,0.5743698,0.42563018
0.0022237115,0.036678925,0.22965176,0.69445306,0.5743683,0.42563173
0.0021933876,0.0366064,0.22969154,0.69443256,0.574366,0.42563406
0.002130162,0.03645657,0.22977193,0.6943899,0.5743605,0.42563954
0.002022203,0.036212236,0.22990029,0.69431865,0.5743541,0.4256459
0.0020503812,0.036270633,0.22986774,0.69433606,0.5743521,0.42564788
0.0021626018,0.0365341,0.22972943,0.6944118,0.574363,0.42563704
0.0020748787,0.03632486,0.22984359,0.6943526,0.5743561,0.42564398
0.0022487603,0.036740065,0.22961669,0.6944699,0.5743696,0.4256304
0.0019606613,0.036050573,0.22999546,0.6942755,0.57434785,0.42565218
0.0021254383,0.036448836,0.2297716,0.6943867,0.5743584,0.42564157
0.0021772496,0.03656915,0.22971018,0.6944217,0.57436407,0.4256359
0.0023145638,0.036895186,0.22953452,0.69451445,0.57437575,0.42562428
0.0021346174,0.03646417,0.2297716,0.694393,0.5743623,0.42563775
0.0021350943,0.03646794,0.2297662,0.6943932,0.574361,0.42563894
0.0021066926,0.03640206,0.22979979,0.69437414,0.5743579,0.42564204
0.0019981824,0.036143422,0.22994058,0.69430083,0.5743492,0.42565075
0.0021749549,0.036565483,0.22971007,0.6944202,0.5743631,0.42563686
0.0021465383,0.03650649,0.2297453,0.69440293,0.57435846,0.42564154
0.002366554,0.037017703,0.2294697,0.69454944,0.5743805,0.42561948
0.002240803,0.0367174,0.22963373,0.6944647,0.57437074,0.4256293
0.0021824948,0.03658679,0.22970013,0.69442606,0.57436633,0.42563367
0.0021042489,0.036395863,0.22980364,0.69437253,0.5743579,0.4256421
0.0023643635,0.03701389,0.22947001,0.694548,0.5743797,0.42562032
0.0024090074,0.03711644,0.22941917,0.6945781,0.5743851,0.42561492
0.0023415945,0.03695628,0.22950554,0.69453263,0.57437944,0.4256206
0.0023205243,0.03690681,0.22953153,0.6945184,0.5743774,0.4256226
0.0022557043,0.036754325,0.22961189,0.69447464,0.5743713,0.42562875
0.0022942834,0.036846325,0.22956173,0.6945006,0.5743743,0.4256257
0.0024429373,0.03720011,0.22937022,0.6946011,0.57438654,0.4256135
0.0024165027,0.037133336,0.22941123,0.6945832,0.5743862,0.42561385
0.0028089695,0.03806895,0.22890316,0.6948482,0.57441753,0.42558247
0.002847489,0.03817305,0.22884928,0.6948765,0.57442766,0.4255723
0.0028365366,0.038130507,0.22887506,0.6948667,0.5744217,0.42557827
0.0029732548,0.0384541,0.2287025,0.6949591,0.57443374,0.42556626
0.0033445917,0.039335623,0.22822973,0.6952099,0.57446516,0.42553484
