mu1,mu2,sigma1,sigma2,pi1,pi2
0.03223779,0.025762826,0.43206522,0.35652566,0.38675413,0.6132459
0.031351708,0.024950624,0.43245885,0.3575375,0.38687018,0.6131298
0.030775256,0.024554744,0.43267626,0.35808566,0.3868904,0.6131096
0.03275322,0.022927403,0.43281513,0.35808548,0.3871587,0.61284137
0.020381205,0.02853626,0.43337205,0.3609534,0.3859245,0.61407554
0.021714114,0.025827274,0.4339291,0.36215925,0.38655493,0.6134451
0.022432037,0.023842588,0.43441713,0.36299533,0.38672328,0.6132768
0.023217209,0.024280906,0.43412536,0.36227903,0.38668475,0.6133152
0.01716777,0.026764557,0.43447542,0.36387324,0.3861323,0.6138677
0.018234171,0.025090545,0.43478057,0.3644663,0.38648978,0.6135102
0.020997025,0.023662522,0.43470562,0.36389327,0.38673297,0.61326706
0.023153342,0.022272125,0.43476757,0.36360335,0.38690487,0.6130951
0.027786292,0.019950867,0.43466848,0.36260998,0.38729414,0.6127059
0.025636531,0.021016568,0.43480578,0.36298445,0.38693234,0.6130677
0.028052203,0.022823125,0.43375537,0.3606058,0.38693106,0.613069
0.035067298,0.01888398,0.43369034,0.35943353,0.38766727,0.61233276
0.028942429,0.023073092,0.43358245,0.3598655,0.38674015,0.61325985
0.029964961,0.0223853,0.43358856,0.35987553,0.38702655,0.61297345
0.0305947,0.02410169,0.4328917,0.35844436,0.38687605,0.61312395
0.032141156,0.02318646,0.43287498,0.35823503,0.38707945,0.6129206
0.031996854,0.02322054,0.43289503,0.35826352,0.38703072,0.6129693
0.03130939,0.02339767,0.43297124,0.3585119,0.3869809,0.6130191
0.03226561,0.021987721,0.43324655,0.35891014,0.387175,0.612825
0.036585398,0.020868197,0.43279055,0.35734472,0.3874632,0.6125368
0.03919638,0.020313352,0.43250677,0.35628623,0.38755226,0.6124478
0.037588395,0.020051077,0.432951,0.35724884,0.38741532,0.61258465
0.041789465,0.020231858,0.43209434,0.3549722,0.387624,0.612376
0.04121097,0.021105155,0.43195182,0.35468546,0.38743627,0.6125637
0.03717663,0.023895845,0.43182406,0.35503882,0.38698187,0.61301816
0.036795296,0.023465425,0.43199638,0.35557655,0.38713008,0.6128699
0.0415178,0.02126582,0.4317766,0.35451415,0.38759962,0.6124004
0.04674057,0.019610092,0.4313332,0.35279047,0.38791564,0.6120843
0.044589184,0.021448746,0.43121055,0.35268396,0.3874952,0.61250484
0.03908042,0.023628637,0.43156746,0.35420084,0.38705933,0.61294067
0.04006178,0.022236705,0.4317912,0.35463923,0.3873749,0.61262506
0.03687484,0.024295226,0.43172744,0.354969,0.38697705,0.613023
0.03705012,0.023003548,0.43207997,0.35574415,0.3872121,0.6127879
0.038822927,0.022236302,0.43197647,0.35529116,0.38735908,0.6126409
0.03767284,0.024027765,0.43161872,0.35474136,0.38709244,0.6129076
0.038595296,0.023113474,0.43171945,0.35487232,0.38728982,0.6127102
0.03611175,0.023158148,0.4321887,0.35610542,0.38712165,0.6128783
0.032615565,0.023348033,0.4327974,0.35781977,0.38695452,0.6130455
0.038544543,0.020347103,0.4326096,0.35666612,0.38761353,0.61238647
0.03926281,0.021715537,0.4320672,0.35534465,0.38736287,0.61263716
0.037767835,0.02198936,0.4322829,0.35595742,0.3872663,0.61273366
0.0410965,0.02113609,0.43191364,0.35478842,0.3875475,0.6124525
0.043686546,0.020006604,0.43180487,0.35411578,0.38771477,0.61228526
0.0439521,0.020119086,0.43175712,0.3538699,0.38763845,0.61236155
0.044018365,0.02108699,0.43145022,0.35323042,0.38753423,0.6124658
0.037517853,0.024360627,0.43163958,0.35454476,0.38689673,0.6131033
0.03548544,0.02516535,0.4317093,0.35519108,0.38689443,0.61310554
0.027665906,0.029305518,0.43179774,0.35667005,0.38617513,0.6138249
0.027150132,0.026442975,0.4327423,0.3588661,0.3866535,0.6133465
0.026657648,0.026149124,0.43289047,0.35928074,0.38664082,0.61335915
0.029363416,0.024147794,0.43300086,0.35914212,0.38699517,0.6130048
0.034838818,0.020295553,0.43321922,0.3586733,0.38756818,0.6124319
0.035222106,0.019870155,0.4333644,0.35864154,0.38743868,0.6125613
0.035568275,0.019684665,0.43341303,0.3585665,0.38742626,0.61257374
0.04225578,0.016542353,0.43317705,0.35705948,0.38804138,0.6119586
0.0416167,0.019660614,0.4323748,0.35533023,0.3875069,0.61249316
0.039589994,0.021422103,0.43220592,0.35531867,0.3872888,0.6127112
0.038661532,0.024151295,0.43146777,0.35412976,0.3870506,0.6129494
0.035457052,0.025372535,0.43164113,0.35506245,0.3868568,0.6131432
0.034856357,0.025577307,0.4316348,0.3552929,0.3869075,0.61309254
0.028551586,0.027867079,0.43205774,0.35713,0.38640234,0.6135977
0.021221496,0.028920934,0.43305427,0.3603665,0.38608563,0.6139144
0.025663115,0.025063306,0.4333883,0.3605746,0.3868464,0.6131536
0.024384595,0.025357395,0.4335397,0.36097008,0.3866277,0.6133723
0.028688975,0.020640023,0.43425786,0.36172527,0.38731974,0.61268026
0.032782264,0.019467726,0.43391153,0.36022836,0.38746867,0.6125313
0.038880117,0.017257914,0.43352,0.35839278,0.38788426,0.61211574
0.036958672,0.019777633,0.4331669,0.35771707,0.38736182,0.6126382
0.04300583,0.017533027,0.4327454,0.35603857,0.38794953,0.6120505
0.041359015,0.019787133,0.43239918,0.3553876,0.3874773,0.61252266
0.041855134,0.021486849,0.4317519,0.35411277,0.3874022,0.6125978
0.04411467,0.022417143,0.43099302,0.35238722,0.38746467,0.61253536
0.03795979,0.024980456,0.43133497,0.35394576,0.38689315,0.6131069
0.035928436,0.026199535,0.43126753,0.35432324,0.38684008,0.61315995
0.03118714,0.0268787,0.43190077,0.3563808,0.3866112,0.6133888
0.031394534,0.025295287,0.4323216,0.35732368,0.3868852,0.6131148
0.0306435,0.02396971,0.43288204,0.35852683,0.38695115,0.6130489
0.03458201,0.022380948,0.43263656,0.35747606,0.38730323,0.61269677
0.036256872,0.02016671,0.433072,0.35794055,0.3874962,0.6125038
0.036523663,0.020946458,0.4328166,0.35726824,0.38734445,0.6126555
0.04018139,0.019222386,0.4326952,0.35646006,0.38769394,0.61230606
0.03871765,0.020283982,0.4326862,0.35649195,0.38739866,0.61260134
0.038318448,0.02196303,0.43222508,0.3556719,0.38724983,0.6127502
0.03400243,0.02464877,0.43216562,0.35624367,0.3868111,0.6131889
0.036917634,0.023509532,0.4319212,0.35552606,0.38721174,0.61278826
0.034755267,0.024566382,0.43198195,0.35594147,0.3869467,0.61305326
0.030996762,0.026118308,0.43217102,0.35695082,0.38667342,0.6133266
0.030783914,0.024628237,0.43265495,0.35805288,0.3869072,0.6130928
0.027094282,0.025537908,0.43305397,0.35938212,0.38661283,0.61338717
0.03996215,0.018287636,0.43290052,0.35731375,0.38807318,0.6119268
0.03874544,0.01948136,0.43287256,0.35698137,0.38751644,0.61248356
0.03992752,0.019500516,0.43268555,0.3563852,0.38759005,0.61240995
0.0387794,0.020880044,0.43249062,0.3560966,0.38735405,0.6126459
0.0425506,0.020294838,0.4319514,0.3545411,0.387645,0.612355
0.038933046,0.022150382,0.43207252,0.35520232,0.38719818,0.61280185
0.03361536,0.025335923,0.4320337,0.35601282,0.3867151,0.61328495
0.036489703,0.024105728,0.43181187,0.35538837,0.38715205,0.6128479
0.037301518,0.023678303,0.43177465,0.35519633,0.38718823,0.6128118
0.038909964,0.023840293,0.43140337,0.3542589,0.38725153,0.61274844
0.035075195,0.022471264,0.4325986,0.35708055,0.3871516,0.6128484
0.036115117,0.022280276,0.43245974,0.35667977,0.3872506,0.6127494
0.039636187,0.02025976,0.43244612,0.35611096,0.38760355,0.6123965
0.038619213,0.021708488,0.43221256,0.35567096,0.38730386,0.6126962
0.034862526,0.022761613,0.43260196,0.3569807,0.38704056,0.61295944
0.03227689,0.024553552,0.43248895,0.3572413,0.3868165,0.6131835
0.030962132,0.026007444,0.43221894,0.35705715,0.38670626,0.6132937
0.03166034,0.024235457,0.43261963,0.35784128,0.38698205,0.613018
0.033156015,0.02303955,0.43271363,0.35779116,0.38714087,0.61285913
0.033218734,0.02266413,0.4328382,0.35796762,0.38713273,0.6128673
0.03513191,0.021910518,0.4327258,0.357444,0.38729176,0.6127083
0.03712242,0.020859137,0.43270874,0.35704395,0.38744107,0.6125589
0.03308489,0.022293985,0.43305945,0.35820284,0.38702184,0.6129782
0.033146195,0.022323117,0.43302855,0.3582061,0.38710448,0.61289555
0.033854656,0.022670269,0.43276995,0.35761774,0.38711047,0.6128895
0.036852844,0.021895364,0.43243718,0.35654992,0.38734433,0.6126557
0.03916157,0.021617427,0.43209657,0.35549405,0.38743117,0.61256886
0.040283926,0.021114692,0.43206665,0.3552046,0.38748944,0.61251056
0.036900572,0.022929981,0.43215215,0.3557985,0.3871005,0.6128995
0.030107044,0.026169479,0.43238175,0.3573367,0.3865281,0.6134719
0.031511523,0.024065405,0.43273404,0.35803398,0.38698533,0.61301464
0.030744784,0.02386336,0.43293196,0.35852024,0.3869167,0.6130833
0.029496245,0.025091454,0.432756,0.35840487,0.3867571,0.6132429
0.027138643,0.025690168,0.43298724,0.35928223,0.38663316,0.6133669
0.02803082,0.024464697,0.4331863,0.35962197,0.3868567,0.61314327
0.026092105,0.024441764,0.4335665,0.36062437,0.38672405,0.61327595
0.025621928,0.02356948,0.43393856,0.3614405,0.38680938,0.6131906
0.030242287,0.02043853,0.43407515,0.36100072,0.38733476,0.61266524
0.032118417,0.020681769,0.43368524,0.35978508,0.3872631,0.6127369
0.034506343,0.021307185,0.43305153,0.3581344,0.38729173,0.6127083
0.03344623,0.021564394,0.43320066,0.3585055,0.38716993,0.6128301
0.031962477,0.022636116,0.4331465,0.35861254,0.38700062,0.6129994
0.034367435,0.02187334,0.43291909,0.3578693,0.38724357,0.6127565
0.032860555,0.023623154,0.4326463,0.3575191,0.3869485,0.61305153
0.03687597,0.021220848,0.432638,0.35698414,0.3874511,0.6125489
0.03776423,0.02198416,0.43224552,0.35597804,0.3873116,0.61268836
0.038686536,0.021968126,0.43208528,0.35551468,0.38735896,0.61264104
0.036885478,0.022140518,0.43239143,0.35632664,0.38722375,0.6127763
0.0337513,0.023752704,0.43246844,0.35695568,0.38693318,0.6130668
0.03695721,0.021606818,0.43252152,0.35669073,0.38739133,0.6126087
0.03682349,0.02241543,0.4323003,0.35619584,0.38721573,0.61278427
0.03301712,0.024874896,0.43222934,0.3566375,0.386805,0.61319506
0.031317316,0.024649113,0.43259162,0.35772592,0.3868539,0.61314607
0.034788437,0.02311021,0.4323931,0.3569078,0.38722086,0.6127792
0.031984888,0.023589388,0.43279254,0.35800982,0.38694647,0.61305356
0.028827347,0.024756417,0.43301097,0.35894954,0.38672385,0.6132762
0.028824665,0.023836732,0.43328443,0.35957387,0.38688728,0.61311275
0.02881775,0.023752376,0.43330395,0.3596195,0.38688412,0.61311585
0.030684493,0.023207754,0.43311545,0.3589926,0.3870395,0.61296046
0.03647255,0.019249909,0.43330145,0.358452,0.38767713,0.61232287
0.03700433,0.020019934,0.4330235,0.35758683,0.38743854,0.61256146
0.031391956,0.024205491,0.43277335,0.35787305,0.38673678,0.61326325
0.027857654,0.025527745,0.43297896,0.35897818,0.38659626,0.61340374
0.030324005,0.02281189,0.43334386,0.35945487,0.38707682,0.6129232
0.030321933,0.023566157,0.43310043,0.3589254,0.38692552,0.6130745
0.0340404,0.0222615,0.43280065,0.3578283,0.38726878,0.6127312
0.036069162,0.021532342,0.43266982,0.35718334,0.38735816,0.6126418
0.031130545,0.024527982,0.43267316,0.35783547,0.38676065,0.61323935
0.02693116,0.025733829,0.43305755,0.35934106,0.38656178,0.6134382
0.02785135,0.022917986,0.43376288,0.36069068,0.38696888,0.61303115
0.027847104,0.02296853,0.4337514,0.36061755,0.3868994,0.6131006
0.022132568,0.02721271,0.4334532,0.36092007,0.3862116,0.61378837
0.026856177,0.024328083,0.4334273,0.36038846,0.3869215,0.61307853
0.026756607,0.023592219,0.4336943,0.3608253,0.3868663,0.6131337
0.029623829,0.022130057,0.43363175,0.36024895,0.38714167,0.61285836
0.029611446,0.0215099,0.4338741,0.3606002,0.38711065,0.61288935
0.026193567,0.022831112,0.43413293,0.36153972,0.3867738,0.6132262
0.027752377,0.02293785,0.4337844,0.3607036,0.3869193,0.61308074
0.030235015,0.022563979,0.4334231,0.35963094,0.38706797,0.6129321
0.029639833,0.02250892,0.43357182,0.35994798,0.38699275,0.6130073
0.02858948,0.023229048,0.4335445,0.36004534,0.3868731,0.6131269
0.03435526,0.022036925,0.43280488,0.35781732,0.38732752,0.6126725
0.033673696,0.02186583,0.43302655,0.35820886,0.38718766,0.61281234
0.033270247,0.022389024,0.4329516,0.35809413,0.38711396,0.6128861
0.03654448,0.020294607,0.43300775,0.35771945,0.3874929,0.6125071
0.037830777,0.020432107,0.4327542,0.35690737,0.38744017,0.61255985
0.04026132,0.020712733,0.43221718,0.35546413,0.3875127,0.61248726
0.043062083,0.01988963,0.43196648,0.3545128,0.38769504,0.612305
0.047357492,0.018313117,0.43168366,0.3532468,0.38799548,0.6120045
0.053501226,0.016748734,0.431058,0.35100648,0.38834554,0.61165446
0.0487865,0.021355882,0.4305575,0.35048664,0.38749635,0.61250365
0.0497623,0.020044573,0.43076894,0.35090008,0.38783458,0.6121654
0.04693716,0.022645041,0.43047348,0.35070315,0.387391,0.61260897
0.038746662,0.027174175,0.43053287,0.35214904,0.38664967,0.6133504
0.035744436,0.026795253,0.43113354,0.35406184,0.3867823,0.6132177
0.036400117,0.02567117,0.4313005,0.35445264,0.38700402,0.61299604
0.035496496,0.025350511,0.4315472,0.3551048,0.3869849,0.6130151
0.029170372,0.027252734,0.43212125,0.35719275,0.38649955,0.6135005
0.028732292,0.02492088,0.43291986,0.3589708,0.38684317,0.61315686
0.027046375,0.023544297,0.43368918,0.3606912,0.3868474,0.6131526
0.031213813,0.021997899,0.43338948,0.3594966,0.38721582,0.61278415
0.03191588,0.020765707,0.4336947,0.3598482,0.38726088,0.6127391
0.034493394,0.020040214,0.43346998,0.3589406,0.3874118,0.61258817
0.03229416,0.023254752,0.43287927,0.3580248,0.38692304,0.6130769
0.032791086,0.02276498,0.43292686,0.3581344,0.38709027,0.61290973
0.03414265,0.021710038,0.43300852,0.35808307,0.38724318,0.61275685
0.03847126,0.01982893,0.4328006,0.3569945,0.38760433,0.61239564
0.03504228,0.023739576,0.4322288,0.3562539,0.38693908,0.61306095
0.035277046,0.022995636,0.43240005,0.3566802,0.38715407,0.6128459
0.03567504,0.02317831,0.43225303,0.3563465,0.38714468,0.6128553
0.03520774,0.022709027,0.43249404,0.3568822,0.3871651,0.6128349
0.032022886,0.024192303,0.43262327,0.3576003,0.38685635,0.6131437
0.032941632,0.022819221,0.43286893,0.35803488,0.38711777,0.6128822
0.037662543,0.021490887,0.4323869,0.35639745,0.3874586,0.61254144
0.033980124,0.023708552,0.43240783,0.3568539,0.38695103,0.613049
0.032857902,0.023483038,0.43268192,0.35763964,0.38701242,0.61298764
0.032401346,0.022487283,0.4330856,0.35850725,0.38709363,0.61290634
0.033076726,0.023341194,0.43267363,0.35761216,0.38703984,0.6129602
0.03580185,0.021566212,0.43272212,0.3573195,0.38736144,0.6126386
0.037313275,0.021129802,0.43259904,0.35676238,0.38739812,0.6126019
0.03654567,0.021831706,0.4325457,0.35669976,0.38724732,0.61275274
0.032921232,0.024552718,0.4323577,0.35688472,0.38682115,0.61317885
0.036914103,0.021631926,0.4325039,0.3567173,0.38742563,0.6125744
0.035148866,0.022100553,0.43271908,0.3572618,0.3871635,0.61283654
0.042736612,0.019238845,0.43218258,0.3551561,0.38787317,0.6121268
0.040947475,0.021443114,0.43187663,0.35459337,0.3873749,0.61262506
0.035177834,0.024459526,0.43201044,0.3557308,0.3868507,0.61314934
0.03525401,0.02397132,0.43210438,0.35608602,0.38705814,0.61294186
0.03317257,0.024206176,0.4324049,0.3570081,0.38692895,0.6130711
0.033428095,0.023409367,0.43259174,0.35740083,0.38706708,0.612933
0.03510704,0.022667974,0.4325006,0.3569853,0.3872148,0.61278516
0.037241377,0.022727206,0.4320743,0.35582137,0.38728607,0.61271393
0.040374435,0.020058006,0.43235493,0.35585403,0.3876671,0.6123329
0.042792223,0.01993934,0.4319768,0.3546166,0.38768458,0.6123155
0.041346647,0.019476809,0.4324562,0.3556242,0.38758478,0.61241525
0.041540124,0.020455219,0.43212438,0.35491592,0.387493,0.612507
0.043684743,0.021128342,0.4314927,0.35339954,0.3875518,0.6124482
0.04295873,0.021868706,0.43139744,0.3532996,0.38742232,0.6125777
0.04505778,0.021517903,0.43109584,0.35245693,0.3875963,0.6124037
0.04773546,0.02061607,0.43087783,0.3516209,0.38778472,0.6122153
0.039726578,0.02511391,0.43098217,0.3528995,0.3868753,0.6131247
0.037802733,0.024991244,0.43132877,0.35409722,0.38701493,0.61298513
0.03725695,0.023898795,0.4317449,0.35507536,0.3871371,0.61286294
0.037764184,0.022980466,0.43192956,0.35538208,0.38725206,0.6127479
0.04150357,0.021055296,0.43183348,0.35464275,0.38761237,0.6123876
0.042306297,0.021141946,0.43168622,0.3541167,0.38754094,0.61245906
0.035627298,0.024361372,0.43194854,0.35554394,0.38686433,0.6131357
0.03302049,0.024916604,0.43222448,0.35664463,0.38684636,0.61315364
0.031114317,0.024632975,0.43264303,0.35783985,0.38683861,0.61316144
0.02739226,0.025071189,0.43318936,0.3595137,0.38663852,0.61336154
0.027473234,0.026026621,0.43281612,0.35891265,0.3866412,0.6133588
0.028999694,0.02454184,0.43297303,0.35906872,0.38690105,0.6130989
0.028232,0.024355084,0.43318173,0.35955596,0.38683495,0.613165
0.030285917,0.022471517,0.43340296,0.35968134,0.38712886,0.61287117
0.02719187,0.02295269,0.43387508,0.3609465,0.38683757,0.61316246
0.02906052,0.021243349,0.43407857,0.3610851,0.38714105,0.612859
0.03389328,0.020419955,0.43343407,0.35904476,0.38740492,0.6125951
0.03592833,0.020332947,0.43311387,0.3579859,0.3874149,0.6125851
0.034075864,0.022015676,0.43295845,0.3578681,0.38710737,0.6128926
0.029768117,0.024970219,0.43281576,0.35828283,0.38665965,0.6133403
0.025773771,0.026671588,0.4329774,0.3593638,0.38642776,0.6135723
0.02608373,0.025297418,0.43330848,0.3601297,0.38669178,0.61330825
0.028950818,0.023739517,0.43323946,0.35960332,0.38698122,0.6130188
0.030719452,0.02230838,0.43337905,0.3595418,0.38713962,0.61286044
0.032579668,0.022256613,0.43306214,0.35857403,0.3871817,0.6128183
0.030689187,0.02288559,0.43324888,0.35914186,0.3869798,0.61302024
0.031980224,0.021231443,0.43354732,0.35953563,0.38723204,0.612768
0.03499321,0.019692913,0.43349466,0.35890147,0.38746938,0.61253065
0.03399528,0.021403998,0.43317375,0.35829398,0.38715976,0.6128403
0.038214244,0.020590588,0.43262374,0.35664704,0.38750234,0.6124977
0.037973486,0.022484496,0.4320772,0.35553405,0.38722232,0.6127777
0.039737068,0.0216479,0.43200514,0.3551741,0.38743615,0.61256385
0.030232005,0.02644299,0.43228173,0.35705802,0.38644063,0.61355937
0.032873355,0.023599789,0.43263194,0.3576247,0.3871028,0.61289716
0.03243967,0.023820087,0.43263227,0.35764998,0.38697764,0.6130224
0.031864412,0.02441524,0.43253738,0.35758603,0.38691458,0.6130854
0.034557678,0.022306278,0.43269134,0.3575285,0.3872841,0.6127159
0.034328707,0.02199854,0.43286186,0.3577884,0.3872113,0.61278874
0.027927153,0.025764138,0.43287805,0.35874355,0.38651252,0.61348754
0.029764302,0.022897914,0.43341658,0.35969973,0.38705412,0.6129459
0.035464384,0.02037172,0.43314263,0.35827297,0.38751563,0.6124844
0.040462308,0.017934747,0.4330262,0.3571272,0.38785744,0.61214256
0.03850738,0.022329614,0.43204495,0.35530785,0.38718492,0.61281514
0.029237248,0.025922611,0.43264878,0.35792512,0.38646927,0.61353076
0.026730768,0.026317298,0.43292794,0.35910642,0.3865253,0.61347467
0.027212106,0.025601909,0.43300807,0.35933685,0.38669512,0.61330485
0.028614812,0.02364166,0.433353,0.35983375,0.38695404,0.61304593
0.030912884,0.022371352,0.43333074,0.35940385,0.38714212,0.61285794
0.030803598,0.024275824,0.43274638,0.35822588,0.3868974,0.6131027
0.036043607,0.020517737,0.43295947,0.35789454,0.3875662,0.6124338
0.034577273,0.020740017,0.433237,0.35841683,0.38728693,0.61271304
0.03802406,0.017913744,0.4335262,0.35841805,0.38773635,0.6122637
0.039673142,0.019083515,0.4328884,0.35675433,0.38757145,0.61242855
0.035912357,0.02366826,0.43214417,0.35582483,0.38692284,0.61307716
0.030994497,0.026343137,0.43216896,0.35678342,0.38657224,0.61342776
0.030143015,0.026006043,0.43237,0.35751602,0.38671556,0.6132844
0.033682175,0.02340962,0.4324908,0.35732016,0.3871836,0.6128164
0.03775368,0.021165177,0.43244877,0.3565583,0.38751495,0.61248505
0.04588438,0.018131137,0.43190643,0.35419542,0.38811693,0.61188304
0.043736212,0.019138232,0.43210167,0.35455734,0.38767818,0.61232185
0.04533056,0.019207492,0.43180695,0.35372275,0.38777766,0.6122223
0.043921776,0.019664437,0.4319654,0.35414147,0.38760924,0.61239076
0.041464753,0.021398142,0.431886,0.35434037,0.38733152,0.6126685
0.038247176,0.024572745,0.43144232,0.35405952,0.38694063,0.6130594
0.035229124,0.026961371,0.4311759,0.3541948,0.3866996,0.61330044
0.03656604,0.025713548,0.4312491,0.35434836,0.38702294,0.612977
0.038812704,0.02343452,0.4315297,0.35459042,0.3873397,0.6126603
0.040808327,0.021571517,0.43176818,0.35467932,0.38754544,0.6124546
0.0429591,0.018888175,0.43226814,0.35520297,0.38782668,0.6121734
0.041817553,0.02059143,0.43199798,0.3546715,0.38748723,0.6125128
0.03901138,0.021670222,0.432205,0.355474,0.38726997,0.61273
0.03985978,0.02126266,0.43216103,0.35532632,0.3874118,0.6125882
0.039890684,0.02203396,0.4319034,0.35481375,0.38731927,0.61268073
0.035505272,0.02528961,0.43167356,0.35505235,0.38680518,0.6131949
0.03277462,0.02676937,0.4316544,0.35562038,0.38667923,0.61332077
0.03824588,0.022699952,0.43186688,0.35538945,0.38745525,0.6125447
0.03333191,0.024834394,0.43214557,0.35649312,0.38683605,0.61316395
0.02914112,0.0254419,0.4327316,0.35835996,0.38668057,0.61331946
0.0329173,0.021738589,0.43317887,0.35877407,0.38731194,0.61268806
0.027238898,0.025204062,0.43316942,0.3594633,0.38655487,0.61344516
0.028246634,0.024063617,0.433313,0.3597569,0.3868763,0.6131237
0.028594993,0.023178682,0.43352643,0.36010844,0.386946,0.61305404
0.028772987,0.022811204,0.4336192,0.36023462,0.38696703,0.613033
