mu1,mu2,sigma1,sigma2,pi1,pi2
-0.025853097,-0.018580616,0.10756688,0.032203525,0.10677745,0.8932226
-0.02775544,-0.020105258,0.10881968,0.03294617,0.107762635,0.89223737
-0.035488904,-0.017962307,0.10961114,0.03357755,0.10804233,0.8919577
-0.03195864,-0.024480551,0.11238815,0.035080053,0.11072001,0.88928
-0.032292724,-0.023046568,0.11140857,0.034522347,0.10970387,0.89029616
-0.03190422,-0.022843048,0.111191876,0.034394693,0.10955521,0.8904448
-0.028507233,-0.0253136,0.11158543,0.0345294,0.11001969,0.8899803
-0.020732403,-0.024330974,0.10893008,0.032854356,0.1080916,0.8919084
-0.022108674,-0.02581349,0.109858915,0.03341144,0.1087414,0.8912586
-0.022787035,-0.02469173,0.10932187,0.033132363,0.10820704,0.891793
-0.018357992,-0.027070165,0.10944517,0.033101223,0.10855386,0.8914462
-0.015972555,-0.027480751,0.108834974,0.032701038,0.108020455,0.8919796
-0.006596327,-0.028510034,0.10690843,0.031439073,0.106801875,0.89319813
-0.017157495,-0.024960935,0.10740139,0.031948097,0.10655079,0.8934492
-0.018902183,-0.021624833,0.106387906,0.03143744,0.105740175,0.8942598
-0.013065457,-0.023192763,0.105992615,0.031084869,0.105780706,0.89421934
-0.0031661987,-0.028896868,0.106382586,0.031072404,0.10655719,0.8934428
-0.009904265,-0.02613315,0.106193095,0.03112053,0.105836146,0.89416385
-0.0069165826,-0.02697575,0.10598712,0.030956203,0.10590783,0.8940922
-0.007080674,-0.025214255,0.10502315,0.03044087,0.104999535,0.89500046
-0.0037436485,-0.028199106,0.1057576,0.030764563,0.105836146,0.89416385
-0.014524758,-0.022411257,0.1052763,0.030738816,0.10477638,0.8952236
-0.022020638,-0.02076906,0.1066805,0.031664908,0.10580941,0.8941906
-0.020539224,-0.017345846,0.10495781,0.030684358,0.10453973,0.89546025
-0.02269113,-0.014285281,0.10423964,0.03033043,0.10390489,0.8960951
-0.024712741,-0.015874058,0.10584514,0.031236054,0.105329216,0.8946708
-0.03706932,-0.015669495,0.10889764,0.03320467,0.1073663,0.8926337
-0.027133942,-0.019964352,0.10897417,0.033015437,0.10811194,0.8918881
-0.030239522,-0.021783724,0.110417604,0.03389823,0.109028205,0.8909718
-0.028288484,-0.024267003,0.11114196,0.034273975,0.10974416,0.89025587
-0.026692748,-0.029016823,0.11302881,0.035320096,0.11133195,0.88866806
-0.022741258,-0.027883023,0.111057706,0.034105282,0.109717324,0.8902827
-0.022865415,-0.025969118,0.10990341,0.033464685,0.10866383,0.89133614
-0.022005558,-0.025455624,0.10941268,0.03317061,0.10829132,0.89170873
-0.019149005,-0.024899542,0.10840149,0.0325389,0.10755828,0.89244175
-0.011066556,-0.028216898,0.108056515,0.032157455,0.10763032,0.8923697
-0.014474511,-0.02195561,0.1054106,0.030796306,0.105031915,0.8949681
-0.021186411,-0.02139157,0.10700532,0.03181958,0.10621932,0.89378065
-0.017020643,-0.022229254,0.10661878,0.031509053,0.10618278,0.89381725
-0.025127351,-0.01860115,0.10673645,0.031748034,0.105834484,0.8941656
-0.010962188,-0.027774334,0.10826777,0.032272555,0.108059146,0.89194083
-0.017233193,-0.024829805,0.10772658,0.032110367,0.10694661,0.8930534
-0.021314025,-0.02156952,0.10716314,0.03190606,0.10635439,0.8936456
-0.029129922,-0.017305017,0.10711059,0.032053106,0.10601294,0.89398706
-0.020308375,-0.022623986,0.10807117,0.032375596,0.1074705,0.8925295
-0.018086672,-0.02768284,0.10988856,0.03332393,0.10897556,0.8910245
-0.016608357,-0.02588129,0.10827573,0.03240035,0.10753887,0.8924611
-0.011848807,-0.02665466,0.10740985,0.03182669,0.107033856,0.89296615
-0.020486474,-0.023168266,0.10755309,0.03210067,0.1066147,0.8933853
-0.01997763,-0.019577414,0.10586315,0.031169878,0.10533794,0.8946621
-0.03131789,-0.020967662,0.10959483,0.033486716,0.10803868,0.89196134
-0.02532816,-0.021563485,0.10868718,0.032828305,0.10767959,0.89232045
-0.020026326,-0.022107244,0.10761626,0.032100085,0.106964014,0.893036
-0.016927421,-0.020151764,0.10577764,0.03103126,0.10550612,0.8944939
-0.030003667,-0.017858803,0.107802704,0.032443363,0.106609456,0.89339054
-0.033129632,-0.019268945,0.10965769,0.033558574,0.108222686,0.89177734
-0.02930379,-0.021928921,0.11019229,0.033761505,0.10890136,0.8910986
-0.026916206,-0.025854677,0.1115187,0.034451436,0.11006717,0.8899328
-0.023852408,-0.025040388,0.110060275,0.033558644,0.108880095,0.8911199
-0.025972903,-0.023152351,0.109469205,0.03328114,0.108212814,0.89178723
-0.034712136,-0.016290486,0.108159244,0.03275724,0.10669834,0.89330167
-0.034169972,-0.018400744,0.10960791,0.033553693,0.108193256,0.8918067
-0.053082466,-0.010634512,0.11037701,0.034435667,0.1078648,0.8921352
-0.052411675,-0.011948615,0.111732796,0.035185356,0.10939979,0.8906002
-0.05403596,-0.00880684,0.110756785,0.034641583,0.108557075,0.8914429
-0.05988294,-0.007219583,0.111752085,0.03535576,0.109238364,0.8907617
-0.0776484,-0.0023134798,0.1140364,0.037163872,0.11039033,0.8896097
-0.07484168,-0.009062558,0.117783636,0.039359875,0.11401456,0.8859854
-0.06283969,-0.019817963,0.12053049,0.04071188,0.11688174,0.8831183
-0.06656498,-0.02024524,0.121007554,0.041117184,0.11668021,0.8833198
-0.058517575,-0.023589924,0.120535985,0.040630117,0.11677621,0.88322383
-0.050331175,-0.03046313,0.12165461,0.041089468,0.11788128,0.88211876
-0.040065408,-0.030299515,0.11803938,0.03861385,0.11517833,0.88482165
-0.038471103,-0.031224951,0.117568135,0.038300145,0.11463992,0.88536006
-0.040697157,-0.027216166,0.11559281,0.0371881,0.11272165,0.8872784
-0.031464577,-0.027132928,0.11317987,0.035525624,0.11117143,0.8888285
-0.029989004,-0.018804237,0.10827694,0.032707296,0.10701415,0.8929858
-0.031107962,-0.017457843,0.10816517,0.0326679,0.107004076,0.8929959
-0.03039813,-0.021503806,0.110268645,0.03382062,0.10888517,0.8911149
-0.04811579,-0.00857386,0.10790348,0.03290783,0.10593343,0.8940666
-0.04220909,-0.013367444,0.10983544,0.033856407,0.108327515,0.8916725
-0.04257381,-0.01713799,0.11189912,0.035028614,0.10998275,0.8900173
-0.038277328,-0.022407427,0.113538675,0.035876255,0.11157242,0.8884276
-0.036347926,-0.024584904,0.11383514,0.03600561,0.11175596,0.88824403
-0.036280632,-0.023163348,0.1127682,0.03540089,0.1107753,0.8892247
-0.04391998,-0.021672025,0.113845326,0.03622899,0.11125613,0.8887439
-0.039379597,-0.022204205,0.113134064,0.035701334,0.110998906,0.8890011
-0.028466702,-0.027685136,0.11317711,0.03544684,0.11155501,0.888445
-0.018183112,-0.03371349,0.11321957,0.03519943,0.1118168,0.88818324
-0.010273159,-0.028256834,0.107723296,0.03195566,0.1072967,0.8927033
-0.015100002,-0.027228832,0.108205,0.032347403,0.10743561,0.8925644
-0.01583594,-0.025782317,0.10765201,0.03206509,0.10694873,0.89305127
-0.013207555,-0.028118908,0.10825842,0.03233654,0.10762428,0.8923757
-0.009296954,-0.02925238,0.10773612,0.031955298,0.10728528,0.89271474
-0.009060919,-0.026282161,0.10599701,0.030999279,0.10569039,0.89430964
-0.0007109046,-0.02549231,0.103667475,0.029583631,0.10414764,0.8958523
-0.008657575,-0.02005583,0.102770165,0.029275142,0.10290868,0.89709127
-0.006299317,-0.024437308,0.104727425,0.030265372,0.10492356,0.89507645
-0.010588944,-0.025964558,0.10641549,0.031261012,0.10608572,0.8939143
-0.013992488,-0.023723006,0.10611918,0.031176975,0.105666906,0.8943331
-0.020342648,-0.018566966,0.10522511,0.030830642,0.10465243,0.8953476
-0.013828814,-0.021126747,0.10533509,0.030741636,0.10525474,0.8947453
-0.0193308,-0.020177007,0.106117085,0.03127629,0.10557756,0.8944224
-0.023286879,-0.020200282,0.1072715,0.031999018,0.10646843,0.89353156
-0.024424314,-0.01936476,0.107254215,0.032012932,0.10645287,0.8935471
-0.02391404,-0.022891164,0.10905152,0.03299391,0.108061515,0.8919385
-0.018081307,-0.02345419,0.10777993,0.032155488,0.10721536,0.89278466
-0.017624319,-0.027488708,0.10957494,0.03314716,0.10871613,0.89128387
-0.02059424,-0.026464522,0.10951617,0.033191375,0.1084024,0.89159757
-0.027444303,-0.021472186,0.108615026,0.032850243,0.107278526,0.8927215
-0.023022354,-0.020514578,0.10736743,0.032055818,0.10660344,0.8933966
-0.0230394,-0.023529947,0.10899442,0.032947846,0.10799461,0.8920054
-0.014450729,-0.026453525,0.1082954,0.032359812,0.10779255,0.8922074
-0.010697961,-0.027309775,0.10748504,0.031832818,0.10713463,0.8928653
-0.0020433068,-0.030673534,0.10683231,0.031296797,0.1069371,0.89306295
-0.005452037,-0.029495895,0.10662887,0.031270757,0.106395625,0.8936044
-0.008869171,-0.028401494,0.10684955,0.031477574,0.10642578,0.89357424
-0.007641852,-0.02975598,0.10728333,0.031686995,0.10688872,0.8931113
-0.011462808,-0.024922132,0.10567682,0.03088882,0.105219945,0.8947801
-0.012055159,-0.019236565,0.10328429,0.02962126,0.10326236,0.8967377
-0.014233947,-0.01740557,0.103262514,0.029644622,0.10327849,0.8967215
-0.011288643,-0.019088507,0.10367522,0.029791638,0.10388929,0.8961107
-0.013593793,-0.02110082,0.1052409,0.03067377,0.105124086,0.89487594
-0.014099121,-0.022553831,0.10608159,0.031143174,0.105836414,0.8941636
-0.015039325,-0.026771665,0.10839831,0.032439034,0.10777891,0.8922211
-0.017903447,-0.025063783,0.10801742,0.03229839,0.10721236,0.8927877
-0.017790377,-0.02474758,0.10787202,0.03222024,0.10713419,0.89286584
-0.024960577,-0.022589922,0.10854678,0.03275568,0.10733742,0.8926626
