mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.10048875,-0.01834765,0.012918254,0.22329272,0.03298023,0.016083753,0.0015222338,0.39804986,0.60042787
0.10031901,-0.019592196,0.012206661,0.22293763,0.03287031,0.01602996,0.0015105971,0.39759594,0.6008935
0.10125609,-0.019348204,0.011885287,0.2226746,0.032822978,0.016016506,0.0015070965,0.39738232,0.6011106
0.102002636,-0.021051913,0.0103604775,0.22233832,0.032811396,0.016044201,0.0015025567,0.3965351,0.6019623
0.1028271,-0.018733889,0.0114928,0.22244407,0.032820523,0.016036728,0.001508099,0.3971489,0.601343
0.10058309,-0.017022237,0.01380345,0.22348115,0.03300492,0.016082788,0.0015272971,0.39854288,0.59992987
0.09955472,-0.019728348,0.01259595,0.22255535,0.0326568,0.015889771,0.0014928803,0.3976853,0.6008218
0.1009216,-0.018480882,0.012626963,0.22277066,0.03280419,0.015989255,0.0015072429,0.39778194,0.6007108
0.09975253,-0.017098472,0.014185289,0.22353564,0.032966454,0.016045213,0.0015240089,0.39873716,0.59973884
0.09898405,-0.018730953,0.013579765,0.2228364,0.03268262,0.015881348,0.0014973123,0.39824057,0.6002621
0.10003413,-0.018832326,0.01286857,0.22300428,0.032842807,0.015998773,0.0015099774,0.397943,0.6005471
0.100486845,-0.01813811,0.013274932,0.22221826,0.032511234,0.015799122,0.0014845489,0.39794937,0.60056615
0.100883186,-0.018860564,0.0127355065,0.22115397,0.03212715,0.015585817,0.0014519509,0.3974094,0.60113865
0.10190518,-0.016886383,0.01386583,0.21923128,0.031326927,0.015105197,0.0013919167,0.3975016,0.6011065
0.10147196,-0.017866433,0.013437768,0.21917261,0.031310868,0.015099313,0.0013887858,0.3972623,0.60134894
0.101696,-0.01892671,0.01224458,0.22092807,0.032102875,0.015588071,0.0014496001,0.39712137,0.60142905
0.10173984,-0.016923368,0.013699437,0.22056597,0.03186818,0.01542446,0.0014349067,0.39776248,0.6008026
0.1001765,-0.016868845,0.014525315,0.2211315,0.031979974,0.015461602,0.0014441934,0.3982998,0.60025597
0.09730898,-0.012674867,0.018526161,0.22446726,0.032969553,0.015945328,0.0015341907,0.40113136,0.59733444
