mu1,mu2,sigma1,sigma2,pi1,pi2
-0.025928147,0.026277333,0.26345757,0.015378295,0.3663278,0.63367224
-0.026474066,0.027276218,0.26341906,0.015317531,0.36594525,0.6340548
-0.026527472,0.027016848,0.26354274,0.015353545,0.36602005,0.63398
-0.027896352,0.02790773,0.26345494,0.015241899,0.36526775,0.6347323
-0.026920624,0.026127264,0.2636359,0.015381319,0.36600175,0.6339983
-0.025531419,0.02534534,0.26337752,0.015402777,0.36655733,0.6334427
-0.026186772,0.027270868,0.26363164,0.015387039,0.36618617,0.63381386
-0.025938757,0.026524782,0.2635287,0.015392053,0.36632335,0.63367665
-0.025030203,0.026183099,0.26316425,0.015353951,0.36654696,0.6334531
-0.025233395,0.027554631,0.26336762,0.015362755,0.36640525,0.6335948
-0.026043959,0.028273076,0.26272336,0.015144369,0.36559072,0.6344093
-0.025752135,0.028494194,0.26261786,0.015133386,0.36560082,0.6343992
-0.02656097,0.03005597,0.2620541,0.014924467,0.3646991,0.63530093
-0.024892874,0.0288724,0.26292524,0.015262082,0.36602032,0.63397974
-0.024754472,0.028223917,0.26384094,0.015511245,0.36671153,0.6332885
-0.026552446,0.028705984,0.26286384,0.015155093,0.36534804,0.63465196
-0.025111921,0.027302444,0.26329014,0.015371323,0.3663719,0.63362813
-0.02422423,0.026648864,0.2637938,0.015554792,0.3671502,0.6328498
-0.022221155,0.025596514,0.26208925,0.015243723,0.36718258,0.63281745
-0.0238275,0.031193197,0.26214078,0.015051833,0.36579436,0.63420564
-0.024571605,0.03141564,0.262285,0.015056354,0.3654819,0.6345181
-0.025221474,0.031373084,0.2618548,0.014924328,0.36493358,0.63506645
-0.024596758,0.030770063,0.26231733,0.015089225,0.36552024,0.63447976
-0.025508828,0.031319708,0.26221716,0.015006427,0.36500114,0.63499886
-0.025610276,0.030837744,0.26243296,0.0150702195,0.365123,0.634877
-0.02455569,0.029079348,0.2634449,0.015419116,0.366377,0.633623
-0.024225958,0.027760774,0.26375797,0.015538516,0.36690146,0.63309854
-0.02363617,0.025463507,0.26598915,0.016187,0.36880344,0.63119656
-0.027231641,0.025984913,0.26329425,0.015267956,0.365756,0.63424397
-0.026384838,0.026301831,0.26301864,0.015239954,0.36589378,0.6341062
-0.02515126,0.02663283,0.26300058,0.015295206,0.3663476,0.6336524
-0.025483318,0.028079093,0.2631413,0.015282331,0.36609438,0.6339056
