mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0049791792,7.364154e-05,0.24690181,0.020636417,0.42773896,0.5722611
-0.0053159455,-0.00015540421,0.24631797,0.020453418,0.42735323,0.5726468
-0.005796657,0.00023387372,0.24616204,0.020389274,0.42689973,0.5731003
-0.0051811794,-0.0004724264,0.24643423,0.020539008,0.42730016,0.5726999
-0.0041578272,-0.0012231916,0.24720751,0.020854605,0.42816314,0.5718368
-0.0042052725,-0.0016123503,0.24786577,0.021076519,0.42840958,0.5715904
-0.003916965,-0.0024657547,0.24778359,0.021078654,0.42871025,0.5712898
-0.0049207667,-0.0019055754,0.24768408,0.020984208,0.42809767,0.57190233
-0.005221472,-0.0028402507,0.24792676,0.021090042,0.42808884,0.57191116
-0.005625115,-0.003140062,0.24739017,0.020913865,0.42772037,0.57227963
-0.004720972,-0.0036797374,0.2476905,0.02106234,0.4283781,0.57162195
-0.005448387,-0.0027414411,0.24740587,0.020908792,0.42779052,0.57220954
-0.005050228,-0.0034408271,0.24782729,0.021090873,0.428186,0.571814
-0.0038160542,-0.0041028857,0.24798833,0.021199713,0.42906317,0.57093686
-0.0046232203,-0.0024770498,0.24751815,0.020944761,0.42837197,0.57162803
-0.004870222,-0.0027231425,0.24801531,0.021107646,0.42841265,0.5715873
-0.005908535,-0.0025496483,0.24717408,0.020794235,0.42754197,0.572458
-0.0060782293,-0.0026950538,0.24712695,0.02079313,0.42736062,0.57263935
-0.005796955,-0.003241837,0.24744004,0.020937607,0.42759272,0.5724073
-0.00558667,-0.004127234,0.24821337,0.02123725,0.42800206,0.57199794
-0.0054260353,-0.0046587437,0.2477635,0.021113694,0.42801666,0.57198334
-0.0028973678,-0.004971996,0.24774617,0.021191867,0.4295502,0.5704498
-0.002110348,-0.003097549,0.2484676,0.021352744,0.4302145,0.56978554
-0.004212902,-0.0009287149,0.24749674,0.020859106,0.4286448,0.57135516
-0.004025207,-0.0007610917,0.24647139,0.020521516,0.4284652,0.5715348
-0.0038510421,0.0012130141,0.24568246,0.020197725,0.4281613,0.57183874
-0.005564616,0.0037171096,0.24519813,0.019916188,0.426695,0.5733051
-0.0057636956,0.0032911599,0.24492975,0.019869847,0.42636636,0.5736337
-0.0056040743,0.0034051985,0.24464406,0.019809708,0.42618182,0.5738182
-0.0045543173,0.0029546171,0.24539463,0.020121023,0.42688426,0.57311577
-0.0032550553,0.001010716,0.24762687,0.020959118,0.42844668,0.57155335
-0.003159509,-0.00024092197,0.24732992,0.02089055,0.42866823,0.57133174
-0.0037963847,0.00079478323,0.24630165,0.020484477,0.4279779,0.57202214
-0.0038761953,0.00042819977,0.24766599,0.020939661,0.42836285,0.57163715
-0.004630373,-0.0012484342,0.24811745,0.021119192,0.4282794,0.5717206
-0.0055628875,-0.0015895516,0.24665043,0.020620605,0.42736387,0.5726362
-0.0047576884,-0.0017737597,0.24695115,0.020756975,0.42789277,0.57210726
-0.0058606127,-0.0014012009,0.24749848,0.020894011,0.4273373,0.5726628
-0.0041180113,-0.0037158877,0.24763186,0.021083113,0.4285967,0.57140326
-0.0046788314,-0.0023922622,0.24758312,0.020989684,0.42818078,0.5718192
-0.0060489634,-0.0031027496,0.24879067,0.021377942,0.42778224,0.57221776
-0.0035778144,-0.00663507,0.24865058,0.021539884,0.42956552,0.5704345
-0.004753516,-0.0037896484,0.24773185,0.021063123,0.428475,0.571525
-0.0038879374,-0.0032141507,0.24715544,0.020874072,0.42878038,0.5712197
-0.004230664,-0.0016230345,0.24752088,0.020916186,0.42857072,0.57142925
-0.004034386,-0.0018122494,0.24744487,0.020897882,0.4287221,0.5712779
-0.005677984,0.0002976507,0.24580789,0.020243134,0.42706513,0.5729349
-0.0032726387,-0.0010153055,0.24715078,0.020807832,0.4289254,0.5710746
-0.005371676,0.0016517043,0.24574533,0.020188466,0.42705575,0.5729443
-0.0067656497,0.002678275,0.24437575,0.019701647,0.42560196,0.57439804
-0.00419663,-5.0470233e-05,0.24747527,0.020901175,0.4280773,0.5719227
-0.005049453,-0.00028555095,0.24667136,0.020618834,0.42739025,0.5726098
-0.0046107033,-0.0017139912,0.2479866,0.021118617,0.428156,0.571844
-0.005489991,-0.0023359656,0.24745713,0.02093705,0.42757502,0.57242495
-0.004351304,-0.0038576424,0.24813898,0.021254135,0.42859274,0.57140726
-0.0046773413,-0.0034719408,0.24791789,0.021145338,0.42836183,0.57163817
-0.003905342,-0.004739642,0.24919201,0.02163007,0.42938575,0.5706143
-0.005444751,-0.004173532,0.24808075,0.021170592,0.4282193,0.5717807
-0.005579994,-0.004328698,0.24782512,0.021090047,0.42806923,0.57193077
-0.00489919,-0.00451532,0.24788402,0.021137755,0.42850053,0.57149947
-0.004698918,-0.0038600266,0.24774842,0.021067286,0.42855313,0.57144684
-0.00560622,-0.0027492642,0.24736983,0.020872321,0.42780897,0.57219106
-0.0042672018,-0.003101945,0.24695475,0.020796042,0.42847106,0.571529
-0.005161212,-0.0015539378,0.24766508,0.020942373,0.42800555,0.5719944
-0.0048957327,-0.0025512278,0.24723843,0.020851513,0.42811814,0.5718819
-0.0044956068,-0.0020890236,0.24706796,0.020787852,0.42827204,0.571728
-0.005185471,-0.0008018017,0.24662706,0.020577276,0.42760432,0.5723957
-0.0046449164,-0.0009204,0.24663806,0.020610265,0.42788112,0.5721189
-0.005523131,-0.00057409704,0.24729478,0.020792283,0.42747808,0.572522
-0.0042364458,-0.0024620742,0.24724482,0.020890217,0.42837697,0.571623
-0.00492631,-0.00089482963,0.24666397,0.020617606,0.42767128,0.5723287
-0.004082904,-0.0020414144,0.24810429,0.02115836,0.42869407,0.57130593
-0.0065280655,-0.0010432601,0.24670298,0.020587634,0.42676553,0.5732345
-0.004893587,-0.0033002645,0.24771154,0.021068998,0.42813125,0.5718687
-0.0036128024,-0.0038118511,0.24800125,0.021212285,0.42907968,0.5709203
-0.0044607976,-0.0022615641,0.24750818,0.02094788,0.42838553,0.5716145
-0.0038257102,-0.0026413053,0.24775119,0.021053145,0.428915,0.57108504
-0.0053423503,-0.0007018745,0.2464156,0.020495256,0.42747268,0.57252735
-0.0030031065,-0.0020281672,0.24757048,0.020996157,0.42927814,0.5707219
-0.0046367506,0.00012594461,0.24680099,0.02059881,0.4279832,0.57201684
-0.0061086873,0.0003144741,0.24661693,0.0204996,0.42698684,0.5730132
-0.0065690735,-0.00014600158,0.24563305,0.020212814,0.4263234,0.5736766
-0.004800842,-0.0012373328,0.24676374,0.020692741,0.42765114,0.5723489
-0.003261433,-0.0019910336,0.24763303,0.021046035,0.42891338,0.5710866
-0.0038919905,-0.000770241,0.24701981,0.020762138,0.4283501,0.5716499
-0.004047976,-0.0008330047,0.24757107,0.020934647,0.42845765,0.5715424
-0.0040624,-0.0009261668,0.24685845,0.020699514,0.42828462,0.5717154
-0.0047032097,-0.00106287,0.24822953,0.02113184,0.42833874,0.5716613
-0.0060784677,-0.0019386411,0.24710383,0.020752449,0.4273084,0.57269156
-0.006225691,-0.001910314,0.24626604,0.020490877,0.42688277,0.5731172
-0.004330025,-0.002266243,0.24676102,0.020734923,0.428084,0.57191604
-0.0038207034,-0.0015179217,0.24743704,0.020938313,0.42853075,0.57146925
-0.004158781,-0.0018713176,0.24818787,0.02117935,0.42864287,0.57135713
-0.0048672417,-0.0026133507,0.2479409,0.021095067,0.42828724,0.57171273
-0.0039539197,-0.00308913,0.24729638,0.020922689,0.42871734,0.5712826
-0.004168258,-0.0019577295,0.24781935,0.021031795,0.4287108,0.5712892
-0.0056378106,-0.00073471665,0.24622439,0.020420248,0.4272851,0.5727149
-0.0054730633,-0.0004902631,0.24634154,0.020472145,0.4272796,0.5727204
-0.004141615,-0.0009304285,0.24660528,0.02062458,0.42810896,0.571891
-0.0034487108,-0.0007389039,0.2474483,0.020906257,0.42877963,0.57122034
-0.0042963484,-9.807944e-05,0.24689426,0.020663247,0.4281371,0.57186294
-0.005256341,0.0005838275,0.24619217,0.020386616,0.42728207,0.57271796
-0.0053068856,0.0004710257,0.24622405,0.020417016,0.42716637,0.57283366
-0.0035267929,-0.0011820495,0.24748044,0.020945186,0.42870542,0.57129455
-0.004692481,-3.9041042e-05,0.24667674,0.020592637,0.42775276,0.57224727
-0.0046958784,-0.00013068318,0.24657077,0.02056628,0.4277013,0.5722987
-0.0050869444,2.9623508e-05,0.24665347,0.020583674,0.4274309,0.57256913
-0.0043811062,-0.0014086515,0.24764356,0.020987453,0.42823994,0.57176006
-0.0041286806,-0.0020268112,0.24749799,0.020960832,0.42846504,0.571535
-0.004627929,-0.0015131682,0.24729763,0.020851688,0.4281174,0.5718826
-0.0053136805,-0.0013656616,0.24709906,0.020762322,0.42763513,0.57236487
-0.004873798,-0.001968667,0.24707265,0.020796675,0.42790154,0.5720985
-0.004408107,-0.0024643242,0.24796553,0.021120798,0.42849323,0.5715068
-0.0046589235,-0.0025082529,0.24741425,0.020924719,0.42824247,0.57175756
-0.004731641,-0.0023256242,0.24753198,0.020950204,0.42823997,0.57176
-0.0047592977,-0.0020620078,0.2470231,0.020771189,0.42806038,0.57193965
-0.004982219,-0.0015539825,0.2472019,0.020806866,0.4279128,0.57208717
-0.0049248794,-0.002232954,0.24771246,0.021003881,0.42814836,0.5718516
-0.004972563,-0.0025606453,0.24732278,0.02088446,0.42805526,0.5719448
-0.0051584104,-0.0019887686,0.24695031,0.020737614,0.42777005,0.57223
-0.004674838,-0.00221017,0.24744286,0.020924827,0.42819715,0.57180285
-0.0053139785,-0.001951322,0.24733399,0.020860411,0.42776462,0.5722354
-0.004723237,-0.002871275,0.24763207,0.021013819,0.4282704,0.5717296
