mu1,mu2,sigma1,sigma2,pi1,pi2
0.18784463,0.1029641,0.50189835,0.25183746,0.2154135,0.78458655
0.18748865,0.102596074,0.502052,0.2521345,0.21558684,0.7844132
0.1875175,0.10272792,0.50204086,0.2521182,0.21560284,0.7843971
0.18631926,0.101825595,0.5025625,0.25314593,0.21628653,0.78371346
0.18742341,0.1030049,0.5020863,0.2522253,0.21575905,0.78424096
0.18845248,0.10368106,0.5016372,0.25133774,0.21514377,0.78485626
0.18822315,0.103238076,0.50173354,0.25151303,0.21519469,0.7848053
0.18819258,0.10327068,0.50174755,0.2515434,0.21522847,0.78477156
0.18886322,0.10371083,0.50145495,0.25096598,0.21482791,0.7851721
0.18896925,0.10363141,0.50140685,0.25086352,0.21472086,0.78527915
0.1880312,0.10284901,0.5018139,0.25165844,0.21523194,0.78476804
0.1892609,0.10403374,0.50128245,0.2506289,0.21460885,0.78539115
0.18981406,0.10462037,0.5010442,0.250171,0.21434475,0.78565526
0.1933189,0.1079219,0.49953148,0.24725594,0.21255568,0.78744435
0.19297698,0.10761806,0.49967915,0.24754034,0.21273504,0.78726494
0.18969235,0.10473004,0.50109965,0.2502898,0.21447295,0.78552705
0.19169217,0.1065616,0.50023544,0.24861816,0.21343502,0.78656495
0.19187576,0.1065132,0.5001533,0.24844886,0.21327658,0.78672343
0.19198924,0.10605577,0.50009704,0.24831204,0.21305369,0.78694636
0.19240955,0.105947435,0.49990925,0.24792525,0.21269228,0.78730774
0.19279984,0.106713176,0.49974602,0.24763162,0.2126098,0.78739023
0.19277868,0.107066214,0.49975994,0.24767722,0.21272942,0.78727055
0.1944899,0.10880932,0.4990241,0.24627252,0.21189755,0.78810245
0.19393712,0.10844535,0.4992643,0.24674043,0.21222407,0.787776
0.1947793,0.10942003,0.49890375,0.24605925,0.21184905,0.78815097
0.19628793,0.11089015,0.49825495,0.24482271,0.2110984,0.78890157
0.19532156,0.109933734,0.4986703,0.24561302,0.21157472,0.78842527
0.19287753,0.107584625,0.49972278,0.24762721,0.21280329,0.78719676
0.18470067,0.10019219,0.5032626,0.25450817,0.21708965,0.78291035
0.18653503,0.10175273,0.5024655,0.25294256,0.2160938,0.7839062
0.18874052,0.103539735,0.5015074,0.25106466,0.21487455,0.7851255
0.18906453,0.10371989,0.50136566,0.2507836,0.21467158,0.7853284
0.18851393,0.10337371,0.501606,0.25125837,0.21500473,0.78499526
0.19016352,0.10497099,0.50089353,0.2498806,0.21417218,0.7858278
0.19150898,0.10613266,0.5003111,0.24875113,0.2134535,0.78654647
0.19168323,0.10629758,0.5002359,0.24860634,0.2133648,0.7866352
0.19095543,0.10568014,0.500551,0.24921721,0.21375643,0.78624356
0.19214642,0.10683259,0.5000373,0.24822891,0.21315739,0.78684264
