mu1,mu2,sigma1,sigma2,pi1,pi2
0.3576935,0.0030813217,0.3704693,0.037528455,0.025810795,0.9741892
0.3573003,0.003358975,0.37067053,0.03764262,0.02590808,0.97409195
0.3598292,0.004260853,0.36954924,0.037054546,0.025487842,0.97451216
0.36397284,0.0060068816,0.3677352,0.036124106,0.024833053,0.9751669
0.3668735,0.007126227,0.36646318,0.035481308,0.024377124,0.9756229
0.36438715,0.0061002076,0.36754906,0.03602821,0.02476261,0.9752374
0.35914972,0.00458394,0.3698863,0.03724137,0.02564237,0.9743576
0.35475042,0.002770096,0.37182444,0.038262133,0.026363237,0.97363675
0.35201675,0.0020148754,0.37305695,0.038930636,0.026850173,0.97314984
0.34845895,0.0011720806,0.374675,0.039825685,0.027508227,0.9724918
0.350164,0.0020189583,0.37392735,0.039418846,0.027226042,0.97277397
0.34856775,0.0011525005,0.37462255,0.039795484,0.027484253,0.97251576
0.35045105,0.0019027591,0.37378493,0.039336424,0.027158337,0.9728417
0.3500567,0.0019984245,0.3739765,0.039446153,0.02724631,0.97275364
0.34752885,0.00055524707,0.37507334,0.04004061,0.02765088,0.97234917
0.34818292,0.0005261153,0.37476328,0.039863337,0.02751336,0.9724867
0.34471437,-0.00047014654,0.37633535,0.040746145,0.02815578,0.9718442
0.34690768,0.0004746616,0.375361,0.040203538,0.027773337,0.9722267
0.3495564,0.0016567409,0.37418973,0.039559998,0.027321476,0.97267854
0.35016596,0.0020105094,0.37392592,0.039417874,0.027224967,0.97277504
0.3463945,0.0011025071,0.37564367,0.040378135,0.02793132,0.9720687
0.3497291,0.002595991,0.37416905,0.039566442,0.027360901,0.97263914
0.35132653,0.0019415021,0.37337616,0.039107695,0.026983717,0.9730163
0.34531036,-0.0011680126,0.37600854,0.040543437,0.027973503,0.97202647
0.34675992,-0.00045391917,0.37537062,0.04019085,0.027728999,0.972271
0.35244,0.0011691153,0.372804,0.03877371,0.026699172,0.9733008
0.35843766,0.0023775697,0.3700773,0.037303936,0.025614342,0.9743857
0.3659817,0.0052924156,0.3667593,0.035602733,0.024409924,0.97559005
0.37309504,0.008053854,0.36365432,0.034069248,0.023325855,0.97667414
0.3820837,0.011242628,0.35974312,0.03221038,0.022003608,0.97799635
0.38676518,0.012857109,0.35771707,0.031280097,0.021341363,0.9786587
0.3756709,0.009639829,0.3625721,0.0335579,0.022984374,0.9770156
0.3693651,0.0074292123,0.3653318,0.034905642,0.023945887,0.97605413
0.3715484,0.0076390356,0.36433932,0.03440607,0.023570284,0.9764297
0.36389017,0.0053510666,0.36773187,0.036110766,0.024800928,0.9751991
0.35490093,0.0030529648,0.37177217,0.038238686,0.02635523,0.9736448
0.35813376,0.00435178,0.37034512,0.037484575,0.025821185,0.9741788
0.357862,0.0038360357,0.37043896,0.037525862,0.025835015,0.974165
0.35714948,0.0045477003,0.37081695,0.037744086,0.02602753,0.9739725
0.354606,0.0031424314,0.37191597,0.038319446,0.026420502,0.9735795
0.35247543,0.0019536018,0.37283784,0.038807392,0.026753204,0.9732468
0.34723905,0.0017709583,0.37528852,0.040187463,0.027809272,0.97219074
0.3415282,-0.0009470284,0.3778127,0.04159964,0.028795416,0.97120464
0.34426555,-8.717179e-05,0.37657234,0.04089125,0.028282069,0.97171795
0.34841833,0.00041542947,0.37464526,0.039794095,0.027456017,0.97254395
0.34892556,0.00051659346,0.37441304,0.039664313,0.02735991,0.9726401
0.34794366,-5.015731e-05,0.37483877,0.039895084,0.027516505,0.9724835
0.35864523,0.0038259178,0.37007308,0.037328076,0.025682801,0.9743172
0.3545046,0.0018077195,0.3718778,0.03827348,0.026337871,0.97366214
0.35775918,0.0030275881,0.37043518,0.037509035,0.025794033,0.974206
0.37498254,0.009084865,0.36285284,0.033687558,0.023066305,0.9769337
0.36718863,0.0069561303,0.3663067,0.035397563,0.024307357,0.97569263
0.3669032,0.0069604814,0.36643896,0.035465896,0.024359887,0.9756401
0.35886857,0.0046281517,0.3700202,0.03731423,0.025699884,0.97430015
0.35767794,0.0046268404,0.37057537,0.037614323,0.025930496,0.97406954
0.35309744,0.0029547215,0.3726105,0.03869999,0.026706535,0.9732935
0.35185638,0.0024245977,0.37315857,0.038995158,0.0269146,0.9730854
0.34166166,-0.0011244714,0.37773794,0.041551985,0.028751832,0.97124815
0.34097618,-0.0012178421,0.37805694,0.041738216,0.028891858,0.97110814
0.34240896,-0.00057822466,0.37741923,0.04137579,0.028636955,0.97136307
0.34295046,-0.00057046115,0.3771633,0.041226022,0.028521763,0.9714783
0.34304485,-0.00094242394,0.37709442,0.041178312,0.02847078,0.97152925
0.3472206,0.0009100735,0.37524158,0.040143717,0.02774347,0.97225654
0.350327,0.001003474,0.37378532,0.03931935,0.02711246,0.9728875
0.34931883,0.0011750609,0.37427047,0.03959632,0.027331768,0.97266823
0.350985,0.0017735809,0.37352574,0.039188318,0.027039668,0.97296035
0.35208791,0.0017882586,0.37300897,0.038899563,0.02681812,0.9731819
0.35647464,0.0033702701,0.3710568,0.03785292,0.026069969,0.97393006
0.35835716,0.003549859,0.37018973,0.03738595,0.025717678,0.9742823
0.35744974,0.004102111,0.37064835,0.037644252,0.025935203,0.97406477
0.35627055,0.0034076124,0.37115452,0.037906937,0.02611279,0.97388726
0.36000785,0.0045513064,0.36948463,0.0370252,0.025475264,0.9745247
0.35147795,0.001564756,0.37328082,0.039047144,0.026923517,0.97307646
0.35679772,0.00411053,0.37095326,0.037810206,0.026063068,0.9739369
0.35493124,0.0037169904,0.37180057,0.03826671,0.026400318,0.9735997
0.350895,0.0017824024,0.37356862,0.039212525,0.027058603,0.9729414
0.3516987,0.001963362,0.37320286,0.039011132,0.02691023,0.97308975
0.349179,0.0007033795,0.37430584,0.03960723,0.027322857,0.9726772
0.35756314,0.0037772506,0.3705746,0.037598293,0.025888592,0.9741114
0.35321644,0.0015878826,0.3724669,0.038594563,0.02657657,0.9734234
0.35372508,0.001632601,0.37223148,0.038465183,0.026478836,0.9735212
0.35509682,0.0028151274,0.37166533,0.038175512,0.026298275,0.9737017
0.36482817,0.00657402,0.3673748,0.035945415,0.024714872,0.9752852
0.3660305,0.0070919394,0.36685097,0.035681617,0.024529636,0.97547036
0.3613038,0.00507316,0.368915,0.036730655,0.025266992,0.97473305
0.36113608,0.0045588464,0.36896026,0.036745485,0.025260897,0.97473913
0.35835347,0.0038470328,0.37021047,0.037402555,0.0257407,0.9742593
0.3586948,0.003380537,0.3700215,0.037292182,0.025639892,0.9743601
0.35005122,0.001160562,0.37392512,0.03940105,0.027181003,0.972819
0.35065085,0.0019491166,0.373694,0.039286166,0.027121339,0.97287863
0.3583271,0.0048470646,0.37028667,0.037462007,0.025821043,0.97417897
0.361521,0.005363837,0.36883253,0.036692042,0.02524723,0.9747528
0.35974735,0.004338801,0.36959234,0.03707905,0.025509316,0.9744907
0.35281906,0.002121538,0.3726875,0.038726974,0.026697421,0.9733026
0.3505422,0.0019134581,0.37374282,0.039312914,0.027140623,0.9728594
0.35130614,0.0015271604,0.3733591,0.03909019,0.026955254,0.97304475
0.34776846,0.0003120005,0.37494472,0.03996247,0.027581733,0.97241825
0.3545517,0.0025496185,0.37190333,0.03830141,0.026385617,0.9736144
0.36062682,0.004893735,0.3692185,0.0368891,0.025382504,0.97461754
0.3634044,0.005484,0.36796558,0.03623588,0.024901297,0.9750987
0.35916817,0.0038324744,0.36982977,0.03719728,0.025582656,0.9744173
0.358184,0.0033803433,0.3702596,0.037420563,0.02573838,0.97426164
0.36253005,0.0049936175,0.3683402,0.036424592,0.02502951,0.9749705
0.3671568,0.006942302,0.36632055,0.03540446,0.024312187,0.97568786
0.3612041,0.004743278,0.36894038,0.036738206,0.02526158,0.9747385
0.36194736,0.0050182343,0.36861244,0.03656904,0.025141122,0.9748589
0.3632118,0.005333185,0.36804542,0.03627518,0.024926359,0.97507364
0.36472678,0.006076202,0.3673901,0.035944674,0.024697747,0.9753023
0.3600971,0.0048602223,0.36946282,0.037019096,0.025481163,0.97451884
0.35693222,0.0036210269,0.37085915,0.03774993,0.025999613,0.97400033
0.35509318,0.002881527,0.37167126,0.038180023,0.026304083,0.97369593
0.3564164,0.0036606342,0.3711026,0.03788328,0.026103476,0.9738965
0.3574006,0.0038751066,0.37065676,0.03764464,0.025927592,0.9740724
0.352819,0.002500981,0.3727119,0.03874772,0.026726976,0.97327304
0.35259363,0.002287075,0.37280378,0.03879479,0.02675549,0.97324455
0.35158274,0.0019923002,0.3732592,0.039043166,0.026935913,0.97306406
0.3537272,0.0024413615,0.37228248,0.03850854,0.026540931,0.97345906
0.35427412,0.0026661456,0.37204072,0.0383793,0.026449611,0.97355044
0.35151613,0.0020325333,0.373293,0.03906287,0.026952535,0.97304744
0.35176367,0.0021113455,0.37318188,0.039002232,0.026908731,0.97309124
0.35458252,0.0029970407,0.3719177,0.038317654,0.026413964,0.973586
0.3532299,0.0024062395,0.37251318,0.038635623,0.02663737,0.9733627
0.3536466,0.0028158277,0.37234423,0.038549762,0.026585985,0.973414
0.35240206,0.0024473965,0.372904,0.03885357,0.026806481,0.9731935
0.3523693,0.0022162497,0.37290445,0.038849473,0.026795002,0.97320503
0.35052058,0.0016052723,0.37373316,0.03930155,0.027120661,0.97287935
0.35270238,0.0021748245,0.3727456,0.03876029,0.026724929,0.97327507
0.3555901,0.0027812421,0.37143245,0.03804722,0.026198536,0.97380143
0.35524863,0.0024536848,0.37157112,0.038117107,0.026240647,0.9737593
0.3558282,0.0030399263,0.3713377,0.038000204,0.02617152,0.9738285
0.35660133,0.003641978,0.37101498,0.037835184,0.026065858,0.9739342
0.36115134,0.0051152557,0.36898854,0.036770564,0.025299056,0.974701
0.36146796,0.004983261,0.36883298,0.036685444,0.02522924,0.9747708
0.3602174,0.004514247,0.36938477,0.03697109,0.02543246,0.9745676
0.36047113,0.0045606643,0.36926964,0.036910415,0.025387492,0.97461253
0.35779846,0.0035987794,0.37045342,0.03752935,0.025829459,0.97417057
0.35411203,0.0027022213,0.37211892,0.038423117,0.026484558,0.97351545
0.35293612,0.002655521,0.37266687,0.038725644,0.026715536,0.9732845
0.35683513,0.003939867,0.37092483,0.03779159,0.026042776,0.97395724
0.35861844,0.004313886,0.37011674,0.037360527,0.025724573,0.97427547
0.35576853,0.0028343946,0.37135237,0.03800442,0.02616752,0.9738324
0.3520785,0.0018974245,0.37302035,0.038908027,0.026828557,0.9731714
0.35063776,0.002024725,0.37370512,0.039293822,0.027129987,0.97287005
0.34956384,0.0019266009,0.37420362,0.039573066,0.027341437,0.9726586
0.3488085,0.0014512986,0.37452847,0.03974787,0.027458603,0.9725414
0.35179648,0.002195567,0.37317193,0.03899827,0.026908731,0.97309124
0.3549638,0.0030698031,0.37174383,0.038223416,0.026344085,0.97365594
0.35468712,0.0021088868,0.37181166,0.038242754,0.02632495,0.9736751
0.35336518,0.0013696253,0.37238315,0.0385441,0.026530055,0.97347
0.35281536,0.0013219714,0.3726378,0.038684297,0.02663599,0.97336406
0.3611781,0.0043846816,0.36892956,0.03672604,0.025240062,0.9747599
0.3695699,0.0067926347,0.36519715,0.034826178,0.023864564,0.97613543
0.3733858,0.008583546,0.36355412,0.034028023,0.023310978,0.97668904
0.3731916,0.008644402,0.36364716,0.034075517,0.023349216,0.9766508
0.3729146,0.008625761,0.36377323,0.034138277,0.023396652,0.9766034
0.37098783,0.0081694275,0.36463076,0.034562185,0.02370664,0.9762934
0.36132765,0.004821345,0.3688879,0.036711723,0.025243908,0.9747561
0.35683602,0.00359267,0.3709022,0.037772853,0.026016243,0.97398376
0.35571295,0.003949195,0.37144986,0.038078487,0.026263721,0.9737362
0.35380602,0.0030547082,0.37228483,0.038521416,0.02657271,0.9734273
0.34816283,0.001177445,0.37481484,0.039905336,0.02756977,0.9724302
0.3508893,0.002018109,0.37358648,0.03922707,0.027078368,0.9729216
0.34866574,0.0011959076,0.37457916,0.039771706,0.027467536,0.97253245
0.34785962,0.00069750845,0.37492672,0.039959706,0.027593872,0.97240615
