mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.014851041,-0.0098823905,-0.011236295,0.6338043,0.3685133,0.4011867,0.19657801,0.48771533,0.31570667
-0.014823221,-0.010485057,-0.0119709745,0.6336812,0.368569,0.4012594,0.19649933,0.4878689,0.3156318
-0.014837958,-0.010762274,-0.012267135,0.6336179,0.36858466,0.40129048,0.19646586,0.48792967,0.31560445
-0.014790684,-0.011012871,-0.012628481,0.6335757,0.36861897,0.40132195,0.19642892,0.48800784,0.31556326
-0.01471585,-0.011520177,-0.013338819,0.63348806,0.36867478,0.40137592,0.1963533,0.48816565,0.3154811
-0.014746763,-0.010912195,-0.01257474,0.63360673,0.36862993,0.40131748,0.19643849,0.48799643,0.3155651
-0.014716551,-0.009908244,-0.011409707,0.6338149,0.36860037,0.40124756,0.1965782,0.48772836,0.31569347
-0.014742427,-0.010209028,-0.01172322,0.6337456,0.36860886,0.40127435,0.19654068,0.48779604,0.3156633
-0.014734909,-0.011490207,-0.013262309,0.63348633,0.3686736,0.40138075,0.19636264,0.48814273,0.3154947
-0.014643982,-0.012725938,-0.014879987,0.63325715,0.36875573,0.40147993,0.19617872,0.48851502,0.3153063
-0.014622845,-0.010948785,-0.012867138,0.6336444,0.3686314,0.40127763,0.19640149,0.48809657,0.31550196
-0.014623247,-0.010686114,-0.012578778,0.63370496,0.3686041,0.4012374,0.19643113,0.48804265,0.31552622
-0.014647581,-0.0104944,-0.012329429,0.63374305,0.36857894,0.4012096,0.19645649,0.48799202,0.31555152
-0.014669381,-0.010675561,-0.012462378,0.6336876,0.36861244,0.40126285,0.19644827,0.48799747,0.31555432
-0.014693722,-0.010229539,-0.011853375,0.6337619,0.3686079,0.40125582,0.19652405,0.48784074,0.31563514
-0.014669701,-0.0080029145,-0.00920482,0.6342136,0.3685278,0.4010977,0.19683853,0.48723063,0.31593078
-0.014651105,-0.0070571676,-0.008087546,0.6344062,0.36849946,0.40103477,0.19697262,0.48697132,0.31605607
-0.014670551,-0.008981962,-0.010335192,0.6340033,0.36859232,0.40120187,0.19671163,0.4874712,0.31581718
-0.014742799,-0.010527287,-0.012144692,0.6336912,0.368592,0.40126234,0.19648272,0.48791397,0.31560338
-0.0148207545,-0.009489097,-0.010888718,0.6339113,0.36845323,0.40109375,0.19660638,0.48767552,0.31571808
-0.014797322,-0.009591285,-0.011075079,0.63390416,0.36844996,0.40108296,0.19658214,0.4877306,0.3156873
-0.014827073,-0.009808414,-0.011304721,0.6338575,0.3684429,0.40108868,0.19655153,0.4877875,0.31566092
-0.014755964,-0.0120106265,-0.013932481,0.6333959,0.36863294,0.40135163,0.19626714,0.48833552,0.31539738
-0.014755249,-0.01053492,-0.012185432,0.6337003,0.36855692,0.40122306,0.19646876,0.48794618,0.31558508
-0.014719777,-0.01047999,-0.01216431,0.63371766,0.36857367,0.40122962,0.19647571,0.48793718,0.31558707
-0.014654487,-0.010271445,-0.012043431,0.6337842,0.3685713,0.40119773,0.19649065,0.4879232,0.31558615
-0.014625043,-0.01091877,-0.012855351,0.63365835,0.3686177,0.40125874,0.19639994,0.48810348,0.31549656
-0.014683835,-0.010932349,-0.012754202,0.633634,0.3686161,0.40127793,0.1964124,0.48806584,0.3155218
-0.014716223,-0.00973146,-0.011205614,0.63385266,0.3685882,0.40122825,0.1966009,0.48768526,0.31571385
-0.0146831125,-0.01024121,-0.011847384,0.6337522,0.3686338,0.4012849,0.19653134,0.48782334,0.3156454
-0.014696673,-0.0098887645,-0.011416428,0.63382363,0.36860672,0.4012478,0.19657895,0.48773012,0.31569093
-0.014701687,-0.009312116,-0.010722667,0.6339404,0.3685763,0.40119886,0.19665895,0.48757437,0.31576666
-0.014794596,-0.008684695,-0.009845838,0.63404924,0.3685059,0.40113038,0.19675192,0.48738056,0.31586748
-0.0147739425,-0.00831572,-0.009432845,0.6341283,0.36849803,0.401105,0.19680217,0.487286,0.31591186
-0.014804363,-0.009054679,-0.010269798,0.6339708,0.3685217,0.40116182,0.19670232,0.48747486,0.31582284
-0.014833704,-0.009420149,-0.010681115,0.6338947,0.36851692,0.40117443,0.19664918,0.48757598,0.31577486
-0.014874712,-0.009526592,-0.010755368,0.6338657,0.36850187,0.4011727,0.19663598,0.4875962,0.31576782
-0.014884874,-0.009222638,-0.010378517,0.6339255,0.36848298,0.40114602,0.19667882,0.48751158,0.3158096
-0.014851086,-0.00987871,-0.0111937,0.63379484,0.36853755,0.40121663,0.19658956,0.4876876,0.31572282
