mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.16347393,0.0070273913,0.0067861564,0.5844252,0.04964605,0.06800751,0.031237798,0.86391926,0.10484296
-0.16369098,0.006985802,0.0068679936,0.5845331,0.04970961,0.06807452,0.031265743,0.86382306,0.104911245
-0.16460681,0.0069543906,0.0067855306,0.5848369,0.049623944,0.067931645,0.031188125,0.86409384,0.104718044
-0.16584295,0.008178655,0.0073780604,0.5853587,0.049119934,0.06725414,0.030900804,0.86509913,0.10400012
-0.16508183,0.0077687837,0.0073133297,0.5851007,0.049388085,0.067615315,0.031063993,0.8645292,0.10440683
-0.16633064,0.007740844,0.0072777756,0.5855274,0.04929878,0.0674543,0.030974861,0.8648401,0.104185104
-0.1681628,0.0076002367,0.0069274493,0.586082,0.04906599,0.06709751,0.030783357,0.86550796,0.103708655
-0.1654293,0.0069617815,0.006152261,0.58495814,0.049214277,0.067403,0.03093024,0.8649922,0.10407757
-0.16579145,0.007858384,0.007133592,0.5853181,0.04920526,0.067361824,0.030940067,0.8649638,0.10409609
-0.16557705,0.008064706,0.0074161477,0.5853026,0.049246527,0.06741805,0.03097646,0.8648372,0.10418628
-0.16699648,0.008323673,0.007661719,0.5858453,0.049124125,0.06720608,0.030872192,0.8652019,0.103925936
-0.16502136,0.008143995,0.0073401816,0.5850671,0.04917903,0.067361005,0.030957898,0.86489993,0.1041422
-0.16333118,0.008295048,0.0078134425,0.584597,0.049466446,0.06777775,0.031177167,0.86413664,0.10468625
-0.16558734,0.008657444,0.008360434,0.5855035,0.04938816,0.067580685,0.0310758,0.8644913,0.104432926
-0.16554904,0.0079752095,0.0075287707,0.58528394,0.049326565,0.06751989,0.031022437,0.86467206,0.10430552
-0.16374248,0.0073275007,0.006963391,0.58453804,0.04953198,0.06785501,0.031174373,0.8641398,0.104685865
-0.16200924,0.00683913,0.0068252273,0.5839313,0.049881287,0.06835773,0.031410694,0.86331654,0.1052728
-0.16293126,0.0076236166,0.0074788816,0.5843872,0.04970327,0.068091296,0.031304926,0.86368775,0.10500729
-0.16280577,0.0076804645,0.0075598545,0.58435535,0.049716335,0.06811216,0.03131824,0.8636409,0.10504085
