mu1,mu2,sigma1,sigma2,pi1,pi2
0.0069894493,-0.006812919,0.53579366,0.37686294,0.4725736,0.52742636
0.007238567,-0.0068645068,0.5355448,0.3774388,0.47247657,0.5275234
0.007252358,-0.006917415,0.5353916,0.37751836,0.47242245,0.5275776
0.007429771,-0.006881077,0.5352798,0.37799448,0.4723763,0.5276237
0.007746324,-0.0068242047,0.5350778,0.37883353,0.47229296,0.5277071
0.0075159,-0.0068313647,0.53520834,0.37829953,0.47234786,0.52765214
0.007416688,-0.006762121,0.5356826,0.37778893,0.47251758,0.52748245
0.007361211,-0.006744126,0.53568375,0.37772515,0.47252026,0.52747977
0.007716112,-0.006860772,0.53523225,0.37856564,0.4723481,0.5276519
0.0082324445,-0.007052649,0.5345551,0.3797724,0.4720903,0.5279097
0.008218348,-0.0072816666,0.53506476,0.3788409,0.4722688,0.52773124
0.008020945,-0.0070246607,0.535277,0.37875167,0.4723512,0.5276488
0.007862426,-0.006883703,0.5353748,0.3786352,0.47239196,0.5276081
0.0077796876,-0.0068133697,0.5353856,0.37860808,0.47239912,0.5276009
0.0075390637,-0.006738238,0.5355431,0.37817642,0.47246394,0.5275361
0.0075667724,-0.0069910735,0.5367159,0.37663144,0.47287175,0.5271283
0.0071974993,-0.00664524,0.53720635,0.3761374,0.47305802,0.526942
0.007430084,-0.006755594,0.5365233,0.37700278,0.4728104,0.5271896
0.0076220855,-0.007109113,0.5356093,0.37759617,0.4724833,0.52751666
0.007171154,-0.0071586072,0.5356212,0.37672946,0.47250566,0.5274943
0.007219784,-0.0070004165,0.5356868,0.3770278,0.47252676,0.5274732
0.007196009,-0.0069567338,0.5356414,0.37710887,0.47251192,0.52748805
0.0077545717,-0.007147571,0.5348498,0.37849736,0.4722126,0.52778745
0.007707879,-0.0073547848,0.53522646,0.37768173,0.47234586,0.5276541
0.00765913,-0.0070971437,0.53540164,0.37788367,0.47240928,0.52759075
0.007792115,-0.006892862,0.5354882,0.3783878,0.4724344,0.52756566
0.008002341,-0.006799316,0.53531057,0.37908697,0.47236395,0.5276361
0.007810332,-0.0068327896,0.5352516,0.37875724,0.47235107,0.5276489
0.007555008,-0.006933326,0.5358191,0.3775882,0.47255945,0.5274406
0.007654682,-0.006795343,0.5357612,0.37805906,0.47253534,0.5274647
0.007501781,-0.0067451373,0.53577834,0.37787056,0.47254762,0.5274524
0.0072762296,-0.0066191554,0.5359671,0.37752467,0.47262275,0.52737725
0.006816551,-0.0066035464,0.5362146,0.37652865,0.4727277,0.5272723
0.006729692,-0.0064691957,0.53639203,0.37644535,0.4727933,0.5272067
0.0068169013,-0.006542869,0.536179,0.37667105,0.47271535,0.5272846
0.0068691596,-0.006657552,0.53596216,0.37676865,0.47263747,0.5273625
0.0068186745,-0.006761778,0.5358901,0.37656888,0.4726142,0.5273858
0.006717801,-0.006755512,0.53598475,0.37631622,0.4726514,0.52734864
0.006938584,-0.006739877,0.5358079,0.37689164,0.47258073,0.52741927
0.006754212,-0.0068353787,0.536228,0.37600037,0.47273466,0.5272653
0.0068224,-0.006778581,0.53620505,0.37623876,0.472724,0.52727604
0.006971158,-0.0068401843,0.5359769,0.37660512,0.47263825,0.52736175
0.006991543,-0.0068117455,0.53594834,0.3767178,0.47262752,0.5273725
0.006961547,-0.0067271106,0.5360074,0.37675875,0.47264946,0.5273506
0.0071125776,-0.006807279,0.5357059,0.3771681,0.47253802,0.527462
0.0070743635,-0.0068498403,0.5356261,0.37710577,0.47251162,0.52748835
0.006895885,-0.0067317784,0.53585374,0.3767887,0.47259843,0.52740157
0.006926395,-0.006653268,0.5359085,0.3769259,0.47261643,0.52738357
0.0070970654,-0.0067823995,0.5356294,0.3772604,0.47251195,0.52748805
0.008108623,-0.007137306,0.5344224,0.37954038,0.4720488,0.5279512
0.00817617,-0.00747313,0.53472024,0.37876683,0.47214988,0.52785015
0.008268185,-0.0072880853,0.53469056,0.37928188,0.47213593,0.52786404
0.0083216205,-0.007430235,0.53548765,0.3783393,0.47241214,0.52758783
0.008107409,-0.0071760807,0.53611803,0.3778078,0.47264117,0.5273589
0.007959217,-0.007019045,0.535975,0.37797314,0.4725974,0.52740264
0.0076968595,-0.0069776345,0.53636503,0.37721846,0.47274414,0.5272559
0.0077860504,-0.006857155,0.5361533,0.37779033,0.47266683,0.5273332
0.0077143833,-0.0068529584,0.5358953,0.3779277,0.47257972,0.52742034
0.00735911,-0.006737424,0.5359635,0.3774601,0.472618,0.527382
0.006882064,-0.0067574084,0.535918,0.37665716,0.4726214,0.52737856
0.0070823207,-0.0067896545,0.5356825,0.37717062,0.47253108,0.5274689
0.006982833,-0.006876422,0.53562737,0.3769017,0.4725158,0.52748424
0.007282324,-0.0068684146,0.535374,0.37767342,0.47241512,0.52758485
0.008433074,-0.0072743967,0.5339483,0.38031867,0.47186968,0.5281303
0.008722566,-0.0075966343,0.53336227,0.38081902,0.47165248,0.52834755
0.009087697,-0.0077980235,0.53442013,0.3800438,0.47200766,0.52799237
0.00883998,-0.007440718,0.5349216,0.37976205,0.4721934,0.52780664
0.0086718425,-0.007321544,0.5355693,0.37905037,0.4724266,0.5275734
0.008824594,-0.007142056,0.53529286,0.37990215,0.47232404,0.5276759
0.008571722,-0.00702006,0.5353993,0.37958175,0.47237158,0.5276284
0.008363858,-0.0070535503,0.5362316,0.37835142,0.4726705,0.5273295
0.008112386,-0.0067733433,0.5362811,0.37837058,0.4726983,0.5273017
0.007617682,-0.0066004563,0.5363765,0.37773994,0.47275177,0.52724826
0.006997101,-0.006636195,0.53624076,0.3767524,0.4727295,0.5272705
0.0069474354,-0.006798433,0.5359573,0.3766576,0.47263244,0.5273676
0.007066183,-0.006825611,0.53576857,0.37699556,0.47256178,0.5274383
0.0075756907,-0.0070375055,0.5350276,0.37821302,0.47228208,0.52771795
0.007719882,-0.0071132444,0.5347772,0.3785702,0.47218865,0.52781135
0.0075735375,-0.0070874505,0.53489226,0.37825337,0.47223482,0.5277652
0.0076943114,-0.006999392,0.53487813,0.3786296,0.47222507,0.52777493
0.0078023896,-0.007011989,0.5355152,0.3781678,0.47244322,0.5275568
0.0076210797,-0.006874375,0.53611135,0.37751967,0.47265884,0.5273412
0.0074245036,-0.006646786,0.53639007,0.37731558,0.47276425,0.52723575
0.00745558,-0.006636236,0.5361812,0.37759092,0.47269017,0.52730983
0.0072216094,-0.006635111,0.53617454,0.37720102,0.47269732,0.5273027
0.0069295987,-0.006519869,0.5363749,0.3767125,0.47277915,0.52722085
0.0070897937,-0.0067466907,0.5357415,0.37720174,0.4725514,0.5274486
0.006959006,-0.006872479,0.53565234,0.37684375,0.47252545,0.5274745
0.006905146,-0.0068158098,0.5357583,0.37674892,0.4725647,0.5274353
0.006900266,-0.006846767,0.5357305,0.37671316,0.47255513,0.5274449
0.0069887415,-0.006792318,0.53570956,0.37698025,0.4725443,0.5274557
0.0070254654,-0.00670686,0.53576624,0.37713856,0.4725627,0.5274373
0.007229835,-0.0067159105,0.5355782,0.3776544,0.47248876,0.52751124
0.0071647465,-0.006973654,0.5363394,0.37634543,0.47275677,0.52724326
0.0071467906,-0.006801516,0.5363769,0.37658226,0.47277075,0.52722925
0.007486604,-0.0069057792,0.53583425,0.3775055,0.47256756,0.5274325
0.0071315393,-0.006973272,0.5358626,0.37675402,0.47259176,0.52740824
0.0071782693,-0.0072796997,0.53728604,0.37490934,0.47308588,0.5269141
0.008061975,-0.0074276645,0.5358719,0.3775254,0.4725568,0.5274432
0.0081139505,-0.0076972693,0.5351221,0.37786958,0.47229257,0.5277074
0.007843062,-0.007446626,0.535267,0.37770998,0.47235444,0.5276456
0.007659368,-0.007239029,0.5357609,0.37728179,0.47253457,0.5274654
0.0073752403,-0.0070074443,0.53597295,0.37700072,0.47262037,0.5273797
0.007829152,-0.006994039,0.53553885,0.37822208,0.47245044,0.52754956
0.0075829253,-0.0069256686,0.5356006,0.3778629,0.47248206,0.527518
0.007554464,-0.006886989,0.5353789,0.37809974,0.47240582,0.5275942
0.0075830445,-0.0070635453,0.5361196,0.37711218,0.47266302,0.52733696
0.007892527,-0.006832313,0.53608745,0.37808025,0.47263953,0.52736044
0.007129602,-0.006835051,0.53613913,0.37672552,0.4726885,0.52731156
0.0070410967,-0.006807074,0.53608125,0.3766808,0.47267193,0.52732813
0.006960191,-0.0069811717,0.5369165,0.37542385,0.47296628,0.52703375
0.0069827065,-0.0068135317,0.53684485,0.37582713,0.47294056,0.52705944
0.007257454,-0.006960392,0.5361992,0.37666288,0.47270414,0.5272959
0.0068443418,-0.0070722513,0.536495,0.37547618,0.47282392,0.5271761
0.0067350045,-0.0068814196,0.5366143,0.37551105,0.47287014,0.5271299
0.0069736093,-0.007054761,0.5359888,0.37621874,0.4726421,0.5273579
0.0070287064,-0.0070495363,0.5358794,0.37642825,0.4726017,0.52739835
0.006956421,-0.0069905706,0.53581,0.37647703,0.4725805,0.52741957
0.0067914054,-0.0068334155,0.5360742,0.37621662,0.47267956,0.52732044
0.0066037625,-0.0066928957,0.5363196,0.37590706,0.47277293,0.5272271
0.0065590143,-0.0064964797,0.5366347,0.37587124,0.4728848,0.5271152
0.0065703094,-0.006504774,0.53652275,0.37598455,0.47284532,0.5271547
0.006499484,-0.006664317,0.5363246,0.37577572,0.4727789,0.52722114
0.0064762905,-0.006595768,0.53646344,0.3757222,0.47282833,0.5271717
0.0065298453,-0.0065805856,0.5363896,0.37591165,0.4728004,0.5271996
0.0064058825,-0.0067160353,0.53629875,0.37555084,0.4727736,0.52722645
0.0066318437,-0.006818764,0.53599423,0.37604934,0.4726581,0.5273419
0.006693952,-0.0069190115,0.53583574,0.37613225,0.47260016,0.52739984
0.0068710297,-0.0069016777,0.53569895,0.3765971,0.47254527,0.5274548
0.0072701946,-0.0069967937,0.5352513,0.37754533,0.47237268,0.52762735
0.007433392,-0.0069948155,0.5351108,0.37796453,0.47231695,0.5276831
0.007357657,-0.0068975426,0.53527784,0.37784415,0.47237852,0.5276215
0.007835537,-0.006999653,0.5347546,0.37899163,0.47217616,0.5278238
0.007880151,-0.007049242,0.5349871,0.37875175,0.47225562,0.5277444
0.0077740103,-0.006846817,0.5352727,0.37864974,0.47235987,0.52764016
0.00780572,-0.0067484304,0.53531206,0.37883994,0.47237244,0.5276276
0.007707417,-0.0067155436,0.5353559,0.37868738,0.47239178,0.5276082
0.0076706484,-0.006656252,0.53539115,0.3786952,0.47240567,0.5275944
0.007480845,-0.006595578,0.53568566,0.3781905,0.4725162,0.52748376
0.0072554573,-0.006551156,0.5358284,0.3777451,0.4725753,0.52742475
0.0070553273,-0.0065013487,0.53604066,0.3772851,0.47265747,0.5273425
0.007200353,-0.0065423623,0.53585744,0.3776384,0.47258765,0.52741235
0.0070286617,-0.0067225657,0.5357472,0.3771348,0.4725559,0.5274441
0.0069743693,-0.0068296846,0.5364326,0.37618536,0.47279713,0.5272029
0.007513292,-0.0069601405,0.53570515,0.377581,0.47252133,0.5274787
0.0073536783,-0.007080298,0.5355831,0.37721574,0.47248504,0.527515
0.0071524233,-0.0069796685,0.5360598,0.3765861,0.47265974,0.5273403
0.0070327,-0.006846005,0.53616446,0.37651667,0.47270122,0.5272988
0.0070597604,-0.0068012364,0.53609157,0.37671283,0.47267473,0.5273253
0.007094845,-0.0068036057,0.5359307,0.3769252,0.47261718,0.5273828
0.006937772,-0.0066952277,0.53608316,0.3767008,0.47267684,0.5273231
0.006640874,-0.006634712,0.53655785,0.3758411,0.47285452,0.5271455
0.0067038015,-0.0066319723,0.5364303,0.37607682,0.4728075,0.5271925
0.0066508353,-0.0065750107,0.5365623,0.3759589,0.47285578,0.5271442
0.0067158863,-0.006795192,0.53609115,0.37613937,0.47268853,0.5273115
0.0066870824,-0.0068664066,0.5360048,0.37604883,0.4726595,0.52734053
0.0066248477,-0.0067244917,0.53618425,0.37601885,0.4727248,0.5272752
0.00658416,-0.0066628642,0.5362331,0.37601092,0.47274354,0.5272565
0.006539412,-0.006664522,0.53623533,0.37592986,0.47274616,0.52725387
0.006388709,-0.006649263,0.53638315,0.37555733,0.47280383,0.5271962
0.006608799,-0.0066817943,0.5361567,0.37609378,0.47271588,0.52728415
0.0068836734,-0.0067566484,0.5358385,0.37673873,0.47259364,0.5274064
0.0070098564,-0.006878786,0.5356013,0.37696892,0.47250557,0.52749443
0.006913401,-0.0067653954,0.53581375,0.376798,0.47258374,0.5274162
0.007007636,-0.006839227,0.53566474,0.37697318,0.47252783,0.52747214
0.006991148,-0.0068335794,0.5357221,0.37689918,0.47254854,0.52745146
0.007086903,-0.006768808,0.5357201,0.37717864,0.472544,0.527456
0.006930493,-0.006668858,0.53594184,0.37687275,0.47262785,0.5273721
0.0068673715,-0.0065697916,0.5360967,0.37678954,0.4726846,0.52731544
0.006766431,-0.006476503,0.5363107,0.37657416,0.47276342,0.5272366
0.006942123,-0.0065957233,0.53599805,0.376967,0.47264713,0.5273529
0.0076873824,-0.0070454143,0.53484046,0.37857303,0.47221217,0.52778786
0.0084037185,-0.007530693,0.5337084,0.38004845,0.47178665,0.5282134
0.0085375905,-0.007510392,0.5336128,0.3804083,0.4717478,0.52825224
0.008659169,-0.0076263957,0.5345419,0.3794955,0.4720678,0.52793217
0.0086346865,-0.0074644033,0.5353924,0.37890667,0.47236618,0.52763385
0.0083210245,-0.0070991516,0.535679,0.37873825,0.47247934,0.52752066
0.008599848,-0.007027883,0.53524756,0.37976488,0.47231746,0.52768254
0.008527316,-0.0071474984,0.5357475,0.3789378,0.4724948,0.52750516
0.008496039,-0.006896101,0.535721,0.37935677,0.47248712,0.52751285
0.008093171,-0.0067891926,0.53595114,0.37863266,0.47258386,0.52741617
0.0076953843,-0.007224787,0.53750986,0.3756658,0.47314292,0.5268571
0.006730452,-0.0068165734,0.5378091,0.37445936,0.47328663,0.5267134
0.0065181553,-0.0067908354,0.53751266,0.3744321,0.47319207,0.5268079
0.0060911328,-0.006681267,0.5377236,0.37369844,0.47328296,0.526717
0.0061093643,-0.006651873,0.53754014,0.37395823,0.47321838,0.5267817
0.0063268244,-0.006866757,0.53691304,0.3745553,0.47299087,0.5270091
0.006061837,-0.00703007,0.5366755,0.37405005,0.4729186,0.5270814
0.0062593594,-0.0070435163,0.5363882,0.37463903,0.47281045,0.5271896
0.0061253086,-0.0070702154,0.53630245,0.37444833,0.47278586,0.5272141
0.0064144284,-0.007101819,0.53594565,0.37522873,0.47264966,0.5273503
0.0066859946,-0.0069693998,0.53582513,0.3760402,0.47259673,0.5274033
0.0068434402,-0.006867405,0.53577447,0.3765372,0.47257277,0.52742726
0.0067036524,-0.006773878,0.5359781,0.37626633,0.4726496,0.5273504
0.0070371255,-0.00668543,0.5357825,0.3771804,0.47256795,0.5274321
0.0069798455,-0.0066965893,0.5358571,0.37699044,0.4725963,0.5274037
0.00702367,-0.0067347437,0.535753,0.37709907,0.4725581,0.52744186
0.007132679,-0.006752843,0.5356416,0.3773615,0.47251478,0.5274852
0.006955892,-0.0066943876,0.53584003,0.37697017,0.47259128,0.5274087
0.0069474205,-0.006596204,0.53594947,0.3770226,0.47262996,0.5273701
0.0068186373,-0.0066132434,0.5360444,0.37668082,0.47266826,0.52733177
0.006957315,-0.0066645406,0.53587264,0.37699348,0.47260267,0.52739733
0.00805749,-0.007173199,0.53438085,0.37942994,0.47203636,0.5279637
0.008371726,-0.0074437223,0.5338264,0.38003224,0.47182935,0.52817065
