mu1,mu2,sigma1,sigma2,pi1,pi2
0.020775141,0.13938016,0.4483143,0.313283,0.3151579,0.6848421
0.02037009,0.13915586,0.4485708,0.31357726,0.31522694,0.6847731
0.020406174,0.13930959,0.4485052,0.31352696,0.31519204,0.68480796
0.020071344,0.13888946,0.44879872,0.31385115,0.3153093,0.6846907
0.019442977,0.13832861,0.44926986,0.31437534,0.31546935,0.6845306
0.019849094,0.1378724,0.44924593,0.31429604,0.3155702,0.68442976
0.020035917,0.13690886,0.44948864,0.31447065,0.31579772,0.6842023
0.020177098,0.138093,0.44902378,0.31404,0.3155033,0.6844967
0.019672053,0.13904983,0.44892377,0.31403694,0.31528625,0.6847138
0.01894343,0.13960493,0.44906223,0.31429425,0.31517908,0.6848209
0.019335212,0.13709319,0.44974294,0.31483617,0.31578353,0.68421644
0.019471684,0.13737851,0.44958806,0.31469217,0.31571344,0.68428653
0.019557538,0.13721067,0.44960612,0.3146899,0.31575054,0.68424946
0.0195791,0.13742387,0.44952208,0.3146021,0.31569457,0.6843054
0.019835735,0.13712737,0.44950566,0.31453025,0.3157542,0.6842458
0.02063431,0.13515514,0.44986036,0.3149649,0.31628534,0.6837147
0.020810181,0.13511348,0.44979402,0.31487364,0.31628838,0.6837116
0.02005803,0.1380446,0.44907287,0.31399825,0.3154882,0.6845118
0.019926103,0.13983005,0.44852656,0.3135456,0.3150572,0.68494284
0.020654166,0.13890278,0.44852176,0.3134427,0.31526622,0.6847338
0.020521903,0.13888973,0.44859046,0.31355336,0.31528223,0.6847178
0.020567039,0.1389628,0.44854927,0.31352848,0.3152684,0.6847316
0.01994157,0.14133799,0.44802925,0.31321415,0.31471968,0.6852803
0.020298133,0.13852435,0.44882727,0.31386685,0.3153994,0.6846006
0.020204196,0.13861275,0.44884232,0.3139128,0.315386,0.68461406
0.019685814,0.13733694,0.44950384,0.31456697,0.31571186,0.68428814
0.019132176,0.13728508,0.4497651,0.31487358,0.31573865,0.6842614
0.019420693,0.13744819,0.44958037,0.31465974,0.31568798,0.684312
0.02008568,0.13673794,0.44952378,0.31448945,0.31583676,0.6841632
0.019768799,0.13751411,0.44939998,0.3144269,0.31565538,0.68434465
0.019829037,0.13698173,0.44955006,0.3145287,0.3157778,0.6842222
0.019982534,0.13660598,0.44960546,0.3145316,0.31585872,0.6841413
0.020755226,0.13737419,0.44899893,0.3138622,0.3156422,0.68435776
0.020688156,0.13707584,0.44912547,0.3139605,0.31571046,0.6842896
0.020595463,0.1382809,0.44875598,0.3136433,0.31541607,0.68458396
0.020559521,0.13854635,0.44868112,0.31357956,0.3153511,0.68464893
0.020783247,0.13890523,0.448462,0.31336072,0.31525892,0.68474114
0.020983892,0.1386931,0.44844663,0.31332335,0.31530687,0.6846931
0.020637104,0.13910896,0.44846192,0.3134057,0.3152201,0.6847799
0.021107817,0.13786355,0.44867375,0.31350595,0.31550696,0.68449306
0.021015467,0.1388712,0.4483742,0.31326506,0.31526536,0.6847347
0.020793939,0.13911426,0.44839022,0.31331584,0.3152133,0.68478674
0.020653078,0.13841856,0.44868773,0.31359488,0.31538662,0.68461335
0.020583661,0.1380285,0.44885057,0.31374693,0.31548378,0.68451625
0.020464176,0.1392988,0.4484757,0.3134534,0.3151815,0.68481857
0.020535136,0.13882557,0.44860616,0.31356338,0.31529707,0.68470293
0.020710425,0.1380741,0.44878355,0.3136917,0.31547567,0.68452436
0.020617181,0.13827881,0.44875586,0.3136846,0.31542918,0.68457085
0.020512851,0.13938898,0.44842744,0.31342345,0.31516382,0.68483615
0.019238615,0.14194536,0.44813356,0.31341237,0.31459174,0.68540823
0.019530723,0.13832653,0.44923645,0.31435683,0.31547445,0.68452555
0.019373143,0.13917619,0.44902647,0.31424215,0.3152846,0.6847154
0.019673238,0.13661957,0.4497612,0.3148364,0.31590015,0.6840999
0.0198866,0.13591123,0.4499119,0.31496808,0.31607667,0.68392336
0.01980962,0.13732189,0.44945315,0.31449813,0.31571034,0.6842897
0.020155804,0.1358867,0.44979528,0.3148033,0.31606832,0.68393165
0.019648569,0.13702363,0.4496122,0.31459278,0.31576753,0.6842325
0.019546458,0.13700014,0.44966173,0.31463298,0.31577072,0.6842293
0.019873472,0.1366691,0.44962633,0.31453577,0.3158374,0.6841626
0.020767936,0.13868731,0.44854715,0.3134605,0.31531945,0.6846806
0.020484323,0.13914576,0.44851968,0.31349397,0.31521982,0.6847802
