mu1,mu2,sigma1,sigma2,pi1,pi2
0.11076633,0.0030269176,0.08303459,0.031113941,0.06518677,0.93481326
0.11273313,0.0041889697,0.082692936,0.030950518,0.06490659,0.9350934
0.11381886,0.0048046857,0.08263298,0.030923424,0.06483955,0.93516046
0.1060623,0.0010466129,0.084432304,0.03174985,0.06610878,0.93389124
0.10930971,0.0027904063,0.08367319,0.031393014,0.06555144,0.93444854
0.11068831,0.003773883,0.083677985,0.03138825,0.065478235,0.9345218
0.11130438,0.0042690784,0.08386454,0.031472344,0.06554604,0.93445396
0.109462984,0.0019577295,0.083427235,0.031315435,0.065500654,0.9344993
0.10880918,0.0022915155,0.0837705,0.03144865,0.06565037,0.93434966
0.10879407,0.0022934228,0.083784275,0.0314548,0.06565783,0.93434215
0.10908411,0.0030469447,0.084102005,0.031582035,0.06576715,0.9342329
0.10566688,0.00050492585,0.08428637,0.03169311,0.06607415,0.93392587
0.105803646,0.00073213875,0.084037,0.031566508,0.06590846,0.93409157
0.10813338,0.0030315667,0.08426879,0.031637773,0.065845296,0.9341547
0.10779468,0.0023693591,0.08421836,0.03163393,0.065879844,0.9341202
0.10818774,0.001956895,0.083658755,0.031393286,0.065608464,0.93439156
0.111309715,0.0031891614,0.08266504,0.030943656,0.06496657,0.9350334
0.10912914,0.0025064498,0.08337948,0.031259578,0.0654079,0.93459207
0.10874242,0.0023651868,0.08346119,0.031294905,0.06546225,0.93453777
0.10754386,0.0015939027,0.08351249,0.03132202,0.06554912,0.9344509
0.10978789,0.0026137382,0.08281111,0.030999219,0.065080814,0.9349192
0.11852337,0.009428695,0.082854435,0.030951284,0.06460806,0.93539196
0.116754,0.0073357373,0.08341189,0.031263597,0.06509885,0.9349012
0.11649645,0.0055348426,0.08271359,0.031000629,0.06489639,0.93510365
0.116012014,0.004881099,0.08261064,0.030967018,0.06489457,0.93510544
0.11161441,0.002630666,0.08343244,0.031344857,0.0654766,0.9345234
0.111214705,0.0036239177,0.08415357,0.031637724,0.06577953,0.9342205
0.10745204,0.0016895086,0.08498215,0.032023586,0.066385984,0.933614
0.10180891,-0.0010447949,0.08602781,0.032500755,0.06716534,0.9328347
0.09689877,-0.0034789294,0.08751598,0.033139214,0.06815032,0.9318497
0.09415368,-0.0044683665,0.08865612,0.03361545,0.06882905,0.93117094
0.10303641,0.00048704445,0.08538488,0.032153465,0.06665511,0.9333449
0.109487005,0.0030228645,0.083513424,0.03131064,0.06543803,0.9345619
0.1093416,0.0027023107,0.083393484,0.031263273,0.06539964,0.93460035
0.10739986,0.0013943464,0.08351439,0.031327914,0.065568425,0.93443155
0.10581062,0.0009417087,0.083915725,0.031499024,0.06581607,0.93418396
0.105437376,-0.0001488179,0.08314385,0.031166142,0.065476805,0.9345232
0.112894066,0.005057767,0.08230644,0.0307319,0.064594775,0.93540525
0.11451445,0.005826786,0.082358,0.030765472,0.06459174,0.93540823
0.109574564,0.0025120527,0.08299848,0.031088017,0.06519579,0.93480426
0.10494653,-0.00043182075,0.08338711,0.031275764,0.06563429,0.9343657
0.11265654,0.004841879,0.0824249,0.030791782,0.0646812,0.9353188
0.114771314,0.0051565915,0.081864364,0.030565074,0.06439408,0.93560594
0.11585433,0.005621031,0.081665926,0.030478287,0.06426595,0.9357341
0.1109818,0.0025790483,0.08230637,0.030789655,0.06481585,0.9351842
0.111459054,0.003588751,0.08255417,0.030877003,0.06486329,0.93513674
0.11066348,0.0044798404,0.08380698,0.03141844,0.06547724,0.93452275
0.11111543,0.0032354146,0.082993545,0.031094227,0.06514813,0.9348519
0.116537936,0.005864814,0.08178295,0.030541467,0.06432924,0.9356708
0.113163926,0.0038036853,0.08237676,0.030827057,0.06478339,0.93521667
0.104365505,-0.00012104213,0.084399566,0.03174095,0.066179596,0.9338204
0.10613046,0.0007855445,0.08373752,0.03142863,0.065736175,0.9342638
0.10605658,0.0007611066,0.08353286,0.031329364,0.065618664,0.9343813
0.10747082,0.0017916709,0.08323001,0.031175707,0.06536296,0.93463707
0.1035533,0.00016339123,0.084200494,0.031610813,0.06601708,0.93398297
0.10407329,0.0006122142,0.08406893,0.031541377,0.06590387,0.93409616
0.11136601,0.003923133,0.08226953,0.030723827,0.06466118,0.93533885
0.1093233,0.002102688,0.082218714,0.030725436,0.06478109,0.93521893
0.11474652,0.0051553994,0.08123,0.030261524,0.0640302,0.9359698
0.11852587,0.007179573,0.08086665,0.030099006,0.063726515,0.9362735
0.11843101,0.0070579797,0.08118648,0.030254254,0.06391996,0.93608004
0.11594749,0.005252674,0.08155255,0.03044235,0.06424552,0.9357545
0.116729,0.0062261373,0.081889406,0.030581765,0.06435622,0.9356438
0.11142931,0.0023742467,0.08231519,0.030814325,0.064851634,0.93514836
0.11112551,0.0032211095,0.082738414,0.030972674,0.065002,0.93499804
0.11024467,0.0029783994,0.08310538,0.03113643,0.065222226,0.9347778
0.111375995,0.0038266927,0.08302909,0.031092254,0.06511164,0.93488836
0.105202325,0.00066657364,0.08433413,0.031696584,0.06607482,0.93392515
0.10187308,-0.002115652,0.08475809,0.03187209,0.0665143,0.93348575
0.10853071,0.0032058507,0.083575964,0.031307496,0.0654351,0.93456495
0.11060197,0.0032985955,0.08275993,0.030966025,0.06499558,0.9350044
0.109342314,0.002502039,0.082815,0.03099436,0.0650857,0.9349143
0.109254725,0.0015534908,0.082063876,0.03067324,0.064747296,0.9352527
0.110824205,0.00402458,0.0827105,0.030916542,0.06489507,0.9351049
0.111341365,0.0037897378,0.08254268,0.03085975,0.064833105,0.9351669
0.111255415,0.003326133,0.08226409,0.030744165,0.064718395,0.9352816
0.11608223,0.0058475286,0.08142022,0.030357093,0.064107865,0.9358921
0.11940027,0.007886484,0.08135546,0.030324422,0.063957654,0.93604237
0.1113571,0.0033963472,0.08301987,0.031106157,0.065151356,0.93484867
