mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.00783553,-0.114093855,0.0017524771,0.44716737,0.51414037,0.6576363,0.29929715,0.49034125,0.21036159
-0.009580098,-0.113474414,0.0026298072,0.44661272,0.51429677,0.6579483,0.2988103,0.4906916,0.21049811
-0.009628281,-0.11360012,0.0026236903,0.44652393,0.51424015,0.657951,0.298771,0.4907637,0.21046531
-0.00886023,-0.113762155,0.00226097,0.446825,0.5142185,0.65781826,0.29900533,0.49056113,0.21043357
-0.010101698,-0.1132424,0.0029020496,0.44647112,0.5143635,0.6580436,0.29867333,0.4907758,0.21055089
-0.0090369135,-0.1137117,0.0023471843,0.4467625,0.5142291,0.65784925,0.2989538,0.490602,0.21044426
-0.009013675,-0.11353691,0.0023743957,0.44686416,0.5143052,0.65785277,0.29899347,0.49051726,0.21048927
-0.008585937,-0.11366229,0.0021649282,0.4470138,0.5142782,0.6577774,0.29911762,0.4904198,0.21046257
-0.009181552,-0.11343582,0.0024676304,0.44683212,0.51433796,0.6578846,0.29895416,0.49053285,0.21051303
-0.008713938,-0.1136715,0.0022176933,0.44694492,0.51426625,0.657798,0.299072,0.4904694,0.21045862
-0.0072334483,-0.11403592,0.0015074033,0.44749898,0.51420236,0.65754,0.29951456,0.49010152,0.21038389
-0.0064170137,-0.1141787,0.0011280794,0.44783467,0.5141919,0.65740013,0.29976937,0.48987314,0.21035752
-0.006154172,-0.11424114,0.00100247,0.44793427,0.51418155,0.6573544,0.29984844,0.48980677,0.21034476
-0.0063124374,-0.11419697,0.0010795128,0.44787768,0.5141906,0.65738225,0.29980204,0.4898439,0.21035413
-0.0065195784,-0.114249185,0.0011569448,0.44774687,0.51415545,0.657414,0.2997213,0.48994046,0.2103382
-0.005882114,-0.11448158,0.0008350909,0.44794667,0.5140958,0.6572998,0.29989836,0.48981497,0.21028668
-0.0062049255,-0.114332184,0.0010048263,0.44786185,0.5141395,0.65735894,0.29981446,0.48986468,0.2103209
-0.0066581517,-0.11426903,0.0012119729,0.44766712,0.51413846,0.65743595,0.2996701,0.48999852,0.21033144
-0.0072932243,-0.11417733,0.001502933,0.44739607,0.5141383,0.6575439,0.29946837,0.49018458,0.210347
-0.0085181445,-0.11389221,0.0020871032,0.4469293,0.5141842,0.6577566,0.29909924,0.49049616,0.2104046
-0.008023784,-0.11408381,0.0018350817,0.44707817,0.5141329,0.6576676,0.2992343,0.49040392,0.2103618
-0.00765118,-0.114042744,0.0016845334,0.44728604,0.51417357,0.6576082,0.29936978,0.49025327,0.21037696
-0.010823756,-0.113077596,0.0032457188,0.44619474,0.51438916,0.658169,0.29845545,0.49096072,0.21058387
-0.009778336,-0.11370535,0.0026654769,0.44639465,0.51418597,0.6579712,0.2987004,0.4908631,0.21043645
-0.008650206,-0.11381282,0.0021604132,0.44690403,0.5142099,0.65778166,0.29906827,0.49050847,0.21042323
-0.00856258,-0.11364396,0.0021588355,0.4470349,0.51428735,0.6577744,0.29912898,0.49040344,0.21046755
-0.00878083,-0.11356588,0.002268713,0.44696578,0.51430726,0.6578133,0.29906815,0.49044704,0.21048479
-0.008031994,-0.113816604,0.0018953495,0.44721168,0.5142466,0.6576801,0.29927993,0.49029002,0.21043001
-0.007095419,-0.11402552,0.0014506225,0.44757348,0.51421535,0.65751773,0.29956394,0.49004784,0.21038827
-0.006175153,-0.11426394,0.0010065846,0.44791198,0.5141706,0.6573569,0.2998371,0.48982424,0.21033868
-0.005071014,-0.114519134,0.0004804097,0.4483344,0.51412994,0.6571652,0.3001706,0.48954242,0.210287
-0.004192598,-0.11469568,6.739423e-05,0.4486843,0.51410896,0.6570139,0.3004409,0.48930654,0.21025258
-0.0031864047,-0.115105644,-0.00044979528,0.44897807,0.51399624,0.6568319,0.30071294,0.48912704,0.21016006
-0.0056918114,-0.11435805,0.0007799845,0.44810593,0.51416034,0.65727377,0.29998624,0.48969314,0.21032056
-0.005569577,-0.11471091,0.0006527789,0.4479852,0.5140172,0.657239,0.29996422,0.48980385,0.21023194
-0.0068549067,-0.1143076,0.0012878869,0.4475486,0.51410985,0.6574666,0.29959542,0.49008542,0.21031913
-0.006407,-0.11460878,0.0010324512,0.44761783,0.514009,0.6573806,0.29969475,0.49005756,0.21024771
-0.0065597743,-0.114458725,0.0011296384,0.44761863,0.51406366,0.6574118,0.29966944,0.49004632,0.21028416
-0.005976267,-0.114597276,0.0008507632,0.4478398,0.5140406,0.6573104,0.29984495,0.48989904,0.21025597
-0.00507918,-0.11474194,0.00043656304,0.44821522,0.51403433,0.65715736,0.30012733,0.4896427,0.21023002
-0.0049585104,-0.114627704,0.00040923618,0.44833487,0.5140906,0.6571423,0.3001896,0.48954976,0.21026064
-0.005206026,-0.11452021,0.0005378891,0.4482661,0.5141211,0.6571874,0.30012396,0.48959097,0.2102851
