mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0032196566,-0.1287593,0.0040797815,0.22857332,0.36177698,0.5938671,0.27114922,0.6147386,0.1141122
-0.004085593,-0.12881693,0.0044413246,0.22820722,0.36163792,0.59394777,0.2708087,0.61515635,0.11403496
-0.0045055673,-0.12895328,0.0045922846,0.22796777,0.36150998,0.59396863,0.2706125,0.615422,0.11396551
-0.0042079315,-0.12916991,0.0044148006,0.22795817,0.36142614,0.593901,0.27066162,0.61541605,0.11392233
-0.0034499988,-0.12915617,0.004090097,0.22825722,0.36152738,0.59382415,0.27094907,0.61507183,0.113979094
-0.0022205338,-0.1292392,0.0035396516,0.2286826,0.36163303,0.5936818,0.2713854,0.6145746,0.11404002
-0.0079208985,-0.12800813,0.006282147,0.22719842,0.3616147,0.5944849,0.26960808,0.6163856,0.11400637
-0.010295682,-0.12842229,0.0072159916,0.22605559,0.36109078,0.59466296,0.2686044,0.61767745,0.11371814
-0.009212248,-0.12908614,0.0065979995,0.22609144,0.3608551,0.5944375,0.26881778,0.617584,0.11359818
-0.0072480515,-0.12919107,0.0057248883,0.22678149,0.361039,0.5942147,0.26952,0.61677563,0.11370436
-0.0065444037,-0.12913257,0.005433731,0.22708386,0.3611584,0.59415114,0.26979935,0.61643,0.11377064
-0.004334621,-0.129462,0.004403848,0.22774248,0.36124778,0.59386486,0.27053037,0.61564225,0.11382741
-0.0014588609,-0.12969562,0.0031074993,0.22871399,0.36147282,0.59352523,0.27153948,0.61450225,0.11395826
-0.002471082,-0.1290639,0.00368746,0.22868672,0.3616997,0.59373754,0.27134195,0.6145838,0.11407431
-0.005198784,-0.12864673,0.0049610958,0.22787708,0.36159512,0.5940928,0.27044135,0.61555094,0.114007704
-0.0043568835,-0.12922972,0.004465759,0.22786677,0.3613744,0.5939063,0.27058873,0.6155169,0.11389431
-0.0022150949,-0.12905589,0.0035785735,0.22878993,0.3617358,0.5937122,0.27144012,0.6144654,0.11409447
-0.0007333383,-0.12911442,0.0029245205,0.2293277,0.3618864,0.5935477,0.27197856,0.6138415,0.11418005
0.00035757571,-0.12926185,0.002419524,0.2296642,0.36193907,0.59340906,0.27234522,0.6134426,0.11421215
0.003504105,-0.1297324,0.0009527169,0.23061106,0.36206573,0.5930015,0.27339154,0.6123175,0.11429095
0.00802166,-0.13010633,-0.0010852553,0.232152,0.36241606,0.59246755,0.27498507,0.610523,0.114491984
0.004328482,-0.12870935,0.0008264482,0.23152393,0.36273885,0.59308827,0.27399647,0.6113534,0.11465012
-0.0005129948,-0.12834865,0.0030015744,0.22985381,0.36234087,0.59365404,0.2722813,0.61329716,0.11442153
2.861768e-05,-0.12899306,0.0026222914,0.22969186,0.3620483,0.5934887,0.27229917,0.6134321,0.114268705
-0.00030698627,-0.12872368,0.0028280616,0.22971733,0.36215705,0.5935692,0.27225074,0.6134243,0.11432499
0.0009309277,-0.12922505,0.002179835,0.22990711,0.36203045,0.5933555,0.272571,0.61316633,0.11426273
-0.00053279847,-0.12876117,0.002917301,0.22960846,0.36210817,0.5935865,0.27215526,0.6135465,0.11429824
-0.001783751,-0.12880561,0.0034483299,0.22909994,0.36192873,0.59370947,0.2716736,0.6141281,0.11419831
-0.002251573,-0.1289793,0.0036115646,0.22881983,0.36177403,0.59372896,0.27144846,0.61443704,0.114114545
-0.003700249,-0.12893605,0.0042478554,0.2282871,0.3616191,0.5938875,0.27091864,0.6150548,0.114026606
-0.003429018,-0.12935251,0.0040368214,0.22815281,0.36142063,0.59378874,0.2709005,0.61517686,0.11392265
-0.0027969554,-0.12902522,0.0038371012,0.22858344,0.361681,0.5937781,0.27123106,0.61470586,0.1140631
-0.0031719878,-0.12874305,0.0040628314,0.22860098,0.3617919,0.593865,0.27117175,0.614708,0.11412031
-0.0009296909,-0.12945217,0.0029334277,0.22905774,0.36167386,0.5935112,0.2718078,0.6141255,0.114066765
-0.00063001364,-0.12908074,0.0028874315,0.22938693,0.36191794,0.59354264,0.27202693,0.61377597,0.11419714
0.0010659471,-0.129502,0.0020591058,0.22979966,0.36189276,0.5932946,0.27254197,0.61326766,0.11419033
0.004305728,-0.12970671,0.0006118007,0.23093712,0.36217922,0.5929223,0.27370048,0.6119456,0.11435388
0.0056081787,-0.1294221,0.00011255965,0.23160861,0.3624992,0.59283453,0.2742728,0.61119944,0.114527784
0.0050938204,-0.12909472,0.00040872023,0.23159835,0.36261845,0.5929434,0.27417353,0.6112374,0.11458903
0.0046921447,-0.12900263,0.0006031655,0.23149541,0.36262006,0.5930008,0.27404886,0.61136264,0.11458854
0.0044396594,-0.12907898,0.0006951839,0.23135284,0.3625462,0.59301424,0.2739318,0.6115197,0.11454852
0.0016190782,-0.12846482,0.0020533204,0.23061264,0.36253986,0.59341204,0.27304816,0.61241686,0.114535
-0.0016235486,-0.12821731,0.0035114475,0.22950014,0.3622767,0.59379214,0.27190265,0.6137141,0.11438323
-0.0015200004,-0.12898126,0.003294725,0.2291007,0.36186337,0.59365225,0.27172196,0.61411333,0.114164755
