mu1,mu2,sigma1,sigma2,pi1,pi2
0.03290461,0.0045576263,0.41972095,0.266555,0.46419945,0.5358006
0.035396144,0.009331681,0.42043602,0.266408,0.46534958,0.53465044
0.034484968,0.008064112,0.4205076,0.26684925,0.46497843,0.5350216
0.0330531,0.005671408,0.42033333,0.26715624,0.4643605,0.5356395
0.035020694,0.009393198,0.42086738,0.26702034,0.46530005,0.5347
0.033011362,0.005749047,0.42043275,0.2672991,0.46437368,0.5356263
0.033106238,0.0060526505,0.42054448,0.267389,0.46449694,0.5355031
0.03258185,0.0050081816,0.42036933,0.26741362,0.46427718,0.5357228
0.033690974,0.006979743,0.4205854,0.26726037,0.46480218,0.5351978
0.032887325,0.005453339,0.42036527,0.26732922,0.46442416,0.53557587
0.03056094,0.0013232045,0.41992477,0.26772627,0.46346676,0.53653324
0.03045334,0.0005868692,0.41952306,0.26728657,0.46333978,0.53666025
0.03055814,0.0004923865,0.4193548,0.26709816,0.463394,0.536606
0.031038865,0.0012345612,0.41937515,0.26698247,0.4636388,0.53636116
0.031855166,0.0023276564,0.41928133,0.26655123,0.46388325,0.5361168
0.030562535,0.00010461733,0.41908792,0.26683658,0.4633449,0.5366551
0.03155403,0.0017100573,0.41916442,0.26651567,0.46373343,0.53626657
0.032181174,0.0028154794,0.4192786,0.26641285,0.46398312,0.53601694
0.03322062,0.004576763,0.41941217,0.26613173,0.46433952,0.53566045
0.034741968,0.0074753575,0.41983348,0.26600096,0.46496066,0.5350393
0.032858983,0.0046239328,0.41981637,0.266695,0.46420938,0.5357907
0.032246232,0.0036985036,0.4198077,0.26688382,0.4639796,0.5360204
0.037430495,0.013004573,0.4208634,0.2661044,0.46622905,0.5337709
0.034066066,0.00749523,0.4205495,0.26705787,0.46478263,0.5352174
0.03248012,0.0047844555,0.42030975,0.26731223,0.46410322,0.5358968
0.032533303,0.0049693678,0.42038703,0.26740962,0.46422994,0.53577006
0.033067882,0.0058287214,0.42043278,0.26730305,0.4644975,0.5355025
0.031839445,0.0035924707,0.42016596,0.26750368,0.46399367,0.53600633
0.030847281,0.0016079657,0.4198236,0.26749775,0.46356452,0.53643554
0.030166924,-1.6659498e-05,0.41940674,0.2672907,0.46322715,0.53677285
0.02879338,-0.0026349276,0.41902956,0.26743957,0.4627006,0.5372994
0.028135195,-0.0041320287,0.4186842,0.26734394,0.4624577,0.5375423
0.028086677,-0.005191788,0.4179987,0.2665585,0.46222246,0.53777754
0.03258875,0.0026831962,0.4187724,0.26574567,0.46417323,0.53582674
0.031271175,0.0005729608,0.4186869,0.26619005,0.46358675,0.53641325
0.033452615,0.0045100823,0.41913167,0.26577356,0.4644439,0.5355561
0.03211078,0.0022427235,0.41895035,0.26603287,0.46376857,0.53623146
0.032259956,0.0026825257,0.41909122,0.26607597,0.46381944,0.5361806
0.031001434,0.0006028153,0.41895962,0.26640505,0.46330288,0.53669715
0.029654533,-0.0017630756,0.41872343,0.26665896,0.46277437,0.5372256
0.029730245,-0.0016249269,0.41874677,0.26670188,0.4629077,0.5370923
0.030194849,-0.0007948093,0.41884786,0.26670563,0.46319798,0.536802
0.030485168,-0.00021852925,0.41895208,0.26676422,0.4633948,0.53660524
0.03030704,-0.0009633787,0.41861692,0.26641643,0.46317282,0.53682715
0.031652763,0.0014709439,0.41890186,0.26621923,0.46375963,0.5362404
0.03070052,-0.00039133057,0.41859883,0.2662104,0.4632384,0.53676164
0.030566141,-0.0005748309,0.41860768,0.2662446,0.46318343,0.5368166
0.032942414,0.0036109276,0.41903234,0.26580453,0.46417168,0.53582835
0.032069713,0.002349751,0.41906887,0.26619497,0.46381328,0.53618675
0.035229743,0.008296238,0.41989675,0.2659004,0.4652141,0.5347859
0.03363256,0.00589329,0.4198938,0.26650712,0.46453372,0.5354663
0.033097222,0.005162623,0.41993594,0.266699,0.46430576,0.53569424
0.03306131,0.005213732,0.42000753,0.26678443,0.46431264,0.5356873
0.03162837,0.0028042402,0.41983232,0.26715696,0.46375978,0.5362403
0.029938668,-0.0003934279,0.41937584,0.26729086,0.46304247,0.53695756
0.029052496,-0.0021136403,0.41911379,0.26738513,0.46275744,0.5372426
0.03038077,1.9397587e-05,0.41921893,0.26706237,0.463398,0.53660196
0.0300937,-0.000856895,0.41891566,0.26686195,0.46321213,0.5367879
0.030163988,-0.0008256547,0.4188656,0.26678744,0.46325105,0.53674895
0.030529544,-0.0006517358,0.41860026,0.2663043,0.46325025,0.5367497
0.030308604,-0.0010931902,0.41852325,0.26629326,0.46312985,0.5368701
0.031044126,0.00013742968,0.41860762,0.26608902,0.4634082,0.5365918
0.03239377,0.0025042035,0.41883993,0.26581812,0.4639293,0.5360707
0.03307256,0.0039593466,0.41913968,0.26588687,0.46421465,0.5357854
0.03753151,0.012333784,0.42029938,0.26547766,0.46615613,0.5338439
0.03393334,0.006692292,0.4201325,0.2666482,0.4646363,0.5353637
0.03244941,0.0042150617,0.41994488,0.26689562,0.46397778,0.5360222
0.032151356,0.0037570577,0.4199391,0.26701263,0.4639163,0.5360837
0.03131415,0.0022617783,0.41978127,0.26720396,0.46362963,0.5363704
