mu1,mu2,sigma1,sigma2,pi1,pi2
0.01350458,0.015948605,0.079925925,0.012125421,0.5004392,0.49956077
0.013432935,0.016274761,0.080033265,0.012147554,0.5002738,0.4997262
0.012671426,0.015187245,0.08024468,0.012217858,0.49981204,0.500188
0.0109184235,0.012167539,0.0806168,0.012358512,0.49895427,0.50104576
0.010299608,0.010890316,0.08065621,0.012384117,0.4987304,0.5012696
0.009209409,0.008442279,0.08065178,0.012411144,0.49822354,0.5017765
0.018314138,0.02708007,0.080367826,0.012137394,0.5034372,0.49656275
0.019195393,0.028740343,0.080337964,0.012116145,0.503444,0.49655595
0.015241429,0.02139416,0.080635116,0.0122682415,0.5009806,0.4990194
0.012997404,0.016952287,0.08055203,0.012279329,0.4996566,0.50034344
0.012416348,0.015792962,0.080566436,0.012294359,0.49942288,0.5005771
0.009546235,0.009722587,0.08066336,0.012389736,0.49793297,0.502067
0.0064056963,0.0031718425,0.0808281,0.012511464,0.4964919,0.5035081
0.009470835,0.00937533,0.08086104,0.012463151,0.49865022,0.50134975
0.013555691,0.017507982,0.08084043,0.012382739,0.5010567,0.49894336
0.010775343,0.012024816,0.08115636,0.012538273,0.49945104,0.50054896
0.010557577,0.010828014,0.080574304,0.012370321,0.49916533,0.5008347
0.00964652,0.008482661,0.0802726,0.012302394,0.498513,0.501487
0.008107737,0.005368706,0.08034031,0.012354227,0.49770257,0.5022974
0.0038921684,-0.003344912,0.080511205,0.012498378,0.49550375,0.5044963
-0.0007943362,-0.013291214,0.08060437,0.012635353,0.49324366,0.50675637
0.0072295517,0.0030019097,0.080420814,0.012415577,0.49828115,0.5017189
0.012931809,0.014454197,0.08044023,0.012317336,0.5014008,0.49859917
0.010748699,0.009815898,0.08036548,0.0123414835,0.49973628,0.50026375
0.012172833,0.012661364,0.079928875,0.0121694105,0.50021595,0.49978402
0.009062871,0.006525021,0.08001307,0.012251241,0.4982164,0.5017836
0.011606708,0.011881184,0.07983699,0.012137785,0.49960068,0.50039935
0.01245673,0.013562497,0.07978049,0.0121047795,0.49987793,0.5001221
0.011878714,0.012638804,0.07988277,0.0121419765,0.49943942,0.5005606
0.012226954,0.014131036,0.08026573,0.012237999,0.49975038,0.5002497
0.009284928,0.009127434,0.08102131,0.012517336,0.49837032,0.5016297
0.010391876,0.010981303,0.080745205,0.012415101,0.49907824,0.5009218
0.012576714,0.01469871,0.080286644,0.012242647,0.50015676,0.4998433
0.008122042,0.0057014935,0.0805471,0.012414278,0.49760935,0.5023907
0.009127185,0.007765185,0.08043656,0.012356346,0.49835014,0.5016499
0.00606893,0.0016158782,0.080761604,0.012523531,0.49680638,0.5031937
0.0031093806,-0.0048088618,0.0807414,0.01258765,0.49538234,0.5046177
0.0035309643,-0.004405562,0.08060175,0.0125460895,0.49592257,0.50407743
0.005672112,-0.00048767403,0.08046042,0.012470295,0.49729434,0.5027057
0.0070010275,0.0017554872,0.08025738,0.012390782,0.49798644,0.5020136
0.006933108,0.001717519,0.08031428,0.012408212,0.49790826,0.50209177
0.01162295,0.011221673,0.0799922,0.012210653,0.5003938,0.49960622
0.015686437,0.019202825,0.07955356,0.01199758,0.5021543,0.49784574
0.012153462,0.012659963,0.079850435,0.012143149,0.49976,0.50024
0.012256607,0.01326808,0.0797509,0.012095227,0.49965048,0.5003496
0.014247045,0.017795052,0.079849,0.012075115,0.5006907,0.49930927
0.013042882,0.015939455,0.08023623,0.01220815,0.49997374,0.5000263
0.012978479,0.016292047,0.08045769,0.012267718,0.500008,0.49999198
0.011486217,0.013359424,0.08059322,0.012338527,0.4992068,0.50079316
0.0075834543,0.0054872744,0.080838434,0.01249465,0.4971921,0.50280786
0.008391812,0.007305976,0.0809873,0.012522944,0.4980426,0.5019574
0.010354772,0.010646727,0.08071904,0.012415254,0.4992135,0.50078654
0.008774117,0.006729927,0.08047495,0.0123866,0.4982088,0.5017912
0.0103928,0.010355648,0.08056898,0.012375852,0.4992708,0.5007292
0.010369971,0.010206234,0.080562554,0.012377634,0.49920893,0.5007911
0.010348812,0.009894203,0.08036518,0.012320385,0.49908954,0.50091046
0.012297615,0.013890531,0.080244765,0.012241563,0.5001132,0.49988684
0.009375557,0.007759195,0.0802433,0.01230353,0.4982916,0.5017084
0.0042913407,-0.002526272,0.0804307,0.0124631915,0.49556547,0.5044345
0.0065342635,0.0023855679,0.080590025,0.012461327,0.49728557,0.5027144
0.009306297,0.007582452,0.08046263,0.012378928,0.4989193,0.5010807
0.009919897,0.008471619,0.08031225,0.012328344,0.49913594,0.5008641
0.011497244,0.012010466,0.08036676,0.012305652,0.4999778,0.50002223
0.007999197,0.0047524087,0.080375485,0.012381038,0.49782476,0.5021753
0.008821949,0.0065635256,0.080287986,0.012330774,0.4983585,0.5016415
0.012030557,0.012975629,0.080111265,0.0122137,0.5000926,0.49990737
0.010918573,0.010326784,0.079935394,0.012189016,0.49917346,0.50082654
0.010984406,0.010908645,0.080063164,0.01221606,0.49920246,0.5007975
0.004119262,-0.0024419911,0.08074833,0.012560545,0.49554336,0.5044567
0.013217911,0.016254347,0.08041761,0.012265128,0.5010119,0.49898812
0.008380279,0.0056304745,0.080448,0.012395089,0.497946,0.50205404
0.009506449,0.008211207,0.08038682,0.012342687,0.4987129,0.5012871
0.0070480555,0.002815958,0.08031494,0.012378923,0.49726066,0.50273937
0.011340037,0.012004327,0.08037833,0.0123021975,0.49988547,0.50011456
0.011016801,0.011151057,0.08038666,0.012318076,0.4995295,0.5004705
0.011691436,0.012346279,0.08014012,0.012228224,0.4997342,0.50026584
0.010609463,0.010294344,0.080193564,0.012262212,0.49901864,0.50098133
0.009282038,0.0076155774,0.08019407,0.012287124,0.4982466,0.5017534
0.009615734,0.009138223,0.080695346,0.012421833,0.49872902,0.50127095
0.01012142,0.009164911,0.08014883,0.012260766,0.49882752,0.5011725
0.007761702,0.004739832,0.080496594,0.012411255,0.49762097,0.50237906
0.012097433,0.0136002265,0.0803192,0.012266236,0.5001686,0.49983138
0.009272203,0.008019518,0.08065685,0.012429476,0.49852568,0.5014743
0.011828229,0.013050925,0.0803344,0.012276742,0.49993616,0.50006384
0.013087884,0.015564766,0.08025473,0.012227819,0.50047547,0.49952453
0.013106719,0.015643682,0.08018992,0.012204783,0.5002893,0.49971065
0.013632998,0.017009731,0.08022208,0.012196088,0.5004788,0.49952117
0.011950716,0.013891574,0.08041006,0.012281475,0.49947882,0.50052124
0.01332216,0.016830605,0.08037167,0.012237384,0.5002722,0.4997278
0.010575965,0.011217039,0.08051278,0.012338502,0.49869403,0.50130594
0.010081485,0.010645535,0.0807808,0.012423798,0.49867457,0.5013255
0.012359694,0.01481558,0.0804936,0.012298177,0.49997562,0.5000244
0.010707065,0.011627864,0.08076375,0.012415454,0.49909487,0.50090516
0.00987564,0.009816971,0.08071235,0.012417959,0.49869272,0.5013073
0.011834756,0.013622772,0.08054068,0.012327954,0.49983126,0.50016874
0.012554482,0.014942702,0.08047193,0.012295925,0.5001434,0.49985665
0.01276736,0.015317317,0.08038009,0.012263106,0.50014096,0.499859
0.014573678,0.019253533,0.080380715,0.012220371,0.5010895,0.49891055
0.011875585,0.0136146955,0.080362156,0.012271011,0.49936977,0.50063026
0.011481598,0.01326957,0.08054442,0.0123246405,0.49928018,0.50071985
0.013541177,0.017537888,0.08053859,0.0122804465,0.50050145,0.49949855
0.012582436,0.015294176,0.080459535,0.012282161,0.4998341,0.50016594
0.013760105,0.017992746,0.080533154,0.012274277,0.50054926,0.49945074
0.012954637,0.01654851,0.08069892,0.012339129,0.5000915,0.49990854
0.012215987,0.015002575,0.08067421,0.012346437,0.49967694,0.50032306
0.012863472,0.016284194,0.08062011,0.012316851,0.50006974,0.4999303
0.013212606,0.016941573,0.08060185,0.012305797,0.500247,0.49975306
0.010406449,0.010946523,0.080557875,0.012354544,0.49860477,0.5013952
0.009651527,0.009697329,0.08074744,0.012423292,0.4984175,0.50158256
0.010353282,0.011034559,0.08077576,0.012421956,0.49898335,0.5010166
0.009486005,0.008827176,0.08066459,0.0124157835,0.4985141,0.5014859
0.009592757,0.00903083,0.08069091,0.01242285,0.49869666,0.5013033
0.008921191,0.007332038,0.08058373,0.012410516,0.49833265,0.5016673
0.0065865964,0.0024165474,0.08062856,0.012476437,0.4971085,0.50289154
0.007880196,0.0049568675,0.080556236,0.012429335,0.49801865,0.5019814
0.007642761,0.0040315203,0.08042702,0.012404764,0.49787417,0.5021258
0.016611323,0.022171628,0.079953425,0.0120777935,0.5028287,0.4971713
0.017585322,0.02434538,0.08002884,0.0120794,0.5028596,0.49714044
0.017060265,0.023970675,0.080116056,0.012096567,0.50219446,0.49780557
0.017353311,0.025021162,0.08006743,0.01206073,0.5020592,0.49794075
0.014055088,0.018702116,0.080270015,0.0121782385,0.5000323,0.4999677
0.01093553,0.012572806,0.08043383,0.012285383,0.49838004,0.50162
0.011410996,0.01365089,0.08054919,0.012310875,0.49893156,0.5010685
0.012108788,0.015283998,0.0808551,0.0123930285,0.4996082,0.50039184
