mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0024424903,0.0016433056,0.5918126,0.58157474,0.47493258,0.5250674
-0.0018465929,0.0008576717,0.5914286,0.5826027,0.4746539,0.5253461
-0.001879733,0.0008852538,0.59143865,0.5825324,0.474679,0.52532107
-0.0021324344,0.0011863988,0.5915792,0.58207023,0.4748162,0.52518386
-0.001689788,0.0006030109,0.5912941,0.58283436,0.47460905,0.525391
-0.0020831823,0.0011154618,0.59154326,0.58215034,0.47479668,0.5252033
-0.0020552948,0.0010610577,0.591513,0.58218414,0.47479415,0.52520585
-0.0021946207,0.0012485739,0.5916054,0.58194685,0.474857,0.52514297
-0.0019807778,0.0009781476,0.5914757,0.5823251,0.4747502,0.52524984
-0.0021557473,0.001213884,0.59159195,0.58202744,0.474829,0.525171
-0.0026411414,0.0018278416,0.59188676,0.5811695,0.47507146,0.5249285
-0.002868425,0.0021428373,0.592044,0.5807905,0.47516868,0.52483135
-0.0029405318,0.00225777,0.5921044,0.5806825,0.47519058,0.5248094
-0.0028799064,0.0021946486,0.592077,0.58080053,0.47515225,0.52484775
-0.0028165467,0.0021423008,0.59205794,0.580935,0.47510406,0.5248959
-0.0030463934,0.0024347287,0.5921988,0.5805306,0.47521788,0.5247821
-0.0029144213,0.0022691917,0.5921196,0.58076465,0.47515115,0.5248489
-0.0027756877,0.002098633,0.5920387,0.5810137,0.4750789,0.5249211
-0.0025783852,0.0018538889,0.5919222,0.5813661,0.47497746,0.5250225
-0.002191972,0.0013509747,0.59167767,0.58203775,0.47479287,0.5252071
-0.002394423,0.0015775617,0.59178007,0.58165574,0.47491154,0.5250885
-0.0024943985,0.0016801264,0.5918241,0.5814596,0.47497565,0.52502435
-0.0014290065,0.0003221687,0.59116995,0.5833361,0.4744497,0.52555037
-0.0018779114,0.00087850355,0.59143454,0.582532,0.4746807,0.5253193
-0.0022127219,0.0012732279,0.5916177,0.5819163,0.47486502,0.525135
-0.0022019,0.001246674,0.5916021,0.58192503,0.47486725,0.5251327
-0.0021206476,0.0011552777,0.5915607,0.5820779,0.47481993,0.5251801
-0.0023778267,0.0014922004,0.591725,0.5816326,0.47494146,0.5250585
-0.0026679486,0.0018723812,0.5919104,0.5811308,0.47507858,0.5249215
-0.002952177,0.0022599306,0.5921027,0.5806517,0.47520387,0.5247961
-0.0033029504,0.0027213749,0.59232825,0.58004713,0.47536853,0.52463144
-0.003880933,0.003272524,0.5926315,0.5797427,0.47551763,0.52448237
-0.004569862,0.0039736386,0.593022,0.5793935,0.4756755,0.52432454
-0.0030218922,0.0024620201,0.5922246,0.5806212,0.475171,0.524829
-0.003146451,0.0026316699,0.59230876,0.5804112,0.47522607,0.52477396
-0.0027033873,0.0020504203,0.592025,0.5811766,0.4750171,0.5249829
-0.0029011853,0.002297772,0.5921432,0.5808249,0.4751176,0.52488244
-0.0028342046,0.0021863189,0.5920838,0.5809215,0.4751,0.5249
-0.003035728,0.0024302732,0.5921986,0.58055675,0.47520718,0.52479285
-0.003318239,0.0027819183,0.5923663,0.5800537,0.4753517,0.5246483
-0.0033250935,0.0027872082,0.5923681,0.5800388,0.47535717,0.5246429
-0.0032314435,0.002675226,0.59231573,0.5802092,0.4753065,0.5246935
-0.0031503215,0.002576774,0.59226936,0.58035576,0.4752635,0.5247365
-0.0033120103,0.0028130766,0.5923898,0.5800963,0.47532538,0.52467465
-0.0030331574,0.0024530943,0.59221524,0.5805825,0.4751904,0.5248096
