mu1,mu2,sigma1,sigma2,pi1,pi2
0.0040823184,0.0028692596,0.6714668,0.4205233,0.43378553,0.5662145
0.0043411665,0.0024670772,0.67102337,0.42085904,0.4338507,0.5661493
0.0044284817,0.0020794235,0.67062515,0.42105198,0.43399763,0.56600237
0.004325455,0.0016607307,0.67016214,0.42106983,0.43431547,0.5656845
0.004110636,0.001784753,0.67022866,0.42085183,0.43443164,0.5655684
0.0037899446,0.0018411838,0.67023975,0.42052242,0.43465656,0.56534344
0.0050132647,0.0018007271,0.67041546,0.42247874,0.43344507,0.5665549
0.005472649,0.001427602,0.6704949,0.4229335,0.4330405,0.5669595
0.005501151,0.0012612455,0.67015356,0.4223919,0.4334189,0.5665811
0.0050524008,0.0014726184,0.67016643,0.42175722,0.43379983,0.5662002
0.004839858,0.0015645884,0.67016363,0.42157954,0.43394724,0.5660528
0.0042043943,0.0015922748,0.6701545,0.42090127,0.43441507,0.5655849
0.0034267697,0.0015839003,0.6699987,0.4201667,0.43505397,0.56494606
0.0038339384,0.0017284416,0.6699472,0.42074516,0.43476093,0.5652391
0.0046953596,0.0017973147,0.6700956,0.4216157,0.4340572,0.5659428
0.0044275336,0.001623001,0.6701085,0.42120436,0.43426737,0.56573266
0.0038238838,0.0024975352,0.6709669,0.42035282,0.43425152,0.5657485
0.0033820048,0.0028754435,0.67135155,0.41977453,0.43437198,0.56562805
0.003063377,0.0027753823,0.67119795,0.41949016,0.43468225,0.56531775
0.0021782871,0.0025801025,0.67091215,0.4186344,0.43547562,0.56452435
0.00091711245,0.0028766058,0.67101127,0.41734448,0.43632904,0.56367093
0.0020982325,0.0036251359,0.6714842,0.4186998,0.4351783,0.5648217
0.003304189,0.0037354194,0.6720456,0.4199562,0.4339395,0.5660605
0.0031855274,0.0039585195,0.67253846,0.41931674,0.43386784,0.5661322
0.0030476116,0.004194122,0.67288655,0.41931072,0.43370453,0.56629544
0.0028547011,0.003935691,0.6725538,0.41883874,0.4341345,0.56586546
0.0032785144,0.003801655,0.6722831,0.41945565,0.43394986,0.5660501
0.0036448482,0.0033716671,0.6719002,0.41991487,0.43389043,0.5661096
0.0037848447,0.0028134547,0.6713346,0.4201956,0.43408984,0.5659102
0.004204938,0.002245333,0.67071027,0.4208342,0.4341078,0.56589216
0.004112052,0.0015625767,0.67002267,0.4208905,0.43454227,0.5654577
0.0039708596,0.0020533912,0.67043346,0.42068928,0.43441826,0.56558174
0.004124552,0.0024326108,0.670842,0.42074883,0.43409064,0.5659093
0.0034609344,0.002016019,0.67048717,0.4200599,0.4347743,0.5652257
0.0034040231,0.0022705905,0.67057174,0.42007974,0.43475264,0.56524736
0.0029159263,0.0021275096,0.6704469,0.41955897,0.43518007,0.56481993
0.0020059533,0.002504047,0.670722,0.4185559,0.43569148,0.5643085
0.0016997289,0.0029859804,0.6710536,0.4182342,0.4357235,0.56427646
0.0019191597,0.0033105575,0.6713548,0.41842154,0.435399,0.564601
0.002046004,0.003756892,0.671908,0.41837287,0.4350224,0.56497765
0.0020923913,0.0038485788,0.6720894,0.41832963,0.43490136,0.56509864
0.0029073805,0.004112404,0.67237645,0.41914785,0.43415195,0.56584805
0.0033099707,0.0039394014,0.6727121,0.4199948,0.43348637,0.56651366
0.003650669,0.0033944808,0.67206097,0.419797,0.43381724,0.5661828
0.0036898907,0.0031473897,0.6716967,0.4199923,0.4339697,0.5660303
0.0042150654,0.002714213,0.67130595,0.42081326,0.43374062,0.56625944
0.0045140237,0.00221264,0.6708103,0.4210734,0.4338417,0.5661583
0.0046879593,0.0018519424,0.670397,0.42139092,0.43392855,0.56607145
0.00447757,0.0016792826,0.6702109,0.42120877,0.43418097,0.565819
0.0037147738,0.0015121512,0.66997147,0.42046404,0.43486157,0.56513846
0.0037224907,0.0016142689,0.6698862,0.4206041,0.4348812,0.56511885
0.0038544834,0.0020017736,0.6702817,0.42065522,0.43457395,0.56542605
0.0033589788,0.0022705607,0.67063093,0.41998115,0.43476054,0.5652394
0.003670821,0.0023716055,0.67067385,0.42035025,0.43450218,0.5654978
0.0036731511,0.002543848,0.6709395,0.42023683,0.43436894,0.56563103
0.0035350248,0.0027269684,0.6711448,0.4200248,0.43436345,0.5656366
0.0039087962,0.002720397,0.67112905,0.42044622,0.43409613,0.5659039
0.0034053829,0.002594974,0.6710887,0.4198491,0.4344968,0.56550324
0.0023333076,0.0024762116,0.6708651,0.41878164,0.4353929,0.56460714
0.0026315134,0.0025413297,0.67065984,0.4193176,0.43525386,0.56474614
0.0030865371,0.0029000156,0.67108595,0.4196824,0.4346994,0.56530064
0.0031698886,0.0031759255,0.67150927,0.41959056,0.43442845,0.5655716
0.0035875123,0.0031870566,0.6715801,0.4199993,0.4340902,0.5659098
0.002938293,0.0031260215,0.6716216,0.41921327,0.43455628,0.5654437
0.0029483996,0.003176894,0.6715329,0.41932774,0.43458107,0.56541896
0.00357355,0.0031381063,0.67148817,0.42003033,0.4341448,0.5658552
0.0034229606,0.0029903166,0.6714613,0.419798,0.43428284,0.56571716
0.0035812333,0.0027487688,0.67117536,0.4200636,0.4343141,0.56568587
0.0025701784,0.0022734068,0.67070943,0.4190493,0.43530682,0.56469315
0.0038780216,0.0029717796,0.67116636,0.4206269,0.43404597,0.565954
0.0032041296,0.0029312186,0.67145467,0.41952693,0.43445286,0.56554717
