mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0013671406,0.007178709,-0.010903001,0.003813403,0.019017974,0.6215466,0.6871824,0.31033263,0.002484901
-0.0019551255,0.005440071,-0.010157406,0.0037620415,0.01884787,0.6221544,0.6874486,0.31009775,0.0024536266
-0.0017038472,0.0076903403,-0.010024428,0.003735279,0.018743752,0.62138635,0.687631,0.30993155,0.0024374996
-0.0029089488,0.0043017864,-0.008925796,0.0036689313,0.018527918,0.62258446,0.68794876,0.30965373,0.0023975167
-0.002149526,0.007348269,-0.008758247,0.0036446135,0.018428355,0.62145674,0.68810123,0.30951625,0.0023826018
-0.0024491884,0.0072897226,-0.009132266,0.0036569086,0.018471323,0.62163705,0.68803793,0.3095717,0.0023903775
-0.002296526,0.0069535375,-0.009065151,0.0036452329,0.018431403,0.6217961,0.6880924,0.3095249,0.0023827164
-0.0022738613,0.0066771656,-0.009104133,0.0036627927,0.018494925,0.62180185,0.6879836,0.30962282,0.0023936252
-0.0021956153,0.0068620592,-0.00925827,0.0036748715,0.018536476,0.6217311,0.6879196,0.30967942,0.0024010108
-0.002363447,0.0046890825,-0.009027839,0.0036977408,0.018628033,0.6222817,0.6877419,0.30984306,0.002415124
-0.0017028488,0.005948946,-0.009446025,0.0037469468,0.01879482,0.62166625,0.6874701,0.31008473,0.002445177
-0.0021405108,0.0056469887,-0.009468555,0.0037225706,0.018710146,0.6219862,0.687623,0.30994672,0.002430278
-0.0017317422,0.0057070255,-0.009618461,0.0037500553,0.01880627,0.62183356,0.6874607,0.31009245,0.0024468033
-0.0020341016,0.00717099,-0.009626806,0.003699939,0.018622689,0.62163794,0.687793,0.30979082,0.0024161988
-0.0020590015,0.0064698905,-0.009610057,0.003707974,0.01865428,0.62183917,0.6877374,0.3098416,0.002421013
-0.002069641,0.0060323775,-0.009474397,0.0037122201,0.018671695,0.6218994,0.68770117,0.30987513,0.002423705
-0.0019559152,0.006837651,-0.009594619,0.0037138185,0.018673342,0.62164414,0.68770653,0.30986872,0.0024247225
-0.001901824,0.007504061,-0.009841323,0.003713085,0.018666942,0.621532,0.6877314,0.3098445,0.0024241155
