mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.0034669042,-0.0010155141,-0.045230463,0.0028786275,0.016411867,0.22125384,0.5428941,0.45307025,0.0040356256
0.0033940375,-0.0008203164,-0.045327857,0.0028729113,0.01638817,0.22117242,0.5428937,0.4530773,0.0040290332
0.0032982081,-0.0010352209,-0.045346364,0.0028756785,0.016400002,0.2212533,0.54289335,0.45307425,0.004032373
0.003367424,-0.0008320883,-0.04544206,0.0028845477,0.016434122,0.22134693,0.54290736,0.45305005,0.00404265
0.0031691492,-0.0010547414,-0.045612797,0.0028821311,0.016425058,0.2214022,0.5429036,0.45305648,0.004039857
0.0033968687,-0.001658462,-0.045029268,0.0028773218,0.016409803,0.2213101,0.54287523,0.45309058,0.004034177
0.003924638,-0.001074858,-0.044780508,0.0028820292,0.016426597,0.22118859,0.54288375,0.45307708,0.004039191
0.003471315,-0.0009808391,-0.045382395,0.0028859742,0.016440477,0.2213733,0.5429034,0.4530525,0.0040440494
0.003306836,-0.0013270304,-0.045043603,0.0028643443,0.016356912,0.22109498,0.54287195,0.45310882,0.0040192795
0.0039155185,-0.0011495426,-0.044610366,0.0028762026,0.016404219,0.22109155,0.542875,0.4530924,0.004032581
0.003684625,-0.0008273646,-0.04505931,0.0028778873,0.01640854,0.22116436,0.5428927,0.4530727,0.004034613
0.003458947,-0.0012799278,-0.045014277,0.0028724466,0.016388943,0.22117572,0.54287905,0.4530924,0.00402854
0.003899917,-0.0013357326,-0.044467524,0.0028712598,0.016385699,0.2210314,0.54286444,0.4531087,0.0040269014
0.0040577203,-0.0009050593,-0.04464151,0.0028768482,0.016405664,0.22105715,0.5428795,0.4530874,0.004033078
0.003655821,-0.0010583177,-0.045045123,0.002880279,0.016419005,0.22123332,0.54288965,0.453073,0.004037377
0.0036212057,-0.00094400346,-0.04509379,0.0028815574,0.016423512,0.22124165,0.54289424,0.4530668,0.004038982
0.0035482645,-0.0010786876,-0.045084283,0.0028737527,0.016393106,0.2211684,0.54288346,0.4530867,0.0040298663
0.003747046,-0.0013655573,-0.044808015,0.0028788527,0.01641514,0.22121374,0.5428764,0.45308796,0.004035656
0.0038324296,-0.0010363981,-0.04491718,0.0028871878,0.016446592,0.22128046,0.54289335,0.45306134,0.0040453146
0.0035301298,-0.0011284202,-0.045093134,0.002875242,0.016399203,0.22119845,0.5428848,0.45308352,0.0040316214
0.0037956536,-0.0014741644,-0.044572696,0.002868714,0.016375896,0.2210515,0.5428603,0.45311576,0.00402388
0.004125759,-0.0011493042,-0.044421688,0.0028782792,0.016412873,0.2210669,0.5428726,0.4530926,0.0040348116
0.0037845075,-0.0007667616,-0.04495178,0.0028771348,0.016405545,0.22111619,0.54289097,0.45307532,0.00403369
0.0035175532,-0.0009412989,-0.045241937,0.0028807682,0.01642002,0.22126827,0.54289633,0.45306563,0.004038058
0.003527999,-0.0010931715,-0.045129523,0.0028778915,0.016409501,0.22123392,0.54288805,0.45307726,0.0040347264
0.0036469698,-0.0010513663,-0.045120284,0.0028830478,0.016429773,0.22128412,0.54289234,0.4530671,0.0040405495
0.0034802854,-0.0010386631,-0.04541956,0.0028922807,0.016465627,0.2214706,0.54290795,0.45304066,0.0040513733
0.0032672733,-0.000972867,-0.04566805,0.0028904844,0.016457673,0.2215005,0.54291284,0.45303777,0.0040494264
0.0032135844,-0.0012775138,-0.04551916,0.0028812687,0.016422745,0.22140832,0.54289496,0.45306635,0.0040387274
0.0034546554,-0.0010340065,-0.04551883,0.0028946558,0.016474765,0.22152264,0.542911,0.45303497,0.004054074
0.003023997,-0.0011951551,-0.04568784,0.0028815395,0.016423127,0.2214422,0.5429031,0.4530576,0.004039306
0.0033055246,-0.0010009184,-0.045579746,0.002889666,0.016454758,0.22147414,0.5429099,0.4530416,0.004048495
0.0030905306,-0.0013728365,-0.04546593,0.002874567,0.016396709,0.22133422,0.54288834,0.45308048,0.004031157
0.0036476254,-0.0017777681,-0.0444486,0.002862258,0.016351819,0.2210026,0.54284835,0.45313498,0.004016641
0.0043221414,-0.0016681924,-0.04360847,0.0028562197,0.016329266,0.22069286,0.54282826,0.4531625,0.004009269
0.004591152,-0.0010174364,-0.043710545,0.002864885,0.016360786,0.22069828,0.54285026,0.45313072,0.0040190844
0.004196584,-0.00093931705,-0.044007614,0.0028503116,0.016301863,0.22058277,0.5428451,0.45315254,0.004002412
0.004378304,-0.0007085651,-0.044171974,0.0028703767,0.016380271,0.22082402,0.542869,0.45310548,0.0040255524
0.0038694888,-0.00035198778,-0.04497029,0.0028738289,0.016390694,0.22100206,0.54289585,0.45307428,0.0040298216
0.0035097748,-0.0011144802,-0.045143828,0.0028800124,0.016417973,0.22126822,0.5428903,0.4530724,0.004037243
0.0038886666,-0.0011742786,-0.044832245,0.0028876304,0.016449096,0.22128963,0.54288733,0.45306692,0.0040457486
0.0038144588,-0.0010276809,-0.04527329,0.0029002558,0.016497416,0.22152191,0.5429088,0.4530311,0.0040601613
0.003337711,-0.0008338466,-0.045981273,0.002904671,0.016512457,0.22171958,0.542931,0.45300344,0.004065522
0.002838552,-0.0010364577,-0.046362564,0.0029031439,0.016506432,0.22184208,0.54293597,0.45299983,0.004064231
0.0027920753,-0.0012077466,-0.046095565,0.002887359,0.016445298,0.22161788,0.5429139,0.45303997,0.004046076
0.0030520856,-0.0012752786,-0.045900717,0.0028970784,0.016484493,0.22169727,0.5429172,0.45302567,0.004057157
0.0029093176,-0.0012376457,-0.045976356,0.0028942972,0.016473185,0.22167838,0.5429194,0.4530264,0.0040541426
0.0029548854,-0.001144506,-0.045885578,0.0028856948,0.016438922,0.22153215,0.5429107,0.45304525,0.004044088
0.0030214936,-0.0012149736,-0.045781985,0.0028846818,0.016435428,0.22150618,0.5429059,0.45305124,0.0040428475
0.0030675232,-0.0013643429,-0.04538469,0.0028706572,0.01638137,0.2212665,0.5428846,0.45308864,0.0040267454
0.0034448057,-0.0010246187,-0.045165792,0.0028772864,0.016406763,0.22122541,0.54289216,0.4530737,0.0040342123
