mu1,mu2,sigma1,sigma2,pi1,pi2
0.000869181,-0.0051264167,0.6558433,0.26903296,0.43877885,0.5612211
0.00088493153,-0.0049221516,0.6556353,0.26904693,0.43864548,0.5613545
0.0012678169,-0.0052102804,0.6556346,0.26817703,0.43871373,0.5612863
0.00092231855,-0.004611209,0.6553509,0.26909944,0.4384715,0.56152856
0.0011493824,-0.0047724843,0.6554036,0.26867414,0.43855515,0.5614448
0.0010343753,-0.004786834,0.65547156,0.26887056,0.43857506,0.5614249
0.0008803569,-0.004651621,0.6554692,0.26924813,0.438548,0.56145203
0.0007829331,-0.00457716,0.6554927,0.26950508,0.4385492,0.5614508
0.0007642172,-0.004609108,0.655535,0.2695342,0.4385733,0.56142676
0.00045412406,-0.004264489,0.6554707,0.2703276,0.43848115,0.56151885
0.00054755434,-0.0044456273,0.6555905,0.2701077,0.4385782,0.5614218
0.00058105215,-0.0044903755,0.6555623,0.26995963,0.4385594,0.56144065
0.0005727522,-0.00451304,0.6556006,0.2699869,0.43858442,0.56141555
0.0008654408,-0.0047879666,0.6555963,0.269227,0.43862668,0.56137335
0.0007943772,-0.004718423,0.6555807,0.269392,0.4386036,0.5613964
0.0007601492,-0.0046432465,0.65555066,0.26950622,0.43858013,0.5614199
0.0008745156,-0.004774645,0.65558314,0.2692198,0.43862045,0.56137955
0.0009807907,-0.0049384087,0.6556275,0.26890737,0.43866378,0.5613362
0.0009881221,-0.0049472004,0.65561444,0.26886696,0.43865436,0.56134564
0.000918936,-0.004729703,0.6554808,0.2690985,0.43855777,0.5614422
0.0008059554,-0.0045751333,0.6554725,0.269455,0.43853992,0.5614601
0.0006646924,-0.0043785423,0.65541327,0.26983687,0.43847945,0.5615206
0.00083364174,-0.0046726614,0.6555609,0.26939508,0.43860474,0.5613952
0.0010253899,-0.0050744116,0.65571505,0.26876682,0.43872765,0.5612724
0.0013180636,-0.0055018365,0.65581733,0.26791805,0.43883428,0.56116575
0.0019931458,-0.006424859,0.656062,0.26608068,0.4390952,0.56090486
0.0013956837,-0.0054766834,0.6556057,0.2675755,0.43869194,0.561308
0.00161409,-0.005497679,0.65561044,0.26731673,0.43875352,0.56124645
0.0015451424,-0.005428955,0.6555671,0.267438,0.4387091,0.56129086
