mu1,mu2,sigma1,sigma2,pi1,pi2
0.0070332102,0.0011923909,0.5050428,0.009509482,0.3873897,0.61261034
0.00711016,0.0010475516,0.50503707,0.009486918,0.38742054,0.61257946
0.0068454556,0.0012950748,0.50526357,0.00956901,0.38745183,0.6125482
0.007412594,0.00071804225,0.50478524,0.009389757,0.3873915,0.6126085
0.0064295344,0.0014345944,0.5059147,0.009718283,0.3876913,0.6123087
0.005665999,0.0025185049,0.50645566,0.0099884365,0.3876936,0.6123064
0.0063116364,0.0019821376,0.50605917,0.009814515,0.38770762,0.61229235
0.006212931,0.0017142296,0.50622666,0.009816981,0.3877885,0.61221147
0.0065415315,0.0018305182,0.50528497,0.00965471,0.38733095,0.61266905
0.0062919073,0.002176419,0.50588155,0.009809627,0.38758376,0.6124162
0.006213408,0.0019175708,0.5061631,0.00983062,0.38773957,0.61226046
0.0056245737,0.002552107,0.5065466,0.010010605,0.38773194,0.61226803
0.005531829,0.0029455721,0.50661993,0.010077105,0.38772258,0.61227745
0.0051088743,0.0030410439,0.50751805,0.0102715185,0.38810903,0.611891
0.0049556904,0.00298357,0.5076269,0.010293921,0.38812444,0.6118756
0.0058120303,0.002254516,0.50663984,0.009977431,0.38786843,0.61213154
0.0051373653,0.0028185397,0.5073753,0.010217479,0.38804552,0.61195445
0.0047246628,0.00333786,0.50780034,0.010384596,0.38812926,0.6118707
0.0057138614,0.0024077594,0.50680447,0.010030328,0.38792488,0.6120751
0.005358439,0.002652049,0.5070502,0.01012616,0.3879363,0.61206377
0.004709583,0.0035470426,0.5076075,0.0103783915,0.38799748,0.61200255
0.0053842478,0.0030108988,0.50700706,0.01016103,0.38789982,0.6121002
0.0057728104,0.0023441464,0.50669485,0.010000161,0.38788304,0.612117
0.0052947216,0.0025785416,0.50729334,0.010162913,0.38806376,0.6119363
0.005308848,0.002654463,0.5071966,0.010154781,0.38800657,0.61199343
0.0052383356,0.002660036,0.5074229,0.010198988,0.38811737,0.6118826
