mu1,mu2,sigma1,sigma2,pi1,pi2
0.002028793,-0.0021240488,0.0062320796,0.058612242,0.869336,0.130664
0.0018570125,-0.0020862594,0.006224196,0.058607012,0.869356,0.13064396
0.002558142,-0.0021718517,0.006235275,0.058477093,0.86965394,0.1303461
0.0022491515,-0.00200174,0.0062369434,0.058559835,0.8696553,0.13034469
0.0035408884,-0.001872398,0.006271511,0.058427334,0.8701519,0.12984815
0.0030804276,-0.001957871,0.0062634503,0.05849398,0.86995167,0.13004832
0.0030483752,-0.0018062368,0.0062675467,0.058543134,0.8699067,0.13009329
0.003183797,-0.0017426983,0.006274753,0.05855417,0.869943,0.130057
0.003169775,-0.0017553344,0.006277819,0.05857702,0.8698962,0.1301038
0.0029866695,-0.0016418472,0.0062752436,0.05861219,0.86988705,0.13011293
0.0033282936,-0.0017012134,0.0062754205,0.058520198,0.87004364,0.1299564
0.002850175,-0.0017851368,0.0062655606,0.058584873,0.8698236,0.13017648
0.002916813,-0.0017730966,0.0062595843,0.058536027,0.8698872,0.13011281
0.002900377,-0.0018790737,0.0062643713,0.058567,0.86977595,0.13022405
0.0027222186,-0.0018706098,0.00625904,0.05858403,0.86971754,0.13028248
0.0028112233,-0.0018408075,0.0062600975,0.05856593,0.8697842,0.13021585
0.002912566,-0.0019026771,0.006260549,0.058537863,0.869816,0.13018402
0.0027208924,-0.0019930378,0.0062531014,0.05854329,0.86971164,0.1302883
0.00252451,-0.0020069852,0.0062462566,0.058556966,0.8696333,0.13036673
0.0026482046,-0.0018902794,0.0062564206,0.058586515,0.86969346,0.13030654
0.0030639768,-0.0018149391,0.00626537,0.058525,0.86993283,0.13006718
0.0031075627,-0.001747109,0.006270835,0.05854157,0.86999065,0.13000932
0.003398031,-0.0018118396,0.00627422,0.058486883,0.87006056,0.1299394
0.0027884245,-0.0020276085,0.006254749,0.05853447,0.8697151,0.13028495
0.0023037344,-0.0021929517,0.006239318,0.058582045,0.86938167,0.1306184
0.0019154251,-0.00260327,0.006219793,0.058571037,0.86900836,0.13099168
0.0007009357,-0.0023722425,0.0062007243,0.0587813,0.8686513,0.13134876
0.002606824,-0.0022333637,0.006236097,0.05848026,0.86955714,0.13044292
0.002058521,-0.0024518743,0.0062178173,0.058482487,0.8694635,0.13053656
0.0023563057,-0.0022753254,0.0062257703,0.058461506,0.86962384,0.13037619
0.0026958138,-0.0022281185,0.006235715,0.058430217,0.8697688,0.13023117
0.0027381927,-0.0021466985,0.0062480895,0.05849744,0.8697227,0.13027729
0.0029405057,-0.0019688383,0.006261836,0.058534134,0.8697987,0.13020131
0.0031524897,-0.0019473806,0.006269981,0.05852856,0.869851,0.13014905
0.0028204322,-0.0019885078,0.006262026,0.05857162,0.86968845,0.13031155
0.0024703443,-0.0020268932,0.0062398394,0.058534212,0.8696325,0.13036755
0.0024506748,-0.0022225156,0.006243127,0.05856059,0.869444,0.13055602
0.0019418746,-0.0022731796,0.0062274905,0.058602307,0.8692525,0.13074754
0.0021153241,-0.00219021,0.006231216,0.05857821,0.86938024,0.13061975
0.0024626702,-0.0020941272,0.0062420955,0.05854221,0.8696103,0.13038974
0.0028404295,-0.001898028,0.006254337,0.05850833,0.8699044,0.13009559
0.0034303367,-0.0018199459,0.006269639,0.058439642,0.8701825,0.12981749
0.0033330023,-0.001718618,0.0062762513,0.058507495,0.87013274,0.12986727
0.0036226362,-0.0015960708,0.0062879296,0.058510885,0.8702164,0.12978356
0.0034988523,-0.0017461553,0.0062850863,0.058530446,0.8700399,0.12996009
0.002787888,-0.0018638149,0.006268737,0.058631256,0.8696371,0.13036294
0.0024999976,-0.0018918291,0.0062567354,0.058643162,0.8695098,0.13049017
0.0023789406,-0.0017051473,0.006257047,0.05867174,0.8696121,0.13038784
0.0033735186,-0.0015250221,0.006279404,0.058529306,0.8701806,0.12981944
0.0036453605,-0.0015977398,0.0062823365,0.05845823,0.8703583,0.1296417
0.0035123676,-0.0016003624,0.006281845,0.058496036,0.870253,0.12974703
0.0034461468,-0.0016573444,0.0062783905,0.05850319,0.870138,0.12986204
0.0030425787,-0.0018303171,0.006270924,0.05857336,0.8698039,0.13019608
0.0025990754,-0.0019790903,0.0062612155,0.05864224,0.8694736,0.13052645
0.0021649003,-0.0020704046,0.0062454827,0.058664758,0.86928815,0.13071191
0.0020617545,-0.0021121278,0.006235416,0.05862519,0.869325,0.13067505
0.0021387786,-0.002148725,0.006226601,0.05853901,0.8694943,0.1305057
0.0023961812,-0.0022041574,0.006231449,0.058490995,0.86961246,0.13038754
0.0025048107,-0.0023834482,0.0062303226,0.05845281,0.8695676,0.1304324
0.0019389689,-0.0024424568,0.0062183044,0.058535762,0.8692802,0.13071975
0.0021213293,-0.0022979751,0.006229589,0.05856428,0.8693348,0.13066524
0.0024818778,-0.0024077669,0.0062360493,0.058502015,0.8694343,0.13056575
0.0018868595,-0.002543904,0.0062193614,0.058557283,0.8691609,0.13083912
0.001744613,-0.0022650734,0.0062205726,0.058609586,0.8692295,0.13077053
0.0027645975,-0.0022066608,0.0062410296,0.05845345,0.8697167,0.13028327
0.0024466515,-0.0022459999,0.006235988,0.058495875,0.8696309,0.13036917
0.0027567297,-0.002106525,0.006247591,0.05849316,0.8697427,0.13025732
0.0028609931,-0.0020565763,0.0062561156,0.058518063,0.86975694,0.13024312
0.0028124899,-0.0018667951,0.0062594414,0.058554403,0.8698183,0.13018174
0.0033127367,-0.0017063394,0.006276073,0.058522027,0.87006617,0.12993382
0.003489077,-0.001559712,0.006290684,0.058560573,0.87016207,0.12983792
0.0037846565,-0.0012765899,0.006302782,0.05855685,0.87041247,0.12958758
0.0042492,-0.001305081,0.0063079274,0.058461353,0.8706207,0.1293793
0.003696084,-0.0013559833,0.0063034273,0.058586214,0.870289,0.12971099
0.0037302822,-0.0013838783,0.006300682,0.058574587,0.87022066,0.12977931
0.0031775832,-0.0015303865,0.006286945,0.058640618,0.8699179,0.13008213
0.0029770732,-0.0014604107,0.006282802,0.058673635,0.86986405,0.13013594
0.0033034384,-0.0015717521,0.00628124,0.05856976,0.87002385,0.12997612
0.002857551,-0.0019151941,0.006260021,0.0585522,0.86976236,0.13023765
0.0021802485,-0.0024860874,0.0062223645,0.05851001,0.86925787,0.1307421
0.00056804717,-0.0026281849,0.0061826515,0.058706798,0.8685415,0.13145857
0.0014900118,-0.002492644,0.0062068854,0.058612652,0.86891943,0.13108057
0.0017219633,-0.0025537983,0.0062088803,0.05853484,0.8691687,0.13083129
0.0020977259,-0.002523996,0.006216597,0.058472674,0.869391,0.13060896
0.0021965355,-0.0024289861,0.00621729,0.05844703,0.8695319,0.1304681
0.002500534,-0.0022787824,0.006227062,0.058426943,0.86971587,0.1302841
0.002887383,-0.002157189,0.0062488276,0.05845869,0.8698139,0.13018605
0.0030875355,-0.0023921505,0.006253684,0.058440704,0.8696744,0.13032562
0.0017653853,-0.0022921339,0.0062347655,0.05869184,0.8690905,0.13090952
0.002485618,-0.0019647852,0.006246357,0.058580734,0.8695589,0.13044116
0.0027721375,-0.0016830936,0.006265145,0.0585972,0.86989665,0.13010333
0.004091531,-0.0013342872,0.006301941,0.058458522,0.87062055,0.12937945
0.0044890493,-0.0015020147,0.006307245,0.058374416,0.8707389,0.12926108
0.0034741163,-0.0015175119,0.0062863096,0.058534507,0.87024516,0.1297549
0.0035997182,-0.0014812723,0.0062915795,0.05855543,0.87015,0.12984996
0.0031621605,-0.0016755834,0.0062842066,0.058629468,0.86981905,0.13018094
0.0027550757,-0.0016957298,0.006279434,0.05871608,0.86957675,0.13042323
0.002690822,-0.0016108528,0.006266863,0.05865274,0.8697384,0.13026157
0.0030006617,-0.001657702,0.006266851,0.05855571,0.86996764,0.13003239
0.0029990226,-0.0020209327,0.006247276,0.058427088,0.869939,0.13006094
0.002031967,-0.0021112934,0.0062301685,0.05858669,0.86944807,0.13055187
0.0026883334,-0.0019389167,0.0062547224,0.0585728,0.869648,0.13035196
0.0027998537,-0.0020355955,0.006253559,0.058523636,0.8697292,0.13027082
0.002577439,-0.001984574,0.0062535885,0.058583055,0.8696438,0.13035622
0.0029485524,-0.0019678846,0.0062592304,0.058520462,0.86979854,0.13020147
0.002590716,-0.0021228567,0.006243722,0.058517557,0.86964875,0.13035128
0.0022785962,-0.002051212,0.006237941,0.0585715,0.86954,0.13046005
0.0027870536,-0.0019622818,0.0062547466,0.05853837,0.8697387,0.1302613
0.0029192418,-0.001934506,0.006264672,0.058557097,0.86978686,0.13021311
0.0029410273,-0.0019073263,0.0062584337,0.058513384,0.8698728,0.13012724
0.0028425157,-0.0019035116,0.0062579648,0.058537602,0.8698198,0.1301802
0.0029536188,-0.0019154325,0.006261494,0.05853279,0.8698202,0.13017982
0.0027274638,-0.0019138828,0.006256017,0.058560476,0.8697394,0.13026053
0.0028873682,-0.0018831268,0.0062637767,0.058567673,0.86976564,0.13023435
0.0028683245,-0.0020016208,0.0062592216,0.058543187,0.8697208,0.13027921
0.0023605973,-0.0020012632,0.0062445044,0.05859041,0.8695594,0.13044062
0.0026981384,-0.0018795505,0.0062548714,0.05856521,0.8697332,0.13026679
0.0029889345,-0.0019866005,0.006258114,0.058498956,0.8698427,0.1301573
0.002578929,-0.0020639673,0.006248573,0.058550257,0.86964256,0.13035747
0.0025819093,-0.0017694011,0.0062564625,0.058604296,0.8697454,0.1302546
0.003578052,-0.0016053692,0.0062838867,0.05849859,0.87021834,0.12978171
0.003554225,-0.0017502084,0.0062805596,0.058475073,0.87019193,0.1298081
0.0030787587,-0.0019277111,0.0062660067,0.05852467,0.8698553,0.13014473
0.002453342,-0.0019101873,0.0062548835,0.058637634,0.86953026,0.13046977
0.0026604384,-0.0018557087,0.0062568774,0.05859702,0.86965054,0.13034944
0.0027024448,-0.002099134,0.0062514283,0.058542486,0.8696105,0.13038948
0.0020968765,-0.0022718683,0.0062344396,0.058600847,0.86929524,0.13070478
0.0019343793,-0.0022433773,0.0062241345,0.058585342,0.8692892,0.13071081
0.0020937324,-0.00216005,0.006224033,0.058533885,0.86949307,0.13050695
0.0026966482,-0.0020243898,0.006246755,0.058502547,0.8697862,0.13021381
0.0032099932,-0.0019173399,0.0062658526,0.05847608,0.87001854,0.12998146
0.0033070296,-0.00192938,0.0062689106,0.05847036,0.87002665,0.12997337
0.002893731,-0.0018354431,0.00626101,0.058541,0.8698804,0.13011967
0.0032162666,-0.0017864481,0.0062727313,0.058534015,0.8699419,0.13005808
0.0030235648,-0.0019199625,0.006270814,0.05857368,0.86975557,0.1302444
0.0025487244,-0.0018757358,0.006259198,0.058635917,0.86958677,0.13041322
0.0027919114,-0.0019756332,0.0062559755,0.058551203,0.86967814,0.13032188
0.0022062063,-0.0019758716,0.0062412904,0.058611516,0.8695235,0.13047644
0.0028519481,-0.0017939582,0.0062576206,0.05853857,0.8698713,0.1301287
0.0032340735,-0.0018738285,0.0062664766,0.058478415,0.87002593,0.12997408
0.0029628426,-0.0018695369,0.0062632714,0.05853311,0.86989486,0.13010517
0.0030575395,-0.0017417446,0.006266917,0.058537744,0.86995834,0.13004164
0.0032719076,-0.001749374,0.0062759533,0.058535162,0.8699943,0.13000575
0.0030814558,-0.0017322078,0.0062748063,0.058580585,0.86990124,0.13009875
0.003123656,-0.0016805902,0.0062745707,0.05857125,0.86994255,0.13005744
