mu1,mu2,sigma1,sigma2,pi1,pi2
0.00064244866,0.009033732,0.008094515,0.0629903,0.9216784,0.078321576
0.0006234944,0.009112172,0.008098408,0.063023806,0.9216423,0.07835772
0.0005710423,0.009013526,0.008087001,0.06296896,0.921688,0.07831203
0.0006494522,0.009234481,0.00811325,0.063105196,0.92156345,0.07843654
0.00045834482,0.009035163,0.0080813905,0.06298267,0.92165166,0.07834831
0.00048667192,0.008735411,0.008050641,0.06277496,0.9218731,0.078126885
0.0007915497,0.009160332,0.008097993,0.0629793,0.92172694,0.07827309
0.00059866905,0.0090838,0.008086203,0.06297625,0.9216879,0.078312136
0.00057533383,0.008754723,0.008065952,0.06282424,0.9218362,0.0781638
0.00085653365,0.0090567395,0.008092149,0.06291342,0.92180747,0.07819255
0.0007838011,0.009123795,0.008095859,0.06297229,0.9217302,0.07826978
0.0006443858,0.008811645,0.008061414,0.06279679,0.92188245,0.07811757
0.0008582175,0.00887727,0.00807125,0.0627863,0.92193943,0.078060605
0.00091430545,0.0091108605,0.008084531,0.06287856,0.92185897,0.078141004
0.0007208437,0.008965604,0.008066014,0.062826745,0.92187136,0.078128695
0.0007580966,0.009101622,0.008086963,0.06293093,0.9217707,0.07822929
0.00065138936,0.008947782,0.008064867,0.06283484,0.92184865,0.07815138
0.00068835914,0.0088818595,0.008055358,0.062766634,0.9219284,0.07807158
0.00081279874,0.009137563,0.008090788,0.06293979,0.92177314,0.07822687
0.00064870715,0.008911125,0.008065808,0.06283554,0.92184514,0.07815492
0.00071397424,0.008745007,0.008046068,0.06269081,0.92201066,0.07798932
0.00095410645,0.009033613,0.008083113,0.06284317,0.9219025,0.07809757
0.00086416304,0.009121411,0.008092914,0.062935986,0.9217858,0.07821427
0.000677377,0.009039752,0.008073489,0.06288473,0.92180276,0.07819722
0.00065128505,0.008988731,0.008069018,0.06285927,0.9218239,0.07817609
0.0006671846,0.009080879,0.00807525,0.062900394,0.92178595,0.078214034
0.0005892068,0.009133868,0.008081709,0.06296446,0.9217022,0.078297816
0.0004874915,0.009153061,0.008086257,0.063017435,0.92162484,0.07837511
0.00038082898,0.008932166,0.008061295,0.0628924,0.92173207,0.078267954
0.000510633,0.0092441365,0.008095898,0.06306734,0.9215793,0.07842069
0.00037884712,0.008962266,0.008083074,0.06300021,0.9216131,0.07838688
0.00049963593,0.009226732,0.0081066135,0.06311517,0.9215234,0.07847664
0.0003748536,0.008828513,0.008069535,0.06291385,0.9217016,0.07829844
0.0006541312,0.008621387,0.008058528,0.06273825,0.92194074,0.07805925
0.0010823607,0.008649759,0.008073035,0.06268782,0.9220801,0.077919886
0.0013136268,0.0089798495,0.008099546,0.062807634,0.9220076,0.07799239
0.0011640489,0.008755796,0.008066451,0.06266358,0.9221266,0.07787342
0.0012350976,0.009108238,0.008084913,0.06278548,0.92202395,0.07797602
0.0010163635,0.009238832,0.008091797,0.06290971,0.92184997,0.078150004
0.0006933212,0.008880727,0.008042015,0.062709,0.92199254,0.07800746
0.0008020252,0.009057693,0.008060365,0.06278782,0.9219359,0.07806406
0.00065514445,0.009187631,0.008061184,0.06286441,0.92182827,0.0781717
0.00039634109,0.00929182,0.008070683,0.063002355,0.9216306,0.07836943
0.00016598403,0.009190373,0.008073214,0.06305854,0.92151904,0.078480944
0.00015613437,0.009061925,0.008078427,0.063056596,0.92151344,0.07848653
0.00025370717,0.009163849,0.008093125,0.06311363,0.92147434,0.07852569
0.00026592612,0.009122841,0.008104664,0.06315825,0.92142457,0.078575455
0.00028052926,0.009113185,0.0081037255,0.06314632,0.92144036,0.078559645
0.00028805435,0.009064548,0.008095808,0.06309884,0.9214921,0.078507915
0.00040589273,0.008879475,0.008094057,0.06302145,0.9215914,0.07840863
0.0006623268,0.00915616,0.008125049,0.0631379,0.9215261,0.07847395
0.0005865395,0.008977167,0.008102597,0.06303077,0.9216202,0.07837986
0.00066022575,0.008798055,0.008076842,0.06285512,0.9218208,0.07817923
0.0008960068,0.0087892935,0.008075685,0.06277971,0.92194945,0.07805058
0.0010539889,0.009244673,0.008116136,0.06300553,0.9217521,0.078247935
0.0007202029,0.009182386,0.008095828,0.063004486,0.9216848,0.0783152
0.0005274862,0.00918787,0.0080858655,0.06300953,0.92164326,0.07835668
0.0004285574,0.008882277,0.008057067,0.06284919,0.92178684,0.078213155
0.0006297827,0.008785121,0.008053479,0.06275423,0.92192644,0.07807354
0.0008433014,0.009377055,0.008115274,0.06308668,0.92162836,0.07837162
0.00038069487,0.009577744,0.008117307,0.06327644,0.9213375,0.078662515
-0.000121846795,0.009127788,0.008070829,0.063120745,0.9213909,0.07860909
3.181398e-05,0.009059243,0.008083089,0.06310765,0.9214335,0.07856648
0.0002850592,0.008901589,0.008093578,0.06305671,0.9215303,0.07846969
0.00050479174,0.009196632,0.008117553,0.06315939,0.9214735,0.078526475
0.00035090744,0.009314112,0.008120715,0.063246235,0.9213525,0.0786475
0.00011278689,0.009317867,0.008112688,0.06327656,0.92127347,0.07872656
4.0248036e-05,0.009042315,0.008100341,0.06318571,0.9213468,0.0786532
0.00033299625,0.009053104,0.008124352,0.06320787,0.92138,0.078619994
0.0004940033,0.008779936,0.008095275,0.062983185,0.92164576,0.07835427
0.00075110793,0.008730046,0.008074934,0.06280712,0.9218882,0.07811185
0.0009608418,0.009307973,0.008125697,0.063087404,0.9216467,0.078353345
0.0006133318,0.008908741,0.008084477,0.0629334,0.921729,0.07827096
0.0007734895,0.0091182515,0.008108563,0.063023075,0.921673,0.07832697
0.0007481724,0.008821659,0.008077616,0.06284028,0.921855,0.07814503
0.0009226352,0.008894555,0.008073739,0.06278363,0.92195547,0.07804458
0.00091557205,0.0092185065,0.008088581,0.062918216,0.9218205,0.07817952
0.0006092638,0.008954577,0.008059253,0.06282778,0.9218479,0.07815212
0.0006351918,0.008921199,0.008055875,0.06279031,0.92189413,0.078105874
0.00075408816,0.009003572,0.008076431,0.06286569,0.92183733,0.07816265
0.00079092383,0.008878522,0.00807609,0.06283278,0.9218742,0.0781258
0.000824213,0.009199254,0.008086902,0.0629304,0.9217889,0.07821114
0.0005876124,0.009079985,0.008075678,0.06293058,0.9217363,0.07826372
0.0005002618,0.009063356,0.008069359,0.06291838,0.921733,0.07826699
0.0005131513,0.009222142,0.008094454,0.06305783,0.9215889,0.07841109
0.00039196014,0.009124033,0.008091314,0.0630627,0.92155474,0.078445226
0.0003374219,0.009084992,0.008078903,0.06301214,0.9215988,0.078401215
0.00035329163,0.00912153,0.008087791,0.06305498,0.9215561,0.078443885
0.00035190582,0.008914582,0.008077581,0.062970966,0.9216385,0.07836154
0.0005116761,0.009497337,0.008132646,0.06328077,0.92135584,0.07864415
0.00016406178,0.008933,0.008088314,0.06308333,0.92147744,0.07852254
0.0003733337,0.009216063,0.008109375,0.06315828,0.9214512,0.07854879
0.00031408668,0.009300582,0.0081197405,0.063246645,0.92134476,0.07865526
0.00017905235,0.008951955,0.008090028,0.06308546,0.92147976,0.07852027
0.0003796816,0.00925111,0.008115763,0.063193984,0.9214144,0.07858566
0.00028458238,0.00893902,0.008090603,0.06305624,0.92153174,0.07846828
0.00046689808,0.0091928765,0.008115673,0.063158855,0.92146695,0.078533076
0.0003912449,0.00907927,0.008104604,0.063114546,0.92149484,0.07850516
0.0004568696,0.009270303,0.008128743,0.063237496,0.9213815,0.07861855
0.000290066,0.008868985,0.00807544,0.062971324,0.9216237,0.07837631
0.00056807697,0.009228878,0.00811954,0.06315246,0.9214956,0.07850437
0.00043779612,0.009113245,0.008105226,0.06311184,0.9215083,0.078491665
0.00039288402,0.008972935,0.008082622,0.06299212,0.921626,0.078374036
0.0005412102,0.009187095,0.008111041,0.06311641,0.92152786,0.07847214
0.00044357777,0.008735709,0.008065463,0.062857896,0.9217723,0.07822776
0.00078578293,0.009134106,0.0081098825,0.06302822,0.9216706,0.07832943
0.00066947937,0.008989148,0.008090684,0.06295695,0.9217183,0.07828164
0.00068345666,0.009123616,0.008098267,0.06300789,0.9216721,0.0783279
0.0005713105,0.009054415,0.008082385,0.06295683,0.92170334,0.07829668
0.0005951226,0.009061925,0.008091175,0.062989436,0.9216724,0.07832757
0.00057528913,0.009093814,0.008087307,0.0629841,0.92167604,0.07832394
0.00051286817,0.009142391,0.008088048,0.06301564,0.9216314,0.078368634
0.00042271614,0.009304158,0.008103634,0.0631427,0.92148125,0.078518756
0.00018700957,0.00915014,0.008082124,0.06308501,0.92149174,0.078508265
0.00024600327,0.008770876,0.008066787,0.06292287,0.92166454,0.07833547
0.0006132573,0.009010129,0.008093862,0.062981375,0.9216831,0.07831692
0.000670895,0.008825831,0.008083426,0.06289168,0.9217829,0.07821706
0.0008263588,0.008994989,0.0080948835,0.06292677,0.9217831,0.07821688
0.0008010864,0.009210758,0.008110299,0.06304697,0.92165554,0.078344494
0.00060623884,0.008987777,0.008085835,0.06295151,0.92171234,0.07828767
0.0006812364,0.0090923235,0.0080933785,0.06297794,0.9217037,0.07829632
0.00064253807,0.0091512725,0.008095041,0.06301155,0.9216613,0.078338675
0.0004930198,0.009082727,0.00807601,0.06295672,0.9216896,0.07831034
0.00042659044,0.0090506,0.008068215,0.06293262,0.9217023,0.07829772
0.00046622753,0.009012811,0.008079433,0.06296438,0.9216729,0.07832715
0.0005123466,0.009072356,0.008086686,0.062994726,0.9216512,0.07834883
0.0005313158,0.008906536,0.008081142,0.06293427,0.9217133,0.07828672
0.0006760061,0.009261601,0.00811437,0.06310703,0.92156804,0.07843195
0.00044439733,0.008968942,0.008078401,0.06296214,0.92166823,0.07833179
0.0005518198,0.00908535,0.008093046,0.06301228,0.92164034,0.07835968
0.0005528033,0.009063654,0.008093106,0.06301154,0.92163974,0.078360304
0.00053936243,0.009098224,0.008092557,0.063019246,0.9216304,0.07836965
0.0005070567,0.008925669,0.0080765085,0.062923856,0.92172116,0.0782789
0.00062963367,0.009111695,0.008093935,0.0629999,0.9216702,0.07832976
0.0005598217,0.00907319,0.008091221,0.0630046,0.921649,0.078351036
0.00052049756,0.009142451,0.008093839,0.06303864,0.9216075,0.078392506
0.00047263503,0.0091692135,0.008101858,0.063094154,0.921538,0.07846202
0.0003696978,0.009187393,0.008093747,0.06309012,0.9215236,0.07847645
0.00030176342,0.009204321,0.008099328,0.063138194,0.921458,0.078542046
0.00024059415,0.009042792,0.0080867205,0.063068,0.9215159,0.0784841
0.0003400743,0.009163789,0.00810169,0.06312765,0.9214754,0.07852458
0.00031024218,0.0088787,0.008078665,0.06298164,0.92161673,0.078383304
0.0005655587,0.008953862,0.008096584,0.06299894,0.92165124,0.078348786
0.0006914139,0.008846097,0.008088628,0.06291011,0.92176795,0.07823203
0.00086039305,0.00903701,0.008105218,0.06297142,0.9217423,0.07825769
0.0007831454,0.009534173,0.008140225,0.063248694,0.92144495,0.07855509
0.00029423833,0.008934967,0.008074865,0.06298545,0.9216113,0.07838872
0.00047913194,0.009239428,0.008099078,0.063085236,0.92155397,0.07844609
0.00037182868,0.008905463,0.008069213,0.06292783,0.9216894,0.078310624
0.0005362928,0.009193115,0.008098454,0.063062444,0.92158705,0.07841297
0.00037756562,0.00908529,0.008083494,0.0630261,0.9215903,0.07840972
0.00037664175,0.008968167,0.0080797775,0.06298323,0.9216324,0.07836758
0.0005186498,0.0090202615,0.008092042,0.063005574,0.921638,0.078362025
0.00060522556,0.009171717,0.008115493,0.06311758,0.9215379,0.078462176
0.00052659214,0.00910645,0.008108563,0.06309856,0.92154014,0.07845988
0.0004299134,0.009420149,0.00811318,0.06320388,0.921421,0.07857901
0.00014224648,0.009247534,0.00810302,0.063212685,0.9213461,0.07865386
4.4554472e-05,0.009639077,0.008132067,0.06344034,0.92109567,0.07890435
