mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0017572194,-0.0035888478,6.2668696e-05,0.4845791,0.62973064,0.24183474,0.40547585,0.2833366,0.31118757
-0.0015591532,-0.0028459653,0.000450721,0.4846553,0.62995934,0.2419655,0.4054837,0.28326634,0.31124997
-0.0015597492,-0.0031367019,0.00025058724,0.4845518,0.62984836,0.24177034,0.40553293,0.28328124,0.3111859
-0.0013140589,-0.0024524406,0.00045006163,0.48435915,0.63002986,0.24130654,0.40573722,0.2831777,0.31108508
-0.0014895052,-0.001418896,0.001145741,0.48460653,0.6304067,0.24177273,0.40565294,0.28310913,0.311238
-0.0013262779,-0.0005382374,0.0014365781,0.4843758,0.6306594,0.24119967,0.40590727,0.2829815,0.31111124
-0.00136666,0.00031713396,0.001791535,0.48421448,0.6309265,0.24077937,0.40611124,0.28287014,0.31101868
-0.0014059693,0.00040549785,0.0016837809,0.4839255,0.6309313,0.24013145,0.4063389,0.28282002,0.31084105
-0.0018820912,-0.0016438887,0.0007959809,0.48405674,0.63031787,0.24054778,0.40605637,0.28306082,0.3108828
-0.0030883998,-0.00812719,-0.0017321538,0.48509827,0.6284269,0.24324767,0.4046862,0.2839086,0.31140524
-0.0012563914,-0.0044250563,-9.625591e-05,0.48525295,0.62949413,0.24338268,0.40487975,0.28351218,0.31160805
-0.0013943166,-0.0031920597,0.00047723018,0.4850663,0.629864,0.24292804,0.40513563,0.28335762,0.31150672
-0.002130434,-0.005680032,-0.0003622342,0.48560223,0.62916774,0.24427837,0.40451285,0.28370658,0.31178054
-0.0010772794,-0.0017051026,0.0014376286,0.48555258,0.63037866,0.24389403,0.40490517,0.2832676,0.3118272
-0.0016127974,-0.0019048676,0.0013989415,0.48546925,0.63033825,0.24373122,0.40495878,0.2832852,0.31175599
-0.0009789616,0.0015988722,0.0028387997,0.48506042,0.6313964,0.24257074,0.40558636,0.28285164,0.31156197
-0.0013849586,0.0020842329,0.0029440355,0.48465735,0.6315446,0.24163912,0.40594468,0.28275028,0.31130508
-0.0020161718,1.4849007e-05,0.0020886827,0.48482433,0.6309476,0.2421186,0.40563828,0.2830015,0.3113602
-0.0015476793,0.0003265217,0.0019720327,0.484494,0.6309863,0.24136089,0.405908,0.28291383,0.31117818
-0.0023580343,-0.0059567615,-0.0011716988,0.48432192,0.6289785,0.24142902,0.40545726,0.28355637,0.31098637
-0.0013608187,-0.0028556809,0.00043114834,0.4847106,0.6299549,0.24207383,0.40543848,0.28327253,0.311289
-0.001011923,-0.00021905452,0.0014530551,0.48421508,0.6307211,0.24083209,0.4060517,0.28291947,0.3110289
-0.0010681003,-0.0007142052,0.0007684175,0.48339558,0.6304725,0.23908353,0.4066227,0.28285256,0.3105247
-0.0016154796,-0.0015716627,0.0006321166,0.48376876,0.6302821,0.23993453,0.40627298,0.2830062,0.31072086
-0.0013430864,-0.001412712,0.00060163625,0.48366946,0.6303091,0.23969662,0.4063584,0.282971,0.31067067
-0.0017685443,-0.0018489435,0.00071295537,0.4841351,0.63024986,0.2407379,0.40597528,0.28309146,0.3109333
-0.0015096515,-0.0010846332,0.0010734294,0.48417518,0.63048595,0.24076992,0.40601265,0.28301343,0.31097385
-0.0013378412,-0.0010682866,0.00080990605,0.48372906,0.6304262,0.23980467,0.4063459,0.28294367,0.3107105
-0.00093488395,0.0012021437,0.001642881,0.4832704,0.6310864,0.23865025,0.40689892,0.28263378,0.31046727
-0.0015960485,-0.002640836,-0.00044338964,0.48280773,0.6298326,0.23790982,0.4068965,0.28297725,0.31012627
-0.0017322749,-0.0037738755,-0.0006622281,0.48343438,0.62955,0.23933338,0.40632054,0.28318962,0.3104898
-0.0012788922,-0.001662828,0.00047090463,0.4836932,0.63022965,0.23975801,0.40631616,0.2829997,0.31068417
-0.0016108602,-0.0021034107,0.0003886316,0.4838302,0.63012034,0.24009542,0.40617707,0.28307077,0.31075218
-0.0016518682,-0.0031912401,-0.00012145378,0.48390055,0.6297775,0.24032453,0.40602168,0.2831949,0.31078336
-0.0014012605,-0.002322264,0.00031995215,0.4839819,0.63004845,0.2404481,0.40603733,0.2831118,0.31085083
-0.0017151982,-0.003848292,-0.00033531897,0.48409376,0.62958354,0.24080506,0.40581414,0.28329197,0.31089392
-0.0015605539,-0.0034572706,-6.2901527e-06,0.4843873,0.6297311,0.24142177,0.40562716,0.28329116,0.31108168
-0.00059615076,0.0011365935,0.0018491503,0.4838196,0.63109106,0.2398726,0.40646994,0.28271404,0.31081602
-0.0012329966,0.0018085614,0.0021868702,0.4835808,0.63133025,0.23929985,0.40672684,0.28262037,0.31065282
-0.0014129728,0.00048894435,0.001343796,0.48322436,0.6308869,0.23858961,0.40687636,0.28270972,0.310414
-0.0010617822,0.0008896217,0.0011868346,0.48269397,0.6309407,0.23740068,0.40730867,0.28258502,0.31010637
-0.0009851307,0.0020018592,0.0015182849,0.4822898,0.6312561,0.23644418,0.40771875,0.282409,0.3098723
-0.00075654685,0.002820544,0.0014598686,0.48150235,0.6314251,0.23468418,0.40838853,0.28220448,0.30940706
-0.0013512522,7.4245036e-05,2.918765e-06,0.48119825,0.6305447,0.23420726,0.40837055,0.28245562,0.30917385
-0.0017889887,-0.003132619,-0.0013009366,0.4816688,0.6295919,0.23542018,0.40771976,0.2828668,0.30941346
-0.0012320727,-0.0035893098,-0.0016364884,0.48167425,0.6293998,0.23547596,0.40765998,0.2829053,0.3094347
-0.0012246221,-0.004301898,-0.001959229,0.48173502,0.6291624,0.23568073,0.40754393,0.28298736,0.30946872
-0.0015512258,-0.004375033,-0.0014682915,0.4825836,0.6292508,0.23752481,0.40690175,0.28312492,0.30997333
-0.0011643916,-0.0032619312,-0.00087253936,0.4827647,0.6295998,0.23785225,0.40686208,0.28302857,0.31010935
-0.0016969889,-0.005237378,-0.0015444402,0.483187,0.6290366,0.23891519,0.4063657,0.28330463,0.31032968
-0.0012286156,-0.0033953562,-0.0004826244,0.48357514,0.6296426,0.23963718,0.40623835,0.28316134,0.3106003
-0.0018149763,-0.0042923167,-0.0004754644,0.484217,0.6294591,0.24110672,0.40568116,0.2833577,0.3109611
-0.0013460964,-0.0015946701,0.0010077748,0.4845802,0.63034326,0.24171312,0.40565452,0.28312168,0.31122383
-0.0017207414,-0.00239525,0.00070380606,0.48463395,0.63011193,0.24189289,0.40554512,0.28321883,0.311236
-0.0015922934,-0.0028438196,0.0004148651,0.48457187,0.62995136,0.24178669,0.4055468,0.28325444,0.3111987
-0.0012873858,-0.0010238662,0.0012474824,0.48449916,0.630512,0.24150407,0.40576765,0.28304923,0.31118312
-0.0020526797,-0.003349416,0.00040837564,0.48487094,0.62985224,0.24247642,0.40528345,0.2833582,0.31135833
-0.001588121,-0.0027174726,0.00068515725,0.484957,0.6300363,0.24261838,0.4052697,0.2832971,0.3114332
-0.0013707429,-0.00087920576,0.0015322361,0.48485672,0.6306029,0.24228014,0.40551397,0.28308722,0.3113988
-0.0017043203,-0.0022834167,0.00078264065,0.4846765,0.6301496,0.24198315,0.405523,0.28321293,0.3112641
-0.0013987273,-0.00082022697,0.0014631841,0.48466784,0.6306064,0.24185503,0.40566275,0.28305453,0.3112828
-0.0013298243,-0.00070843846,0.0012522954,0.48419565,0.6305851,0.24081647,0.40602687,0.28297317,0.31099996
-0.0019493252,-0.0024387166,0.0006940644,0.48458207,0.6301134,0.24177028,0.4055856,0.2832202,0.3111942
-0.0013522059,-0.0012274608,0.0010932554,0.48439506,0.63044685,0.24127346,0.40582943,0.28305706,0.3111135
-0.0017778724,-0.00257238,0.0005185399,0.48444438,0.6300416,0.241481,0.40567282,0.28321114,0.31111604
