mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.0009886958,0.005264856,0.0034452807,0.28996626,0.45136857,0.093518175,0.4259455,0.19240493,0.38164958
0.0009874143,0.005359266,0.003578646,0.29022643,0.4515619,0.09375773,0.42581096,0.19248351,0.38170552
0.0006262697,0.0052633397,0.003479926,0.29022864,0.4516228,0.09376499,0.42587322,0.19250844,0.3816183
0.00038779154,0.006174624,0.004666088,0.29198316,0.45287862,0.09541403,0.42489025,0.19300847,0.38210136
0.0002459921,0.0058244206,0.0042496305,0.29132068,0.45239326,0.09480598,0.42525157,0.19282506,0.38192335
0.00056359544,0.0061144494,0.004437087,0.29121983,0.45230463,0.09469364,0.4252457,0.19275023,0.382004
-0.00012531504,0.0043877214,0.003152622,0.29146686,0.45253503,0.0949734,0.42541656,0.19304393,0.38153955
0.0008367039,0.005112633,0.0036904644,0.29161698,0.45261556,0.095057,0.42521885,0.19299026,0.38179088
-3.409013e-05,0.004696522,0.0035862308,0.29234335,0.45318192,0.095785625,0.42496482,0.19330631,0.38172892
-0.000294175,0.0037830286,0.0030164104,0.29301292,0.4537025,0.09643618,0.42480642,0.19364278,0.38155088
0.00014642254,0.0043613166,0.0035143774,0.2933135,0.45390522,0.09669184,0.4245697,0.19366926,0.3817611
0.00021887198,0.005431682,0.0042921435,0.29295206,0.45361727,0.09633811,0.42456654,0.19342531,0.3820081
0.00047663227,0.0067582987,0.0051118713,0.2919134,0.4528173,0.095338576,0.42483112,0.1929178,0.3822511
-0.0006274842,0.005552251,0.00431454,0.29231694,0.45316517,0.09578336,0.4248565,0.19321772,0.3819258
0.00036132708,0.0061744563,0.0047109853,0.2921801,0.4530263,0.09559962,0.4248007,0.19307624,0.38212308
0.0005229451,0.0070346855,0.0052522104,0.29154336,0.4525332,0.09498902,0.42495468,0.19275965,0.38228568
0.0010972656,0.007470347,0.0051292013,0.28958416,0.45104522,0.09314167,0.42577472,0.19202766,0.38219765
0.00096264854,0.0073427483,0.0049658995,0.28926346,0.45081052,0.092854485,0.42594552,0.19193552,0.38211894
0.0016655363,0.007622417,0.0048958044,0.28822997,0.45002273,0.091874704,0.42637244,0.19153504,0.38209257
0.0016314127,0.0066793896,0.00392933,0.28729898,0.44934142,0.09103836,0.42695442,0.1913209,0.38172477
0.0025253631,0.0074370466,0.0043530744,0.28687564,0.44900757,0.09060862,0.42702886,0.19107297,0.38189813
0.00090867653,0.00526065,0.002949683,0.28778693,0.44975245,0.091520235,0.4269694,0.19166169,0.3813689
0.00092798844,0.004192047,0.0026071798,0.2900631,0.4514594,0.09361987,0.4260696,0.19255829,0.38137206
0.00076538697,0.0029205903,0.0017508399,0.29077506,0.45201755,0.094297804,0.4259445,0.19294702,0.38110852
0.00034949556,0.0024907738,0.0017945301,0.29245305,0.45329756,0.09588572,0.4252579,0.19357961,0.38116252
6.9774687e-06,0.0030687228,0.0025890004,0.29383832,0.45432884,0.097203925,0.42454177,0.19399618,0.38146207
-0.0006474219,0.0034284964,0.0031746905,0.29493028,0.45514414,0.09827455,0.42399555,0.19434352,0.38166085
-0.0007524751,0.0042267293,0.003880648,0.2952223,0.45535937,0.09854916,0.42374805,0.194357,0.381895
-0.0011318289,0.004809737,0.0044928323,0.2957108,0.45571527,0.09903341,0.4234375,0.19446671,0.38209578
-0.0012622736,0.0049142316,0.0045146924,0.2954551,0.45554394,0.09878956,0.4235538,0.19437325,0.38207296
-0.0010726713,0.0059695765,0.0054560285,0.29586598,0.4558106,0.09916853,0.4231859,0.19438805,0.38242602
-0.00069537386,0.006241046,0.0052724164,0.29414257,0.45451602,0.09750251,0.42391777,0.1937637,0.38231856
