mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0013887323,-0.00047565997,0.5520838,0.53123254,0.49646088,0.50353914
-0.0015000515,-0.00052952766,0.5519854,0.5311427,0.49649957,0.50350046
-0.001535166,-0.00056891143,0.55193835,0.5310893,0.4965113,0.50348866
-0.0017522387,-0.0007029772,0.55170065,0.53085196,0.49657375,0.50342625
-0.0017168149,-0.00066483766,0.5517682,0.5309289,0.49657226,0.50342774
-0.0019330531,-0.0007946193,0.55152935,0.53069115,0.4966322,0.5033678
-0.002071578,-0.000880599,0.5513786,0.5305408,0.49667266,0.50332737
-0.0021779053,-0.000959374,0.55124277,0.53039813,0.49669802,0.503302
-0.001783412,-0.0007425174,0.5516442,0.530786,0.49657854,0.5034215
-0.00038506463,7.742643e-05,0.55312467,0.53224254,0.49616513,0.50383484
-0.0011111274,-0.0002500564,0.5524222,0.53159165,0.49637982,0.50362015
-0.0013733804,-0.00044684112,0.55215317,0.53131664,0.49647585,0.5035242
-0.00073405355,-8.198619e-05,0.5528398,0.53199124,0.4962949,0.5037051
-0.0013937168,-0.00040445477,0.55218375,0.5313719,0.49648938,0.5035106
-0.001316797,-0.00040056556,0.5522543,0.53142774,0.496475,0.503525
-0.0019733422,-0.0007607639,0.55156547,0.5307579,0.49666366,0.5033363
-0.002093099,-0.00087065995,0.55140924,0.53058755,0.49669778,0.5033023
-0.0016172417,-0.00059722364,0.5518967,0.5310625,0.49655113,0.5034489
-0.0018582605,-0.0007185489,0.5516194,0.530791,0.49660483,0.5033952
-0.0011144616,-0.00038079172,0.55232,0.5314362,0.49637514,0.50362486
-0.0014878511,-0.00050520897,0.5519981,0.53115994,0.49649012,0.5035099
-0.0020978376,-0.00088886917,0.55135113,0.5305158,0.4966782,0.5033218
-0.002397135,-0.0011417493,0.5509621,0.5300976,0.49675667,0.5032433
-0.0020035915,-0.00090165436,0.55139095,0.5305245,0.49664354,0.5033565
-0.0020987727,-0.00094299763,0.55128103,0.5304186,0.49666232,0.5033377
-0.0017576627,-0.00072301924,0.55167365,0.5308166,0.49657053,0.5034295
-0.0018689595,-0.0007626265,0.5515711,0.5307257,0.49660236,0.50339764
-0.0021109134,-0.0009358749,0.55128324,0.53042763,0.49666855,0.5033315
-0.0026326142,-0.0012469962,0.55072373,0.5298742,0.49682054,0.5031795
-0.002284281,-0.0011349916,0.551006,0.53010976,0.49670604,0.503294
-0.0018429048,-0.00082907826,0.5515048,0.53061974,0.4965757,0.5034243
-0.0020558722,-0.0009013489,0.55132806,0.5304697,0.49664497,0.503355
-0.0018989705,-0.0008212775,0.5515026,0.5306399,0.4966068,0.5033932
-0.0017463155,-0.00073378533,0.5516573,0.5307902,0.49655908,0.503441
-0.0018640049,-0.0007827133,0.55155116,0.5306949,0.4965962,0.50340384
-0.0016038492,-0.0006509796,0.5518169,0.5309487,0.49652156,0.50347847
