mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0007857308,3.4615397e-05,0.33935496,0.30959478,0.49185467,0.50814533
-0.0007542372,9.547174e-05,0.33949924,0.3097502,0.49185356,0.5081464
-0.00063574314,0.00015629828,0.33977935,0.31002912,0.49184173,0.50815827
-0.00034746528,0.0006182343,0.341007,0.3113378,0.49183992,0.50816005
-0.00042480975,0.00041596591,0.3405906,0.31088108,0.49184546,0.5081546
-0.0005614832,0.0004313439,0.34040877,0.31072316,0.4918649,0.5081351
7.586926e-05,0.00035955012,0.34101856,0.31120986,0.49171755,0.5082825
-0.00022566319,0.00047452748,0.3407116,0.3109748,0.49175632,0.5082437
0.00020002574,0.0005900711,0.34155348,0.31178576,0.4917076,0.5082924
0.00067196786,0.00069214404,0.34224316,0.31242406,0.49160385,0.50839615
0.0005127713,0.0008033067,0.34220156,0.3124357,0.49163648,0.50836354
8.118898e-05,0.000758484,0.34172893,0.31202668,0.49175304,0.50824696
-0.0006112382,0.00058071315,0.34071723,0.31108493,0.49191412,0.5080859
4.672259e-05,0.0006083101,0.34163645,0.31191006,0.4917974,0.5082026
-0.00026648492,0.0006749779,0.34119713,0.3115299,0.49182644,0.5081736
-0.00069565326,0.00058092177,0.34058705,0.31096688,0.4919249,0.5080751
-0.0014706701,0.000105544925,0.33885047,0.30922842,0.49205056,0.5079495
-0.0014695078,4.027784e-05,0.3387501,0.309111,0.49204734,0.5079527
-0.0019398853,-0.00017936528,0.33772752,0.30810145,0.49210763,0.50789243
-0.0019622073,-0.00049231946,0.33711788,0.3074108,0.4920749,0.50792515
-0.0023491904,-0.00073726475,0.33649468,0.30675128,0.49208617,0.5079138
-0.0013038442,-0.00045086443,0.33795178,0.30814907,0.49193493,0.5080651
-0.00035900623,6.394088e-05,0.33976308,0.3099345,0.49173087,0.5082692
0.00013631582,0.000110819936,0.34034577,0.31044552,0.49160877,0.5083912
0.00074100494,0.00047691166,0.34170908,0.31180906,0.4915133,0.5084867
0.000977546,0.00082062185,0.3426966,0.31285596,0.49151766,0.50848234
0.001254864,0.001071468,0.34362587,0.31381598,0.49151793,0.5084821
0.0011454672,0.0012069792,0.34381562,0.31406435,0.49157265,0.5084274
0.0012066662,0.001369372,0.34428245,0.31457093,0.49159932,0.5084007
0.0011753365,0.0013593286,0.3442438,0.31453547,0.49160904,0.50839096
0.0010282248,0.0015652627,0.34444854,0.3148209,0.4916628,0.5083372
0.0004139021,0.0011523217,0.34300166,0.31336153,0.49176082,0.5082392
0.00081190467,0.0009846836,0.34312183,0.31336907,0.4916468,0.5083532
0.00078722835,0.0009371191,0.34280276,0.31303075,0.49159905,0.5084009
0.001433827,0.00095172226,0.34354973,0.3136746,0.4914504,0.50854963
0.0014448985,0.0011657625,0.34385818,0.314035,0.49144766,0.5085524
0.0007443875,0.001073584,0.34299913,0.31327125,0.4916221,0.5083779
0.000971891,0.0010347813,0.3433923,0.3136269,0.49161506,0.50838494
0.0008612573,0.0011327714,0.3433883,0.31366497,0.49163684,0.5083631
0.0018044785,0.0012408048,0.3447078,0.31486133,0.4914453,0.5085547
0.0016620308,0.0015992373,0.34502617,0.31529307,0.49147356,0.5085265
0.0017985255,0.0016335696,0.34539977,0.3156616,0.4914826,0.50851744
0.0022133589,0.0015569478,0.3457101,0.31588116,0.49137497,0.50862503
0.0019304082,0.0016499907,0.34543365,0.31567088,0.49141976,0.5085802
0.00096972287,0.0012601465,0.3436907,0.31398183,0.49161282,0.5083872
0.00035245717,0.0010494739,0.34273043,0.3130715,0.49176076,0.5082392
0.00088742375,0.0011692792,0.34365562,0.31394666,0.49167517,0.50832486
0.0004882142,0.0011254996,0.3429548,0.313291,0.4917217,0.50827837
0.00047502667,0.001068309,0.34286845,0.31319278,0.4917265,0.50827354
-0.0001366213,0.0006605536,0.34133747,0.311646,0.49180013,0.5081999
0.00020892918,0.0007095784,0.3418394,0.31210557,0.49173194,0.50826806
-0.0001167804,0.00065235794,0.3412709,0.3115703,0.49177715,0.5082228
-0.0011242479,0.00019951165,0.33930862,0.3096501,0.49195746,0.5080426
-0.00166706,-3.8966537e-05,0.33836094,0.30873162,0.4920781,0.50792193
-0.00033956766,9.75579e-05,0.34019175,0.31038633,0.4918125,0.5081875
0.00019536912,0.000560537,0.34136128,0.31157959,0.4916739,0.5083261
-0.00025109202,0.000442639,0.34062144,0.31087995,0.4917579,0.50824213
