mu1,mu2,sigma1,sigma2,pi1,pi2
0.05278206,-0.027068548,0.44724324,0.5411576,0.50383496,0.49616504
0.052748904,-0.027231432,0.44726822,0.5412876,0.5037705,0.4962295
0.0527623,-0.027342863,0.44723272,0.5413065,0.5037615,0.49623856
0.05271265,-0.027720846,0.44724488,0.54153955,0.50366133,0.49633873
0.052780986,-0.027839266,0.4471492,0.5415087,0.50362563,0.49637437
0.052743882,-0.028257482,0.44714022,0.5417412,0.5035185,0.49648148
0.05276434,-0.02865211,0.44706142,0.5418802,0.503432,0.49656808
0.052769497,-0.028922819,0.44701418,0.5419766,0.5033873,0.49661276
0.05286312,-0.028243653,0.44697982,0.54153305,0.50359505,0.49640495
0.052307785,-0.025146298,0.44749278,0.53982955,0.50486374,0.49513626
0.05222991,-0.02573008,0.4478084,0.5407932,0.50427234,0.49572766
0.052545995,-0.026749514,0.4474258,0.5410686,0.5039602,0.49603987
0.052855268,-0.025837757,0.447248,0.540406,0.5041711,0.4958289
0.052671432,-0.026769124,0.44743365,0.5412319,0.50377613,0.49622387
0.052857623,-0.027076878,0.44716704,0.5411058,0.5037738,0.4962262
0.05272074,-0.02827371,0.4471911,0.5418439,0.5034184,0.4965816
0.052842006,-0.028907962,0.4469438,0.541916,0.50333524,0.49666482
0.052965224,-0.028128065,0.44688648,0.54138947,0.50356996,0.49643
0.052801237,-0.02825629,0.44707638,0.54168034,0.5035004,0.49649963
0.05293317,-0.026833199,0.4470661,0.540793,0.5039945,0.49600545
0.05268711,-0.027025782,0.44737932,0.5413033,0.50378233,0.4962177
0.052666828,-0.028409667,0.4472199,0.54192436,0.5034541,0.49654597
0.052701816,-0.029209994,0.4470507,0.54216915,0.50334424,0.4966558
0.052831948,-0.02865269,0.44696194,0.5417461,0.5035019,0.49649817
0.05272965,-0.028609209,0.44709712,0.5418753,0.5034865,0.49651355
0.052831262,-0.028089277,0.44704187,0.5415159,0.503619,0.49638098
0.05275871,-0.028150119,0.44713193,0.5416637,0.50356203,0.49643794
0.052719638,-0.028606616,0.4471126,0.5418951,0.50347525,0.49652478
0.052653283,-0.029665597,0.44705743,0.54245067,0.50320196,0.49679804
0.05279103,-0.029204272,0.4469182,0.541984,0.5034458,0.49655417
0.052783877,-0.02814988,0.44707587,0.5415635,0.50366104,0.496339
0.052676886,-0.028367095,0.44719645,0.5418484,0.50352925,0.49647072
0.05277811,-0.028266288,0.44708025,0.54165477,0.5035842,0.49641576
0.05277343,-0.02788376,0.44713533,0.54149276,0.50368,0.49632007
