mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0023898631,-0.12186603,0.12978926,0.3495506,0.54482245,0.45517755
-0.0023784488,-0.12174089,0.12984198,0.34959874,0.5447683,0.45523173
-0.0022406876,-0.12173276,0.12975913,0.34949347,0.54478365,0.45521632
-0.0024130791,-0.12282996,0.1293757,0.34926182,0.54443604,0.455564
-0.0024049878,-0.12287088,0.12934223,0.3492003,0.54467815,0.45532185
-0.0026777089,-0.122987315,0.1294636,0.34938642,0.5445475,0.45545256
-0.0009885281,-0.12153636,0.12906162,0.34856993,0.54498357,0.45501646
-0.0014743656,-0.121018514,0.12962054,0.34922114,0.54452586,0.4554742
-0.00087048113,-0.12120612,0.12915054,0.34865263,0.54472834,0.4552717
0.00029210746,-0.12006183,0.1289509,0.3481893,0.54479283,0.4552072
-7.4237585e-05,-0.11991234,0.12925799,0.34857276,0.5445136,0.45548642
-0.0013032705,-0.1212198,0.12942544,0.3490291,0.5444251,0.4555749
-0.003065899,-0.1231281,0.12964787,0.3496603,0.5443665,0.4556335
-0.0018126816,-0.123133644,0.12885037,0.3486302,0.5447684,0.45523164
-0.0023191422,-0.12291984,0.12927821,0.34916422,0.544381,0.455619
-0.0034299046,-0.12418036,0.12939113,0.34953803,0.5443551,0.4556449
-0.0047118664,-0.12491761,0.12984279,0.35020822,0.5445528,0.45544717
-0.0047146827,-0.12530039,0.12966427,0.35004693,0.5446525,0.45534748
-0.005401641,-0.1254067,0.13004509,0.35053894,0.5446278,0.45537218
-0.0049268603,-0.12457566,0.13011749,0.35043395,0.54498786,0.4550122
-0.005798936,-0.124694034,0.13062024,0.35110587,0.5447118,0.45528817
-0.0033572167,-0.12325959,0.12972714,0.3496485,0.5453224,0.45467755
-0.0012423098,-0.121030465,0.12945384,0.34897023,0.5449426,0.45505738
0.0002450943,-0.11881022,0.12954299,0.34865722,0.54508144,0.45491853
0.001377359,-0.11759873,0.12940189,0.3482811,0.5449109,0.4550891
0.0013950169,-0.11780654,0.12930593,0.34823084,0.54464865,0.45535132
0.0014300048,-0.11851166,0.12896317,0.3479439,0.54458994,0.4554101
0.00079227984,-0.119457796,0.1289326,0.34809977,0.5444096,0.4555904
0.00040236115,-0.120657966,0.12862776,0.34795022,0.54434246,0.45565757
0.0002156496,-0.12117101,0.12850785,0.34789252,0.5443696,0.45563042
-0.0005737096,-0.122500435,0.12840097,0.34803775,0.54406714,0.45593283
-0.001605168,-0.12325548,0.12868538,0.34850347,0.54428506,0.4557149
-0.00032816827,-0.122167245,0.12837724,0.34787825,0.5446741,0.45532587
0.0001654476,-0.12064947,0.12876974,0.34809968,0.5445579,0.4554421
0.0018747747,-0.118758574,0.12855725,0.34742185,0.54493237,0.4550676
0.0019560456,-0.118057504,0.12884876,0.3477307,0.5444932,0.45550686
0.00016787648,-0.11955617,0.12927918,0.34855732,0.544307,0.45569298
0.0003336072,-0.120406106,0.1287744,0.34805363,0.5446215,0.45537847
-2.2217631e-05,-0.12072323,0.12885876,0.3482419,0.54439414,0.45560592
0.0020100623,-0.11935453,0.12819766,0.34705922,0.54494405,0.45505592
0.0015638024,-0.119372085,0.12850432,0.3475843,0.54415023,0.45584977
0.0015167296,-0.12021975,0.12813987,0.3472673,0.54432976,0.45567024
0.0027480125,-0.11898707,0.12792894,0.34673744,0.5446261,0.45537394
