mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.033720583,0.015668646,-0.009772204,0.42440408,0.44695792,0.48256186,0.3997499,0.3802063,0.2200437
-0.033699423,0.0155790895,-0.009673528,0.42450646,0.44702768,0.48260352,0.3997435,0.380202,0.22005454
-0.033670247,0.015455604,-0.009537496,0.42464772,0.44712377,0.4826609,0.39973456,0.38019598,0.22006945
-0.033647597,0.015359715,-0.009431787,0.42475745,0.44719848,0.48270544,0.3997276,0.38019133,0.22008102
-0.033520967,0.014823705,-0.008841164,0.42537114,0.44761616,0.48295468,0.39968893,0.38016534,0.22014579
-0.033444256,0.014499024,-0.008483373,0.42574322,0.4478693,0.48310572,0.39966545,0.38014957,0.220185
-0.033459783,0.0145647675,-0.008555807,0.42566794,0.447818,0.48307514,0.39967018,0.38015276,0.22017704
-0.033512264,0.014786899,-0.008800574,0.42541334,0.4476448,0.48297185,0.39968622,0.38016352,0.2201502
-0.033525348,0.014842257,-0.008861609,0.4253499,0.44760174,0.48294607,0.3996902,0.3801662,0.22014353
-0.033530623,0.014864698,-0.008886345,0.42532417,0.44758418,0.48293564,0.39969185,0.3801673,0.22014083
-0.03350228,0.01474458,-0.008753963,0.4254618,0.44767785,0.48299152,0.39968318,0.3801615,0.22015534
-0.033540055,0.014904514,-0.008930184,0.4252786,0.44755322,0.48291713,0.39969474,0.38016924,0.22013603
-0.03361115,0.015205458,-0.009261765,0.424934,0.44731867,0.48277718,0.3997165,0.38018388,0.22009967
-0.03361821,0.015235335,-0.009294696,0.4248998,0.4472954,0.48276332,0.39971864,0.3801853,0.22009607
-0.03359726,0.015146583,-0.009196945,0.4250014,0.4473645,0.4828046,0.39971223,0.380181,0.22010677
-0.033638373,0.015320674,-0.009388752,0.4248021,0.44722894,0.48272365,0.3997248,0.38018945,0.22008575
-0.03359908,0.015154406,-0.009205528,0.42499244,0.44735846,0.48280093,0.3997128,0.38018137,0.22010583
