mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.18213865,0.005124986,0.0024124682,0.36740765,0.13376693,0.3264288,0.09125146,0.6876826,0.22106597
-0.18206358,0.00500457,0.0024902448,0.36750796,0.13385907,0.3264968,0.09131038,0.6876058,0.2210838
-0.18180677,0.0047122985,0.002410166,0.36753735,0.13398364,0.32656023,0.09140814,0.68753254,0.22105932
-0.18094751,0.0033592284,0.0037638992,0.36929327,0.13541213,0.32769582,0.0922499,0.6862926,0.22145745
-0.18111321,0.0035459995,0.0035282448,0.36891216,0.13511106,0.32744408,0.09208649,0.68655455,0.22135894
-0.18101844,0.0034146458,0.003643334,0.3690811,0.13525371,0.32755688,0.09217003,0.68643296,0.22139697
-0.18116277,0.0035839528,0.0034433678,0.36876237,0.13499963,0.3273461,0.0920304,0.6866535,0.22131608
-0.18104973,0.0034151673,0.0035705343,0.36893886,0.13515468,0.32746476,0.09212491,0.6865229,0.22135219
-0.18086302,0.0031576604,0.0037980601,0.369274,0.13543728,0.32768843,0.092290044,0.68628204,0.22142789
-0.18079633,0.0030465275,0.0038637742,0.369355,0.13551505,0.32774374,0.0923412,0.6862183,0.22144052
-0.1806415,0.0028572828,0.0040720776,0.36968186,0.13577934,0.3279603,0.0924883,0.6859903,0.22152142
-0.18059567,0.0028866678,0.0042025074,0.36994934,0.13596033,0.32813257,0.0925663,0.68582475,0.22160897
-0.18101516,0.0035743564,0.00377997,0.36941686,0.13545696,0.32777035,0.092239656,0.6862388,0.2215215
-0.18113238,0.0036587268,0.003574811,0.36905143,0.13518637,0.32753143,0.09210472,0.6864793,0.22141603
-0.1812295,0.0037858337,0.0034509227,0.36886346,0.13503133,0.3274064,0.09201616,0.68661237,0.22137149
-0.1812267,0.00388138,0.0035347566,0.36906832,0.1351555,0.3275367,0.09205905,0.6864937,0.22144726
-0.18167323,0.004534498,0.0030210167,0.36834317,0.13452709,0.3270502,0.091680765,0.68702525,0.22129399
-0.18196014,0.0049512535,0.0026885197,0.36787203,0.13412124,0.32673416,0.09143723,0.6873697,0.2211931
-0.1821796,0.0052288026,0.002488859,0.36760825,0.13388477,0.32654303,0.091288224,0.68758076,0.22113103
-0.18243596,0.0055962503,0.0020997003,0.3669991,0.13339546,0.32615185,0.091015965,0.68799335,0.22099072
-0.18244061,0.0055672973,0.002204731,0.36720306,0.13353984,0.32626402,0.09108223,0.68788236,0.22103542
-0.18226019,0.005400583,0.0020486638,0.36702824,0.1334858,0.3262009,0.09108447,0.68793815,0.22097737
-0.18186414,0.004687384,0.0026504025,0.36771917,0.13407084,0.3266459,0.09145154,0.6874344,0.22111408
-0.18188772,0.0047156364,0.0026667416,0.36772913,0.13406706,0.3266476,0.091445826,0.68743366,0.2211205
-0.18183044,0.0047671497,0.0022711083,0.36737937,0.13387792,0.32646707,0.091352195,0.68763226,0.22101557
-0.18136999,0.0039139986,0.0032267645,0.36848003,0.1347404,0.3271547,0.09186568,0.68686914,0.22126523
-0.18119588,0.0036298782,0.0034031793,0.36870348,0.13494986,0.32730675,0.092001274,0.68669593,0.22130279
-0.1809434,0.0032630414,0.003695719,0.36911866,0.13530894,0.3275851,0.09221668,0.6863921,0.22139122
-0.1806787,0.0029296428,0.0040438846,0.36965764,0.13574846,0.3279427,0.09246394,0.6860139,0.22152224
-0.18076232,0.0030658543,0.0039587766,0.36954924,0.13564678,0.3278691,0.092398345,0.6860977,0.22150399
-0.18054423,0.0028066933,0.004258208,0.37002495,0.13602847,0.3281837,0.092608675,0.6857678,0.22162354
-0.1808927,0.003263995,0.0038147643,0.36935216,0.13547137,0.32773635,0.09229039,0.68624467,0.22146493
-0.1808798,0.0033730417,0.0033548325,0.368905,0.1352033,0.3274922,0.092152774,0.6865107,0.22133651
-0.18075427,0.003031835,0.003940664,0.3694787,0.13560382,0.3278199,0.0923834,0.68614185,0.22147474
-0.18083042,0.003453523,0.0029042661,0.36850137,0.13497695,0.32728118,0.092038125,0.6867435,0.22121833
-0.1805583,0.0027800351,0.0042038485,0.36990693,0.13595122,0.32810804,0.092577405,0.68583935,0.22158329
-0.18095455,0.0033150762,0.0037117824,0.36917242,0.13533638,0.32761863,0.09222177,0.68636405,0.22141422
