mu1,mu2,sigma1,sigma2,pi1,pi2
0.009335064,0.029440984,0.010731648,0.058144886,0.5002666,0.49973336
0.009337776,0.028935,0.010718206,0.058095835,0.5005185,0.49948156
0.008831331,0.028744474,0.010695889,0.057998177,0.50043607,0.49956396
0.009290651,0.028023198,0.010684774,0.057969633,0.50093174,0.49906832
0.00760875,0.027009279,0.010516975,0.057329573,0.50096214,0.49903783
0.006769539,0.026625156,0.010459483,0.057090793,0.500798,0.49920204
0.003687636,0.028146744,0.010469078,0.05703584,0.49912146,0.5008786
0.0028243521,0.028215215,0.01045574,0.05698641,0.49908686,0.50091314
0.0024524266,0.028749466,0.010451224,0.05696219,0.4987309,0.5012691
0.003128239,0.028442577,0.010442743,0.056956876,0.49913284,0.5008672
0.0034253085,0.02826263,0.010418304,0.056875136,0.49925664,0.5007434
0.0032022158,0.029157504,0.010483198,0.0570927,0.49866697,0.50133306
0.002486677,0.030055687,0.0105288215,0.057244655,0.4981156,0.50188446
0.0039602155,0.029182404,0.010501873,0.057203595,0.49911296,0.50088704
0.006680743,0.0284556,0.010549849,0.057432566,0.50007993,0.49992004
0.0070483917,0.029248103,0.0106625,0.05782453,0.4996245,0.5003755
0.0054691965,0.028575376,0.010541139,0.057371434,0.49971473,0.50028527
0.0060974592,0.028279305,0.010530504,0.057341956,0.49994686,0.50005317
0.0060101757,0.027599528,0.010478103,0.05715194,0.5002408,0.49975923
0.006072768,0.027870268,0.010523798,0.057304114,0.5000144,0.49998555
0.005307653,0.028601333,0.010582044,0.057490416,0.49946696,0.5005331
0.003870518,0.028601244,0.010508017,0.057204437,0.49922374,0.50077623
0.0025612572,0.029433072,0.0104847085,0.057086986,0.4984286,0.5015714
0.0036712745,0.029247463,0.010515708,0.057235207,0.49891534,0.5010846
0.004991063,0.029221043,0.010559852,0.057422817,0.49924612,0.50075394
0.0038911859,0.029748037,0.010538073,0.057316612,0.49866053,0.5013395
0.004453392,0.030442983,0.010626657,0.05764649,0.49848554,0.50151443
0.005572357,0.02992244,0.010624764,0.057681162,0.49917084,0.5008292
0.0072363475,0.030072093,0.010706086,0.058001928,0.4994405,0.5005595
0.007557989,0.029601768,0.010688734,0.057953063,0.49980053,0.5001995
0.0070810625,0.029815793,0.010678158,0.057896968,0.4994947,0.50050527
0.007936747,0.028706357,0.010634585,0.057771686,0.5003493,0.49965078
0.0074876705,0.028905794,0.010627482,0.057719693,0.49996924,0.5000308
0.0071533257,0.028981045,0.010650401,0.057792526,0.4998624,0.50013757
0.006990836,0.02883932,0.010641089,0.057757776,0.49993005,0.5000699
0.006457963,0.028643578,0.010596028,0.057584677,0.49988797,0.50011206
0.005443276,0.028523475,0.010530713,0.05732631,0.49965942,0.5003406
0.0055274675,0.028739423,0.010560841,0.057431247,0.49953684,0.5004631
0.00482379,0.028718188,0.01052704,0.057297606,0.49940225,0.5005977
0.004827217,0.029109716,0.01055793,0.057404805,0.4991859,0.50081414
0.0041347826,0.02943404,0.01054756,0.05735526,0.49888524,0.5011147
0.0054349536,0.029269308,0.010592058,0.057549823,0.4993563,0.5006437
0.005347342,0.029540896,0.01059974,0.05757223,0.49916396,0.5008361
0.005310514,0.029377818,0.010578896,0.05750216,0.49927557,0.5007245
0.0058664987,0.029134303,0.010576028,0.057505015,0.4995254,0.50047463
0.006684662,0.02842477,0.010556946,0.057457298,0.50008374,0.49991626
0.0064973393,0.029287115,0.0106365625,0.057719536,0.49946046,0.5005396
0.005313621,0.02998434,0.010663748,0.0577938,0.49890283,0.50109714
0.0058899233,0.029347986,0.010622136,0.057675604,0.49952388,0.5004762
0.0062373066,0.029270008,0.010605728,0.057618774,0.49956015,0.5004399
0.0058835233,0.029492408,0.010612596,0.057631016,0.4993154,0.50068456
0.006206804,0.029091567,0.010597852,0.057591878,0.4996511,0.50034887
0.0058737257,0.029530898,0.010613904,0.057633247,0.4992688,0.5007312
0.0060779536,0.029174924,0.010601588,0.057601906,0.49957553,0.50042444
0.0070398087,0.02831757,0.010568288,0.057507597,0.5002487,0.4997514
0.0076300586,0.028689161,0.010646961,0.05778549,0.50007,0.49993
0.0060709575,0.028426155,0.0105691645,0.057478108,0.49987444,0.5001256
0.0046732286,0.029031008,0.010543581,0.05734736,0.4991535,0.5008465
0.004612007,0.029747799,0.0106130075,0.057594545,0.49882194,0.501178
0.0045065666,0.030165762,0.010634279,0.05767604,0.4986812,0.5013188
0.0047350833,0.030049622,0.010606071,0.05759006,0.49886572,0.50113434
0.00548149,0.030661643,0.010677268,0.057855044,0.4986866,0.50131345
0.0056465277,0.030107096,0.010625142,0.057687424,0.49911645,0.5008836
0.0070423195,0.029693514,0.010638068,0.05776264,0.49961495,0.50038505
0.008558207,0.029275656,0.010694145,0.057993203,0.5001627,0.49983725
0.008338236,0.028772756,0.0106561,0.05785036,0.50033325,0.49966678
