mu1,mu2,sigma1,sigma2,pi1,pi2
0.009051476,0.014508963,0.012500716,0.039398536,0.5166017,0.48339835
0.0078043533,0.014065281,0.012483042,0.039318513,0.51653844,0.4834616
0.0058423695,0.011249408,0.01236755,0.03896069,0.5175274,0.4824726
0.0017262665,0.012945369,0.012300046,0.038688097,0.5154215,0.48457852
0.0006576595,0.011659592,0.0122532435,0.038554132,0.5160076,0.48399243
0.0009809849,0.011622295,0.012247477,0.038537957,0.5160127,0.48398733
0.0015771729,0.010301933,0.012240311,0.038522027,0.516821,0.48317897
0.0014943448,0.009822905,0.01223859,0.0384995,0.516926,0.48307398
0.0001759273,0.009985,0.012229262,0.038441814,0.51648283,0.48351717
-0.0009882557,0.009604692,0.012200138,0.038341664,0.5164346,0.4835654
-0.0017547789,0.010637701,0.012210519,0.038355175,0.5157031,0.4842969
-0.002327952,0.013591692,0.012280405,0.038545683,0.514133,0.48586705
-0.0008398774,0.01684685,0.012404176,0.038935777,0.5130639,0.4869361
-0.0019738632,0.015481085,0.012273021,0.038608316,0.5138402,0.48615977
0.0011835736,0.015151471,0.012288015,0.038708832,0.5146325,0.4853675
0.00315911,0.01778318,0.012404962,0.039058473,0.51360875,0.48639122
0.0046379087,0.018384352,0.012454637,0.039243646,0.51386386,0.48613617
0.006768402,0.018652812,0.012488362,0.039386284,0.514288,0.48571202
0.008444142,0.018951654,0.012526568,0.039524566,0.5145252,0.48547482
0.010023098,0.017284304,0.01251873,0.039532337,0.51579815,0.48420188
0.011304002,0.018250465,0.01259106,0.039731655,0.5154036,0.48459637
0.009143133,0.015238434,0.0124633815,0.039348513,0.5165682,0.48343185
0.007829662,0.013487324,0.012372763,0.03905464,0.51691055,0.48308948
0.008508783,0.013087943,0.012421739,0.03917109,0.51709914,0.4829009
0.0075258655,0.010026306,0.012356773,0.038956057,0.51842344,0.4815766
0.005144928,0.010587126,0.012341074,0.038837858,0.51730835,0.48269162
0.0020653498,0.00959079,0.012275811,0.03860061,0.51716065,0.48283938
0.00029439898,0.009505495,0.012238473,0.03845988,0.51674473,0.4832553
-0.0015800851,0.010963365,0.012240467,0.038432524,0.5155579,0.4844421
-0.0021750662,0.011942461,0.0122536495,0.03847256,0.5150647,0.48493525
-0.0035922485,0.014049649,0.012244252,0.03844366,0.5137389,0.4862611
-0.0023838538,0.013315156,0.012222188,0.038433135,0.5146141,0.48538592
-0.0005932185,0.010314748,0.012146238,0.038258668,0.5165157,0.4834843
0.0007619527,0.011078551,0.01220012,0.038402133,0.5161192,0.48388088
0.0011996371,0.006252423,0.012115698,0.03816724,0.518734,0.481266
0.001956996,0.0112053305,0.012300985,0.038638305,0.5159462,0.48405385
-0.00067742495,0.010623828,0.0122731095,0.038541593,0.51604694,0.4839531
-0.0008393186,0.007876843,0.012170178,0.03826114,0.517454,0.48254594
-0.0012769732,0.008374244,0.012176046,0.038246103,0.5168412,0.48315883
-0.0035098451,0.0062423944,0.012082922,0.037951022,0.5174271,0.48257288
-0.0046867463,0.012299687,0.012224796,0.038304,0.5138745,0.48612556
-0.007176827,0.009043887,0.012060839,0.037870016,0.51551306,0.48448694
-0.0025949734,0.0126390755,0.012235369,0.038410686,0.5145029,0.48549718
-0.0037898677,0.012585282,0.01220012,0.038323674,0.51450413,0.4854959
0.0008951542,0.014018327,0.012346111,0.03880575,0.51488924,0.4851108
-0.0018672454,0.012701303,0.01220168,0.03838699,0.5150124,0.48498765
-0.0005516219,0.011366934,0.012168143,0.03831691,0.51590395,0.48409605
0.0027245623,0.012908608,0.01231253,0.03874793,0.51571876,0.4842812
0.0024794308,0.01431635,0.012368101,0.03889987,0.5150351,0.48496497
0.004177761,0.013952911,0.012407372,0.039046627,0.5157869,0.48421308
0.001167689,0.014292777,0.012307172,0.038729034,0.5148623,0.48513776
0.0038774502,0.013955906,0.01237359,0.038958624,0.51572317,0.4842768
0.0031251055,0.01717344,0.012439362,0.039122373,0.5137965,0.48620352
0.0026148972,0.015992418,0.012379521,0.038984295,0.5146133,0.48538676
0.0035629165,0.015651032,0.01234942,0.03892267,0.51492447,0.48507556
0.0054205027,0.01593338,0.012404787,0.039101437,0.51514477,0.4848552
0.0072512296,0.016992882,0.01249644,0.03937962,0.5150206,0.4849794
0.0067870957,0.017693326,0.012505167,0.03940366,0.5146336,0.48536637
0.0064533693,0.01863432,0.0125079565,0.039417285,0.51413536,0.48586464
0.0073302654,0.017490134,0.012481234,0.039373785,0.51505077,0.48494923
0.008272778,0.016156629,0.01245363,0.03930774,0.5158589,0.48414117
0.0094930865,0.016505748,0.012513789,0.039473955,0.5158043,0.48419568
0.0066552204,0.014331892,0.012385547,0.03907503,0.5162988,0.48370126
0.00778373,0.014826953,0.012440546,0.039223284,0.5161233,0.48387673
0.007226896,0.014133126,0.012437984,0.0391999,0.5163871,0.48361292
0.0065804166,0.013543323,0.012419788,0.03912852,0.5165001,0.4834999
0.005274829,0.014117464,0.012418182,0.039092135,0.5158432,0.4841568
0.0035904464,0.01381053,0.012372536,0.038943093,0.51567566,0.4843243
0.0028452245,0.017413229,0.012449672,0.0391411,0.51359206,0.48640794
