mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.003652357,0.0031427536,0.058578864,0.5714168,0.57041913,0.5794209,0.34838465,0.3875537,0.2640617
0.0035981168,0.0031955708,0.058507964,0.5714464,0.5704605,0.57945174,0.3483964,0.38753852,0.2640651
0.0034746905,0.0035583545,0.061018676,0.5705522,0.5695372,0.57868564,0.34840226,0.3880853,0.26351246
0.0035519903,0.0033648107,0.059764966,0.5710055,0.570001,0.57907367,0.34839657,0.38781136,0.26379207
0.0035873656,0.0035554785,0.061798185,0.57029957,0.5691695,0.5784642,0.34839568,0.38826838,0.26333594
0.0036634286,0.0032681394,0.06007898,0.5708782,0.56984687,0.578952,0.34837082,0.3878798,0.26374942
0.0038061892,0.002737077,0.05881682,0.5713947,0.5701203,0.57940114,0.3483215,0.3876119,0.26406664
0.003821597,0.0026569013,0.05836147,0.57154053,0.5703026,0.5795227,0.34831256,0.3875076,0.26417986
0.003805526,0.0030374322,0.05999188,0.57096875,0.569733,0.57903177,0.3483503,0.3878759,0.26377383
0.0035099094,0.0038417373,0.063651994,0.5696348,0.56838876,0.5778976,0.3484233,0.388695,0.26288167
0.0033705537,0.003766263,0.062149823,0.57013875,0.56912196,0.578334,0.348414,0.3883333,0.2632527
0.003664211,0.0036391485,0.06270015,0.5700383,0.5687489,0.578245,0.34840986,0.38848573,0.2631044
0.003718019,0.0033100266,0.060758397,0.5706612,0.5695461,0.5787653,0.34837174,0.38803753,0.26359072
0.0038348963,0.0030967612,0.060738936,0.57076496,0.5693696,0.57886606,0.34836236,0.38805598,0.26358172
0.0037909155,0.00335926,0.061526924,0.570436,0.56916296,0.578576,0.348383,0.38822573,0.26339123
0.0037636687,0.0030290727,0.05989395,0.57099724,0.56978023,0.579058,0.3483477,0.3878501,0.26380223
0.0038520698,0.002876008,0.06009388,0.57102704,0.56953233,0.57909757,0.3483441,0.38791645,0.2637394
0.0038169925,0.0031616557,0.061179027,0.57062465,0.5691817,0.5787496,0.34836984,0.38815767,0.2634725
0.0037386497,0.00315197,0.06017615,0.57086957,0.5697325,0.57894415,0.3483566,0.38790798,0.26373538
0.0036999364,0.0032029096,0.059806272,0.57097256,0.56994015,0.5790306,0.34836537,0.3878204,0.2638143
0.0036940207,0.0032371823,0.06010601,0.5708662,0.5698285,0.5789387,0.3483643,0.3878855,0.26375023
0.003662855,0.0032895822,0.060284972,0.57080775,0.5697717,0.5788912,0.34836948,0.3879242,0.26370627
0.0037686606,0.0030298326,0.059300616,0.57115126,0.5700836,0.57918,0.34834778,0.38771078,0.26394147
0.00382831,0.0026951376,0.058045566,0.5716248,0.5704641,0.57959056,0.34832254,0.38743767,0.26423973
0.003915899,0.0024234224,0.056503326,0.5721682,0.5710038,0.5800542,0.34831122,0.3871029,0.26458588
