mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0014968291,0.0013426505,0.42342842,0.4219842,0.4997529,0.50024706
-0.0018064305,0.000829082,0.42343023,0.42204562,0.49988732,0.5001127
-0.0013565645,0.0026970059,0.4222696,0.4211801,0.5000776,0.49992236
-0.0020247698,0.0011225604,0.42282385,0.42169672,0.50018644,0.49981356
-0.0015541986,0.0028479658,0.42187738,0.42097658,0.5002968,0.49970323
-0.002277121,0.0010067113,0.42264894,0.42167157,0.50037557,0.49962446
-0.0026206747,0.00010578334,0.4232203,0.42219266,0.50036854,0.49963152
-0.0023749992,0.00023059174,0.42346254,0.42229438,0.5001764,0.49982354
-0.0018377453,0.0017563328,0.42272076,0.42169246,0.50020915,0.49979085
-0.0009461567,0.0047655366,0.42091992,0.42026472,0.5004166,0.49958348
-0.0018517375,0.002608247,0.4216472,0.42093122,0.5005604,0.49943966
-0.0018076822,0.0030072443,0.42141896,0.42077565,0.5005989,0.49940106
-0.0023110881,0.0013278611,0.4223242,0.42147443,0.50050056,0.49949944
-0.0022375584,0.001530204,0.42233673,0.42150283,0.5004838,0.4995162
-0.0018064156,0.0024468713,0.42197832,0.42113867,0.5004015,0.49959847
-0.0024628565,0.0008053668,0.42270726,0.4218196,0.50048745,0.49951255
-0.0022791848,0.0012740381,0.42263177,0.4217678,0.5004524,0.49954766
-0.0018863156,0.0023287274,0.42213696,0.4213525,0.50045604,0.49954394
-0.0020878315,0.0014040805,0.42261755,0.42167825,0.5003708,0.49962926
-0.0019123554,0.0014217049,0.42281604,0.42171028,0.50016415,0.49983582
-0.0019476265,0.0015325695,0.42267004,0.42163453,0.50024045,0.49975955
-0.0018937662,0.0016606785,0.42259416,0.42155707,0.50023067,0.4997693
-0.0022917762,0.00071248785,0.4230137,0.42195687,0.5002868,0.49971324
-0.0024751946,-8.874759e-05,0.42359534,0.42239633,0.50017405,0.49982598
-0.0025479645,-0.00093052164,0.42431036,0.4228724,0.49995407,0.5000459
-0.0023849756,-0.0006576367,0.4243343,0.42288154,0.49989936,0.5001006
-0.0023499578,-0.000925228,0.42461818,0.4230551,0.49979043,0.50020957
-0.0019558668,-0.00019886717,0.4243974,0.42278105,0.499665,0.500335
-0.0018429458,0.00023660436,0.42407915,0.42253205,0.49971893,0.5002811
-0.002210483,-0.00086632,0.42460427,0.4229442,0.49968794,0.50031203
-0.0016325489,0.00075891614,0.42382196,0.42227077,0.4996714,0.50032866
-0.0021362454,-0.0005862154,0.42435247,0.42272097,0.4997107,0.50028926
-0.001977913,-1.0356307e-05,0.4240778,0.42251527,0.49973196,0.50026804
-0.001940392,0.00032656267,0.42380646,0.42234144,0.49982172,0.50017834
-0.0018563196,0.0008842647,0.42339885,0.42206925,0.4999362,0.50006384
-0.0015074685,0.0022308342,0.4225473,0.42141974,0.5000679,0.49993208
-0.0019618794,0.0013924949,0.42272392,0.42165574,0.5002228,0.49977726
-0.002664581,-0.0007859655,0.42393163,0.4226274,0.5001206,0.49987942
-0.002650462,-0.0013135746,0.42455304,0.4230471,0.4999031,0.5000969
-0.003185168,-0.003377881,0.4258857,0.42408976,0.49972498,0.5002751
-0.0024996176,-0.002451025,0.42595565,0.423959,0.49938333,0.5006167
-0.0020975992,-0.0014701299,0.42551053,0.42357758,0.4993774,0.5006226
-0.0023433492,-0.0024139732,0.42601243,0.42394024,0.4993055,0.5006945
-0.0018461123,-0.0011874586,0.42549214,0.42345187,0.4992315,0.5007685
-0.0013959184,0.00025902316,0.42458415,0.4226992,0.49930885,0.5006912
-0.0015279576,9.9059194e-05,0.42440754,0.42254913,0.49938154,0.5006185
-0.0015883818,0.00042420253,0.42399845,0.42227954,0.49952707,0.50047296
-0.0020096973,-0.00011702627,0.42401153,0.42242602,0.49973392,0.5002661
-0.0022972152,-0.00074745715,0.4243117,0.42272422,0.4997771,0.5002229
-0.0020687208,0.00029982626,0.42373586,0.4223558,0.49991766,0.5000824
-0.0022004992,-7.8074634e-05,0.42390642,0.4225098,0.4999347,0.5000653
-0.001833789,0.0009357892,0.42342567,0.42210004,0.4999288,0.5000712
-0.0021859333,0.00024520978,0.4236259,0.4223422,0.5000437,0.49995628
-0.0021782815,8.075684e-05,0.4238158,0.42245802,0.49996316,0.50003684
-0.0021385327,-0.0001426749,0.4240453,0.422573,0.49984756,0.50015247
-0.0022378415,-0.00058059767,0.42432788,0.42277876,0.4997935,0.50020653
