mu1,mu2,sigma1,sigma2,pi1,pi2
0.006833479,0.0053923167,0.032445375,0.034805693,0.5142344,0.48576564
0.0068965107,0.0049562193,0.0327306,0.035079136,0.513873,0.48612708
0.0066833347,0.0041913874,0.032850903,0.03519549,0.51383585,0.48616418
0.0063737184,0.0055358894,0.03182148,0.03420951,0.51521957,0.4847804
0.009457126,0.012217868,0.032037515,0.034401674,0.5135572,0.48644283
0.007959619,0.009531971,0.031855587,0.03423173,0.5143185,0.4856815
0.009088501,0.013870303,0.031372134,0.033769544,0.51432115,0.48567885
0.0073658675,0.010372978,0.031347215,0.033754382,0.51502806,0.48497197
0.0065547377,0.009872202,0.030876886,0.033311684,0.5159723,0.4840277
0.0065728277,0.010225017,0.030677866,0.03312004,0.5162499,0.48375008
0.0061146766,0.009450886,0.030457608,0.032908604,0.5167722,0.4832278
0.005280629,0.0073965676,0.030399239,0.0328555,0.5172806,0.4827194
0.0034525841,0.0022039972,0.03061168,0.03306689,0.51793736,0.4820626
0.0064760298,0.008508425,0.030483233,0.032921385,0.51687884,0.4831212
0.0056450814,0.003277015,0.031862777,0.0342483,0.51556665,0.48443338
0.006179467,0.0037884973,0.03217905,0.034551322,0.5149864,0.48501357
0.0067780763,0.0028172173,0.03321113,0.03553288,0.5135068,0.48649314
0.0059707016,0.0001658015,0.03356835,0.0358769,0.51345885,0.48654112
0.0077052265,0.0040243827,0.033613708,0.035912853,0.51265574,0.48734432
0.0061137974,-0.0008197464,0.034176104,0.036453135,0.5126935,0.4873065
0.006313473,-0.000926394,0.034483194,0.03674867,0.51229924,0.48770076
0.008681461,0.005196195,0.0340842,0.036355678,0.5117032,0.4882968
0.009392634,0.009426136,0.032932885,0.035250377,0.51260465,0.48739538
0.011973307,0.016858239,0.032661106,0.034981854,0.511577,0.48842296
0.00820519,0.01070613,0.032012403,0.034383755,0.51381177,0.4861882
0.007582918,0.011302661,0.031488936,0.033897556,0.51467365,0.4853264
0.008172587,0.014308531,0.030780932,0.03321396,0.51526725,0.48473272
0.0058436245,0.010662582,0.030047799,0.032517564,0.5172275,0.4827725
0.005600974,0.009945441,0.030064108,0.032538466,0.5174038,0.4825962
