mu1,mu2,sigma1,sigma2,pi1,pi2
-0.00047671655,0.0017738566,0.48574668,0.59435534,0.5934292,0.40657082
-0.00050371746,0.0019929782,0.48575747,0.5944634,0.5934436,0.40655646
-0.0007017241,0.0014671907,0.48538435,0.59473443,0.5928706,0.40712944
-0.0006582127,0.0021289065,0.48556212,0.5947274,0.59321797,0.40678206
-0.0008276538,0.0016912445,0.48526195,0.59490186,0.59276944,0.4072306
-0.00068479637,0.0023730025,0.48540252,0.59475064,0.59328556,0.40671444
-0.00048397342,0.0027844682,0.48531553,0.59440595,0.5938244,0.40617558
-0.0004437999,0.0026552305,0.4854475,0.59428364,0.5938783,0.40612167
-0.0004594759,0.0019005314,0.48511449,0.5943412,0.5934695,0.4065305
-0.00073337415,0.0007023737,0.48458463,0.59481084,0.5924104,0.40758964
-0.0006812052,0.0015135929,0.48486468,0.59487253,0.5927938,0.40720618
-0.00078590075,0.0016640499,0.4848382,0.5949362,0.592741,0.407259
-0.00073742727,0.0023768619,0.48525125,0.5948326,0.5931883,0.4068117
-0.00067406753,0.0023478344,0.4851296,0.5946815,0.59330565,0.40669438
-0.0007853792,0.0019483045,0.48517692,0.5948136,0.59296685,0.4070332
-0.0005403445,0.0024547353,0.48512706,0.59453446,0.5935453,0.40645468
-0.00044844905,0.0022611395,0.48492828,0.5943621,0.5936161,0.40638384
-0.00044683972,0.0017050728,0.48470104,0.5943964,0.5933299,0.4066701
-0.00039176503,0.0019447282,0.48490423,0.5943676,0.5935091,0.40649092
-0.00057537714,0.0020447,0.48539913,0.59454805,0.5933391,0.4066609
-0.00056250254,0.0020041391,0.48527497,0.59455097,0.59332055,0.40667948
-0.0006237761,0.001996033,0.48533922,0.5946273,0.5932293,0.40677074
-0.00049202004,0.002353765,0.4853064,0.59445924,0.5935892,0.40641087
-0.00039194385,0.0026720688,0.48545945,0.5942656,0.593935,0.40606502
-0.0003180341,0.0029371157,0.48578164,0.5940986,0.5942329,0.40576714
-0.00019688765,0.002688013,0.48562512,0.593922,0.59430724,0.40569276
-0.00011189142,0.0026221052,0.48569882,0.593819,0.5944082,0.40559182
-0.00020564953,0.0022710636,0.4858148,0.59394133,0.59411174,0.40588826
-0.00024679163,0.002042897,0.48572558,0.59405273,0.593904,0.406096
-0.00022336701,0.0025043115,0.4859622,0.59402925,0.59415984,0.4058402
-0.00042834738,0.0020006225,0.48589477,0.5942674,0.5936292,0.40637082
-0.00039191404,0.0025111362,0.4861037,0.59426284,0.59390503,0.40609494
-0.00045387307,0.0024248138,0.48602587,0.59429765,0.59379286,0.40620717
-0.0004581795,0.0022872165,0.48586428,0.5943268,0.5936998,0.40630022
-0.0004759417,0.0020818189,0.48564228,0.59437895,0.5935479,0.40645212
-0.0006155805,0.001613833,0.48538807,0.5946032,0.59308076,0.4069192
-0.000557153,0.0019557998,0.48532963,0.59458804,0.5932841,0.406716
