mu1,mu2,sigma1,sigma2,pi1,pi2
0.0003404552,0.0043163933,0.11645612,0.33251315,0.84158814,0.15841183
0.00023316685,0.004550878,0.11722606,0.3333634,0.8409755,0.15902454
0.00033443514,0.0047655143,0.11753742,0.33368152,0.84084487,0.15915513
0.0010131532,0.0037975945,0.114814155,0.3305254,0.8431627,0.15683727
-0.0009657806,0.002725605,0.11637267,0.33254275,0.84047663,0.15952337
-0.0014209813,0.0041714944,0.116017394,0.3326863,0.84083,0.15916997
-0.0029954975,0.0044299997,0.11577327,0.33279678,0.84022105,0.15977895
-0.0031944579,0.006212,0.11587316,0.3332724,0.8404856,0.15951444
-0.0029320186,0.006687466,0.11485125,0.3320856,0.84163207,0.15836793
-0.002703852,0.006434325,0.114519686,0.3316007,0.84197694,0.15802309
-0.0020868843,0.00614113,0.11384836,0.33070055,0.8427926,0.15720746
-0.0009853309,0.0059136786,0.11319441,0.3296656,0.84389746,0.1561026
0.0012426311,0.0058711804,0.11242317,0.3281875,0.8457931,0.15420687
0.0014904672,0.0027589835,0.11195817,0.32710922,0.8455178,0.1544822
0.0020779306,0.0034704842,0.11446998,0.32988086,0.84394276,0.15605724
0.0023677284,0.0029439963,0.1148165,0.3300222,0.84371203,0.15628794
0.0021209056,0.0031896867,0.117125295,0.33253747,0.8417823,0.15821773
0.0026678974,0.0036772527,0.117485024,0.33283,0.84194154,0.15805846
0.0020179087,0.0026660599,0.117966026,0.33331242,0.8409272,0.15907282
0.002509349,0.003951017,0.118809305,0.33431366,0.8408605,0.15913954
0.0027067596,0.00395054,0.119473256,0.33482724,0.840487,0.15951306
0.0015551383,0.0024309792,0.11937652,0.33484697,0.8394754,0.16052459
0.00029712263,0.0018966235,0.117337,0.3331888,0.84017104,0.15982896
-0.003320641,0.0025423206,0.11859431,0.33561113,0.8372095,0.16279048
-0.0037371581,0.0059514083,0.11722079,0.33494556,0.8389566,0.16104338
-0.0043292707,0.0072948374,0.11663444,0.3344452,0.8395337,0.16046633
-0.005067772,0.0071244277,0.11581834,0.33372927,0.8397337,0.16026631
-0.0039728945,0.007777814,0.11379632,0.33146402,0.84216833,0.15783171
-0.003259725,0.0076002516,0.113810055,0.33114386,0.84255594,0.15744412
-0.002522654,0.0056822337,0.11134743,0.3280592,0.84448355,0.15551643
-0.0010416573,0.0049281158,0.1094335,0.3255828,0.8466743,0.15332568
-0.00028896984,0.0043995418,0.11013706,0.3260152,0.84639376,0.15360622
-0.0023366278,0.00228763,0.1111403,0.32733175,0.8438552,0.15614483
-0.003752119,0.004665438,0.11433445,0.33168763,0.84096634,0.15903369
-0.004820234,0.0055788793,0.11325056,0.3308745,0.84151703,0.158483
-0.003845579,0.0077276267,0.11298104,0.33061105,0.8428794,0.15712057
-0.00219912,0.008734826,0.114072666,0.33125257,0.84326744,0.15673254
-0.0011186665,0.006259922,0.1130411,0.3294242,0.84409285,0.15590718
0.0005395347,0.005155865,0.11238671,0.32825512,0.84523034,0.15476969
0.00031256024,0.0031996407,0.11294066,0.32861602,0.84413624,0.15586375
0.0030238563,0.0048804916,0.11226702,0.3275128,0.846626,0.15337408
0.0013658339,0.00049317256,0.11208241,0.32691672,0.84476286,0.15523714
0.0009308988,0.0029080547,0.115771696,0.33162132,0.84204066,0.15795934
-0.00016725715,0.0037068762,0.11716598,0.33333856,0.8405497,0.15945023
-0.0004954403,0.0054259337,0.11913382,0.33570093,0.8392531,0.1607469
0.00032561366,0.005995337,0.11824597,0.33455777,0.84061927,0.15938073
0.0001466209,0.0039991774,0.11639637,0.33235827,0.8414725,0.1585275
0.00085919444,0.0047645606,0.116709694,0.332728,0.8417938,0.15820622
0.0012680823,0.00404102,0.11586978,0.33155653,0.84253585,0.15746412
0.00015633646,0.003264252,0.11730689,0.33326685,0.8405244,0.15947567
9.112991e-06,0.0023443736,0.11343929,0.32927042,0.84327674,0.15672328
-0.0010292595,0.004556481,0.117140315,0.33373752,0.8402771,0.15972286
-0.00044030603,0.0057357587,0.116533265,0.33303308,0.84145117,0.15854886
-0.0005589193,0.005413417,0.11727256,0.33368227,0.8407366,0.15926337
-0.0019627875,0.0038298406,0.11648601,0.3330769,0.84011006,0.1598899
-0.00061250385,0.0056595244,0.11478051,0.3313565,0.8427043,0.15729572
0.000191384,0.0061416067,0.11584642,0.33209178,0.8425109,0.15748912
