mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.011701122,0.32899487,0.0026494712,0.053913437,0.5218948,0.01732361,0.05662976,0.0020322218,0.941338
-0.012411758,0.32790315,0.0019793361,0.05389374,0.5212635,0.017306505,0.05650371,0.0020285782,0.9414677
-0.0127785355,0.32784605,0.0017460436,0.05384537,0.5210177,0.017279405,0.05642745,0.0020244503,0.9415481
-0.012646005,0.32750356,0.001715228,0.053895827,0.5210714,0.017302858,0.056465406,0.0020277023,0.9415069
-0.011763379,0.32916856,0.002696231,0.053945873,0.5219349,0.01733359,0.05666529,0.0020346546,0.94130003
-0.011714563,0.3289113,0.0026902705,0.053998638,0.5219515,0.017357027,0.056706782,0.0020382958,0.9412549
-0.012045667,0.32898903,0.0024411231,0.053892177,0.52170813,0.01730625,0.056581896,0.002029988,0.94138813
-0.011544451,0.32917345,0.002918318,0.05403869,0.52212083,0.017376482,0.056774206,0.0020419902,0.9411838
-0.012332931,0.3282922,0.002075687,0.053864095,0.52137643,0.01729305,0.05649829,0.0020267675,0.941475
-0.0123420805,0.32847238,0.0021103472,0.053859208,0.5214122,0.017289367,0.05650133,0.0020265277,0.9414722
-0.011933431,0.32898104,0.0025440603,0.053933967,0.52179676,0.017325912,0.05663132,0.00203329,0.94133544
-0.012165114,0.3284213,0.0021830052,0.053889025,0.52152884,0.017304553,0.05653865,0.002028761,0.9414326
-0.011532411,0.3285715,0.0026343614,0.054035723,0.52203435,0.01737489,0.05673263,0.0020404183,0.94122696
-0.010704711,0.33044386,0.003567472,0.05403418,0.52288514,0.017381292,0.056886833,0.002043526,0.94106966
-0.010142282,0.331168,0.004156336,0.05412803,0.52341527,0.01742774,0.057058487,0.0020522042,0.9408893
-0.01053299,0.3305372,0.0037194043,0.05407369,0.5230282,0.017400552,0.0569432,0.0020468289,0.94101
-0.010788992,0.33028525,0.0034534484,0.054016184,0.5227939,0.017372806,0.056854133,0.0020418356,0.94110405
-0.010263279,0.33082455,0.003979847,0.054094378,0.5232382,0.017414391,0.05700016,0.0020492603,0.94095063
-0.011027053,0.32956493,0.0031446666,0.054011628,0.5224954,0.01737091,0.056796983,0.0020404966,0.9411625
-0.011098132,0.32989293,0.003190592,0.053970672,0.5224867,0.017351896,0.056770407,0.0020378819,0.94119173
-0.010955378,0.32978165,0.0033162981,0.05401871,0.52255905,0.017376792,0.056825574,0.0020418023,0.94113266
-0.011792496,0.32829714,0.002521649,0.05403418,0.52179813,0.017373813,0.0567055,0.0020402246,0.9412543
-0.0123836845,0.3280893,0.0020767301,0.05392117,0.52134407,0.01731691,0.056542218,0.0020308492,0.94142693
-0.012614623,0.3279506,0.0018476695,0.053866122,0.5211555,0.01728963,0.05646274,0.0020261514,0.9415111
-0.012191489,0.32833022,0.002217278,0.05393679,0.52152663,0.017324511,0.056580804,0.0020323037,0.9413869
-0.011550531,0.32930344,0.0029125065,0.0540166,0.5221357,0.017365953,0.05675731,0.0020403669,0.94120234
-0.011997804,0.32872587,0.0023600608,0.053893864,0.5216862,0.017308557,0.05657133,0.002029718,0.9413989
-0.011495575,0.32920188,0.0028907806,0.05403111,0.5221675,0.017372303,0.056767713,0.002041197,0.9411911
-0.011322781,0.32972807,0.003094539,0.053990226,0.52233523,0.017357085,0.056767903,0.002039064,0.94119304
-0.011783674,0.32916576,0.002588883,0.053894002,0.52189654,0.017310705,0.056609344,0.0020305093,0.9413601
-0.011687711,0.32919657,0.0027308017,0.053967316,0.5220124,0.017342387,0.056690734,0.0020361738,0.9412731
-0.01137419,0.32959867,0.0030085593,0.053951163,0.52223766,0.017341865,0.05672048,0.002036069,0.94124347
-0.012072429,0.32832682,0.0022706836,0.053919725,0.52156466,0.01732118,0.056573793,0.0020313233,0.9413949
-0.0120617,0.3284062,0.0023590177,0.053939965,0.5215894,0.017330585,0.056601543,0.0020331743,0.9413653
-0.012837693,0.3277573,0.0016720146,0.053817514,0.5209389,0.017267896,0.056392066,0.0020222731,0.9415856
-0.012895688,0.32747597,0.001633212,0.05388237,0.5209011,0.017294284,0.056437366,0.002026688,0.94153595
-0.012631759,0.32800102,0.0019488782,0.053899035,0.52116144,0.017304484,0.05650107,0.0020289999,0.9414699
-0.010459319,0.33008367,0.003726378,0.053896174,0.52268076,0.01734656,0.056773607,0.002035213,0.94119114
-0.014646009,0.32263118,-0.00091667473,0.05354391,0.51858836,0.017152525,0.05573978,0.0019944664,0.94226575
-0.01372166,0.32432318,0.00028581917,0.053683937,0.5195136,0.017223742,0.056037508,0.002008655,0.9419538
-0.015074477,0.32276815,-0.0010118335,0.053540215,0.51836836,0.017143207,0.055718,0.0019941658,0.9422878
-0.01456295,0.32373577,-0.0003001839,0.053718805,0.5190059,0.017219663,0.055977322,0.0020090013,0.9420137
-0.013931051,0.3253904,0.0005413443,0.05378742,0.51976955,0.017250372,0.05617232,0.002016639,0.941811
