mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.074089155,-0.006705083,0.014993489,0.07989729,0.28862718,0.020278009,0.001997435,0.002574108,0.99542844
-0.074262425,-0.006736316,0.014859617,0.07979098,0.2884658,0.020233799,0.0019905332,0.0025657937,0.9954437
-0.07446365,-0.0069558993,0.014680922,0.079734385,0.2883105,0.020208964,0.001985974,0.0025608423,0.9954532
-0.07129069,-0.0038768426,0.01741594,0.08071446,0.29078665,0.02063843,0.0020631691,0.0026456956,0.9952911
-0.06844534,0.00013764948,0.01971668,0.080750495,0.29250634,0.020692423,0.0020872697,0.0026598936,0.99525285
-0.06912361,-0.00058881193,0.019147217,0.080541514,0.29195094,0.020602403,0.0020702167,0.0026417102,0.995288
-0.07299189,-0.004826702,0.015718997,0.07944044,0.28892973,0.020118771,0.0019803261,0.0025447835,0.9954749
-0.07219367,-0.003339924,0.016175091,0.07904613,0.28913954,0.019975707,0.0019647428,0.002518602,0.99551666
-0.07600196,-0.0089114085,0.013202965,0.07918455,0.2869699,0.01997976,0.0019442802,0.0025144522,0.9955413
-0.07558431,-0.008106507,0.013376713,0.07892165,0.2870491,0.019882001,0.0019332155,0.0024964437,0.99557036
-0.076626346,-0.00956849,0.012664795,0.079074726,0.28655916,0.019926386,0.0019341579,0.0025039942,0.99556184
-0.07537402,-0.007517256,0.0136678815,0.0789811,0.2872657,0.019904656,0.0019385797,0.0025020232,0.9955594
-0.07796694,-0.010986365,0.011681616,0.07897785,0.28576115,0.019868119,0.0019200426,0.0024924853,0.99558747
-0.078413114,-0.012462296,0.011396587,0.0795185,0.28583005,0.02007214,0.0019451191,0.002529538,0.99552536
-0.07767157,-0.013044752,0.012248039,0.08069835,0.28699005,0.02054398,0.00201346,0.0026188022,0.99536777
-0.07826628,-0.014358915,0.011869907,0.08108648,0.28688803,0.020687675,0.0020300215,0.002645275,0.99532473
-0.074644044,-0.008789457,0.014783025,0.08095594,0.28899303,0.020682989,0.0020511004,0.002650154,0.9952988
-0.066442356,0.0020258054,0.021707714,0.08187973,0.29450497,0.021162698,0.0021681788,0.0027543912,0.99507743
-0.06585015,0.004575096,0.02208674,0.080809094,0.2942112,0.020745868,0.002112543,0.0026762192,0.99521124
-0.06525992,0.004657112,0.022498548,0.08103076,0.29462636,0.0208473,0.002128778,0.0026949174,0.9951763
-0.06565975,0.0044533834,0.021843255,0.08034412,0.29387498,0.020574212,0.0020858075,0.0026406276,0.99527353
-0.06990616,-0.0023328438,0.01834935,0.08050922,0.29134926,0.020586481,0.0020609745,0.0026354867,0.9953035
-0.07462697,-0.00790564,0.014097035,0.07931929,0.28775567,0.020056868,0.0019600654,0.002528337,0.99551165
-0.076882854,-0.0098871365,0.012073278,0.078468,0.28591523,0.019693952,0.0018990324,0.0024583393,0.99564266
