mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0047335476,-0.0063253045,0.5541381,0.59372085,0.5043662,0.49563375
-0.0045778602,-0.006173201,0.5542879,0.5937983,0.5043466,0.49565342
-0.004486352,-0.006083794,0.554376,0.59384376,0.50433505,0.49566492
-0.004411496,-0.0060106665,0.554448,0.593881,0.5043256,0.4956744
-0.0045742765,-0.006169699,0.55429137,0.59380007,0.50434613,0.49565387
-0.004548289,-0.006144315,0.55431634,0.593813,0.50434285,0.49565712
-0.004546784,-0.00614284,0.55431783,0.5938138,0.5043427,0.49565735
-0.004668586,-0.006261833,0.5542006,0.59375316,0.50435805,0.49564198
-0.0044827163,-0.0060802475,0.55437946,0.59384555,0.5043346,0.49566543
-0.004598774,-0.0061936304,0.5542678,0.5937879,0.50434923,0.49565077
-0.0047312826,-0.0063230842,0.5541403,0.593722,0.5043659,0.49563405
-0.0046532005,-0.006246805,0.5542154,0.5937607,0.5043561,0.49564388
-0.004730627,-0.0063224435,0.5541409,0.5937223,0.50436586,0.49563414
-0.0049560294,-0.0065426603,0.55392414,0.59361017,0.5043943,0.4956057
-0.0051925555,-0.00677374,0.55369663,0.5934925,0.50442415,0.49557588
-0.0052096993,-0.006790489,0.5536801,0.59348404,0.5044263,0.49557373
-0.0052981526,-0.0068769082,0.55359507,0.59344006,0.50443745,0.49556255
-0.0054828823,-0.007057376,0.55341756,0.5933482,0.50446075,0.49553928
-0.005309336,-0.006887831,0.5535844,0.5934345,0.5044389,0.49556115
-0.0053459257,-0.0069235787,0.5535492,0.59341633,0.50444347,0.49555653
-0.0052944794,-0.0068733096,0.55359864,0.59344184,0.50443697,0.49556303
-0.0049446896,-0.0065315813,0.55393493,0.59361583,0.50439286,0.49560717
-0.0046709552,-0.00626415,0.5541983,0.593752,0.50435835,0.4956417
-0.004531339,-0.0061277524,0.5543326,0.5938214,0.5043407,0.49565926
-0.004557915,-0.00615371,0.55430716,0.5938082,0.5043441,0.49565595
-0.0046357512,-0.0062297583,0.5542321,0.5937695,0.5043539,0.4956461
-0.004524529,-0.006121099,0.5543392,0.5938248,0.5043399,0.49566016
-0.0047048926,-0.006297305,0.55416566,0.5937351,0.50436264,0.49563742
-0.004760787,-0.0063519105,0.5541119,0.5937073,0.5043697,0.49563032
-0.0047670454,-0.0063580275,0.5541059,0.59370416,0.50437045,0.49562955
-0.004902154,-0.0064900294,0.55397594,0.59363693,0.5043875,0.4956125
-0.004934676,-0.0065217987,0.55394465,0.5936208,0.5043916,0.49560842
-0.004747011,-0.006338455,0.55412513,0.59371406,0.50436795,0.49563208
-0.0046703517,-0.0062635615,0.5541989,0.59375226,0.50435823,0.49564174
-0.004442297,-0.0060407594,0.5544183,0.5938657,0.5043295,0.49567053
-0.0043692067,-0.005969353,0.55448866,0.5939021,0.50432026,0.4956797
-0.0043062344,-0.005907826,0.5545493,0.5939334,0.50431234,0.49568766
-0.004350029,-0.005950615,0.55450714,0.59391165,0.5043179,0.49568215
-0.003263384,-0.0048889965,0.55555385,0.5944524,0.5041808,0.49581918
-0.0033604875,-0.0049838647,0.5554603,0.59440404,0.50419307,0.49580696
-0.0028828084,-0.0045171827,0.5559208,0.59464186,0.5041328,0.4958672
-0.0029609948,-0.0045935735,0.5558454,0.5946029,0.50414264,0.49585733
-0.003058374,-0.00468871,0.5557515,0.5945544,0.504155,0.49584505
-0.0032787398,-0.004904002,0.5555391,0.59444475,0.50418276,0.49581727
-0.0033495277,-0.0049731582,0.5554708,0.59440947,0.5041917,0.49580836
-0.0030957907,-0.00472527,0.5557154,0.59453577,0.5041597,0.49584037
-0.0032180846,-0.0048447475,0.5555975,0.5944749,0.50417507,0.4958249
-0.0040112287,-0.0056196153,0.55483335,0.5940802,0.50427514,0.4957249
-0.003988594,-0.005597502,0.5548551,0.5940914,0.5042723,0.49572775
-0.0043929815,-0.0059925765,0.55446583,0.5938902,0.5043233,0.49567676
-0.0044092014,-0.0060084313,0.5544502,0.59388214,0.50432533,0.4956747
-0.00430499,-0.005906619,0.5545505,0.59393394,0.50431216,0.4956878
-0.004401505,-0.006000906,0.55445766,0.593886,0.5043244,0.49567568
-0.0044904277,-0.00608778,0.5543721,0.5938418,0.5043356,0.49566445
-0.0048449263,-0.0064341202,0.55403095,0.5936654,0.5043803,0.4956197
-0.004993513,-0.00657928,0.553888,0.5935916,0.50439906,0.495601
-0.005024858,-0.006609902,0.5538579,0.59357595,0.504403,0.49559706
-0.0049421117,-0.006529063,0.5539375,0.5936171,0.50439256,0.4956075
-0.0047445,-0.0063360035,0.5541276,0.59371537,0.5043676,0.49563238
-0.0050212294,-0.0066063553,0.5538614,0.5935778,0.5044025,0.49559748
-0.005175695,-0.006757267,0.55371284,0.593501,0.504422,0.495578
-0.005075857,-0.006659724,0.5538088,0.5935506,0.50440943,0.49559063
-0.0050166175,-0.0066018477,0.5538658,0.59358,0.5044019,0.49559805
-0.0045472383,-0.006143287,0.55431736,0.5938135,0.50434273,0.4956573
-0.004002586,-0.0056111813,0.5548417,0.59408444,0.5042741,0.495726
-0.0035937428,-0.005211748,0.5552355,0.5942879,0.50422245,0.49577752
-0.0033519045,-0.004975483,0.5554685,0.5944083,0.504192,0.49580806
-0.0035552755,-0.0051741675,0.5552726,0.594307,0.5042176,0.49578238
-0.003648132,-0.0052648857,0.5551832,0.5942608,0.50422937,0.49577066
-0.0038308576,-0.0054434016,0.5550071,0.5941699,0.5042524,0.4957476
-0.0042016134,-0.005805619,0.55465007,0.59398544,0.50429916,0.49570087
-0.004390456,-0.0059901103,0.5544682,0.5938915,0.50432295,0.49567702
-0.0044787526,-0.0060763806,0.5543832,0.5938476,0.5043341,0.49566588
-0.004863888,-0.0064526424,0.55401266,0.593656,0.50438267,0.49561733
-0.0050438195,-0.0066284314,0.5538396,0.5935665,0.5044054,0.49559465
-0.0051474124,-0.00672964,0.5537401,0.59351504,0.50441843,0.4955816
-0.0047485232,-0.00633993,0.5541237,0.5937134,0.5043681,0.49563187
-0.004487589,-0.0060850084,0.5543748,0.59384316,0.5043352,0.4956648
-0.004271671,-0.00587406,0.5545826,0.59395057,0.504308,0.495692
-0.0042754263,-0.005877733,0.554579,0.5939487,0.50430846,0.49569157
-0.0043884143,-0.0059881136,0.5544702,0.5938925,0.5043227,0.49567732
-0.004612617,-0.0062071607,0.5542544,0.593781,0.50435096,0.495649
-0.004756838,-0.0063480586,0.55411565,0.59370923,0.5043692,0.49563083
-0.0048245788,-0.0064142346,0.5540505,0.5936755,0.5043777,0.4956223
-0.004932061,-0.006519243,0.55394715,0.5936221,0.50439125,0.49560872
-0.0053268075,-0.0069049,0.5535675,0.5934258,0.5044411,0.49555895
-0.005493231,-0.0070674866,0.55340755,0.593343,0.50446206,0.49553797
-0.005522959,-0.007096529,0.55337906,0.59332824,0.5044658,0.4955342
-0.0051750466,-0.0067566335,0.55371344,0.59350127,0.5044219,0.49557808
-0.0050251037,-0.0066101477,0.5538577,0.59357584,0.504403,0.495597
-0.004947506,-0.0065343305,0.5539323,0.59361446,0.5043932,0.49560678
